date,p1,p2,p3
07/1963,0.0280992861,0.0317705489,0.0324992766
08/1963,0.0288454345,0.0320516252,0.0323906135
09/1963,0.0281904562,0.0307121893,0.0306292295
10/1963,0.0280343894,0.0316578774,0.030722284
11/1963,0.0277272063,0.0315955889,0.0303448581
12/1963,0.0282984132,0.032154593,0.0316061827
01/1964,0.0280705262,0.0306765595,0.0311939645
02/1964,0.0278452291,0.0301858369,0.0304403714
03/1964,0.0276966487,0.0301698894,0.0301065005
04/1964,0.0266698356,0.0297273739,0.0290982386
05/1964,0.0277669162,0.02921601,0.0299376997
06/1964,0.0279328845,0.0294019385,0.0294571905
07/1964,0.0277448256,0.0303697287,0.029823802
08/1964,0.0279097669,0.0304664991,0.0290186349
09/1964,0.0284945885,0.0312124552,0.0300055724
10/1964,0.0281832104,0.0311481217,0.0292611037
11/1964,0.028176448,0.030329324,0.0295268667
12/1964,0.0284380507,0.0298259195,0.0296967231
01/1965,0.0278362378,0.029672524,0.029660301
02/1965,0.0269118811,0.0295580107,0.0290106895
03/1965,0.0271249045,0.0299767137,0.0286637019
04/1965,0.0272553025,0.0307437005,0.0292920545
05/1965,0.0269493526,0.0305279357,0.0286983618
06/1965,0.0275572541,0.0306453897,0.0288148843
07/1965,0.0334048401,0.031571293,0.02584544
08/1965,0.0336757734,0.0319503127,0.0257557805
09/1965,0.0327975823,0.0314324855,0.0245384049
10/1965,0.0316203208,0.0302020782,0.0241920066
11/1965,0.0314496834,0.0300451168,0.0237605998
12/1965,0.0316674932,0.0302441197,0.0232977093
01/1966,0.0307762081,0.0304678809,0.0233381079
02/1966,0.0311247928,0.0299141518,0.0228465172
03/1966,0.0314255926,0.0309066388,0.0226771812
04/1966,0.0328531609,0.0316359784,0.0231031977
05/1966,0.0321868984,0.0315837357,0.0226993228
06/1966,0.0346466074,0.0335753394,0.0236646423
07/1966,0.0260491857,0.0328861011,0.0329584563
08/1966,0.0277210494,0.0337447247,0.0336856516
09/1966,0.0299841114,0.0368507518,0.0365292368
10/1966,0.0307484439,0.0377280645,0.0355942559
11/1966,0.0303425174,0.0354985387,0.0351220705
12/1966,0.0294929247,0.0356233178,0.0345814642
01/1967,0.0293550834,0.0357833281,0.0345436588
02/1967,0.0272835598,0.033011741,0.0327185143
03/1967,0.0266938682,0.0327219972,0.0323769221
04/1967,0.0254445289,0.0314632663,0.0309382787
05/1967,0.0241651513,0.0295883718,0.0302732173
06/1967,0.0255163021,0.0312195545,0.0318825047
07/1967,0.0228212986,0.0288390053,0.0334585608
08/1967,0.0218133074,0.0265974512,0.0313060387
09/1967,0.0220340093,0.0266359845,0.0319918262
10/1967,0.0214267309,0.0259549879,0.0303866013
11/1967,0.0219612019,0.0269831872,0.0310191357
12/1967,0.0218394784,0.0269731059,0.0310989339
01/1968,0.0203691253,0.0254316674,0.0301589021
02/1968,0.0225508478,0.0280850994,0.0313250812
03/1968,0.0241095267,0.02883449,0.0343820251
04/1968,0.0244729727,0.0287884476,0.0320435023
