date,p1,p2,p3
07/1963,0.03201482,,0.0330775635
08/1963,0.0322574045,,0.0334695647
09/1963,0.0309631151,,0.031788635
10/1963,0.0315653126,,0.0325482573
11/1963,0.0314566648,,0.0324102786
12/1963,0.0321374196,,0.0331802688
01/1964,0.0312448062,,0.0324677241
02/1964,0.0308310301,,0.0323932246
03/1964,0.0307033235,,0.0322659089
04/1964,0.0300160841,,0.0316778605
05/1964,0.0302493458,,0.0318200639
06/1964,0.0302378164,,0.0317090548
07/1964,0.0298894242,,0.0319432308
08/1964,0.0297284127,,0.0313105855
09/1964,0.030445416,,0.0319613446
10/1964,0.0300877172,,0.0314405113
11/1964,0.0297666764,,0.031975927
12/1964,0.0305401338,,0.031271068
01/1965,0.0302976027,,0.0312793953
02/1965,0.0296337171,,0.030261776
03/1965,0.029242457,,0.0289731812
04/1965,0.0297450641,,0.0291089706
05/1965,0.0294179,,0.0291305024
06/1965,0.0298138733,,0.0289625205
07/1965,0.0313208348,,0.0312057226
08/1965,0.0315233199,,0.0310267496
09/1965,0.0307801935,,0.0299472181
10/1965,0.0298936581,,0.0293895045
11/1965,0.0296892655,,0.028863866
12/1965,0.0298756129,,0.0285883106
01/1966,0.0298396754,,0.0277005432
02/1966,0.0297121061,,0.027251559
03/1966,0.0303464131,,0.0272756032
04/1966,0.0312049759,,0.0277345018
05/1966,0.0308119712,,0.0276132166
06/1966,0.0326551282,,0.0288630595
07/1966,0.0332428656,,0.0289722741
08/1966,0.034245766,,0.0299473926
09/1966,0.03741113,,0.0329211616
10/1966,0.0373249608,,0.0337939506
11/1966,0.0357314318,,0.0339418136
12/1966,0.0355792431,,0.0329309701
01/1967,0.0355989284,,0.0316665373
02/1967,0.0333315728,,0.0291848358
03/1967,0.0331684095,,0.0280547655
04/1967,0.0319127712,,0.0264381643
05/1967,0.0308186575,0.0300082916,0.0255379185
06/1967,0.0325282307,0.0386033909,0.0267037535
07/1967,0.0323708842,0.0327519734,0.0256087485
08/1967,0.0303037464,0.0311876274,0.0242603491
09/1967,0.030716486,0.0266659301,0.0248486844
10/1967,0.0298245703,0.0265703846,0.0240004457
11/1967,0.0308068816,0.0280857876,0.0244740676
12/1967,0.0307364437,0.0283689119,0.0240275203
01/1968,0.0296013348,0.0248044464,0.0221308821
02/1968,0.0314420067,0.0240160148,0.0233764823
03/1968,0.0335660978,0.0243073921,0.0245464583
04/1968,0.0327597158,0.0249272367,0.0245271641
05/1968,0.0307762236,0.021718995,0.021802998
06/1968,0.0299944938,0.0203834298,0.0206138196
07/1968,0.0296952497,0.0209103874,0.0204674104
08/1968,0.0309074252,0.0237562566,0.0214199266
09/1968,0.0304944886,0.0228800419,0.021027949
10/1968,0.0303327154,0.021505458,0.0206067338
11/1968,0.0299259559,0.0210183123,0.0203543488
12/1968,0.0284106123,0.0190522843,0.0195850596
01/1969,0.0292781186,0.0178453899,0.0198236865
02/1969,0.0295709766,0.0183627625,0.019977801
03/1969,0.0312142451,0.0196708896,0.0219231107
04/1969,0.0301426122,0.0186588749,0.0213405464
05/1969,0.0301910801,0.0185505423,0.0211461486
06/1969,0.0305640483,0.020684214,0.0205587563
