date,p1,p2,p3
07/1963,0.031947257,0.0295660762,0.0328377034
08/1963,0.0319189076,0.0301984973,0.0332706923
09/1963,0.0308966423,0.02868483,0.0315145241
10/1963,0.0317494337,0.0287871395,0.0318749746
11/1963,0.0319653102,0.0284297816,0.031481417
12/1963,0.0324262362,0.0292097774,0.0326229876
01/1964,0.0309571056,0.0288430465,0.0324010343
02/1964,0.0305042056,0.0278162234,0.0325257018
03/1964,0.0303140962,0.0279918371,0.0323938516
04/1964,0.0296869271,0.0267640126,0.0322379544
05/1964,0.0297382796,0.0273661935,0.0325561877
06/1964,0.0296007783,0.0277622076,0.0324532101
07/1964,0.0294598593,0.0272697362,0.0325134819
08/1964,0.0295008908,0.0268434727,0.0320794342
09/1964,0.0303192387,0.0276882777,0.032283735
10/1964,0.0305186323,0.0270429014,0.0313536459
11/1964,0.029692783,0.0274723894,0.0313841217
12/1964,0.029650535,0.027223299,0.0316068613
01/1965,0.0294808532,0.0272306766,0.0307747004
02/1965,0.029217207,0.0261238042,0.0300460164
03/1965,0.0296020365,0.0260625617,0.0302292816
04/1965,0.0303588657,0.026702142,0.030011073
05/1965,0.0301908122,0.0261663402,0.0298159259
06/1965,0.0305305893,0.0262662214,0.0303397061
07/1965,0.033957038,0.024712549,0.0322299679
08/1965,0.0341298177,0.0250477819,0.0322165697
09/1965,0.0339029321,0.0239866737,0.0312622028
10/1965,0.0330977263,0.0234217044,0.0299134344
11/1965,0.0331033474,0.0228323629,0.0298560293
12/1965,0.033416383,0.0226301043,0.0300050878
01/1966,0.0338472956,0.0222570174,0.0297139584
02/1966,0.0335522683,0.0222593775,0.0295932507
03/1966,0.0346097041,0.0224874983,0.0300330367
04/1966,0.0353717778,0.0227964202,0.0312595871
05/1966,0.0353756691,0.0226142821,0.030475436
06/1966,0.0372138509,0.0236870527,0.0330414398
07/1966,0.0379581526,0.0244312776,0.033492988
08/1966,0.0387648077,0.0251591902,0.0348788374
09/1966,0.042457032,0.0273149964,0.0377526816
10/1966,0.0420139521,0.027054466,0.0383469705
11/1966,0.0392925294,0.0278583966,0.0361159397
12/1966,0.0399360406,0.0269944038,0.0357282857
01/1967,0.0392050296,0.0274712805,0.0358094767
02/1967,0.037708316,0.0253145947,0.033063825
03/1967,0.0381207682,0.0245499916,0.0327310198
04/1967,0.0368019203,0.0235892816,0.0312598743
05/1967,0.0365374388,0.0227293616,0.028578619
06/1967,0.0384043806,0.0240729794,0.0301770784
07/1967,0.0344666433,0.0265312245,0.0296185556
08/1967,0.0322640511,0.0253818999,0.0275499627
09/1967,0.0329286374,0.0256936017,0.0277582803
10/1967,0.0316825941,0.0253645895,0.0266190736
11/1967,0.033243942,0.0253012275,0.0272930453
12/1967,0.0329604234,0.0251550306,0.0275020232
01/1968,0.0318930989,0.0239389476,0.0260109794
02/1968,0.0333260074,0.0253164877,0.0285709992
03/1968,0.0366597574,0.0267208403,0.0290584935
04/1968,0.0345428491,0.0275873405,0.0288083464
05/1968,0.0332023403,0.0242206562,0.0270087936
06/1968,0.0326627677,0.0236225981,0.0260356097
07/1968,0.0375645367,0.020307874,0.0263534714
08/1968,0.0382280678,0.02129677,0.0278614103
09/1968,0.0382238858,0.0208138121,0.0275553011
10/1968,0.0385811783,0.0207089906,0.026719534
11/1968,0.0366700816,0.0209169282,0.0266763648
12/1968,0.0349295419,0.0196535437,0.025728783
01/1969,0.0356210351,0.0202103548,0.0262160209
02/1969,0.0354278492,0.0205922191,0.0270093556
03/1969,0.037830972,0.021882229,0.0284253019
04/1969,0.0369238008,0.0208969569,0.0275589257
05/1969,0.0372920841,0.0202414883,0.0287320933
06/1969,0.0370824954,0.0206041546,0.0292675886
07/1969,0.0388424418,0.0228996563,0.0313665528
08/1969,0.0418571179,0.0237310798,0.033691481
09/1969,0.0409795953,0.0227479869,0.0322116975
10/1969,0.0438630885,0.0228532916,0.0328035939
11/1969,0.0418765962,0.0218491529,0.0307130826
12/1969,0.0444623392,0.0226028717,0.0318884051
01/1970,0.0451897596,0.0223934265,0.0321474247
02/1970,0.0496269795,0.0247450195,0.0339085083
03/1970,0.0465838622,0.0238514877,0.0330575551
04/1970,0.0460966397,0.0249931684,0.0331530238
05/1970,0.0511508811,0.0271856594,0.0336413528
06/1970,0.0537890804,0.0296999481,0.036787582
07/1970,0.056895922,0.0309677001,0.0392903733
08/1970,0.0514801246,0.0297123216,0.0363421134
09/1970,0.0487201618,0.028337306,0.0348717041
10/1970,0.0470028245,0.0273965228,0.033253875
11/1970,0.0488222268,0.0271832316,0.032475852
12/1970,0.0462838293,0.0260791344,0.0306770379
01/1971,0.0432752431,0.0239783761,0.028552154
02/1971,0.042136063,0.0231747517,0.0271432516
03/1971,0.041730369,0.0228583085,0.0263940781
04/1971,0.0422708846,0.0212898166,0.0255741143
05/1971,0.040162316,0.0212292045,0.0243123131
06/1971,0.0415207498,0.0220091964,0.0251675587
07/1971,0.0343694457,0.0278741819,0.021083651
08/1971,0.0370291025,0.0291237138,0.0224111617
09/1971,0.0365905364,0.0276232987,0.0213341319
10/1971,0.0366545446,0.0275814391,0.0212863116
11/1971,0.0383728192,0.0291046366,0.022030129
12/1971,0.0388780908,0.0294983654,0.0221976928
01/1972,0.0343672594,0.0268133302,0.019853663
02/1972,0.0343852563,0.0259363172,0.0201835483
03/1972,0.0338563834,0.0248313915,0.0190257711
04/1972,0.0332870425,0.0239732374,0.0186622567
05/1972,0.0343013599,0.0247301419,0.0186115648
06/1972,0.0341920498,0.0243413291,0.0187220633
07/1972,0.0310936195,0.0252894596,0.0226303874
08/1972,0.0318498172,0.0255039198,0.0230372337
09/1972,0.0303894522,0.0244287343,0.0228572511
10/1972,0.030282137,0.0247023558,0.0229270831
11/1972,0.0305925828,0.025042299,0.0241991233
12/1972,0.0291522221,0.0237446095,0.0230081201
01/1973,0.0287627188,0.023097973,0.0222077186
02/1973,0.028947407,0.0240123856,0.0235062793
03/1973,0.0298544978,0.0252215298,0.0249052271
04/1973,0.029818784,0.0258939059,0.0259093095
05/1973,0.0312175684,0.0267902858,0.0275170857
06/1973,0.0323420797,0.0272130254,0.0284256896
07/1973,0.033545569,0.0261278853,0.029217033
08/1973,0.0332828463,0.024464425,0.0274858547
09/1973,0.0348372687,0.0255820509,0.028736541
10/1973,0.0341333179,0.0238690032,0.0275323092
11/1973,0.0336699089,0.0245602511,0.029315156
12/1973,0.0374083357,0.0285356325,0.0348384013
01/1974,0.0359395917,0.0289029711,0.0355886861
02/1974,0.0373484765,0.0292552945,0.0346895547
03/1974,0.0381630262,0.0296157793,0.0348658937
04/1974,0.0397679329,0.0300965998,0.0356218686
05/1974,0.0426046294,0.0316780571,0.0367720381
06/1974,0.0455679457,0.0326488165,0.0371018016
07/1974,0.0442556856,0.0366316144,0.0385069139
08/1974,0.046874577,0.0403276206,0.043297679
09/1974,0.0515473719,0.0454003011,0.048940885
10/1974,0.0590412907,0.0539832007,0.0568492517
11/1974,0.0504050405,0.0453795314,0.0460509895
12/1974,0.0521677908,0.0487113724,0.0485835029
01/1975,0.0548761916,0.0513067274,0.0507924288
02/1975,0.0492882055,0.0459812414,0.042095357
03/1975,0.0467560489,0.0424633333,0.0403554798
04/1975,0.0469069723,0.0407574744,0.0374318877
05/1975,0.0451573912,0.0387353205,0.0353485581
06/1975,0.0430126396,0.0373173102,0.0338407568
07/1975,0.0382048866,0.0395465845,0.0316140231
08/1975,0.041473277,0.0423085088,0.0328830123
09/1975,0.0431460047,0.0431338878,0.0342245745
10/1975,0.045335886,0.0444160455,0.0355851345
11/1975,0.0428629279,0.0419008677,0.0326686979
12/1975,0.0420102281,0.041479338,0.0317958544
01/1976,0.0430514202,0.0416256151,0.0326207002
02/1976,0.0389048238,0.0367207136,0.0297466369
03/1976,0.0399392576,0.0372672705,0.0297698926
04/1976,0.0385150525,0.0361756829,0.0293737353
05/1976,0.0393539436,0.0370510348,0.0305402469
06/1976,0.0403719997,0.0370942719,0.0314144052
07/1976,0.0375989834,0.0361844957,0.0314006331
08/1976,0.0391885272,0.0366049262,0.0322322715
09/1976,0.0392865047,0.0371050403,0.0324438677
10/1976,0.0372954005,0.035427964,0.0323848756
11/1976,0.0392473019,0.0383383384,0.0377239136
12/1976,0.0396637726,0.0389951459,0.0375789608
01/1977,0.0379588711,0.0358977483,0.0358256664
02/1977,0.0408072091,0.0389346755,0.0389508704
03/1977,0.0417646999,0.0403690039,0.0402081766
04/1977,0.0420961997,0.040585098,0.0410373346
05/1977,0.043377452,0.0408383975,0.0430682684
06/1977,0.0466718631,0.0419837127,0.0444128763
07/1977,0.044092753,0.0394458651,0.042361397
08/1977,0.045568318,0.0418474239,0.043559612
09/1977,0.0472147684,0.0443072169,0.0438086698
10/1977,0.0477171575,0.0447231411,0.0436533817
11/1977,0.0509237041,0.0474408793,0.0464925568
12/1977,0.0494470208,0.0455393475,0.0450488487
01/1978,0.048911548,0.0462390723,0.045447099
02/1978,0.0523009465,0.0503097565,0.0496836766
03/1978,0.0549377437,0.0512147047,0.0501183033
04/1978,0.0542805262,0.0496255264,0.0488681839
05/1978,0.0515858246,0.0468327071,0.0449133696
06/1978,0.0497209767,0.0459678206,0.0443523395
07/1978,0.050248285,0.0469020109,0.0452846322
08/1978,0.0488570288,0.0445865044,0.0443293953
09/1978,0.0470770974,0.0430644779,0.0423979816
10/1978,0.050188031,0.0442265081,0.0434101507
11/1978,0.0535722989,0.0507324705,0.0495253587
12/1978,0.0526873154,0.0492914793,0.0494052981
01/1979,0.0520049887,0.0490211108,0.0489718219
02/1979,0.050151848,0.0476755944,0.0475147876
03/1979,0.052088201,0.0500083241,0.0503539793
04/1979,0.0506107396,0.0477420734,0.0481949703
05/1979,0.0515427046,0.0472787487,0.0490335591
06/1979,0.0530738753,0.04921449,0.0502804434
07/1979,0.0513043595,0.0476786756,0.0501987031
08/1979,0.0516824914,0.0470275692,0.0503676024
09/1979,0.0501147652,0.0443551458,0.0473144979
10/1979,0.0487111248,0.0439529821,0.0482217986
11/1979,0.0554884981,0.0491815145,0.0523874047
12/1979,0.0519495432,0.0468576683,0.0511608549
01/1980,0.0506328774,0.0454916263,0.0502188815
02/1980,0.0488777025,0.0438733664,0.0492124262
03/1980,0.0493182602,0.0434298101,0.0519295987
04/1980,0.0554442903,0.0504049627,0.0577397176
05/1980,0.054457413,0.0497320306,0.055086919
06/1980,0.0516319647,0.0473750852,0.0520325328
07/1980,0.0505005309,0.0463014617,0.0500637253
08/1980,0.0476404591,0.0442905901,0.0463526604
09/1980,0.0480164087,0.0439480123,0.0463877025
10/1980,0.0476157712,0.0434211132,0.0468535477
11/1980,0.0459319921,0.0413415306,0.0447777928
12/1980,0.041290851,0.0371862742,0.0411330807
01/1981,0.0432053935,0.0403107678,0.0431111641
02/1981,0.0462990173,0.0420807421,0.043523491
03/1981,0.0464959601,0.0409318188,0.0432412589
04/1981,0.0444593512,0.040848915,0.0407264878
05/1981,0.0480436882,0.0404816559,0.0419154057
06/1981,0.0488419476,0.0412954679,0.0422134798
07/1981,0.0501013333,0.0396299007,0.0484130436
08/1981,0.050763398,0.0400818525,0.0487731505
09/1981,0.0542867337,0.0430815258,0.0524155869
10/1981,0.0587035283,0.0459730403,0.0568655069
11/1981,0.0573183178,0.0455583462,0.0547418991
12/1981,0.0560521967,0.0427506809,0.0530548164
01/1982,0.0575945559,0.0431448847,0.0533213723
02/1982,0.0594445625,0.0454142996,0.0571857161
03/1982,0.0630680374,0.0498226229,0.0602569605
04/1982,0.0651749341,0.051252869,0.0613410148
05/1982,0.0620171754,0.0495303936,0.0607669916
06/1982,0.0649754662,0.0507847848,0.0616476585
07/1982,0.0671337807,0.050975624,0.0594638927
08/1982,0.0696843521,0.0536441384,0.0611264171
09/1982,0.0618208873,0.0488184051,0.0557190354
10/1982,0.0612577174,0.0473893532,0.0536972994
11/1982,0.0558185402,0.0436283263,0.0497421897
12/1982,0.054671436,0.0420704799,0.04747503
01/1983,0.052334783,0.0414162708,0.0474190001
02/1983,0.0504717067,0.0403490182,0.0461579665
03/1983,0.0499592682,0.0387091765,0.0447543071
04/1983,0.0490119553,0.0374997462,0.0416954485
