date,p1,p2,p3
07/1963,0.0288227417,0.0333248732,0.0361475805
08/1963,0.0288831231,0.0336911222,0.0363174725
09/1963,0.0274119969,0.032523429,0.0353726838
10/1963,0.027895123,0.0331632819,0.0361332816
11/1963,0.0272532439,0.033592693,0.036441031
12/1963,0.027890765,0.0340466778,0.0370357943
01/1964,0.0275591935,0.0325602684,0.0361783167
02/1964,0.0269132599,0.0323402864,0.0362774354
03/1964,0.0266596257,0.032233396,0.0366717769
04/1964,0.0261559033,0.0315341474,0.0356653791
05/1964,0.0270834187,0.0311583223,0.0356511525
06/1964,0.0269412563,0.031336973,0.0352016197
07/1964,0.0264984486,0.0311980879,0.0347484312
08/1964,0.026642,0.0306801408,0.0339993154
09/1964,0.0273338471,0.0315076386,0.0344423403
10/1964,0.0267504606,0.031329485,0.0341967231
11/1964,0.0268925242,0.0308538835,0.0332109195
12/1964,0.0292136765,0.0302693202,0.0333841837
01/1965,0.0286387613,0.0303424246,0.033257457
02/1965,0.0277700384,0.0300985029,0.0317749933
03/1965,0.0260387328,0.03075747,0.0320386921
04/1965,0.0271778962,0.0308139467,0.0326846548
05/1965,0.0251982013,0.0317362132,0.0324625283
06/1965,0.0256962895,0.0317480944,0.032964543
07/1965,0.0274652132,0.0325999325,0.0350484186
08/1965,0.0272562449,0.0329630676,0.0373788486
09/1965,0.0262812459,0.0324198931,0.0365279945
10/1965,0.0251037714,0.0315611671,0.0365367742
11/1965,0.0249862528,0.0312446073,0.0363908114
12/1965,0.0250935946,0.031320571,0.0368176971
01/1966,0.0245037146,0.0315581242,0.03681557
02/1966,0.0243818104,0.0313813484,0.036654038
03/1966,0.0243037925,0.0323948858,0.037856802
04/1966,0.0250014866,0.0332236432,0.0385912448
05/1966,0.0239081366,0.03358676,0.0387231985
06/1966,0.0259380588,0.0345827809,0.0407159384
07/1966,0.0259877851,0.0354045255,0.041690067
08/1966,0.0273787197,0.0361151098,0.0420701564
09/1966,0.0297041254,0.0388805322,0.0473713027
10/1966,0.0288462952,0.0402937826,0.0461822392
11/1966,0.0280932253,0.0382017961,0.0445375131
12/1966,0.0266339841,0.0391642209,0.0449726222
01/1967,0.0265478009,0.0392540451,0.0439703566
02/1967,0.0206203204,0.0387628706,0.0417221452
03/1967,0.0237191419,0.036918699,0.0414815841
04/1967,0.0235710758,0.0341265016,0.0400991052
05/1967,0.0182587692,0.0356668385,0.03968465
06/1967,0.0221482581,0.0356821125,0.0416710502
07/1967,0.0219140306,0.0354377299,0.0414182179
08/1967,0.0204817272,0.0328157927,0.0394700368
09/1967,0.02053432,0.0333622004,0.0401106531
10/1967,0.0198166566,0.0319984921,0.0401385205
11/1967,0.0199814222,0.0331559286,0.0420731885
12/1967,0.0195609711,0.0331522821,0.041429572
01/1968,0.0183169148,0.031758511,0.0403348984
02/1968,0.0205769984,0.0328818055,0.0410000097
03/1968,0.0210999602,0.0342048918,0.0458651667
04/1968,0.0203610326,0.0352085716,0.0429950411
05/1968,0.0193560054,0.0322361184,0.0412641671
06/1968,0.0184000393,0.0317229935,0.0399452785
07/1968,0.018683911,0.0312064202,0.0382100012
08/1968,0.0198062947,0.0323935487,0.0387674861
09/1968,0.0191662773,0.0316534445,0.038450364
10/1968,0.0191885216,0.0314917756,0.0379765746
11/1968,0.0191481227,0.0304761158,0.0374959963
12/1968,0.018293873,0.0289828271,0.0351510029
01/1969,0.0185790808,0.0298853988,0.0359858299
02/1969,0.0187658099,0.02979683,0.0361258982
03/1969,0.0160453839,0.0332036518,0.038183462
04/1969,0.01907172,0.0302493942,0.0376848762
05/1969,0.0143834126,0.0321176352,0.0385058565
06/1969,0.0150054625,0.0322472478,0.0387325819
07/1969,0.0162129927,0.0351329653,0.0417247709
08/1969,0.0177781511,0.0367866356,0.0439991226
09/1969,0.0162310366,0.0354218594,0.0438929022
10/1969,0.0162160551,0.0379616799,0.0451472677
11/1969,0.0160222081,0.035409526,0.0413331983
12/1969,0.0164679966,0.0369600098,0.0438983108
01/1970,0.0169447506,0.0363451299,0.0441433154
02/1970,0.0191397596,0.0395668817,0.046307293
03/1970,0.0182703176,0.0385063464,0.0439545689
04/1970,0.0196963028,0.0381831682,0.043624491
05/1970,0.0214543422,0.0402416278,0.0478045986
06/1970,0.0224242317,0.0428448228,0.0523405653
07/1970,0.024565894,0.0457743367,0.0543133066
08/1970,0.0239409979,0.0413254247,0.0515139211
09/1970,0.0220290242,0.0397810249,0.0496931819
10/1970,0.0210404552,0.0386467866,0.0472626017
11/1970,0.020496736,0.0385458956,0.049041085
12/1970,0.0199237425,0.0361066643,0.0464239009
01/1971,0.018406423,0.0336539605,0.0428236862
02/1971,0.0172269211,0.0326509688,0.041286634
03/1971,0.0168280198,0.0319735686,0.0413238003
04/1971,0.0148127328,0.0321423918,0.040331534
05/1971,0.0151799639,0.0298601556,0.0402895915
06/1971,0.0159233445,0.0306440767,0.0418524799
07/1971,0.0150882621,0.0301482921,0.0408636329
08/1971,0.017395267,0.0317534245,0.0420863616
09/1971,0.0166586977,0.0304760704,0.0421012123
10/1971,0.0157611012,0.0305246705,0.04241304
11/1971,0.0177339276,0.0321389368,0.0423251249
12/1971,0.0174587636,0.032633208,0.0432799716
01/1972,0.0151039103,0.0292292391,0.0392045561
02/1972,0.0143082074,0.0295234038,0.0389301163
03/1972,0.0136955695,0.0283338547,0.0396096934
04/1972,0.0135053889,0.0271437308,0.0392809887
05/1972,0.0134967955,0.0278641968,0.0400266303
06/1972,0.0132408555,0.0276621765,0.0401174132
07/1972,0.0135198245,0.0276360843,0.0407470126
08/1972,0.0142023863,0.0279814992,0.041364858
09/1972,0.0135328259,0.0267914106,0.0401235404
10/1972,0.0139354243,0.0265861123,0.0400915224
11/1972,0.0139939054,0.0274030948,0.040087591
12/1972,0.013903712,0.0260114447,0.0379570654
01/1973,0.0138254295,0.0255723818,0.0366952731
02/1973,0.0141735927,0.0261516099,0.0386879707
03/1973,0.0147577842,0.0274800783,0.0395837225
04/1973,0.0145963474,0.0278460858,0.0422380579
05/1973,0.0165686921,0.0288004974,0.0440069455
