date,p1,p2,p3
07/1963,0.0241527738,0.0353053734,0.0399885147
08/1963,0.0245702944,0.0353984269,0.0398767595
09/1963,0.023569171,0.0342186189,0.0376960219
10/1963,0.0239307658,0.035173922,0.0379685473
11/1963,0.0235243768,0.0354365191,0.0378858307
12/1963,0.0239767754,0.0360098017,0.0396968089
01/1964,0.0234438962,0.0342597892,0.0392878058
02/1964,0.0228445492,0.0341701289,0.0388266049
03/1964,0.022864677,0.0341041629,0.0383592349
04/1964,0.0225366813,0.0331149639,0.0375489082
05/1964,0.0233332794,0.032775157,0.037111155
06/1964,0.0232684543,0.0327692478,0.0370431476
07/1964,0.0232381966,0.0352707125,0.0330865324
08/1964,0.0230980658,0.0353330527,0.0321876807
09/1964,0.0238609389,0.0357309782,0.0331932937
10/1964,0.0237642695,0.0354372151,0.0320647076
11/1964,0.0239052471,0.0345798338,0.0319999821
12/1964,0.0238163065,0.0345254987,0.0324791311
01/1965,0.0235491828,0.0341849859,0.0322546014
02/1965,0.0225321843,0.0341911182,0.0317290929
03/1965,0.0225953033,0.0346983919,0.0319808796
04/1965,0.0229931489,0.0352080981,0.0325637168
05/1965,0.0225964525,0.0352361527,0.0319509442
06/1965,0.0227820093,0.0358205305,0.0320943144
07/1965,0.0264395407,0.0358318384,0.0352718356
08/1965,0.0264428929,0.0361713087,0.0355622859
09/1965,0.0258984621,0.035153909,0.0347470301
10/1965,0.0251045278,0.0342505759,0.033875488
11/1965,0.0249906339,0.0341520181,0.032869838
12/1965,0.024979296,0.0346230538,0.032292889
01/1966,0.0251606632,0.0342977663,0.0318188295
02/1966,0.0250972107,0.0343028945,0.0306168555
03/1966,0.0255594981,0.0353303947,0.030442281
04/1966,0.0260814202,0.0366477087,0.0308786084
05/1966,0.0256640036,0.0364932911,0.0309199512
06/1966,0.0271362564,0.0386256599,0.0332083132
07/1966,0.0230988141,0.0410928757,0.0376015476
08/1966,0.0238907659,0.0420570442,0.0388108894
09/1966,0.0259794916,0.0458538827,0.0426180819
10/1966,0.0260728535,0.0454951501,0.0429985574
11/1966,0.0255332747,0.0429093161,0.0423617375
12/1966,0.0245049523,0.0439477372,0.0429256496
01/1967,0.0245239769,0.0442097453,0.0414371404
02/1967,0.0233977088,0.0408566167,0.0385423756
03/1967,0.0228001067,0.0413572764,0.0385993109
04/1967,0.0222535858,0.0393866072,0.036373501
05/1967,0.0212055665,0.0377427898,0.0361510315
