date,p1,p2,p3
07/1963,0.0274016897,0.0296427606,0.041632453
08/1963,0.0266327702,0.0326120188,0.0395039141
09/1963,0.0280520954,0.0280711849,0.0388986132
10/1963,0.0292342824,0.0282138628,0.0387155667
11/1963,0.026306948,0.0321288388,0.0363055007
12/1963,0.0274897074,0.0311297694,0.0359230555
01/1964,0.023783817,0.0326857109,0.0395284851
02/1964,0.0255970349,0.0321468954,0.0370468916
03/1964,0.0238473725,0.0294584971,0.0371628852
04/1964,0.0283700286,0.0254581413,0.0357709062
05/1964,0.0265915714,0.0290717805,0.0332550187
06/1964,0.0245066158,0.0276915607,0.0378825071
07/1964,0.0224565301,0.0289561058,0.0357240275
08/1964,0.0226412511,0.0281773138,0.0365419331
09/1964,0.0233821759,0.0286804638,0.0372019124
10/1964,0.0249504753,0.0299970014,0.0346173215
11/1964,0.0273140273,0.0270836577,0.0347486102
12/1964,0.0240377813,0.0296987818,0.0358884757
01/1965,0.0222421439,0.0342654745,0.0351223075
02/1965,0.0258902638,0.0287215351,0.033811956
03/1965,0.0249623829,0.0253443025,0.0362437258
04/1965,0.0249713011,0.0262099893,0.0364346775
05/1965,0.0267669141,0.0282819561,0.0324580804
06/1965,0.0218767543,0.0279870386,0.0355742961
07/1965,0.0247721798,0.0272991391,0.0390424184
08/1965,0.023479632,0.0303544566,0.039256215
09/1965,0.0239969528,0.0275124745,0.0386009343
10/1965,0.0210581542,0.0275144404,0.0363099053
11/1965,0.0253280045,0.0297159502,0.0330930879
12/1965,0.0213807942,0.0285202055,0.0380706691
01/1966,0.0225762096,0.0300441369,0.0379333906
02/1966,0.0221186726,0.0305885703,0.0388341422
03/1966,0.0224934246,0.0310798533,0.038805714
04/1966,0.0230590511,0.0304566364,0.0398268879
05/1966,0.0230437691,0.0347413901,0.0337262918
06/1966,0.0239079243,0.0294288677,0.0419168963
07/1966,0.0213965705,0.0314021533,0.0445155741
08/1966,0.0280709156,0.0307343795,0.0436655778
09/1966,0.0287446651,0.0331417092,0.0494695819
10/1966,0.0293621826,0.0332791863,0.0448367126
11/1966,0.0257447046,0.0352149406,0.0467845434
12/1966,0.0264299216,0.0322498429,0.0473079465
01/1967,0.0255134378,0.035564087,0.0495819773
02/1967,0.0227528759,0.0319465749,0.0447482268
03/1967,0.0221220523,0.0314242091,0.0477149472
04/1967,0.0207338598,0.0313816838,0.0437862458
05/1967,0.0196005186,0.0299072151,0.0404588593
06/1967,0.0205984516,0.0325048723,0.0447577196
07/1967,0.0257519951,0.0300067806,0.0418002093
08/1967,0.0211259585,0.03211327,0.0395265166
09/1967,0.0185052466,0.0309079659,0.0416342855
10/1967,0.0174818818,0.0306609686,0.0392727608
11/1967,0.0229543114,0.0329649318,0.0405744513
12/1967,0.0174071357,0.0296190625,0.0431565859
01/1968,0.0207340176,0.0319816872,0.0427493728
02/1968,0.0204084192,0.0322193577,0.0450274937
03/1968,0.0197315332,0.0321395521,0.0466502763
04/1968,0.0232427376,0.0281971972,0.045848151
05/1968,0.0198029933,0.034266652,0.0415942256
06/1968,0.0174293069,0.0313150475,0.0418810172
07/1968,0.0189946432,0.0267389853,0.0423261186
08/1968,0.0193322551,0.0314516394,0.0415353762
09/1968,0.0175372078,0.030947862,0.0433378271
10/1968,0.0216861732,0.0275770695,0.0385221471
11/1968,0.0192300808,0.0311615619,0.0389149168
12/1968,0.0167969183,0.0269036674,0.0381584969
01/1969,0.0188505534,0.0259705461,0.0387030152
02/1969,0.0177802175,0.0294618898,0.0388438683
03/1969,0.0186932371,0.0324625098,0.0410013743
04/1969,0.0174030149,0.0282715573,0.0405267807
05/1969,0.0196159214,0.0252765629,0.0424013261
06/1969,0.0171903884,0.0286621314,0.0441657699
07/1969,0.0191251574,0.0302666151,0.0486601682
08/1969,0.019618115,0.0339464782,0.0517889736
09/1969,0.0191129638,0.0322383193,0.0474565068
10/1969,0.0190278468,0.0335048547,0.0507269891
11/1969,0.0184666544,0.0280660582,0.0473785175
12/1969,0.0182312845,0.0317735937,0.0512365693
01/1970,0.0239338384,0.0294735369,0.0489214482
02/1970,0.0220629811,0.0362869426,0.0534517904
03/1970,0.0205679481,0.033106818,0.0533499814
04/1970,0.0251144511,0.0299978889,0.0465317798
05/1970,0.0278285134,0.0283648167,0.0536448205
06/1970,0.0282496004,0.0294970971,0.0578405572
07/1970,0.0339699122,0.0347567712,0.0590492832
08/1970,0.0309959762,0.0346650038,0.0529708576
09/1970,0.0285108773,0.0298391623,0.0509000936
10/1970,0.0280610586,0.0305322647,0.0526824923
11/1970,0.0273265697,0.0352006888,0.0491718412
12/1970,0.0233192596,0.0340586662,0.0472881436
01/1971,0.0212436155,0.0321693395,0.0447844183
02/1971,0.0231786278,0.0281429181,0.0451495775
03/1971,0.0218401244,0.0261600314,0.0402606409
04/1971,0.0193835923,0.0264664253,0.0407621909
05/1971,0.016787911,0.0229335102,0.0405311261
06/1971,0.0211640317,0.0246093538,0.0423012698
07/1971,0.0187300779,0.0237333846,0.0420364603
08/1971,0.0189532844,0.0260343331,0.0421844177
09/1971,0.0187933887,0.0239280742,0.0434108073
10/1971,0.0177912947,0.0219183837,0.043776945
11/1971,0.0265921919,0.0319061696,0.0345169864
12/1971,0.020918682,0.0276278538,0.0457577465
01/1972,0.0198798598,0.0288971285,0.0406832425
02/1972,0.0194366309,0.0244011842,0.0391043085
03/1972,0.0184485666,0.0230666784,0.0388401186
04/1972,0.0171291826,0.021872523,0.0378607666
05/1972,0.0162770717,0.0233496972,0.0429399566
06/1972,0.0182672822,0.0238506507,0.041581613
07/1972,0.0158397861,0.0237986611,0.041233591
08/1972,0.0167548377,0.0215536958,0.0432478577
09/1972,0.0168154083,0.0217621285,0.0405310019
10/1972,0.018463517,0.0248476279,0.0320497418
11/1972,0.0177982807,0.0222091325,0.0385478599
12/1972,0.0164258186,0.0215331442,0.0402078695
01/1973,0.014427064,0.0204623394,0.042684888
02/1973,0.0160659927,0.0201074119,0.0399941951
