date,p1,p2,p3
07/1963,0.0338020591,0.033118973,0.0294971342
08/1963,0.0338952423,0.0333962722,0.0296533084
09/1963,0.0321828005,0.0320447622,0.0285028939
10/1963,0.0322410341,0.0328431665,0.0289736406
11/1963,0.0316414308,0.0324438633,0.029234706
12/1963,0.0329489587,0.0331076322,0.0300135103
01/1964,0.0336419389,0.0320002863,0.028659444
02/1964,0.0317495681,0.0314796009,0.0288335289
03/1964,0.0314407079,0.0315923661,0.0285273413
04/1964,0.0305005786,0.0304335993,0.0283025288
05/1964,0.0299391528,0.0309739271,0.0287126979
06/1964,0.0305778845,0.0309401384,0.0283773344
07/1964,0.0315664306,0.0298858352,0.0283521733
08/1964,0.0308051584,0.0296837119,0.0285257062
09/1964,0.0317776539,0.0301233824,0.0291704803
10/1964,0.0309843423,0.0292230295,0.0294378806
11/1964,0.0308263435,0.0296490314,0.0288187875
12/1964,0.0306021628,0.0292606117,0.0289771236
01/1965,0.030837701,0.028397969,0.0288927533
02/1965,0.0298032804,0.0278898851,0.0285423999
03/1965,0.0297179618,0.0281086119,0.0290331361
04/1965,0.0303639723,0.0282436193,0.0295931123
05/1965,0.0297373406,0.0281706912,0.0292029206
06/1965,0.029684481,0.0282996846,0.029901879
07/1965,0.0349496163,0.0308899616,0.0295637745
08/1965,0.0349437697,0.030914705,0.0298990188
09/1965,0.0338341027,0.0303047679,0.0292629252
10/1965,0.0332308191,0.0296827948,0.0282954424
11/1965,0.0324290679,0.0292677508,0.0283376318
12/1965,0.0320439617,0.0296296267,0.0284120172
01/1966,0.0317829348,0.0290378114,0.0289906205
02/1966,0.0306055194,0.0296717648,0.0286664884
03/1966,0.0308023373,0.0304587487,0.0292613506
04/1966,0.0315026918,0.0313716797,0.0299624128
05/1966,0.0318726561,0.0312026436,0.0295184021
06/1966,0.0339658945,0.0329833355,0.0311017262
07/1966,0.0357655231,0.0391461388,0.0233847552
08/1966,0.0369577548,0.0403360538,0.0240214557
09/1966,0.0403366572,0.0439025178,0.0262241553
10/1966,0.04116576,0.0432058026,0.0262432685
11/1966,0.0408319334,0.0398375122,0.0263202254
12/1966,0.0405514548,0.0407412272,0.0254294853
01/1967,0.0405809784,0.0412972655,0.0247513382
02/1967,0.0370453434,0.0390439249,0.0237171691
03/1967,0.0365134735,0.0396851941,0.0230428185
04/1967,0.0351186761,0.0381614997,0.0223108347
05/1967,0.0342712193,0.0367514647,0.0212098514
06/1967,0.0355797991,0.0389547333,0.0225540882
07/1967,0.0384815433,0.0355752006,0.0237018559
08/1967,0.0360583133,0.0328478596,0.0229538839
09/1967,0.0362384579,0.033442251,0.0233208262
10/1967,0.0350363716,0.032832611,0.0222206889
11/1967,0.0361610745,0.0346328729,0.0223493354
12/1967,0.0369035296,0.0341714464,0.022279533
01/1968,0.0355717561,0.0335772834,0.0208521122
02/1968,0.037111144,0.0353303843,0.0225589811
03/1968,0.0382027196,0.0358025425,0.0264337185
04/1968,0.0384989672,0.0372875176,0.0229969555
05/1968,0.0354351077,0.034701086,0.0221750652
06/1968,0.0354300515,0.0338759482,0.0214672193
07/1968,0.037993845,0.02625692,0.0220364199
08/1968,0.0388804067,0.0271115373,0.023855627
09/1968,0.0385400975,0.0269487827,0.0232726549
10/1968,0.0380000894,0.0272030501,0.0226860757
11/1968,0.036948961,0.0267995932,0.0223433703
12/1968,0.0359961843,0.0252911714,0.0209397576
01/1969,0.0366436895,0.0265858166,0.0209808552
