date,p1,p2,p3
07/1963,0.0234522863,0.0363055591,0.0444908931
08/1963,0.0237297935,0.0365423075,0.0443316062
09/1963,0.0229031876,0.0350291561,0.0420027507
10/1963,0.0233500921,0.0359346463,0.0418722085
11/1963,0.0231735105,0.0359145606,0.0413438018
12/1963,0.0236471683,0.0365192446,0.0436962132
01/1964,0.0226270602,0.0353049396,0.043662501
02/1964,0.0222593106,0.0350202693,0.0432043527
03/1964,0.0224413561,0.0346994887,0.0425418501
04/1964,0.022043136,0.0338535357,0.0413333458
05/1964,0.0223438034,0.0339309704,0.0413062517
06/1964,0.0225213508,0.0335874095,0.0411597859
07/1964,0.0206360214,0.0321426376,0.0444718298
08/1964,0.020620425,0.0319800969,0.043621237
09/1964,0.0213759363,0.0327655853,0.0437604435
10/1964,0.0219135737,0.0317713066,0.0425926084
11/1964,0.0213992081,0.0317344339,0.0428089038
12/1964,0.0213197671,0.0315029225,0.0436631405
01/1965,0.0209080041,0.0314372927,0.0434500698
02/1965,0.0204209684,0.0310203592,0.0423706685
03/1965,0.0205103627,0.0315977586,0.0425468574
04/1965,0.0207888176,0.0323778314,0.0426919327
05/1965,0.0205542244,0.0322110089,0.0420470754
06/1965,0.0207889033,0.0322661227,0.0432540787
07/1965,0.0212942061,0.0338146249,0.045946525
08/1965,0.0215110175,0.0339397005,0.0462853545
09/1965,0.0207844843,0.0336949241,0.0451867203
10/1965,0.0200945584,0.033054648,0.0439600489
11/1965,0.0202385822,0.0327068667,0.0430713181
12/1965,0.0201390078,0.032716534,0.0445557172
01/1966,0.0203184692,0.0329281605,0.0441209377
02/1966,0.0199109981,0.033136531,0.0439872035
03/1966,0.0201319567,0.0341715043,0.0452291329
04/1966,0.0205114035,0.035392962,0.0467807429
05/1966,0.0201469196,0.0355234738,0.047247304
06/1966,0.0213761739,0.0372948726,0.0503267813
07/1966,0.0184616172,0.0353163598,0.0514468214
08/1966,0.0194859451,0.0360216282,0.0522992415
09/1966,0.0213911099,0.0390107546,0.056900054
10/1966,0.0214817117,0.0385284379,0.0568371536
11/1966,0.0218379538,0.0365383868,0.0530226383
12/1966,0.0205387761,0.0369353326,0.056129342
01/1967,0.0205590626,0.0370982695,0.0556765513
02/1967,0.0193471458,0.0354119832,0.0512814223
03/1967,0.0186582728,0.0357331022,0.0523782768
04/1967,0.0181261303,0.0342504337,0.0501780269
05/1967,0.0170355714,0.0343811005,0.0474682907
06/1967,0.0181681089,0.0359872209,0.0501067861
07/1967,0.0172815551,0.0379483377,0.0508474788
