date,p1,p2,p3
07/1963,0.0291715836,0.0357287561,0.0401752307
08/1963,0.0294849498,0.035716152,0.0401187264
09/1963,0.0283366734,0.0337418403,0.0380215426
10/1963,0.0288166003,0.034266361,0.0383019448
11/1963,0.0286992158,0.0338731352,0.0383488414
12/1963,0.02956635,0.0345135885,0.0390296523
01/1964,0.0283814861,0.0341234357,0.0394381145
02/1964,0.0280584273,0.0335190675,0.0374240384
03/1964,0.0280971371,0.0327296019,0.036661134
04/1964,0.0275906904,0.0316942648,0.0345657119
05/1964,0.0278738165,0.0316565766,0.0351734963
06/1964,0.0279087299,0.0312531583,0.0347965666
07/1964,0.0279002458,0.0315411594,0.0361934647
08/1964,0.0277921624,0.0316901864,0.0356414074
09/1964,0.0286446571,0.0323107776,0.035980692
10/1964,0.0286921656,0.0312031357,0.0348499691
11/1964,0.0281784971,0.0315864787,0.0345823668
12/1964,0.0280612791,0.0313775475,0.0350718154
01/1965,0.0275561402,0.0312606605,0.036156346
02/1965,0.0271033347,0.0309233992,0.0349185083
03/1965,0.0273610312,0.0309798344,0.034831879
04/1965,0.0277515488,0.0314847322,0.0359401038
05/1965,0.0275664153,0.0311047256,0.0345593288
06/1965,0.0278905283,0.0311702887,0.0351194519
07/1965,0.02850142,0.0337959279,0.0389467233
08/1965,0.0286800714,0.0341256665,0.0389359753
09/1965,0.0279807307,0.0329807135,0.0382997392
10/1965,0.0268583352,0.0325269894,0.0370709858
11/1965,0.0267951649,0.032209036,0.0355173558
12/1965,0.0270357922,0.0317139118,0.0353037871
01/1966,0.0270166221,0.031620103,0.0345665716
02/1966,0.0269162156,0.0311005893,0.0326874893
03/1966,0.0274595651,0.0315035831,0.0331300006
04/1966,0.0282811948,0.0320952417,0.0341196395
05/1966,0.0277389904,0.0322908284,0.0342504429
06/1966,0.0293662274,0.0344069813,0.0367785165
07/1966,0.0267046582,0.0375658095,0.0410360435
08/1966,0.0275874952,0.0387397732,0.0420191096
09/1966,0.0300411534,0.041774743,0.0460583078
10/1966,0.0302656303,0.0416887872,0.0461214
11/1966,0.0289912014,0.0402562616,0.0454779405
12/1966,0.0280041848,0.0411113489,0.0466438122
01/1967,0.0281276979,0.04122996,0.0463226731
02/1967,0.0262814186,0.038776958,0.0420450976
03/1967,0.025654606,0.0389908667,0.0422661225
04/1967,0.0249356138,0.0370814953,0.0392488505
05/1967,0.0230305562,0.0368307562,0.0394561595
06/1967,0.0244558266,0.0383618723,0.0412455747
07/1967,0.0213672373,0.0387217656,0.0443386622
08/1967,0.0200071601,0.0363582034,0.0405574395
09/1967,0.0203544112,0.0368894224,0.0405868522
10/1967,0.0190861328,0.0361012631,0.0398019856
11/1967,0.0196415835,0.0373202092,0.0414962727
12/1967,0.0195958969,0.0373945035,0.042528192
01/1968,0.018770374,0.0357969828,0.0399118328
02/1968,0.0207987048,0.0373089916,0.0408051178
03/1968,0.0212701067,0.0385120577,0.0424915048
04/1968,0.0205922868,0.0398203116,0.043655521
05/1968,0.0197249812,0.036931532,0.0394785919
06/1968,0.0191007531,0.0366694765,0.0380722158
07/1968,0.0164500454,0.0341218994,0.0405251345
08/1968,0.0175954654,0.0357221346,0.0400434468
09/1968,0.0174679823,0.0352394173,0.0390861405
10/1968,0.0175128723,0.0347328913,0.0386189117
11/1968,0.0178025199,0.033606282,0.0363810845
12/1968,0.0166695607,0.032633331,0.0346591929
01/1969,0.0170925255,0.0334549276,0.035632374
02/1969,0.0178642662,0.0333412694,0.0355794248
03/1969,0.0188057334,0.0353173057,0.0382795355
04/1969,0.0180909261,0.0339950621,0.0365697678
05/1969,0.0171043537,0.0359596551,0.0367118922
06/1969,0.0176059141,0.0361750983,0.0365966527
07/1969,0.017533387,0.0379153721,0.041676677
08/1969,0.0181057676,0.0413176538,0.0450945382
09/1969,0.0172301553,0.0403300234,0.0434957071
10/1969,0.0172119281,0.0419757741,0.0463548876
11/1969,0.0168286015,0.0395433403,0.044468623
12/1969,0.0172335716,0.0415803287,0.047444508
01/1970,0.0169600507,0.042380933,0.0486275239
02/1970,0.0184727456,0.0466608849,0.0529405491
03/1970,0.0182931364,0.0435761991,0.0503003199
04/1970,0.0194685243,0.0425747177,0.0501904254
05/1970,0.0212825781,0.0445512705,0.0540453837
06/1970,0.0234166325,0.0481415761,0.0558585287
07/1970,0.0245177953,0.0527247215,0.0623569626
08/1970,0.0232120756,0.0473828623,0.0579117299
09/1970,0.0224392007,0.0450410356,0.0537108634
10/1970,0.021819004,0.0441900491,0.049913585
11/1970,0.0214248374,0.0437237052,0.0536556606
12/1970,0.0205589667,0.0419670493,0.0501185091
01/1971,0.0191702691,0.0392832016,0.0464001032
02/1971,0.0184883313,0.0379129765,0.0441902558
03/1971,0.01812765,0.0371598394,0.0431508646
04/1971,0.0169012165,0.0373091868,0.0432706852
05/1971,0.0168449559,0.0344196992,0.0408125817
06/1971,0.017338233,0.0360042132,0.0423789495
07/1971,0.0199195635,0.0370066759,0.0396613215
08/1971,0.0216454578,0.0391797137,0.0413835717
09/1971,0.0206678503,0.0387413828,0.0385577478
10/1971,0.020091709,0.0392654417,0.0393128615
11/1971,0.0214574948,0.0414602478,0.0409940084
12/1971,0.0216077133,0.041894593,0.0418957922
01/1972,0.0195207927,0.0365507974,0.0382601051
02/1972,0.0191882354,0.0376081308,0.0362141879
03/1972,0.0181833372,0.0368576589,0.0351765417
04/1972,0.0177136568,0.0360590668,0.0347050491
05/1972,0.0177828838,0.037977931,0.035521233
06/1972,0.0175588522,0.0376537148,0.0363725734
07/1972,0.0144964379,0.0378551991,0.0447155713
08/1972,0.0145969049,0.0398173316,0.0448231097
09/1972,0.0143834902,0.0374972277,0.0411184558
10/1972,0.0144282443,0.0374907025,0.0418786382
11/1972,0.0148505039,0.0390072678,0.0419207201
12/1972,0.0142390664,0.036791696,0.0379883634
01/1973,0.0135688865,0.0373476256,0.0374462311
02/1973,0.0141029178,0.0370690702,0.0395338467
03/1973,0.0146196624,0.0393986034,0.0415740222
04/1973,0.0149635938,0.0397530499,0.0420055953
05/1973,0.0159635791,0.0407560468,0.0428260549
06/1973,0.0163141349,0.0422023727,0.0450384722
07/1973,0.0159733281,0.0438806325,0.0511817091
08/1973,0.0153235196,0.0422634762,0.0483587116
09/1973,0.0160776657,0.044434853,0.0497359969
10/1973,0.0158050656,0.0416285348,0.0451992006
11/1973,0.0163239204,0.0427187466,0.0461649595
12/1973,0.018485523,0.0492921013,0.0532813625
01/1974,0.0189245315,0.0471258632,0.0487005431
02/1974,0.0194440501,0.0481730789,0.0483164534
03/1974,0.019868427,0.0486075672,0.0479856926
04/1974,0.0202023868,0.0506358343,0.0492224161
05/1974,0.0213529612,0.0530150827,0.051795983
06/1974,0.02191654,0.0558729048,0.0560672594
07/1974,0.0261294441,0.0623666455,0.0596563231
08/1974,0.0291396814,0.066534029,0.0625147705
09/1974,0.0327658875,0.0729331087,0.0685301025
10/1974,0.0389525642,0.0838505327,0.0766071417
11/1974,0.0321015739,0.0719231975,0.0702669602
12/1974,0.0340232228,0.0758792631,0.0747831033
01/1975,0.0359131393,0.0798370255,0.0789268528
02/1975,0.0330516544,0.0654622261,0.0660697368
03/1975,0.0304083623,0.0642829939,0.0641568623
04/1975,0.029774429,0.0614894194,0.0593039368
05/1975,0.0280167969,0.0595695449,0.0565376921
06/1975,0.0270076829,0.0564076152,0.0559016048
07/1975,0.0233819208,0.0445250294,0.0549840143
08/1975,0.0254714543,0.0471627645,0.0565077765
09/1975,0.0262691232,0.0488466307,0.0581416087
10/1975,0.0276784696,0.0507533559,0.0586605116
11/1975,0.0260615194,0.0474217934,0.0556892093
12/1975,0.0254301578,0.0469502458,0.0546193582
01/1976,0.0258989781,0.0493787807,0.0537515958
02/1976,0.0233781874,0.0435673651,0.0473318732
03/1976,0.0243170055,0.0426662611,0.0463801226
04/1976,0.0238559247,0.0422601425,0.0435674979
05/1976,0.0244123504,0.0427117324,0.0460562884
06/1976,0.0248125708,0.0422078838,0.0471414109
07/1976,0.0243161407,0.0427612323,0.0475395962
08/1976,0.0247483804,0.0446922488,0.0482732419
