date,p1,p2,p3
07/1963,0.0239309513,0.0347335168,0.0413133577
08/1963,0.0244606819,0.0348356182,0.040929354
09/1963,0.0233403889,0.0338618263,0.0388575931
10/1963,0.023703176,0.0346000166,0.0395478789
11/1963,0.023303179,0.0349984057,0.0393160863
12/1963,0.02372681,0.035571829,0.0411566781
01/1964,0.0231367876,0.0338531443,0.0406459093
02/1964,0.0225937185,0.0338105626,0.0401602957
03/1964,0.0226277721,0.0338723104,0.0394767335
04/1964,0.0223110413,0.0328373241,0.0386538045
05/1964,0.0230378019,0.0325554644,0.0381446074
06/1964,0.0230259197,0.0328201918,0.037646832
07/1964,0.0228076824,0.0322794895,0.039155169
08/1964,0.0226218444,0.0325562496,0.0381148776
09/1964,0.0232922689,0.033485785,0.0382489194
10/1964,0.0230446883,0.033475813,0.0371510675
11/1964,0.0232731178,0.0323199448,0.0373435218
12/1964,0.0232938311,0.031842725,0.0382687037
01/1965,0.0229329901,0.0317413744,0.0378808315
02/1965,0.0220727919,0.0316613178,0.0371973031
03/1965,0.0221250059,0.0321800945,0.0374054065
04/1965,0.0224061321,0.0329978198,0.0377395688
05/1965,0.0220705286,0.0329728611,0.0370488308
06/1965,0.0222011299,0.0330680328,0.0382298812
07/1965,0.0255612145,0.0381377308,0.035278127
08/1965,0.0257007525,0.0380857629,0.0358733761
09/1965,0.0250970077,0.0372483791,0.0347793423
10/1965,0.0243818845,0.0362585363,0.0338679049
11/1965,0.024291391,0.0360923515,0.0329698548
12/1965,0.0243509379,0.036401272,0.0324748993
01/1966,0.0245775557,0.0361484798,0.031671879
02/1966,0.0244670192,0.0362649419,0.0304295723
03/1966,0.0248861252,0.037243844,0.0306691883
04/1966,0.025403577,0.0382880306,0.0317858906
05/1966,0.0251336337,0.0381670033,0.031455868
06/1966,0.0263839569,0.0406959752,0.033878509
07/1966,0.0221221241,0.0383818817,0.0448548525
08/1966,0.0228751292,0.0392692239,0.0463165947
09/1966,0.024931821,0.0426596565,0.0510454292
10/1966,0.0250220051,0.0422820683,0.0512686571
11/1966,0.0247344123,0.0404172622,0.0482400948
12/1966,0.0237338093,0.0410295703,0.0496061803
01/1967,0.0236509594,0.0410051302,0.0492188001
02/1967,0.0224840578,0.0387889281,0.0439433943
03/1967,0.0219966002,0.0389088939,0.044494341
04/1967,0.0214162746,0.0370904691,0.0423083904
05/1967,0.0202755722,0.0371838832,0.0391434511
06/1967,0.0216836009,0.0387601482,0.041271353
07/1967,0.0224875083,0.0394384145,0.0419506366
