date,p1,p2,p3
07/1963,0.0293234264,,0.0321272327
08/1963,0.0216665969,,0.0323976317
09/1963,0.0321682441,,0.0310478919
10/1963,0.0229173754,,0.0316736548
11/1963,0.0233391843,,0.0315755712
12/1963,0.0239671274,,0.032254084
01/1964,0.0214803051,,0.0313780785
02/1964,0.0256136807,,0.0310035715
03/1964,0.0244091278,,0.030883948
04/1964,0.0251179483,,0.0302025199
05/1964,0.0248753301,,0.0304295875
06/1964,0.0204647081,,0.0304183946
07/1964,0.0213715835,,0.0301265948
08/1964,0.0205164168,,0.0299255242
09/1964,0.0230813784,,0.0306282759
10/1964,0.0222098931,,0.0302511057
11/1964,0.0247098071,,0.030041241
12/1964,0.0212242383,,0.0306686421
01/1965,0.0244729776,,0.0304228132
02/1965,0.019024498,,0.0297444603
03/1965,0.0186479647,,0.0293265289
04/1965,0.0228846347,,0.0297075444
05/1965,0.023200328,,0.0294159278
06/1965,0.0221244012,,0.0297464574
07/1965,0.0245528094,,0.0313363528
08/1965,0.0226016778,,0.0315075816
09/1965,0.0282256918,,0.0306959569
10/1965,0.0304310383,,0.0298268138
11/1965,0.0287889393,,0.029592632
12/1965,0.0309784039,,0.0297027572
01/1966,0.0290228424,,0.0295678348
02/1966,0.0294266636,,0.0293812215
03/1966,0.0336241651,,0.0299080645
04/1966,0.0328206885,,0.0307042964
05/1966,0.025497305,,0.0303822336
06/1966,0.0384548251,,0.0320857281
07/1966,0.0377227737,,0.0326024604
08/1966,0.0404486484,,0.0335978695
09/1966,0.0295636747,,0.036785274
10/1966,0.0383243281,,0.036818181
11/1966,0.0301116341,,0.0354984765
12/1966,0.0324941447,,0.0352074196
01/1967,0.019955678,,0.0350613382
02/1967,0.0168035679,,0.0327463394
03/1967,0.0171572617,,0.032415537
04/1967,0.0162262089,,0.0311030467
05/1967,0.0160260387,,0.0300181874
06/1967,0.0190592052,,0.0316439603
07/1967,0.0102089973,,0.0313731387
08/1967,0.0101652117,,0.0293979849
09/1967,0.0087903541,,0.0298120259
10/1967,0.0095075961,,0.0289239836
11/1967,0.0139526351,,0.0297888007
12/1967,0.0100221314,,0.0296692523
01/1968,0.0194218543,,0.0283134461
02/1968,0.0083033527,,0.0300342436
03/1968,0.009374312,,0.0319875345
04/1968,0.0097133318,,0.0313364355
05/1968,0.0079817688,,0.0291587956
06/1968,0.0089112154,,0.0282263443
07/1968,0.0117160309,,0.0279884507
08/1968,0.0142428542,,0.0292425377
09/1968,0.0121462441,,0.0287826459
10/1968,0.0113329801,,0.0285444236
11/1968,0.010847977,,0.0281358732
12/1968,0.0140698582,,0.0266926309
01/1969,0.0134296255,,0.0273444314
02/1969,0.0139503007,,0.0276208226
03/1969,0.0156479726,,0.029306599
04/1969,0.0154944912,,0.0283166758
05/1969,0.0144678734,,0.0283280467
06/1969,0.0127654342,,0.0286304056
07/1969,0.0179597557,,0.0310108805
08/1969,0.0183569916,,0.0331812416
09/1969,0.0176053881,,0.0319786911
10/1969,0.0147577565,,0.0330286603
11/1969,0.0160815397,,0.0311997111
12/1969,0.0149239913,,0.0325899101
01/1970,0.0140327952,,0.0325945725
02/1970,0.0250195606,,0.0353190334
03/1970,0.0252037083,,0.033861289
04/1970,0.0212575378,,0.0341546928
05/1970,0.019292532,,0.0370873104
06/1970,0.0284112776,,0.0401069075
07/1970,0.0252188418,,0.0429331136
08/1970,0.0145778538,,0.0397658343
09/1970,0.0104973136,,0.0377608401
10/1970,0.0090064784,,0.0361505582
11/1970,0.0168784159,,0.0367488933
12/1970,0.0096610524,,0.0349429044
01/1971,0.0138791853,,0.0323914623
02/1971,0.0134375927,,0.0311257866
03/1971,0.0064490522,,0.0306902543
04/1971,0.0078955248,,0.0299357429
05/1971,0.0107440472,,0.028769924
06/1971,0.0141087733,,0.0298490739
07/1971,0.008420107,,0.0291596149
08/1971,0.0114538004,,0.030961719
09/1971,0.0095224594,,0.0299468044
10/1971,0.0097357847,,0.0299110142
11/1971,0.0172038904,,0.0312375122
12/1971,0.0111638439,,0.031613311
01/1972,0.008705469,,0.0282899271
02/1972,0.0067124576,,0.0280552964
03/1972,0.0085205501,,0.027182741
04/1972,0.0108715118,,0.0264667941
05/1972,0.0082498092,,0.0269697721
06/1972,0.0118681868,,0.026706768
07/1972,0.0083140206,,0.0270784694
08/1972,0.0069987665,,0.0274249537
09/1972,0.0083335767,,0.0263822785
10/1972,0.0080718916,,0.0264555516
11/1972,0.0130397635,,0.026958312
12/1972,0.0122110551,,0.0257105615
01/1973,0.0061270685,,0.0251541622
02/1973,0.0062997638,,0.0260330351
03/1973,0.0103368698,,0.0271845243
04/1973,0.0131130277,,0.0276597052
05/1973,0.0111228163,,0.0291432705
06/1973,0.0219899978,,0.0299383665
07/1973,0.0309301613,,0.0305765052
08/1973,0.0112756486,,0.0293269347
09/1973,0.0120133495,,0.0305648972
10/1973,0.0115837546,,0.0293648389
11/1973,0.0174136828,,0.029578643
12/1973,0.0217099142,,0.0338482962
01/1974,0.0219465948,,0.0333985183
02/1974,0.0208891856,,0.0337892848
03/1974,0.0286585391,,0.0342944634
04/1974,0.0309572719,,0.035386206
05/1974,0.0437814043,,0.0375490071
06/1974,0.0453211855,,0.0394594797
07/1974,0.0453172815,,0.0406216878
08/1974,0.0501452447,,0.0441864264
09/1974,0.0434068874,,0.0495582269
10/1974,0.044211518,,0.0572418874
11/1974,0.0509109842,,0.0480062198
12/1974,0.0537559866,,0.050481384
01/1975,0.0515451229,,0.0530551952
02/1975,0.0447954541,,0.0465875806
03/1975,0.0363012217,,0.0442814119
