date,p1,p2,p3
07/1963,0.0328074882,,0.0299877328
08/1963,0.0330795055,,0.0302231428
09/1963,0.0316825,,0.0290703423
10/1963,0.0323435942,,0.0295654702
11/1963,0.0322043337,,0.0296323565
12/1963,0.0327708034,,0.0306606042
01/1964,0.0321010667,,0.0291826387
02/1964,0.0314132071,,0.0297247833
03/1964,0.0313169005,,0.0295102118
04/1964,0.0306262265,,0.028878169
05/1964,0.0306813047,,0.0296121514
06/1964,0.030764894,,0.029283156
07/1964,0.0300249457,,0.0305897855
08/1964,0.0299426402,,0.0295977408
09/1964,0.0305797672,,0.030761753
10/1964,0.030225383,,0.0302615779
11/1964,0.029970333,,0.0302192617
12/1964,0.0307380995,,0.0299024201
01/1965,0.0305044654,,0.0298041887
02/1965,0.0296666278,,0.0299404928
03/1965,0.0289776551,,0.0307231991
04/1965,0.0293259135,,0.0319343009
05/1965,0.0290792654,,0.0314110393
06/1965,0.029388416,,0.0318461914
07/1965,0.0329356582,,0.0235328372
08/1965,0.0330799269,,0.0238167825
09/1965,0.0323692592,,0.0228141986
10/1965,0.0314465567,,0.0223918484
11/1965,0.0312735878,,0.0219100845
12/1965,0.0314896195,,0.0216929523
01/1966,0.0312803155,,0.0218113585
02/1966,0.031106137,,0.0216132812
03/1966,0.0317891754,,0.0216817452
04/1966,0.032755699,,0.0218299232
05/1966,0.032412494,,0.0215264091
06/1966,0.0342705415,,0.0228661517
07/1966,0.0335944655,,0.025914946
08/1966,0.03469384,,0.0263834389
09/1966,0.0378387466,,0.0293694017
10/1966,0.0378240741,,0.0298565019
11/1966,0.0363119129,,0.0296850447
12/1966,0.0361408681,,0.0287637856
01/1967,0.0361192409,,0.0276038047
02/1967,0.0335525409,,0.0269855319
03/1967,0.0332986002,,0.0261675406
04/1967,0.0319036219,,0.0251058287
05/1967,0.0307524583,,0.0247014618
06/1967,0.0323731782,,0.0262432655
07/1967,0.0319060415,,0.0262593336
08/1967,0.0298887644,,0.0248854683
09/1967,0.0303181446,,0.0251568586
10/1967,0.0294156053,,0.0244380199
11/1967,0.0303896489,,0.0247104318
12/1967,0.0302212768,,0.0248904847
01/1968,0.0288097736,,0.0240392992
02/1968,0.0305413914,,0.0254626331
03/1968,0.0325711302,,0.0267197995
04/1968,0.0318586299,,0.0264924633
05/1968,0.0296145427,,0.024705249
06/1968,0.0286784076,,0.0238833821
07/1968,0.0276886916,,0.0322353338
08/1968,0.0289227323,,0.0334954467
09/1968,0.0284591787,,0.0332318867
10/1968,0.028206397,,0.0330070226
11/1968,0.0278064896,,0.0324961839
12/1968,0.0264008337,,0.0303317985
01/1969,0.0270287139,,0.030523473
02/1969,0.0273134913,,0.0305775808
03/1969,0.029018604,,0.0321941037
04/1969,0.0280247041,,0.0315954344
05/1969,0.0280240913,,0.0313074709
06/1969,0.0283026151,,0.0315190562
07/1969,0.0308642114,,0.0308808492
08/1969,0.0333247597,,0.0316568425
09/1969,0.0322150102,,0.0302211164
10/1969,0.0335745082,,0.0298712142
11/1969,0.0314762256,,0.0290928976
12/1969,0.0329785202,,0.0300094204
01/1970,0.033035468,,0.0299164716
02/1970,0.0357368413,,0.0331566477
03/1970,0.034290119,,0.0315142379
04/1970,0.0343974911,,0.0327367788
05/1970,0.0382971149,,0.0313951098
06/1970,0.041490861,,0.0337338292
07/1970,0.0430524428,,0.0381718495
08/1970,0.0397834302,,0.0370085244
