date,p1,p2,p3
07/1963,0.0233918129,,
08/1963,0.0238095238,,
09/1963,0.0207253886,,
10/1963,0.0208333333,,
11/1963,0.0197044335,,
12/1963,0.0195121951,,
01/1964,0.0212765957,,
02/1964,0.019642857,,
03/1964,0.0207547169,,
04/1964,0.0198198197,,
05/1964,0.0210065643,,
06/1964,0.0200417535,,
07/1964,0.0306885662,0.0296193634,0.0267617579
08/1964,0.0311466883,0.02984296,0.0258068298
09/1964,0.0314350042,0.031316823,0.0262496223
10/1964,0.0295372377,0.0298550083,0.0246592626
11/1964,0.0297613541,0.0298121326,0.0251765759
12/1964,0.0301796968,0.0316523578,0.0239154388
01/1965,0.0311075048,0.0319848859,0.023648307
02/1965,0.0305531129,0.030524438,0.022296916
03/1965,0.0296393493,0.0313048746,0.0222553529
04/1965,0.0299701563,0.0314702906,0.022265938
05/1965,0.029199091,0.0301423287,0.0214124586
06/1965,0.0297507074,0.0323947417,0.0216036462
07/1965,0.0471051482,0.0290394668,0.0333590641
08/1965,0.0471461193,0.0283207232,0.033558071
09/1965,0.0460981013,0.0278277978,0.0318263852
10/1965,0.0438518068,0.0262037799,0.0304164947
11/1965,0.0430275941,0.0263177715,0.0325186742
12/1965,0.0457677791,0.0274020706,0.0326600006
01/1966,0.045653909,0.0266067247,0.0325306092
02/1966,0.0457968906,0.0268094985,0.0317801076
03/1966,0.0460646936,0.0283337525,0.0333813097
04/1966,0.047908264,0.0289888518,0.0340287238
05/1966,0.04763752,0.0290008395,0.0344292104
06/1966,0.0519100015,0.0311021522,0.0359941131
07/1966,0.0167548773,0.0471468861,0.027189136
08/1966,0.0174397302,0.0490729198,0.0290741066
09/1966,0.018765589,0.0546311971,0.0323867343
10/1966,0.0170236972,0.0541308358,0.0327191921
11/1966,0.0187787187,0.0478865141,0.0336148125
12/1966,0.0169635536,0.0495154042,0.0313291867
01/1967,0.0170223254,0.0509659996,0.0272371446
02/1967,0.0160573924,0.0469514599,0.0269040277
03/1967,0.0151725655,0.048210065,0.0270073748
04/1967,0.0162137197,0.0465552939,0.0246498471
05/1967,0.0134954596,0.0392823641,0.0250119472
06/1967,0.0143720453,0.0428263301,0.0254054328
07/1967,0.0255202175,0.0402331137,0.0295941999
08/1967,0.0236642028,0.0379823037,0.0270354854
09/1967,0.0240571843,0.0388543321,0.0271247316
10/1967,0.0226578336,0.0382869559,0.0250723182
11/1967,0.0217826207,0.0403171108,0.0270027347
12/1967,0.0217217951,0.0407778335,0.026989637
01/1968,0.0214798584,0.037837014,0.0247574525
02/1968,0.0239253541,0.0396516705,0.0263824155
03/1968,0.0235511368,0.0418858576,0.028238911
04/1968,0.0221354693,0.042755695,0.0282849695
05/1968,0.0236371782,0.0395519737,0.0260975867
06/1968,0.0223959002,0.0380526915,0.0251435198
07/1968,0.027175838,0.0251521868,0.0187038207
08/1968,0.0306161672,0.0263258523,0.0199248203
09/1968,0.0300067704,0.0265985562,0.0192217626
10/1968,0.0289752539,0.0268277095,0.0203342839
11/1968,0.0279093363,0.0270785384,0.021312875
12/1968,0.0254928909,0.0259796776,0.019594103
01/1969,0.0271323144,0.0270944681,0.0187579295
02/1969,0.0256439949,0.0281488929,0.0200335924
03/1969,0.0275854406,0.0290483229,0.0214333239
04/1969,0.027645308,0.0277235483,0.021173973
05/1969,0.0273219864,0.028820427,0.0207039085
06/1969,0.0271809586,0.0302353435,0.0198647211
07/1969,0.0336712332,0.0543654389,0.0173730259
08/1969,0.0368648705,0.0588572492,0.0168588584
09/1969,0.0353342388,0.0566778562,0.0160590315
10/1969,0.0367032733,0.0570540706,0.0151475191
11/1969,0.0345599152,0.0548606228,0.0162088413
12/1969,0.0370521475,0.0578165815,0.0165868643
01/1970,0.0386271001,0.0590508337,0.0163650467
02/1970,0.0420780001,0.0638040678,0.0185687017
03/1970,0.0393775199,0.0585501789,0.0182105132
04/1970,0.0397860425,0.0570276269,0.0207874827
05/1970,0.0450244906,0.0506353437,0.021939015
06/1970,0.0486492574,0.055480023,0.0237940936
07/1970,0.0362426457,0.0641714676,0.042914364
08/1970,0.0342225506,0.0542503694,0.038612727
09/1970,0.0322023005,0.0510616292,0.0370855563
10/1970,0.0325948489,0.0498307471,0.0350548984
11/1970,0.0288879744,0.0508044163,0.0357680478
12/1970,0.0275928234,0.0479155539,0.0337668262
01/1971,0.0260800377,0.0448673063,0.0301366902
02/1971,0.0253023618,0.0430346915,0.0286817442
03/1971,0.0249082963,0.0425151486,0.0270537536
04/1971,0.0224043196,0.0450579121,0.026387874
05/1971,0.0231394834,0.0395921113,0.0252299343
06/1971,0.0249285467,0.0417441753,0.0260556083
07/1971,0.0261610812,0.0309664323,0.0245741401
08/1971,0.0282444565,0.0325694902,0.0261122945
09/1971,0.0268272067,0.0322158076,0.0249923495
10/1971,0.0259359857,0.032464372,0.0252511857
11/1971,0.0277271494,0.0338484594,0.0265956249
12/1971,0.0278351188,0.0343926512,0.0268321878
01/1972,0.024958909,0.0301529282,0.0242490003
02/1972,0.0241912531,0.0305025654,0.023414261
03/1972,0.0233193423,0.0298055269,0.0223805128
04/1972,0.0224493704,0.0291987434,0.0216502976
05/1972,0.0229634975,0.0301903281,0.0220023451
06/1972,0.0228544796,0.0298338573,0.0216874171
07/1972,0.0255023951,0.0247061754,0.0233304199
08/1972,0.0261204989,0.0251433885,0.023659232
09/1972,0.0247735826,0.0243405249,0.0229043942
10/1972,0.0248303683,0.024222875,0.0232607856
11/1972,0.024893679,0.0245113317,0.0246955024
12/1972,0.0235244444,0.0236829294,0.0235635132
01/1973,0.0228072688,0.0233739968,0.0228338133
02/1973,0.0243066815,0.0232291734,0.0238491849
03/1973,0.0250972847,0.0242068718,0.0251281297
04/1973,0.0259177603,0.0243611746,0.0256743156
05/1973,0.0267565371,0.0255672881,0.0271573503
06/1973,0.0270400084,0.0267233057,0.0279211193
07/1973,0.0324312545,0.0331309633,0.0205429416
