date,p1,p2,p3
07/1963,0.0358975079,0.0350147533,0.0273141666
08/1963,0.0367367197,0.0351222987,0.0275260208
09/1963,0.0347232727,0.033862376,0.0263271645
10/1963,0.0350713318,0.0344859187,0.0268952925
11/1963,0.0341264027,0.0344356665,0.026989624
12/1963,0.0347534894,0.0355799125,0.0273814083
01/1964,0.0349835382,0.0339756954,0.0267915815
02/1964,0.0344789033,0.0340935332,0.0259343503
03/1964,0.0339859559,0.0340700162,0.0258848583
04/1964,0.0328471894,0.0332220586,0.0255311439
05/1964,0.0334951088,0.0331333282,0.0259181416
06/1964,0.0333455135,0.0333220268,0.0257686138
07/1964,0.0341637933,0.0328911711,0.0253021394
08/1964,0.0342056938,0.0324014595,0.025347641
09/1964,0.0345971889,0.0330141151,0.0261177841
10/1964,0.0336502791,0.0325178034,0.0261058944
11/1964,0.0334120266,0.0317308387,0.026225879
12/1964,0.0340302449,0.0315874764,0.0261467127
01/1965,0.0336640546,0.031257525,0.0259288274
02/1965,0.0327360067,0.0311523857,0.02497076
03/1965,0.0327418712,0.0315628731,0.0250583
04/1965,0.0324367842,0.0322096859,0.0255531089
05/1965,0.031964535,0.0319316931,0.0253029288
06/1965,0.0325436773,0.0323539253,0.0254720395
07/1965,0.0353415562,0.0334198532,0.026924494
08/1965,0.0354861314,0.0337751462,0.0268914363
09/1965,0.0344038668,0.0331639177,0.026227583
10/1965,0.0332475989,0.0318995945,0.025724626
11/1965,0.0331247234,0.0317375428,0.0253979507
12/1965,0.0323792475,0.0321155441,0.0254495374
01/1966,0.0319153909,0.0321322639,0.025490832
02/1966,0.0306855993,0.0317471372,0.0257917282
03/1966,0.0308254804,0.0326026471,0.0262392459
04/1966,0.0325022879,0.0335857569,0.026510807
05/1966,0.032326116,0.0330695405,0.0263263826
06/1966,0.0350382179,0.0352974282,0.0275093085
07/1966,0.0347414167,0.0364124606,0.027603014
08/1966,0.0364690606,0.0374748964,0.0282303806
09/1966,0.0394163035,0.0409968979,0.030665826
10/1966,0.041444997,0.0407740253,0.0303122601
11/1966,0.041906648,0.03809071,0.0296764301
12/1966,0.042252784,0.0386912999,0.0287772586
01/1967,0.0406771091,0.0394771394,0.0283766268
02/1967,0.036850242,0.0366097748,0.0272817783
03/1967,0.0363320788,0.0368553943,0.0267848788
04/1967,0.0346284972,0.0353270608,0.025877103
05/1967,0.0340014485,0.0337051323,0.0248956422
06/1967,0.0350632103,0.0359329091,0.0262718823
07/1967,0.0375528334,0.034602411,0.0258247468
08/1967,0.0349201773,0.0315754673,0.0247869916
09/1967,0.0350860629,0.0319666661,0.025339292
10/1967,0.0336842881,0.0308761824,0.024635947
11/1967,0.0348058691,0.0325822732,0.0249754367
12/1967,0.0351903418,0.0328137378,0.0245730843
01/1968,0.0328308098,0.0315095531,0.0237345682
02/1968,0.0347453388,0.033520167,0.02524182
03/1968,0.035962552,0.0344921223,0.0262134986
04/1968,0.0367683719,0.0350852074,0.0260775656
05/1968,0.0335102833,0.0328089711,0.0245101733
06/1968,0.0327288997,0.0321301305,0.0239039586
07/1968,0.034038699,0.0310240488,0.0234661858
08/1968,0.0362460254,0.0317777927,0.0244660376
09/1968,0.0356432488,0.0313240305,0.0242942687
10/1968,0.0341539345,0.0311397241,0.0246065621
11/1968,0.0335538028,0.0296316409,0.0246963657
12/1968,0.0327222879,0.028062669,0.0233112772
01/1969,0.033149319,0.0281677849,0.0243365512
02/1969,0.0332568306,0.028662672,0.0246176054
03/1969,0.035536134,0.0307077728,0.0258305319
04/1969,0.0342810818,0.0293854901,0.0251666444
05/1969,0.0372398095,0.0289986773,0.0244723337
06/1969,0.0381052749,0.0292270246,0.0245505556
07/1969,0.0426040207,0.0309206647,0.026324633
08/1969,0.0460652933,0.034047126,0.0269885296
09/1969,0.0448759382,0.0328378405,0.0259945849
10/1969,0.0467402849,0.0345302732,0.0263661984
11/1969,0.0439682673,0.0329337535,0.025063452
12/1969,0.0464462893,0.0347879233,0.0258770708
01/1970,0.0476672019,0.0354414604,0.0255625337
02/1970,0.0509976559,0.0392127662,0.0277773787
03/1970,0.0484532519,0.0372649538,0.0268331767
04/1970,0.0471208586,0.0376630667,0.027608697
05/1970,0.0480481584,0.0413645009,0.0305133015
06/1970,0.0521065059,0.0441719697,0.0331187111
07/1970,0.0544558677,0.0493608125,0.0341269663
08/1970,0.0502311145,0.0445699925,0.0325119834
09/1970,0.0477342363,0.0418535207,0.0312943792
10/1970,0.0451690825,0.0398141096,0.0304723762
11/1970,0.0455280557,0.0411970869,0.0304228042
12/1970,0.0431004155,0.0392123285,0.0289420731
01/1971,0.0393820014,0.0366049891,0.0269581879
02/1971,0.0370804018,0.0350359036,0.0263977479
03/1971,0.0366711269,0.0339926496,0.0262112983
04/1971,0.0360490627,0.0341300227,0.0249861937
05/1971,0.0337475378,0.0317035169,0.0249553563
06/1971,0.0353592203,0.0329344672,0.025611645
07/1971,0.0351727506,0.0335789477,0.0238618678
08/1971,0.0373091134,0.0349738095,0.0260258807
09/1971,0.0346249091,0.0342181236,0.025320804
10/1971,0.0348588814,0.0347854696,0.0247940369
11/1971,0.0369038926,0.0365007194,0.0259637493
12/1971,0.037487983,0.037030176,0.0262133177
01/1972,0.0339605929,0.0327083049,0.0234882607
02/1972,0.0329159846,0.0333964141,0.0231003567
03/1972,0.0319669776,0.0325446968,0.0222128532
04/1972,0.0310630936,0.031624323,0.0218050808
05/1972,0.0319403284,0.0329090572,0.0219374761
06/1972,0.0329437828,0.0326670262,0.0216516689
07/1972,0.0344556359,0.0324565348,0.0213920059
08/1972,0.0357517898,0.0336371688,0.0213880046
09/1972,0.0345483064,0.0319496762,0.0208356003
10/1972,0.0349124437,0.03216185,0.0207923411
11/1972,0.0376868928,0.0322374217,0.0211108371
12/1972,0.0350271274,0.029941677,0.0204984586
01/1973,0.034532093,0.0296208992,0.0198702984
02/1973,0.0374175054,0.0302151086,0.0202955174
03/1973,0.0396948538,0.0322513681,0.020819782
04/1973,0.0405817955,0.0329593913,0.0210699622
05/1973,0.0428219286,0.0340382001,0.0222746096
06/1973,0.0458208907,0.0349642845,0.0227008295
07/1973,0.0457350545,0.0368860536,0.0239624885
08/1973,0.0431642242,0.0340007787,0.0237033379
09/1973,0.0445375579,0.0355384033,0.0248806373
10/1973,0.0411705694,0.0327532215,0.0246606207
11/1973,0.043476949,0.032843063,0.0247782236
12/1973,0.0519021116,0.0382371126,0.0278257376
01/1974,0.0513852531,0.0366402343,0.0278887229
02/1974,0.0489546304,0.0374128993,0.028844397
03/1974,0.0483880695,0.0377377946,0.0296249975
04/1974,0.0499036191,0.0398734095,0.0300386947
05/1974,0.051600856,0.041718022,0.0321809425
06/1974,0.0551116832,0.0438462103,0.03320722
07/1974,0.0571053697,0.0430804994,0.0344509441
08/1974,0.0608837181,0.0468713428,0.0377001044
09/1974,0.0672738025,0.0525651566,0.0420680928
10/1974,0.0756329378,0.0616848567,0.049178621
11/1974,0.0639856866,0.0509605481,0.0419697858
12/1974,0.0669271293,0.0537537723,0.0441121379
01/1975,0.0702531825,0.057121259,0.046142713
02/1975,0.0581994276,0.0494518539,0.0418302091
03/1975,0.0568747584,0.0476439982,0.0385974568
04/1975,0.0528750346,0.0454643421,0.0383158994
05/1975,0.0494935903,0.0434490048,0.0368044887
06/1975,0.0484524775,0.0418394,0.0348960982
07/1975,0.046781074,0.0420374277,0.0308717281
08/1975,0.0474103928,0.0446441129,0.0339061546
09/1975,0.0490438725,0.0455916,0.0352179044
10/1975,0.0492490585,0.0484325768,0.0368332545
11/1975,0.0475273731,0.0450321123,0.034352101
12/1975,0.0471301746,0.0443517942,0.0335740647
01/1976,0.0459643669,0.0463578828,0.0341741826
02/1976,0.0413156238,0.0404111472,0.0311793665
03/1976,0.0407566707,0.0403515884,0.0323793065
04/1976,0.0394579055,0.0400135095,0.0311308961
05/1976,0.0407411649,0.0402763775,0.0322297135
06/1976,0.0413469427,0.0408597503,0.0329120636
07/1976,0.0412257617,0.0382982531,0.0310771262
08/1976,0.0410372186,0.0398402746,0.0322276451
09/1976,0.041659221,0.0400221001,0.0324778061
10/1976,0.0396404791,0.0388245618,0.0311574382
11/1976,0.0467136322,0.0406109382,0.0333055174
12/1976,0.0463573214,0.0406667534,0.0340904907
01/1977,0.0427240989,0.0382407525,0.0326205322
02/1977,0.0456632897,0.0409380382,0.0357287023
03/1977,0.0469146445,0.0426404964,0.0365616799
04/1977,0.0475728487,0.0426090385,0.037149161
05/1977,0.0480946525,0.0430984082,0.0387938052
06/1977,0.0518103544,0.0446103704,0.0403514909
07/1977,0.0496851072,0.0439243027,0.0363530677
08/1977,0.0524441491,0.0458780197,0.0374966164
09/1977,0.0550261577,0.0484816977,0.0381537717
10/1977,0.0557335854,0.0485148218,0.0383921297
11/1977,0.0582183007,0.052027533,0.0411089949
12/1977,0.0567025975,0.0498818582,0.0398706057
01/1978,0.0576841909,0.050134422,0.0395018424
