date,p1,p2,p3
07/1963,0.0300757407,0.0303832108,0.0384218197
08/1963,0.0302051464,0.0305666792,0.038862108
09/1963,0.028936835,0.0294464484,0.0366940541
10/1963,0.0294172548,0.0301274151,0.0367676874
11/1963,0.0291218393,0.0302391854,0.0366731027
12/1963,0.0300731217,0.030893925,0.0374212777
01/1964,0.0295557981,0.0293285462,0.0371321252
02/1964,0.0288676524,0.0294040892,0.0360998463
03/1964,0.0284874934,0.0295816753,0.0360386904
04/1964,0.0282386263,0.0289059041,0.0337150762
05/1964,0.0286189843,0.0289203986,0.0344057006
06/1964,0.0282780459,0.028902728,0.0353349817
07/1964,0.0214669069,0.0318440511,0.0370379705
08/1964,0.0214232164,0.0316500121,0.0363764262
09/1964,0.0222217331,0.0323826205,0.0365937467
10/1964,0.0224330534,0.0318712239,0.0358389381
11/1964,0.0222710365,0.0315036912,0.0358235699
12/1964,0.0221858362,0.031543775,0.0354718963
01/1965,0.0218869521,0.031214799,0.0356021919
02/1965,0.0212254808,0.0309692756,0.034233633
03/1965,0.0213769327,0.0313646995,0.0342364947
04/1965,0.0215280888,0.0320847723,0.0346795049
05/1965,0.0212017273,0.0318500844,0.0345433774
06/1965,0.021413522,0.0324311689,0.0343048243
07/1965,0.0225994502,0.0352195476,0.0345557023
08/1965,0.0229424021,0.0355160037,0.0343713658
09/1965,0.0221543275,0.0349467136,0.0338547815
10/1965,0.0214932585,0.0340007348,0.0327769087
11/1965,0.0216252165,0.0337997486,0.0321546616
12/1965,0.0213839484,0.0341869621,0.0324364064
01/1966,0.0217388933,0.0336092501,0.032940444
02/1966,0.0210278532,0.0344275735,0.0322404059
03/1966,0.0210325757,0.0353243094,0.0334959712
04/1966,0.0214779023,0.0365081216,0.0342546944
05/1966,0.0209481189,0.0365801734,0.0339772088
06/1966,0.0222576134,0.0386685722,0.0361777295
07/1966,0.0217633157,0.0341506075,0.04370159
08/1966,0.0229437082,0.0348659772,0.0444269055
09/1966,0.0248977633,0.0381777928,0.0480521427
10/1966,0.0250384346,0.0376827881,0.0481980832
11/1966,0.0255396161,0.0354727351,0.0454698987
12/1966,0.0242445239,0.0357442458,0.0468981077
01/1967,0.0242128925,0.0359134307,0.0462622593
02/1967,0.0224075832,0.0336262234,0.0445592097
03/1967,0.0218237442,0.0335867713,0.0449589628
04/1967,0.0210638991,0.0322468186,0.0433533159
05/1967,0.0197263706,0.0309460296,0.0433960535
06/1967,0.0208232779,0.0330750234,0.0447168713
07/1967,0.0198925236,0.0308509492,0.0456627979
08/1967,0.0185474652,0.0288584005,0.0427820412
09/1967,0.0188968113,0.0293009536,0.0433226892
10/1967,0.0175558943,0.0288642574,0.0424582837
11/1967,0.0182092546,0.0298440658,0.0440857647
12/1967,0.0180028078,0.0295714218,0.0447093603
01/1968,0.0169896322,0.0287359227,0.0430964554
02/1968,0.0184179505,0.0311053979,0.0437957966
03/1968,0.0194328496,0.0346961078,0.0450418642
04/1968,0.01887771,0.0320722452,0.0465244854
05/1968,0.0180901167,0.0297686276,0.0436084111
06/1968,0.0174435215,0.0291394696,0.0433855421
07/1968,0.017615838,0.0312472606,0.0393082274
08/1968,0.019245408,0.0316714582,0.0407227577
09/1968,0.0189876953,0.0314439887,0.0402126199
10/1968,0.0199158139,0.0309083396,0.0390405563
11/1968,0.0192903998,0.0304955095,0.0379079252
12/1968,0.0181720458,0.0289375034,0.0366515475
01/1969,0.0185735104,0.0294300552,0.0379519144
02/1969,0.0192234051,0.0297262066,0.0375638186
03/1969,0.0203626217,0.0315033761,0.0399401068
04/1969,0.019541739,0.0302280043,0.0392690105
05/1969,0.0191370418,0.0298757351,0.0410790386
06/1969,0.0195698996,0.0298293046,0.0416785261
07/1969,0.0194020922,0.0328148481,0.0425244617
08/1969,0.0197725518,0.0352741226,0.045426811
09/1969,0.0191193757,0.0338169994,0.044817456
10/1969,0.0192834008,0.0353485094,0.0463615699
11/1969,0.0186919965,0.0335314858,0.0436819235
12/1969,0.0195325505,0.0352530326,0.0457540318
01/1970,0.0194252327,0.0352460335,0.0469760523
02/1970,0.0219644214,0.0384293388,0.0493945027
03/1970,0.0211590437,0.0362287542,0.0478011509
04/1970,0.0228084063,0.0360740633,0.0467853748
05/1970,0.0248516156,0.0400259636,0.0475756028
06/1970,0.0277858664,0.0425161673,0.0508416846
07/1970,0.0311946647,0.0406088605,0.0558379134
08/1970,0.0285585659,0.0380014591,0.0512219283
09/1970,0.0270593732,0.0365333403,0.0482814825
10/1970,0.0251830985,0.0354016967,0.0467073025
11/1970,0.0262864708,0.0356006126,0.0468872155
12/1970,0.0251806541,0.0338675917,0.0442108619
01/1971,0.0231438516,0.031480342,0.0415584398
02/1971,0.0216469612,0.0307028976,0.0401199801
03/1971,0.0213505311,0.03025499,0.0394043653
04/1971,0.0206214365,0.0296887149,0.0388199895
05/1971,0.019636289,0.0286140069,0.0371608366
06/1971,0.0199830816,0.0299312703,0.0384328827
07/1971,0.0204633227,0.0334901853,0.0380026564
08/1971,0.0228175294,0.0350685336,0.0393148385
09/1971,0.0220140541,0.0343245866,0.0369525527
10/1971,0.0214002902,0.0345741552,0.0373387649
11/1971,0.0228257982,0.0360480999,0.0389411879
12/1971,0.0231965411,0.0364114728,0.0393926972
01/1972,0.0205562196,0.0325950415,0.0358571397
02/1972,0.020030603,0.0330930363,0.0350395293
03/1972,0.0193244324,0.0320125454,0.0341655881
04/1972,0.0189980221,0.0310448894,0.033385728
05/1972,0.0190700882,0.0319536341,0.034814072
06/1972,0.0189085241,0.0316061046,0.0357473847
07/1972,0.0220603449,0.0310032025,0.0350337986
08/1972,0.0224900359,0.0316256802,0.0352860411
09/1972,0.0219023652,0.0304989991,0.0328464792
10/1972,0.0221590716,0.0302611151,0.0332666503
11/1972,0.0232902078,0.0302722461,0.0333972468
12/1972,0.0221717056,0.0287284254,0.0315271047
01/1973,0.0213662977,0.0285230868,0.0310153084
02/1973,0.0219581394,0.028853904,0.0338884078
03/1973,0.0227758808,0.0303612856,0.0352868865
