date,p1,p2,p3
07/1963,0.0341844724,0.0302923157,0.0313173476
08/1963,0.033944858,0.0306375011,0.0316419738
09/1963,0.0323833295,0.0292801124,0.0303469237
10/1963,0.0334224932,0.0295864916,0.0305816838
11/1963,0.0327031025,0.0297990641,0.0299558689
12/1963,0.0335403503,0.030553631,0.0309604156
01/1964,0.0326670924,0.0294943243,0.0303982729
02/1964,0.0317047583,0.0292134602,0.02971677
03/1964,0.0313103153,0.0289249544,0.03012404
04/1964,0.0308573676,0.0282987647,0.0288278768
05/1964,0.030580652,0.0286430984,0.0294506044
06/1964,0.0303704719,0.0285833367,0.0294656297
07/1964,0.0268437018,0.0298406539,0.030719666
08/1964,0.0266705647,0.0298171791,0.0305147696
09/1964,0.0271795544,0.030602433,0.0314245951
10/1964,0.0263380156,0.0307119256,0.0307525151
11/1964,0.0268365809,0.0298475063,0.0309043408
12/1964,0.0266287186,0.0299098467,0.030621838
01/1965,0.0262106021,0.0298170544,0.0301383424
02/1965,0.0253468476,0.0291835072,0.0302046733
03/1965,0.0252447716,0.0294061795,0.0305882462
04/1965,0.0256716128,0.0298316386,0.0313103089
05/1965,0.0252312444,0.0294944629,0.0310385126
06/1965,0.0254238358,0.0298044777,0.0314118357
07/1965,0.0331125426,0.0281078722,0.0331575261
08/1965,0.0340577817,0.0280725567,0.0329220148
09/1965,0.0328598412,0.0274920836,0.0321487338
10/1965,0.0316308266,0.0267024732,0.0309858526
11/1965,0.0316315393,0.0265257072,0.0302585027
12/1965,0.0322292608,0.0265471678,0.0296141456
01/1966,0.0314453436,0.0269971579,0.0293299865
02/1966,0.0313634466,0.0265616278,0.0288228398
03/1966,0.0317664394,0.0270481905,0.0294920131
04/1966,0.0328960379,0.0277182634,0.0302714271
05/1966,0.0327793789,0.0272692819,0.0300683315
06/1966,0.0351894007,0.0288674837,0.0316868009
07/1966,0.0236977255,0.0340449726,0.0354751943
08/1966,0.024913157,0.0346983708,0.0367000239
09/1966,0.0270930921,0.0378607029,0.0395318879
10/1966,0.0268430792,0.0381692447,0.0395660744
11/1966,0.0271683703,0.0360248523,0.0385115713
12/1966,0.025649608,0.0363982166,0.038666572
01/1967,0.0257442871,0.0366403468,0.0382497592
02/1967,0.0241417785,0.0338662071,0.0362761709
03/1967,0.0236370591,0.0335546565,0.036061375
04/1967,0.0228994938,0.0322057805,0.0341356905
05/1967,0.0213753305,0.0306539444,0.0336887101
06/1967,0.022349048,0.0325744271,0.0352442201
07/1967,0.0239318678,0.0288399131,0.0404450459
08/1967,0.022680952,0.0268806211,0.0373356147
09/1967,0.0228985577,0.0273663412,0.0375635515
10/1967,0.0222831802,0.0260798231,0.0363535382
11/1967,0.0225123445,0.0270512474,0.0374359862
12/1967,0.0223780664,0.0270718409,0.0377755394
01/1968,0.0209246329,0.0261898331,0.0358813568
02/1968,0.022771804,0.0280993353,0.0377626998
03/1968,0.0284157496,0.028674934,0.0395659158
04/1968,0.0238637748,0.0284930338,0.0402106859
05/1968,0.0216778575,0.0269985843,0.037009296
06/1968,0.0209846858,0.0263289464,0.0365363868
07/1968,0.0279564668,0.0237223395,0.0332967902
08/1968,0.02907619,0.024919384,0.0348809451
09/1968,0.0285619567,0.0246984316,0.0342337712
10/1968,0.027865218,0.0254928055,0.0327905244
11/1968,0.0279441704,0.0243983528,0.0323627579
12/1968,0.026333999,0.0231487449,0.0315571412
01/1969,0.0268722658,0.023898399,0.0323054905
02/1969,0.0273321752,0.0241717445,0.0326891368
03/1969,0.029027297,0.025587292,0.0346809433
04/1969,0.0280386825,0.024288842,0.0338706841
05/1969,0.02792897,0.0236218523,0.0364599775
06/1969,0.028279722,0.0239549987,0.0368057576
07/1969,0.0275021866,0.0334979464,0.0251585429
08/1969,0.030214554,0.0358042755,0.0259304058
09/1969,0.0287176993,0.0345687264,0.0248663008
10/1969,0.0301962072,0.0359926102,0.0248275443
11/1969,0.0273595942,0.0346550095,0.0241187093
12/1969,0.0286255386,0.0363359583,0.024980572
01/1970,0.0288505876,0.0367866701,0.0246529369
02/1970,0.0316465183,0.040282861,0.0269293361
03/1970,0.030049666,0.0384363657,0.0262122477
04/1970,0.0293981957,0.0387901728,0.0274431033
05/1970,0.0344369606,0.0402150746,0.0297607786
06/1970,0.0377605394,0.0429353133,0.0322276808
