date,p1,p2,p3
07/1963,0.0305440272,0.0297642271,0.0348031931
08/1963,0.0313972903,0.0280382931,0.0372391096
09/1963,0.0327770027,0.0279126754,0.0343446087
10/1963,0.0354908705,0.0279441701,0.0348686794
11/1963,0.0333942546,0.0312989739,0.0317726328
12/1963,0.0318956245,0.0321796332,0.0324897675
01/1964,0.0327046004,0.0322077163,0.0299124377
02/1964,0.0325489235,0.0313233483,0.0302018963
03/1964,0.032426665,0.0311910898,0.0298032388
04/1964,0.0310616547,0.0322843805,0.0258022547
05/1964,0.0368554444,0.0286943834,0.0298165777
06/1964,0.0306961935,0.0315805266,0.0292821149
07/1964,0.0304901634,0.028390291,0.0314590107
08/1964,0.0306868503,0.0263365257,0.0335837414
09/1964,0.0254393081,0.0296784117,0.033385218
10/1964,0.0262675101,0.0293045686,0.0327321425
11/1964,0.0268162142,0.0296464927,0.0327273992
12/1964,0.0288943532,0.026983176,0.0330588337
01/1965,0.02907488,0.02863964,0.0313459411
02/1965,0.0315744314,0.0307247847,0.0245287718
03/1965,0.0315566441,0.0272365784,0.0242587948
04/1965,0.0321864101,0.0266298791,0.0237772116
05/1965,0.032670171,0.0276200653,0.0231726259
06/1965,0.0345701329,0.0251782495,0.0244750145
07/1965,0.0350713967,0.0288287717,0.0220092542
08/1965,0.0353329365,0.0292157525,0.0227702316
09/1965,0.0302895424,0.0342450556,0.0210824332
10/1965,0.0313701352,0.0328546944,0.0212575257
11/1965,0.0300297964,0.0317693307,0.0236457575
12/1965,0.0331858891,0.0277074063,0.024039513
01/1966,0.0322928325,0.0254904222,0.0241733141
02/1966,0.0324014343,0.024958487,0.0229634271
03/1966,0.0334149549,0.0257036098,0.0222745469
04/1966,0.0340031124,0.0254365895,0.0230030058
05/1966,0.0355605631,0.0236609408,0.0213873732
06/1966,0.0371306017,0.0266610404,0.0220037111
07/1966,0.0376666036,0.0283221503,0.0223542339
08/1966,0.0389170401,0.036156058,0.0224304827
09/1966,0.0417784233,0.0344374163,0.0354900877
10/1966,0.0354073441,0.0411834599,0.0348571262
11/1966,0.0328497586,0.0397016156,0.0340519768
12/1966,0.0437352456,0.0335181833,0.0331160323
01/1967,0.0398306326,0.0338012928,0.0333267865
02/1967,0.0360507004,0.0333299447,0.0271278526
03/1967,0.0370230613,0.0339365806,0.0219177697
04/1967,0.0373795647,0.0275485547,0.0168674955
05/1967,0.0359502562,0.0272077117,0.01443054
06/1967,0.0340885002,0.0333105343,0.015962422
07/1967,0.0346192314,0.0322245581,0.0141695148
08/1967,0.0328470542,0.0300022882,0.0176263939
09/1967,0.0329707543,0.0312039569,0.0181377581
10/1967,0.0327122424,0.0293568375,0.0179406806
11/1967,0.0365098058,0.0291045963,0.0139353163
12/1967,0.0364590397,0.0310478782,0.0191788529
01/1968,0.0328883383,0.0320628778,0.0138838402
02/1968,0.0297117659,0.0343041643,0.0172193687
03/1968,0.0302946632,0.0335269928,0.0318884892
04/1968,0.0311733034,0.0371178085,0.0270875332
05/1968,0.0324078088,0.0318492446,0.018849152
06/1968,0.0343486134,0.0190010734,0.0235111649
07/1968,0.0275407919,0.0292874848,0.023972891
08/1968,0.0295868483,0.0332492596,0.0189235724
09/1968,0.0347664942,0.0251153044,0.0235559489
10/1968,0.0258645399,0.0326597789,0.0220423148
11/1968,0.0185898383,0.0333522454,0.0300439873
12/1968,0.0215118108,0.0261811346,0.0315604098
01/1969,0.0235463552,0.0302347944,0.028733071
02/1969,0.0279762331,0.0275391671,0.0260030153
03/1969,0.0206698199,0.0336470453,0.0279300771
04/1969,0.0285174227,0.0277257628,0.0286470171
05/1969,0.0361672077,0.0280747032,0.0239604188
06/1969,0.0295321222,0.0292239101,0.0268768453
07/1969,0.0337955491,0.0286904467,0.0313005969
08/1969,0.0382178124,0.0365937547,0.0296288027
09/1969,0.0383527845,0.038922257,0.0182138886
10/1969,0.0419489211,0.0418805758,0.0190586045
11/1969,0.0387045431,0.038289855,0.0189691545
12/1969,0.0443328862,0.0368646385,0.0192921333
01/1970,0.0451648645,0.0329383726,0.0185896566
