date,p1,p2,p3
08/1963,0.0299724417,0.0330112099,0.0347155197
09/1963,0.0282791479,0.028471883,0.0363815488
10/1963,0.0322013616,0.0269532962,0.0367136472
11/1963,0.0325225477,0.0318347498,0.035552475
12/1963,0.0350731496,0.0298800611,0.0373610281
01/1964,0.0308247982,0.0321146777,0.0334052568
02/1964,0.0305985858,0.0343743966,0.0287320558
03/1964,0.0327392843,0.0320756795,0.0307674849
04/1964,0.0334922387,0.0329891442,0.0280627554
05/1964,0.0341762611,0.0319097464,0.0291210595
06/1964,0.0298764976,0.0326591009,0.0298444426
07/1964,0.0294388639,0.0300091056,0.0320784623
08/1964,0.0287635978,0.0303777495,0.0308275638
09/1964,0.02761959,0.0300685143,0.0335945175
10/1964,0.0270752569,0.0307934946,0.0346428162
11/1964,0.0260697306,0.0318546751,0.0334412373
12/1964,0.0292364808,0.0304542087,0.0333335959
01/1965,0.0284085228,0.0319622612,0.0291336505
02/1965,0.0268160893,0.0343164716,0.0268592307
03/1965,0.0312452436,0.0308225391,0.0276793396
04/1965,0.0351989982,0.0289376734,0.0269718907
05/1965,0.0310471674,0.0314950984,0.0276587875
06/1965,0.0322504218,0.0326583686,0.0251667558
07/1965,0.0350085398,0.0310400981,0.0271411695
08/1965,0.0314348667,0.034904366,0.029651551
09/1965,0.0320854351,0.0325402069,0.0307793006
10/1965,0.0335024949,0.0319618102,0.0273357104
11/1965,0.0297451601,0.0336258491,0.0262110929
12/1965,0.0284374276,0.0312927675,0.0317746865
01/1966,0.0324033699,0.031264375,0.0282802534
02/1966,0.0306255717,0.032470988,0.0275613161
03/1966,0.0339262223,0.0322312116,0.0283003674
04/1966,0.0337678932,0.0317089933,0.0343689453
05/1966,0.032122005,0.0315937938,0.0346324171
06/1966,0.0380103754,0.035946516,0.0261727115
07/1966,0.0400286152,0.0369279645,0.0275082854
08/1966,0.0393566107,0.0381174835,0.0289638436
09/1966,0.0402570584,0.0441485939,0.0350021581
10/1966,0.044693608,0.0354823557,0.0386589239
