date,p1,p2,p3
07/1963,0.0298122037,0.0316533645,0.035784666
08/1963,0.0352360491,0.0306040858,0.0324773321
09/1963,0.0294676647,0.031081919,0.0338109915
10/1963,0.0305537007,0.0325869988,0.0299835431
11/1963,0.0295772758,0.0332874107,0.0329805637
12/1963,0.0317847084,0.032304526,0.0328763905
01/1964,0.0295017698,0.0319752686,0.0346648089
02/1964,0.0281078834,0.0318064854,0.0329032563
03/1964,0.028471262,0.03026334,0.0336934464
04/1964,0.0299546781,0.0301382426,0.0304655351
05/1964,0.0333492016,0.0290075508,0.02891734
06/1964,0.0288298631,0.0308582217,0.0313603584
07/1964,0.0286788267,0.0304811387,0.0308467046
08/1964,0.0341101064,0.0276929445,0.0296561308
09/1964,0.03156937,0.0309067165,0.0288781397
10/1964,0.0269402204,0.0318516536,0.0311023284
11/1964,0.0296186924,0.0299695436,0.0303682556
12/1964,0.0314666097,0.0300162881,0.0309599511
01/1965,0.0320484564,0.0285806906,0.0307954431
02/1965,0.0262156645,0.0316910254,0.0292263249
03/1965,0.0254596428,0.0302629316,0.030424413
04/1965,0.0297317249,0.0302629674,0.0285441008
05/1965,0.0257406731,0.0305723911,0.0313913639
06/1965,0.0279571043,0.0306791623,0.0297674564
07/1965,0.0308048473,0.032791333,0.0282087238
08/1965,0.0280134802,0.0315038672,0.0342538738
09/1965,0.0276478822,0.0308366967,0.0333112061
10/1965,0.0275557846,0.0306019634,0.0321846527
11/1965,0.0255091263,0.0311337827,0.0301250456
12/1965,0.023376451,0.0316028817,0.0318673653
01/1966,0.0257858882,0.0310476972,0.029203204
02/1966,0.0238799901,0.0315473888,0.0290672705
03/1966,0.0235252176,0.0331271476,0.0284162539
04/1966,0.0249747552,0.0342470569,0.0324027438
05/1966,0.0243093823,0.0317851887,0.0346054226
06/1966,0.0315419202,0.033341732,0.0292500812
07/1966,0.0269161371,0.0340865772,0.0358749986
08/1966,0.0312961611,0.0359953442,0.0320003295
09/1966,0.0387003451,0.0364569785,0.0336190757
10/1966,0.0377055531,0.0344183126,0.0388649322
11/1966,0.0349403955,0.0357028031,0.0361244328
12/1966,0.0265366846,0.0344193855,0.04584119
01/1967,0.0334019405,0.0374706075,0.0316451421
02/1967,0.0315469415,0.0379587028,0.0295561461
03/1967,0.0277589524,0.0329296665,0.0359047033
04/1967,0.0250782328,0.0330262922,0.0332797004
05/1967,0.0284948124,0.0304188152,0.0319187684
06/1967,0.0333119564,0.0306480423,0.0317471298
07/1967,0.0256481782,0.0306507733,0.0350181329
08/1967,0.0257736561,0.031119328,0.0290675845
09/1967,0.028740045,0.0309164501,0.0280789176
10/1967,0.0271849789,0.030687236,0.0282144648
11/1967,0.0284615572,0.0295420752,0.0321429004
12/1967,0.0257592091,0.0299626309,0.034286196
01/1968,0.0240479859,0.0293626786,0.029793433
02/1968,0.0348283879,0.0309908387,0.0269173159
03/1968,0.0338112528,0.0324827602,0.0272649166
04/1968,0.0274372896,0.0331070536,0.0337196273
05/1968,0.0216980627,0.029518021,0.0350521912
06/1968,0.0241657092,0.0278042275,0.0311616842
07/1968,0.0281368485,0.0295890276,0.024528588
08/1968,0.0324119937,0.0296672775,0.0247325574
09/1968,0.0258282685,0.0297269774,0.0296354441
10/1968,0.0273985464,0.0294523547,0.0274916377
11/1968,0.0272674217,0.0302515806,0.0252480216
12/1968,0.0225317873,0.0272032399,0.0289673284
01/1969,0.0263860663,0.0277297268,0.0269454083
02/1969,0.0285239045,0.027342537,0.0261977567
03/1969,0.0298329705,0.0309261185,0.0242880999
