date,p1,p2,p3
08/1963,0.0363873452,0.0306096892,0.0328994528
09/1963,0.0290504552,0.0317030437,0.0346118845
10/1963,0.0310115548,0.0320906753,0.0321942825
11/1963,0.0306802017,0.0346083855,0.0352215384
12/1963,0.033222246,0.0307537566,0.0379233678
01/1964,0.0283756439,0.035779533,0.0340320554
02/1964,0.029173592,0.0313369511,0.03500785
03/1964,0.0320512563,0.0290061605,0.0347320319
04/1964,0.0321364293,0.0310306081,0.0309325783
05/1964,0.0346685652,0.029270821,0.030159542
06/1964,0.0332017554,0.0281462054,0.0341791787
07/1964,0.029185744,0.0316900644,0.0309587579
08/1964,0.0331810087,0.0279786391,0.0299925246
09/1964,0.0325505462,0.0302948856,0.0311307605
10/1964,0.029884443,0.0311783994,0.0314640159
11/1964,0.0294248983,0.03072124,0.0313134003
12/1964,0.0324055616,0.0301051964,0.0323970112
01/1965,0.032151768,0.0283905281,0.0291896712
02/1965,0.0268534303,0.0312987692,0.0299544644
03/1965,0.0268612505,0.0312662731,0.0307871141
04/1965,0.0319384486,0.030112915,0.0298751241
05/1965,0.0307814717,0.0290405014,0.0334699811
06/1965,0.0295380002,0.0313395661,0.0313209623
07/1965,0.031732043,0.0328473378,0.0314446938
08/1965,0.0299814492,0.0324173876,0.0352797563
09/1965,0.0303972422,0.0314033095,0.0341356099
10/1965,0.0324095363,0.0286714999,0.0320898869
11/1965,0.0275804554,0.0322082691,0.0301167846
12/1965,0.0255703433,0.0325309077,0.0328119923
01/1966,0.0297919278,0.0321330622,0.0297494546
02/1966,0.0267901154,0.0330655491,0.0297445432
03/1966,0.0292838473,0.0339743362,0.0291963709
04/1966,0.0273899456,0.03610961,0.0354848119
05/1966,0.0279247603,0.0339599001,0.0389167487
06/1966,0.0327447365,0.0341007817,0.0353879761
07/1966,0.0305164388,0.0354531505,0.0376797321
08/1966,0.0344709356,0.0377466219,0.0343728103
09/1966,0.0391493445,0.0415924566,0.0346784554
10/1966,0.0400813117,0.0364368217,0.041557034
11/1966,0.0355734566,0.0372678034,0.0422142827
12/1966,0.0296050681,0.0398578659,0.0482504853
01/1967,0.0339871166,0.0384656128,0.0358086016
02/1967,0.0343211346,0.0342787013,0.0330715107
03/1967,0.0279373155,0.0344383994,0.039135945
04/1967,0.0310540168,0.0321593663,0.0363405118
05/1967,0.0313088477,0.0307755,0.0347989091
06/1967,0.0359082609,0.0318782161,0.0332817477
07/1967,0.0319371399,0.0307065611,0.0374251321
08/1967,0.0290043113,0.0322737243,0.0303113909
09/1967,0.0333009142,0.0323262042,0.0301872569
10/1967,0.0305857393,0.0308037101,0.0313987455
11/1967,0.0326352688,0.0292295604,0.0359400467
12/1967,0.0298345517,0.03084502,0.0389504267
01/1968,0.0299328063,0.0306036935,0.0330261471
02/1968,0.0412019553,0.0319607012,0.0294087765
03/1968,0.0351939872,0.0345713007,0.0326046168
04/1968,0.0310450279,0.0337197712,0.0375880439
05/1968,0.0275357044,0.0307923047,0.0403502247
06/1968,0.0284556744,0.0298206846,0.0334973845
07/1968,0.0310934933,0.030938328,0.0277872691
08/1968,0.0362984116,0.0301685264,0.0279898911
09/1968,0.0296005792,0.030118633,0.0327293429
10/1968,0.0341912918,0.0281482476,0.032376545
11/1968,0.0305248922,0.0315297199,0.0282787878
12/1968,0.027458958,0.0283967932,0.0303043734
01/1969,0.0338532429,0.0286702253,0.0287573972
02/1969,0.0319792072,0.0284691808,0.0307210372
03/1969,0.0354923103,0.026758315,0.0313156225
04/1969,0.0266605441,0.0312151899,0.0352575
05/1969,0.0271259965,0.032310539,0.0332778857
06/1969,0.0264968844,0.0324557697,0.0314801325
07/1969,0.0306149102,0.0378425973,0.0317239209
08/1969,0.0355826525,0.0339250046,0.0353226605
09/1969,0.0265742498,0.0341040796,0.0429105443
10/1969,0.0325312951,0.0344610064,0.0374725651
11/1969,0.0333453008,0.0305616819,0.0362120204
12/1969,0.0283457384,0.0351368147,0.0360953928
01/1970,0.0331296013,0.0328687207,0.0375744594
02/1970,0.0354251929,0.0359157755,0.0367916329
03/1970,0.0398926669,0.0283731309,0.0422641541
04/1970,0.0456582896,0.0280142961,0.0361427241
05/1970,0.0375300856,0.0381999676,0.0401561185
06/1970,0.0444644411,0.0398377218,0.0416521005
07/1970,0.0385409912,0.042587336,0.0531305631
08/1970,0.039872628,0.0410525809,0.0417691999
09/1970,0.0402055239,0.0376335842,0.0401995051
10/1970,0.0326944228,0.0361967675,0.0412694598
11/1970,0.0343453926,0.0369223079,0.043977975
12/1970,0.0355648829,0.0333994406,0.0398905285
01/1971,0.0382322423,0.0315523641,0.0287643036
02/1971,0.0301265018,0.0294345726,0.0341712362
03/1971,0.0326496175,0.0294146271,0.0330812928
04/1971,0.0302968192,0.0292760185,0.0349122949
05/1971,0.0290639904,0.0266513243,0.0363584754
06/1971,0.0257022699,0.0304147729,0.0377379406
07/1971,0.0250358444,0.0310040741,0.0350384053
08/1971,0.0329122193,0.0311254931,0.0319350001
09/1971,0.0282535721,0.0277903279,0.036139949
10/1971,0.0316972297,0.0283052344,0.0321434813
11/1971,0.0347310408,0.0300714271,0.0330369457
12/1971,0.0295163292,0.0331803452,0.0328533529
01/1972,0.0265507229,0.0280231737,0.0329119674
02/1972,0.0314080598,0.0285890899,0.0270853655
03/1972,0.021851455,0.0297698817,0.0342192538
04/1972,0.0266059152,0.0263084617,0.0317587604
