date,p1,p2,p3
07/1963,0.0353480545,0.0268682812,0.0338610717
08/1963,0.0351856555,0.0274221689,0.0339847265
09/1963,0.0336806567,0.0263860161,0.0319182551
10/1963,0.0346269076,0.0266164458,0.03192664
11/1963,0.0345269148,0.0264304662,0.0309987488
12/1963,0.0357364431,0.0269124896,0.0319483017
01/1964,0.0351728171,0.0256534151,0.0314988573
02/1964,0.0341786869,0.0254823425,0.0308299739
03/1964,0.0339505547,0.0252574243,0.0312237822
04/1964,0.0335203877,0.0245560077,0.0296569703
05/1964,0.0332946255,0.0247884843,0.0308331743
06/1964,0.0330023778,0.0248202244,0.0310795218
07/1964,0.0263794081,0.0293345558,0.0344564409
08/1964,0.0265391513,0.0295413349,0.033127422
09/1964,0.0273292264,0.0302705704,0.0338188853
10/1964,0.0274260127,0.0300053419,0.0327301641
11/1964,0.0264686599,0.0300156086,0.0328770365
12/1964,0.0261478596,0.0301451806,0.0327136625
01/1965,0.0255003135,0.0299412469,0.0329419335
02/1965,0.0251896575,0.0295215541,0.0317564658
03/1965,0.0256109489,0.0296166613,0.0316141767
04/1965,0.0259913048,0.030146446,0.032204054
05/1965,0.0257491879,0.0298561185,0.0314992942
06/1965,0.0258484439,0.0302384309,0.0319571079
07/1965,0.0287851091,0.0307398303,0.0364405178
08/1965,0.0292014285,0.0308937288,0.0360862198
09/1965,0.0284111099,0.0302977924,0.0346472901
10/1965,0.0272159043,0.029491907,0.0339142646
11/1965,0.0272171028,0.029213742,0.0329630551
12/1965,0.0276134828,0.0290947953,0.0320852625
01/1966,0.027940773,0.0285121949,0.0320714765
02/1966,0.0274703962,0.0285989659,0.030871078
03/1966,0.0278236129,0.029450679,0.0309109447
04/1966,0.0286313659,0.0302244429,0.0316881197
05/1966,0.0281515389,0.0300431087,0.0314155198
06/1966,0.0299273239,0.0317677806,0.0335816037
07/1966,0.0241748825,0.0351788097,0.0378357591
08/1966,0.025354857,0.0359289408,0.0390456261
09/1966,0.0274217804,0.0392527449,0.0422442481
10/1966,0.0275582516,0.0392052556,0.0425961682
11/1966,0.0276698347,0.0370397528,0.0417435656
12/1966,0.0265520147,0.037544961,0.041137338
01/1967,0.0266032848,0.0377229382,0.0404721607
02/1967,0.0247608829,0.0352829319,0.0377548894
03/1967,0.0242257767,0.0351670281,0.0372723504
04/1967,0.0235478214,0.0334153774,0.0355812033
05/1967,0.0222261239,0.0320362909,0.0351652902
06/1967,0.0235699275,0.0339533733,0.0359110637
07/1967,0.0207275832,0.0340137359,0.0397207743
08/1967,0.0191618427,0.0318836038,0.0369176935
09/1967,0.0195088654,0.0321241766,0.0375658944
10/1967,0.0181505824,0.0315407355,0.0362284325
11/1967,0.0186820605,0.0323277165,0.0377829078
12/1967,0.0185112889,0.0325879112,0.0379150878
01/1968,0.0176211161,0.0311840368,0.0364226445
02/1968,0.0189813765,0.0338144572,0.0372403743
03/1968,0.0229999258,0.0344579839,0.0383136924
04/1968,0.0193542558,0.0355103595,0.03803859
05/1968,0.0185242326,0.0326165648,0.0357039924
06/1968,0.0179500628,0.0318545135,0.035283004
07/1968,0.0175524144,0.0305720214,0.0354084271
08/1968,0.0192846971,0.0310382911,0.0370584263
09/1968,0.0190861326,0.0305044802,0.0365785471
10/1968,0.0198702353,0.0304334094,0.0347587335
11/1968,0.0194942028,0.0292137752,0.0345639845
12/1968,0.018278321,0.0278105602,0.0337105124
01/1969,0.0186080647,0.0288476461,0.0340641539
02/1969,0.0192523231,0.0289400619,0.0342254145
03/1969,0.020489943,0.0306259278,0.0363849804
04/1969,0.0197711466,0.0292561668,0.0351312568
05/1969,0.0191929297,0.0289900299,0.037175854
06/1969,0.0195586408,0.0291136588,0.0376374982
07/1969,0.0248132278,0.0303041787,0.0314714112
08/1969,0.026762146,0.0325360028,0.0329830517
09/1969,0.0255438795,0.0313493831,0.0316554322
10/1969,0.0264026844,0.0328587348,0.0319575669
11/1969,0.0247535043,0.0313673002,0.0305952932
12/1969,0.0261743743,0.0327716943,0.0316503384
01/1970,0.0265827249,0.0330025978,0.03151617
02/1970,0.029341054,0.0360957925,0.0342407935
03/1970,0.0274515324,0.0348802059,0.03294313
04/1970,0.0282643884,0.0348301757,0.0337530258
05/1970,0.0323205912,0.0382195863,0.0342406799
06/1970,0.0360269678,0.0406357385,0.0369854243
07/1970,0.0265775897,0.0451823675,0.0533118017
08/1970,0.0250365629,0.0423125247,0.047249996
09/1970,0.0236825228,0.0404679233,0.0448557647
10/1970,0.0228898887,0.0388124919,0.0430034603
11/1970,0.0224895205,0.0393063196,0.0435774156
12/1970,0.0216228952,0.0373777177,0.041368105
01/1971,0.0200369932,0.0347099969,0.038947112
02/1971,0.0192453971,0.0332852866,0.0378382774
03/1971,0.018920266,0.0327370787,0.0365747892
04/1971,0.0172015731,0.0324908658,0.0369334777
05/1971,0.017543755,0.030273198,0.0344585873
06/1971,0.0181499602,0.0312910771,0.0357944582
07/1971,0.0209295424,0.0342144082,0.0280278525
08/1971,0.022879139,0.035880078,0.0298539281
09/1971,0.0219245973,0.034936326,0.0278986822
10/1971,0.0212417759,0.035336202,0.0279782232
11/1971,0.0228504062,0.0369741174,0.0293058372
12/1971,0.022899101,0.0375805063,0.0293892929
01/1972,0.0206783597,0.0331493277,0.0264617792
02/1972,0.0199600649,0.0335697092,0.0266675825
03/1972,0.0191897981,0.0324884822,0.025095956
04/1972,0.0187463518,0.0315414791,0.0246674595
05/1972,0.0188436947,0.0330096313,0.0246498008
06/1972,0.0186469324,0.0326698046,0.0248080825
07/1972,0.0203513485,0.0251502051,0.0359078976
08/1972,0.0205021904,0.0260066654,0.0363653312
09/1972,0.0197412896,0.0250889998,0.0349038611
10/1972,0.019951089,0.0247616104,0.0357118235
11/1972,0.0205486976,0.0249977804,0.0380067314
12/1972,0.0193976691,0.0240577722,0.0353251016
01/1973,0.0186431872,0.0238570279,0.0348323726
02/1973,0.0189859667,0.0241571992,0.0376320676
03/1973,0.0197935327,0.025119795,0.040106631
04/1973,0.0201734928,0.0252958568,0.0416578969
05/1973,0.0214061311,0.0261330773,0.0435728912
06/1973,0.0220186924,0.0267516748,0.0457412419
07/1973,0.0261570217,0.0262140741,0.0362879552
08/1973,0.0245519872,0.0253118764,0.0339339125
09/1973,0.0258417278,0.0265578423,0.0350662703
10/1973,0.0240470837,0.0262250692,0.0323400073
11/1973,0.0247647754,0.0272163401,0.0324632258
12/1973,0.0290628767,0.0305637399,0.0376903161
01/1974,0.0286627489,0.0305429644,0.0361324058
02/1974,0.0287269663,0.0314413974,0.0369450835
03/1974,0.029163548,0.0321703306,0.036650516
04/1974,0.0302481992,0.0330579795,0.0373463841
05/1974,0.031809886,0.0345208801,0.0394261423
06/1974,0.0326971027,0.0360937058,0.0413089226
07/1974,0.0255025024,0.0394605808,0.043783325
08/1974,0.0288780823,0.0427351129,0.0475670761
09/1974,0.0329345721,0.0474922983,0.0522445924
10/1974,0.0387951203,0.0561701087,0.0604149548
11/1974,0.0323547391,0.0463550628,0.0510378405
12/1974,0.0342676529,0.049321938,0.0531044032
01/1975,0.0363339612,0.0513074558,0.0578184713
02/1975,0.0326626263,0.0455810207,0.0504336086
03/1975,0.0304222804,0.0423865768,0.0483521009
04/1975,0.0287021264,0.0417244753,0.0460688849
05/1975,0.0264432508,0.0401191071,0.0436421352
06/1975,0.0255848882,0.0383290216,0.0421599522
07/1975,0.0302524936,0.0430482065,0.0463108315
08/1975,0.0325237455,0.0458542425,0.0490765984
09/1975,0.0335811394,0.0473150124,0.0508991801
10/1975,0.0351454848,0.0489457032,0.0526015857
11/1975,0.0332488153,0.0453540101,0.0495885317
12/1975,0.0329062681,0.0442190204,0.0482398929
01/1976,0.0332897132,0.0452987532,0.0487622596
02/1976,0.0304279669,0.0401710091,0.0425796171
03/1976,0.031293664,0.040855126,0.0410919986
04/1976,0.0296541114,0.040193853,0.0414140663
05/1976,0.0307901679,0.0410295207,0.0422294169
06/1976,0.0313439298,0.0416296645,0.0434059656
07/1976,0.032614603,0.0365801285,0.0402919663
08/1976,0.0337717707,0.0372013314,0.0413952187
09/1976,0.0339786521,0.037301066,0.0421229669
10/1976,0.0327003906,0.036172554,0.0399501805
11/1976,0.0344229058,0.0385071416,0.0470113676
12/1976,0.0347426085,0.0388844799,0.0475099998
01/1977,0.0333899274,0.036891013,0.043036102
02/1977,0.0363340351,0.0396510207,0.0462558072
03/1977,0.0374146055,0.0405405544,0.0481811485
04/1977,0.0377496232,0.0409018256,0.0487831287
05/1977,0.038377998,0.0425881761,0.0497150995
06/1977,0.0399370151,0.0437491803,0.0539732418
07/1977,0.0385817083,0.0474994371,0.0376921546
08/1977,0.0404680535,0.0491972142,0.038880742
09/1977,0.0423999817,0.0502783181,0.0411747413
10/1977,0.0423158725,0.0509734545,0.0417517882
11/1977,0.0458937791,0.0535765791,0.043609371
12/1977,0.0444575197,0.051936184,0.0414698136
01/1978,0.0446277798,0.0521354519,0.0412376672
02/1978,0.0491333886,0.0554201642,0.0445990592
03/1978,0.050365478,0.0575563583,0.0452813304
04/1978,0.0491198166,0.0569613824,0.0431819229
05/1978,0.0469595856,0.0530893679,0.0399999342
06/1978,0.0461768128,0.0515873657,0.0388112102
07/1978,0.0426606689,0.0535330573,0.044250193
08/1978,0.0418474887,0.0512957152,0.0425893818
09/1978,0.0398642093,0.0498954186,0.0407504417
10/1978,0.0409269346,0.0524726256,0.0427815005
11/1978,0.0464263205,0.0565467675,0.0494175869
12/1978,0.0455962079,0.0559877325,0.0477345447
01/1979,0.0458685565,0.0548807342,0.0473537344
02/1979,0.0439782222,0.053504727,0.0458299644
03/1979,0.0458079594,0.0559245722,0.0486062351
04/1979,0.0438534254,0.0537732861,0.0476569676
05/1979,0.0437310104,0.0543122686,0.0486406145
06/1979,0.04471271,0.0562729762,0.0508391825
07/1979,0.0392696821,0.0549054802,0.0519133649
08/1979,0.0390751332,0.0553687975,0.0509470433
