date,p1,p2,p3
07/1963,0.0498220641,,
08/1963,0.049122807,,
09/1963,0.0463576159,,
10/1963,0.0462809917,,
11/1963,0.0455840456,,
12/1963,0.0507131537,,
01/1964,0.050752156,,
02/1964,0.0517698713,,
03/1964,0.0517698713,,
04/1964,0.0516891071,,
05/1964,0.0508164807,,
06/1964,0.0495699003,,
07/1964,0.0489343888,0.0328545356,
08/1964,0.0470390906,0.0333853551,
09/1964,0.0463644752,0.0347600462,
10/1964,0.0447878495,0.0342562774,
11/1964,0.0446115281,0.0336134454,
12/1964,0.0469038201,0.0335195531,
01/1965,0.0453813397,0.0332241387,
02/1965,0.0448129341,0.0348572196,
03/1965,0.0458879919,0.0371987733,
04/1965,0.04509093,0.0387980836,
05/1965,0.0449087752,0.0392643249,
06/1965,0.0476984799,0.0397685217,
07/1965,0.0492762089,0.0395779377,
08/1965,0.0494088709,0.0406346525,
09/1965,0.0486595945,0.0419410118,
10/1965,0.0461208465,0.039469965,
11/1965,0.0455591663,0.0391304345,
12/1965,0.0496374579,0.0394366194,
01/1966,0.049345786,0.0392415017,
02/1966,0.0507297952,0.0397280599,
03/1966,0.0522512076,0.0418019553,
04/1966,0.0553913376,0.0434315231,
05/1966,0.0559813988,0.0420305519,
06/1966,0.0609820056,0.0450899681,
07/1966,0.0634469446,0.0388224053,0.0473034756
08/1966,0.0644442552,0.0404104067,0.0476700805
09/1966,0.0711193026,0.0425682439,0.0515805168
10/1966,0.0696627073,0.0427758939,0.0520892004
11/1966,0.0616038658,0.0390243911,0.0472271916
12/1966,0.067759386,0.0410256419,0.0513618679
01/1967,0.0682241523,0.0392899777,0.0521695542
02/1967,0.0596188452,0.0375068957,0.052586313
03/1967,0.0616672295,0.0374260619,0.0545420023
04/1967,0.0582275812,0.0361785265,0.0515592366
05/1967,0.0464337876,0.0368012559,0.0522749779
06/1967,0.0509412636,0.0396449893,0.0539854066
07/1967,0.0520338095,0.0540960325,0.038253937
08/1967,0.0475827232,0.0512609681,0.0420189396
09/1967,0.0483267672,0.0530108405,0.0431573838
10/1967,0.0460580807,0.0492526092,0.0422214406
11/1967,0.0462184621,0.0507352799,0.0444444456
12/1967,0.0473226848,0.0518796847,0.0447761206
01/1968,0.0460926466,0.0511709503,0.0445190155
02/1968,0.0483314765,0.0505863151,0.0440180954
03/1968,0.0499984029,0.0517063073,0.0457744284
04/1968,0.0506272189,0.0501338436,0.0463523883
05/1968,0.0488973277,0.0495939336,0.0470424268
06/1968,0.0498111085,0.0527223079,0.0486267573
07/1968,0.0514351931,0.0465755045,0.0504650924
08/1968,0.046621951,0.0470203697,0.0515089993
09/1968,0.0463125505,0.0466771553,0.0516733023
10/1968,0.0464171248,0.0453529807,0.0487939165
11/1968,0.0445103808,0.0439359285,0.0490028498
12/1968,0.0431249522,0.041921399,0.052121213
01/1969,0.0461928456,0.0446172915,0.0543270888
02/1969,0.0463324639,0.0439543956,0.0545027138
03/1969,0.0474598479,0.0457549371,0.0553803743
04/1969,0.0451864533,0.0459765106,0.0525056678
05/1969,0.0462087056,0.0422591268,0.0679847082
06/1969,0.0450156588,0.0421656331,0.0682984838
07/1969,0.0479218733,0.0712584501,0.0503395476
08/1969,0.0529834731,0.0766773396,0.0551546347
09/1969,0.0509008499,0.0765451373,0.0503395476
10/1969,0.0537922409,0.0756323333,0.0556521761
11/1969,0.055309825,0.074000001,0.0542372903
12/1969,0.0589439028,0.0781690151,0.0566371704
01/1970,0.0596832689,0.0802980419,0.0569200531
02/1970,0.0656136369,0.0867267177,0.0628412666
03/1970,0.0651024615,0.0800073504,0.0552409955
04/1970,0.0616137395,0.074628705,0.0515968995
05/1970,0.0666707628,0.0583820541,0.0555425448
06/1970,0.063699562,0.0624316763,0.0560369888
07/1970,0.0639290313,0.0611910176,0.0669976125
08/1970,0.0588332026,0.0559848113,0.0597727404
09/1970,0.0541922617,0.0559848113,0.0562566969
10/1970,0.0550075173,0.0570673905,0.0553120882
11/1970,0.0483043437,0.0597383342,0.0539568328
12/1970,0.0445829211,0.0571052396,0.0518134699
01/1971,0.042123607,0.0530148001,0.0511070953
02/1971,0.0413961222,0.0485973991,0.053097163
03/1971,0.0421737921,0.0530604256,0.0499166341
04/1971,0.0411532246,0.0533325303,0.0470217823
05/1971,0.0379462625,0.0531963963,0.0470956504
06/1971,0.0406985408,0.0574579861,0.0494232773
07/1971,0.0424139506,0.056587234,0.0497511265
08/1971,0.0435123523,0.0589481676,0.0496731398
09/1971,0.0401362547,0.0601476942,0.0536154525
10/1971,0.040369927,0.0599733531,0.0527777111
11/1971,0.0426835731,0.0611423989,0.0542857128
12/1971,0.0428276406,0.0620577043,0.0551724122
01/1972,0.0412080831,0.0578940384,0.0514662852
02/1972,0.0406781594,0.0579964513,0.0511185573
03/1972,0.0419005223,0.059663016,0.0509492906
04/1972,0.0395313446,0.0600078889,0.0547568888
05/1972,0.0439974411,0.0606396309,0.0558810659
06/1972,0.0466963842,0.0609952885,0.0518829197
07/1972,0.0480848434,0.0525828579,0.0487345866
08/1972,0.0480485653,0.0513844432,0.0489865917
09/1972,0.0460109893,0.0480591017,0.0463428709
10/1972,0.0457611236,0.0480591017,0.046416548
11/1972,0.0457942991,0.0455089786,0.0595317726
12/1972,0.0413140348,0.0435530053,0.054853621
01/1973,0.0388598272,0.0433693017,0.0549115589
02/1973,0.0410768569,0.0400644892,0.0576544003
03/1973,0.045279539,0.042473962,0.0605959514
04/1973,0.0467099396,0.0402236858,0.0616443242
05/1973,0.0476779468,0.0394535772,0.063784808
06/1973,0.0500003435,0.0404517369,0.0679498608
07/1973,0.0351880682,0.0666253459,0.024400871
08/1973,0.0367525178,0.0653860461,0.0223107566
09/1973,0.0394078077,0.0683684747,0.0245243127
10/1973,0.0378286484,0.0656800669,0.0230158728
11/1973,0.0404386363,0.0807611495,0.0229445507
12/1973,0.0433135386,0.1028446896,0.0237623762
01/1974,0.041784163,0.1084860503,0.0238095238
02/1974,0.0451825251,0.0966642954,0.0258872653
03/1974,0.046270199,0.0981935467,0.0273730686
04/1974,0.0478636723,0.0990654259,0.0285714288
05/1974,0.0517682287,0.0957386548,0.0303921571
06/1974,0.0539714573,0.092003232,0.0331606223
07/1974,0.0445861333,0.056597365,0.0471301293
08/1974,0.0528160609,0.0578327583,0.0514789968
09/1974,0.0583973025,0.0645593766,0.0543940878
10/1974,0.0639829657,0.0753703735,0.0648712551
11/1974,0.0655972121,0.0641524798,0.0514231824
12/1974,0.0716998681,0.0719032111,0.0551122305
01/1975,0.0691868547,0.0719871684,0.0572925707
02/1975,0.0561270705,0.0643367202,0.0487862359
03/1975,0.056903872,0.0600741541,0.0439474371
04/1975,0.0511408213,0.0614314586,0.0452790742
05/1975,0.0514694497,0.0593132532,0.0441065717
06/1975,0.0492295996,0.0554710876,0.0427221509
07/1975,0.0366083812,0.0496716313,0.0722570893
08/1975,0.0382856092,0.0534656338,0.0761613427
09/1975,0.0391768639,0.0540869941,0.0777949749
10/1975,0.0390734734,0.0545700004,0.0734767195
11/1975,0.0346499019,0.0501553327,0.0756893109
12/1975,0.03283345,0.0512294782,0.07767555
01/1976,0.032976921,0.0508174553,0.0733127476
02/1976,0.0297708499,0.0448585719,0.0681385963
03/1976,0.0295859285,0.0490234511,0.0713574353
04/1976,0.0284070835,0.04695787,0.0564079112
05/1976,0.03150607,0.047625222,0.0631426511
06/1976,0.0315336387,0.0463738204,0.0640214512
07/1976,0.035598214,0.0436915725,0.0559847325
08/1976,0.0378226353,0.0432087927,0.0631764936
09/1976,0.0376131467,0.0447388459,0.0639999879
10/1976,0.0361588835,0.0440838808,0.0536381103
11/1976,0.0443744078,0.0456097232,0.0634211922
12/1976,0.0449403541,0.0482363129,0.0654056353
01/1977,0.0429703157,0.0406435006,0.0536257074
02/1977,0.0467670404,0.0415253747,0.059227135
03/1977,0.0477701388,0.0447025196,0.0617218207
04/1977,0.0486634561,0.0458366107,0.0642876655
05/1977,0.0535386778,0.0442663186,0.0648757497
06/1977,0.0553687888,0.0465321098,0.0653907455
07/1977,0.0434616646,0.0742614412,0.0501322262
08/1977,0.0444570811,0.0765870433,0.0552393523
09/1977,0.0461390368,0.0792667716,0.0591930606
10/1977,0.0469801872,0.0774171986,0.0640939255
11/1977,0.0503070139,0.0835929815,0.0613983714
12/1977,0.0485631277,0.0869261185,0.0599888286
01/1978,0.0474674642,0.0862127512,0.0670127026
02/1978,0.0523153015,0.0948213137,0.0662851012
03/1978,0.0532286965,0.0961720243,0.0670502381
04/1978,0.0542702034,0.0918751819,0.0661050185
05/1978,0.0524270294,0.0816994187,0.0624739267
06/1978,0.0519051074,0.0853556925,0.0649775845
07/1978,0.0562883857,0.0626848011,0.0675319791
08/1978,0.0541093146,0.0603634842,0.0624474262
09/1978,0.0536485077,0.0585786644,0.061306557
10/1978,0.0533169925,0.064714729,0.0634459588
11/1978,0.0608629709,0.0620436934,0.0654779019
12/1978,0.0593483452,0.061235641,0.0612733925
01/1979,0.0610016702,0.0595325753,0.0610535116
02/1979,0.0601417289,0.0578307184,0.0596120087
03/1979,0.0615421085,0.0598953871,0.0607208086
04/1979,0.058068344,0.0565521218,0.0641192967
05/1979,0.0559755773,0.0577859879,0.0565409128
06/1979,0.0586494001,0.0597846597,0.0608243568
07/1979,0.0562105627,0.0666387514,0.0568310123
08/1979,0.0593785505,0.0625888704,0.0588002036
