date,p1,p2,p3
07/1963,0.0285482567,0.0319030023,0.0389471779
08/1963,0.0288508495,0.0322743625,0.0389686227
09/1963,0.0275122321,0.0309686076,0.0371104191
10/1963,0.0278944699,0.0316280527,0.0375549617
11/1963,0.0276729902,0.03176955,0.0372367499
12/1963,0.0285206743,0.0321495229,0.0382933588
01/1964,0.0280880625,0.0307713093,0.0374971603
02/1964,0.027628481,0.0302474394,0.036915
03/1964,0.0272819883,0.0303001739,0.0366128221
04/1964,0.0268289093,0.0295431858,0.0353529149
05/1964,0.0273271054,0.029682762,0.0352019592
06/1964,0.0272425997,0.0295791946,0.0353746354
07/1964,0.0268688649,0.0281067837,0.035823986
08/1964,0.0274459802,0.027495593,0.0355500999
09/1964,0.0278307341,0.0283165994,0.0368184205
10/1964,0.0275613488,0.0281021475,0.0365495063
11/1964,0.0275854088,0.0273675886,0.0360375346
12/1964,0.0278553875,0.0269210184,0.0363366631
01/1965,0.0274468082,0.0265830204,0.0363928784
02/1965,0.0262966005,0.0264941226,0.0362469341
03/1965,0.0264067058,0.0266644254,0.0365882463
04/1965,0.0266581483,0.0272874448,0.0373057377
05/1965,0.0264796648,0.026747865,0.0371579468
06/1965,0.0267422866,0.0270250071,0.0375810893
07/1965,0.0273689319,0.0290657641,0.0378205316
08/1965,0.027842331,0.0290759578,0.0380022414
09/1965,0.0268313626,0.0283175893,0.0374514817
10/1965,0.0258386349,0.0275792396,0.0361782606
11/1965,0.0256231788,0.0273158467,0.0359557948
12/1965,0.025824351,0.0272138164,0.0359460645
01/1966,0.0255501782,0.0274927473,0.0356191833
02/1966,0.0255017685,0.0268686632,0.0350879966
03/1966,0.0254819855,0.0277677384,0.0359313489
04/1966,0.0261562093,0.0285427889,0.0369843503
05/1966,0.0257543549,0.0280845681,0.037008449
06/1966,0.027328695,0.0300410296,0.0389591318
07/1966,0.0266843737,0.0312726998,0.0406235207
08/1966,0.0277352105,0.032274455,0.0413799875
09/1966,0.0302157882,0.0349113666,0.0450765368
10/1966,0.0308989386,0.0342669727,0.045061628
11/1966,0.029872597,0.0333874652,0.0430607627
12/1966,0.029019984,0.0331673972,0.0437144633
01/1967,0.0289327363,0.0336025423,0.0433800504
02/1967,0.0269397684,0.0313486399,0.0406592141
03/1967,0.0262276908,0.0310260585,0.0411630444
04/1967,0.0256505408,0.0293581953,0.0386545898
05/1967,0.0230412558,0.0296073314,0.0381930745
06/1967,0.0245018492,0.0313034073,0.0394669238
07/1967,0.0200779152,0.033970138,0.0406265361
08/1967,0.0189386012,0.0311714873,0.0386223401
09/1967,0.0192000853,0.0316445253,0.039018423
10/1967,0.0184376164,0.0304362977,0.0379300649
11/1967,0.0184036325,0.0315609105,0.0400912364
12/1967,0.0182070986,0.0315994959,0.0408785404
01/1968,0.0174879653,0.0299005428,0.0392174344
02/1968,0.0196242896,0.0317370202,0.0398680963
03/1968,0.0197803542,0.036272636,0.0413758603
04/1968,0.0189799471,0.0344235999,0.0415492321
05/1968,0.0183486117,0.0314835891,0.0388389071
06/1968,0.0175796718,0.0308994284,0.0383568459
07/1968,0.0172311724,0.0329745451,0.0351409841
08/1968,0.0185903728,0.033241583,0.0369411083
09/1968,0.0183538678,0.0327967594,0.0362864675
10/1968,0.0182875068,0.0324429261,0.0362521683
11/1968,0.0187529112,0.031395811,0.0338511398
12/1968,0.0175671353,0.030190235,0.0327494251
01/1969,0.0180729966,0.0308660645,0.0332022951
02/1969,0.0185149648,0.0312354235,0.0332693837
03/1969,0.0197365694,0.033005161,0.0355211172
04/1969,0.01876898,0.0318505244,0.0344085401
05/1969,0.0178690341,0.0334769473,0.0342274756
06/1969,0.0186236751,0.0331492996,0.0343664674
07/1969,0.0184573406,0.0355708586,0.0362942385
08/1969,0.0192754729,0.0383098912,0.0387761741
09/1969,0.0184901993,0.0368510303,0.037155951
10/1969,0.0185293699,0.0387771109,0.0380468754
11/1969,0.0181313434,0.0370221384,0.0351914808
12/1969,0.0187721346,0.03888603,0.0366048296
01/1970,0.018585674,0.0392873751,0.037371224
02/1970,0.0202491344,0.0433487649,0.0400101264
03/1970,0.0200346704,0.0409836265,0.0381211859
04/1970,0.0213738866,0.0406988023,0.0381320543
05/1970,0.0232658455,0.0426964805,0.0423532598
06/1970,0.0255448525,0.0450545339,0.0464823192
07/1970,0.0299817886,0.0424768563,0.0541010891
08/1970,0.0286124946,0.0395711485,0.0482466914
09/1970,0.0272047273,0.037448873,0.0461586908
10/1970,0.0260409408,0.0357877219,0.0443884781
11/1970,0.0247893185,0.0373696176,0.0449203503
12/1970,0.0236452297,0.0354637968,0.0431481423
01/1971,0.0219942236,0.0326861304,0.0405252807
02/1971,0.0211952506,0.0315447542,0.0388871545
03/1971,0.020665728,0.0309611227,0.0381019018
04/1971,0.0188063906,0.0308952637,0.0386477171
05/1971,0.0187889831,0.0292447603,0.0357782825
06/1971,0.0194722274,0.0300999395,0.0372462154
07/1971,0.0197661672,0.0291850208,0.0380784878
08/1971,0.0218353682,0.0309070027,0.0393948764
09/1971,0.0206318526,0.0302613737,0.0376994107
10/1971,0.0199321001,0.0302994498,0.0384671195
11/1971,0.0214506394,0.0318672086,0.0401916059
12/1971,0.0216275256,0.0321496907,0.0406625308
01/1972,0.0195007267,0.0291903541,0.0345237177
02/1972,0.0189729405,0.0289103896,0.0357213745
03/1972,0.0181149342,0.027644157,0.0349409425
04/1972,0.0177081109,0.0272884775,0.0330562307
05/1972,0.0178927913,0.0277682539,0.0347434088
06/1972,0.0178125384,0.0272999036,0.0349003525
07/1972,0.0180056723,0.0287829312,0.0338467022
08/1972,0.0182260872,0.0296259775,0.0341021178
09/1972,0.0177574194,0.0283782222,0.0324832524
10/1972,0.0179905853,0.0280958392,0.0328838808
