date,p1,p2,p3
07/1963,0.0321242197,,
08/1963,0.0323832246,,
09/1963,0.0310489619,,
10/1963,0.0316666302,,
11/1963,0.0315549181,,
12/1963,0.03224636,,
01/1964,0.0313708524,,
02/1964,0.0309913324,,
03/1964,0.030865418,,
04/1964,0.0301889366,,
05/1964,0.0304142364,,
06/1964,0.0303932833,,
07/1964,0.0301039285,,
08/1964,0.0298942106,,
09/1964,0.0306051383,,
10/1964,0.0302304095,,
11/1964,0.0300051354,,
12/1964,0.0306206138,,
01/1965,0.0304062667,,
02/1965,0.0297040301,,
03/1965,0.0292099694,,
04/1965,0.0296674707,,
05/1965,0.0293826436,,
06/1965,0.0297075853,,
07/1965,0.0313068893,,
08/1965,0.0314624714,,
09/1965,0.0306756,,
10/1965,0.0298311252,,
11/1965,0.0295868648,,
12/1965,0.0297125307,,
01/1966,0.029563943,,
02/1966,0.0293815179,,
03/1966,0.0299251591,,
04/1966,0.0307163875,,
05/1966,0.0303548708,,
06/1966,0.0321144252,,
07/1966,0.0326253721,,
08/1966,0.0336282622,,
09/1966,0.0367717339,,
10/1966,0.0368215435,,
11/1966,0.0354846389,,
12/1966,0.035198831,,
01/1967,0.0350157052,,
02/1967,0.0327025103,,
03/1967,0.0323679238,,
04/1967,0.0310333033,,
05/1967,0.0299703212,,
06/1967,0.0315852439,,
07/1967,0.0312740988,,
08/1967,0.0293342867,,
09/1967,0.0297463366,,
10/1967,0.0288602835,,
11/1967,0.0297585967,,
12/1967,0.0296248458,,
01/1968,0.0282808815,,
02/1968,0.02998236,,
03/1968,0.0319297743,,
04/1968,0.0312634573,,
05/1968,0.0290712013,,
06/1968,0.028144168,,
07/1968,0.0279033232,,
08/1968,0.0291380281,,
09/1968,0.0286823556,,
10/1968,0.0284289883,,
11/1968,0.0280232512,,
12/1968,0.0265824531,,
01/1969,0.0271898745,,
02/1969,0.0274662912,,
03/1969,0.0291686107,,
04/1969,0.0281905652,,
05/1969,0.0281768481,,
06/1969,0.028452479,,
07/1969,0.0308671548,,
08/1969,0.0330246936,,
09/1969,0.0318553032,,
10/1969,0.0328973246,,
11/1969,0.031043385,,
12/1969,0.0324351229,,
01/1970,0.0324629273,,
02/1970,0.035264501,,
03/1970,0.0337841732,,
04/1970,0.0340895115,,
05/1970,0.0370254055,,
06/1970,0.0400611133,,
07/1970,0.0428556521,,
08/1970,0.0396763302,,
