date,p1,p2,p3
08/1963,0.025862892,0.0325642333,0.0329283919
09/1963,0.0235147179,0.0322252864,0.0314468026
10/1963,0.02506514,0.0332832779,0.0319089763
11/1963,0.0228583338,0.0320751864,0.032404414
12/1963,0.0248725037,0.032240964,0.0332539412
01/1964,0.0232777959,0.033224854,0.0318512972
02/1964,0.0224763389,0.033145259,0.0313217442
03/1964,0.021624691,0.0326658632,0.0313024129
04/1964,0.0206418449,0.0326315538,0.0305640016
05/1964,0.0209482626,0.0331774277,0.0306085924
06/1964,0.0217088255,0.0338594714,0.0303676287
07/1964,0.0218258566,0.0325974011,0.0303533499
08/1964,0.0237882262,0.0313897024,0.0300865764
09/1964,0.0247727374,0.0315136723,0.0309552572
10/1964,0.0234795182,0.0307191531,0.03092976
11/1964,0.0239225001,0.0296594351,0.0308186391
12/1964,0.0257733469,0.0320637532,0.0307120743
01/1965,0.0241341944,0.0333463057,0.0302531543
02/1965,0.0319372039,0.0299471842,0.0293914203
03/1965,0.0225889338,0.0277921538,0.0303829156
04/1965,0.023736223,0.0269424962,0.0310369936
05/1965,0.0226369607,0.0271495176,0.0307617572
06/1965,0.0242503124,0.0291660822,0.0304550476
07/1965,0.0260313342,0.0285654199,0.0325723946
08/1965,0.0241207513,0.0298713273,0.0327371932
09/1965,0.0239547747,0.0278390219,0.0323517641
10/1965,0.0242470837,0.0259410974,0.0318598514
11/1965,0.0233926976,0.0278206334,0.0309950043
12/1965,0.0225161548,0.0259710406,0.031958858
01/1966,0.0215353445,0.0257714399,0.031795563
02/1966,0.0206328589,0.0256783498,0.0317946823
03/1966,0.0207608058,0.0249031844,0.0331239607
04/1966,0.0224775793,0.0264351015,0.0334378741
05/1966,0.0198211158,0.0269136715,0.0332679719
06/1966,0.0214156749,0.0289157933,0.0349901114
07/1966,0.0205533419,0.0288985416,0.0360891651
08/1966,0.0208761235,0.0312057169,0.0368685366
09/1966,0.0238037284,0.0356778044,0.0395937247
10/1966,0.0252152253,0.037465486,0.0391056967
11/1966,0.0252587111,0.035562903,0.0374437541
12/1966,0.0223357073,0.0368607236,0.0373465879
01/1967,0.0240048825,0.0344516266,0.0372198495
02/1967,0.0223223547,0.0318985182,0.0346976783
03/1967,0.0217638261,0.0303484439,0.0344994373
04/1967,0.0219182544,0.028706123,0.0330847698
05/1967,0.0216047769,0.0277454672,0.0320148272
06/1967,0.0236351069,0.0267752882,0.0346708125
07/1967,0.0226398013,0.0272658271,0.0342354328
08/1967,0.0210822139,0.0265584205,0.0320373745
09/1967,0.0219239137,0.0259071191,0.0325627857
10/1967,0.0208228405,0.0244108637,0.0320280367
11/1967,0.0190141097,0.0245739477,0.0335559175
12/1967,0.0187812066,0.0243545038,0.0336916961
01/1968,0.0163292087,0.0255915665,0.0315199295
02/1968,0.0188128067,0.02778922,0.0326607464
03/1968,0.0213754443,0.0285337452,0.0348847256
04/1968,0.0204429871,0.0296540294,0.0339419169
05/1968,0.0182281049,0.0252384192,0.0324684018
06/1968,0.0175676432,0.0241764766,0.0314032382
07/1968,0.0198312902,0.0240680635,0.0305338625
08/1968,0.0207046649,0.0260409123,0.0316336546
09/1968,0.0203395083,0.0250123427,0.0314815187
