date,p1,p2,p3
07/1963,0.0294471722,0.0349359695,0.0359843724
08/1963,0.0297096371,0.0351316927,0.0359959856
09/1963,0.0284642661,0.0338120827,0.0343236897
10/1963,0.0289385246,0.0344274382,0.0353209336
11/1963,0.0290053391,0.0345181737,0.0341700041
12/1963,0.0297136532,0.0352701172,0.0348897515
01/1964,0.0286097992,0.0345576518,0.0346643154
02/1964,0.0282648707,0.03415524,0.0342111383
03/1964,0.0282285233,0.0341349734,0.0334304651
04/1964,0.0277517215,0.0332716284,0.0324252481
05/1964,0.0279605496,0.0335413989,0.032593187
06/1964,0.0278723556,0.0338518294,0.0322733504
07/1964,0.0276384358,0.0330534219,0.0331624275
08/1964,0.0276157444,0.0323070127,0.0334945991
09/1964,0.0284139361,0.0326907734,0.0340957769
10/1964,0.0283487465,0.031734919,0.0334966582
11/1964,0.027980812,0.0317431751,0.0332854002
12/1964,0.0279241185,0.0315581322,0.0342565889
01/1965,0.0276379959,0.0311228758,0.0342603678
02/1965,0.0271000597,0.0305202492,0.032995668
03/1965,0.0273841289,0.0306041102,0.0328952841
04/1965,0.0278592581,0.0311019848,0.0332015052
05/1965,0.0277096017,0.0306581456,0.03246743
06/1965,0.0279942332,0.0308454542,0.0331813927
07/1965,0.0291150363,0.0320350608,0.0363457914
08/1965,0.0292774938,0.032374207,0.0360512331
09/1965,0.0284925071,0.031784881,0.0352583548
10/1965,0.0275891633,0.0311169368,0.0345859565
11/1965,0.0274392672,0.0310560507,0.033786643
12/1965,0.0276803423,0.0306702921,0.0335637734
01/1966,0.0279789905,0.0299321423,0.0329636677
02/1966,0.0277166252,0.0305456527,0.0314001626
03/1966,0.0283275116,0.0311556021,0.0313908246
04/1966,0.028969958,0.0319281655,0.0325434868
05/1966,0.028619696,0.0319301813,0.0319591333
06/1966,0.030227378,0.03385019,0.0342307502
07/1966,0.0290044055,0.0351287303,0.0392439886
08/1966,0.0299468648,0.0360431876,0.0403986267
09/1966,0.0326607133,0.0391402518,0.0444121109
10/1966,0.0328820981,0.038439163,0.0450027129
11/1966,0.0314144846,0.0375209723,0.0428756617
12/1966,0.0307274383,0.0379470521,0.0431980639
01/1967,0.0308528105,0.0376770933,0.0419052926
02/1967,0.0291002478,0.0349894677,0.0390870891
03/1967,0.0285885079,0.0354112195,0.0389330954
04/1967,0.027718395,0.0334339881,0.0373551149
05/1967,0.0259482115,0.0333419438,0.037101438
06/1967,0.0274070039,0.0353722096,0.0387021322
07/1967,0.0273890338,0.0349904491,0.0391216205
08/1967,0.0254552655,0.0339748818,0.0357635823
09/1967,0.0258108957,0.0348025046,0.0356958011
10/1967,0.0244671526,0.0349886898,0.0348561956
11/1967,0.0249701862,0.0366666209,0.0365282523
12/1967,0.0248935397,0.0364080925,0.036790521
01/1968,0.0239483485,0.0347035622,0.0342569207
02/1968,0.0259899089,0.0361023131,0.0347048767
03/1968,0.0283856075,0.037241276,0.0364142997
04/1968,0.0264694215,0.0388839666,0.0372960888
05/1968,0.0249076679,0.0364482419,0.0334009113
06/1968,0.0243538864,0.0353480584,0.0323855637
07/1968,0.0209447812,0.0337267877,0.0387310814
08/1968,0.0225122442,0.034046275,0.0394002133
09/1968,0.0222001291,0.0336474766,0.0390873541
10/1968,0.02233599,0.0334502851,0.0378280858
11/1968,0.0222897968,0.0324015758,0.0364013108
12/1968,0.0211713263,0.0307832996,0.0346935789
01/1969,0.0218855041,0.0313324406,0.0347646232
02/1969,0.0225399495,0.0311567828,0.034575922
03/1969,0.0236127982,0.0335542349,0.0372383904
04/1969,0.0226350778,0.0325146527,0.0366338741
05/1969,0.0228536923,0.0324171849,0.0370262283
06/1969,0.0233159802,0.0322650817,0.0371697953
07/1969,0.0194489395,0.0384492852,0.0409618336
08/1969,0.0202584254,0.041366604,0.0445009824
09/1969,0.0192327533,0.0404536636,0.0431638735
10/1969,0.0192955339,0.0423926375,0.0456279582
11/1969,0.0184986111,0.0403867367,0.0425306692
12/1969,0.0189694379,0.0427237585,0.0454234322
01/1970,0.0186197551,0.043683048,0.0462457771
02/1970,0.0201685748,0.048452721,0.0494848858
03/1970,0.0199166294,0.0457454134,0.0459718975
04/1970,0.0209355944,0.0451292805,0.0455388808
05/1970,0.0230262425,0.0475696072,0.0505144825
06/1970,0.0252003205,0.050338245,0.0543636462
07/1970,0.0313762162,0.0521293337,0.0605419667
08/1970,0.0290790773,0.0478572682,0.0563191721
09/1970,0.0279866324,0.0451355156,0.0530875398
10/1970,0.0271928427,0.043146821,0.0507269248
11/1970,0.02637642,0.0449560221,0.0540282488
12/1970,0.0253135452,0.0423198401,0.0509714472
01/1971,0.0237495377,0.0393192115,0.0460431797
02/1971,0.022869343,0.0381202917,0.0439280824
03/1971,0.0224806525,0.0374630772,0.0439216002
04/1971,0.0216618137,0.0369207237,0.0434042124
05/1971,0.0208033307,0.0356087183,0.0420510662
06/1971,0.0215037311,0.0368716051,0.0442465052
07/1971,0.0228863571,0.0362184804,0.0421904338
08/1971,0.0246968974,0.0381377676,0.0440800769
09/1971,0.0238821439,0.0371927145,0.0420539213
10/1971,0.0234253392,0.0377961116,0.0431741415
11/1971,0.0248299811,0.0392974352,0.0435907848
12/1971,0.0250459679,0.0399871374,0.0441781834
01/1972,0.0223648807,0.0355209377,0.0398317141
02/1972,0.0223223973,0.0356590459,0.0384707019
03/1972,0.0213333495,0.0351050766,0.0385944488
04/1972,0.0206611543,0.0345911126,0.037678236
05/1972,0.0210278112,0.0356839517,0.0381229793
06/1972,0.0206650364,0.0361983428,0.0394447134
07/1972,0.0168564331,0.0406428674,0.0417063636
08/1972,0.016994632,0.0420092749,0.04239571
09/1972,0.0166631111,0.039267561,0.0400082432
10/1972,0.0167426203,0.0392688666,0.040282592
11/1972,0.0175563751,0.0392131354,0.0399117651
12/1972,0.0169072748,0.0366060759,0.0379570336
01/1973,0.0162136081,0.0367811347,0.0374762358
02/1973,0.0168073306,0.0371488583,0.0402609798
03/1973,0.0174246558,0.0391901078,0.0428045313
04/1973,0.0178388946,0.0395964796,0.0432718114
05/1973,0.0190554302,0.0401742069,0.0456459964
06/1973,0.0194964753,0.0414336774,0.0475282037
07/1973,0.0222339548,0.0449541373,0.0497326709
08/1973,0.0212548392,0.0429318755,0.0477311558
09/1973,0.0222515531,0.0446731719,0.0489323484
10/1973,0.0218394213,0.0409547207,0.0454291866
11/1973,0.0223437843,0.0396243212,0.0440854186
12/1973,0.025460039,0.0458767666,0.0504402762
01/1974,0.0257501168,0.0424046053,0.0492786267
02/1974,0.0264466481,0.0431678124,0.0479213152
03/1974,0.0269394454,0.0438606556,0.0476811353
04/1974,0.0278400437,0.0452162505,0.0496201475
05/1974,0.0289892639,0.0495543415,0.0541667128
06/1974,0.0298076306,0.0531720782,0.0591087992
07/1974,0.0314594736,0.0636808424,0.0608686043
08/1974,0.0348959948,0.0668854589,0.0638438748
09/1974,0.0390815884,0.0740687175,0.0716517467
10/1974,0.0465117056,0.0812163374,0.078088139
11/1974,0.0377677958,0.0726588497,0.067834059
12/1974,0.039998363,0.0751704082,0.0695665667
01/1975,0.0424642014,0.0771995611,0.0728874244
02/1975,0.0378392517,0.0664853455,0.06014205
03/1975,0.0352239947,0.0645902588,0.0606957089
04/1975,0.0345053525,0.0617840952,0.0583025353
05/1975,0.0325962572,0.0610649855,0.0570330705
06/1975,0.0311361204,0.0582649292,0.0554224032
07/1975,0.0290876225,0.0558520828,0.0512342958
08/1975,0.031289171,0.0592214459,0.0541572718
09/1975,0.0323385851,0.0615518493,0.0572898445
10/1975,0.0336692286,0.0640226397,0.0614577062
11/1975,0.0314143488,0.0605005252,0.0588848131
12/1975,0.0309439105,0.0590355268,0.0572435401
01/1976,0.0317651843,0.0592257353,0.0568996635
02/1976,0.0288284117,0.0517787359,0.0505406588
03/1976,0.0296075036,0.0516660003,0.0491387571
04/1976,0.0287252527,0.0507688294,0.0475288767
05/1976,0.0297495143,0.0515580388,0.0490582137
06/1976,0.0300638879,0.053018314,0.0502216723
07/1976,0.0273704673,0.0523253385,0.0470646001
08/1976,0.0281119424,0.0537756777,0.0471393029
09/1976,0.0284260659,0.0536514479,0.0477813128
10/1976,0.0275128147,0.0509142619,0.0468659153
11/1976,0.0305317444,0.0538997951,0.0487554379
12/1976,0.0310904801,0.0536557634,0.0479294294
01/1977,0.0295937564,0.0496725878,0.0442338099
02/1977,0.0327293664,0.052006542,0.0457485858
03/1977,0.0337670132,0.0537182068,0.0475159777
04/1977,0.0343312542,0.0533788502,0.0480290134
05/1977,0.0358927478,0.0533890389,0.0472752005
06/1977,0.0374294601,0.0542931822,0.0524270934
07/1977,0.0350780841,0.0518422572,0.0494036585
08/1977,0.0363658008,0.0546016657,0.0505945778
09/1977,0.0373201587,0.0573353652,0.053168188
10/1977,0.0375610203,0.0576392079,0.05338558
11/1977,0.04062347,0.0597384801,0.0563597057
12/1977,0.0393099979,0.0581424532,0.0541809541
01/1978,0.0392463054,0.0592109634,0.0543100613
02/1978,0.0430869442,0.0629682201,0.0580605092
03/1978,0.0444032542,0.0645696132,0.0595433007
04/1978,0.0435531302,0.0628520006,0.0573475483
05/1978,0.0406489662,0.060076753,0.0542882182
06/1978,0.0399496337,0.0576319584,0.0545092485
07/1978,0.0372667408,0.0611914089,0.0559562826
08/1978,0.0360022205,0.0589267736,0.0548451582
09/1978,0.0346873848,0.0568192045,0.0527967259
10/1978,0.0370012325,0.0582118229,0.052783825
11/1978,0.040879967,0.0645073933,0.0608652281
12/1978,0.040329448,0.0629596913,0.0603280458
01/1979,0.039848572,0.0625110994,0.0604036829
02/1979,0.0390627584,0.0602196594,0.0571434817
03/1979,0.0407785434,0.0630964189,0.0600071773
04/1979,0.0388586107,0.0613970851,0.0571436456
05/1979,0.0396438486,0.0609640391,0.0579198164
06/1979,0.0410050374,0.0628791512,0.0591417471
