date,p1,p2,p3
07/1963,0.0263907844,0.0366700326,0.034319052
08/1963,0.0262349067,0.03663829,0.0359124091
09/1963,0.0255349238,0.0350847178,0.0340440144
10/1963,0.0265743821,0.0357015536,0.034182678
11/1963,0.0265867528,0.0354862347,0.0344206676
12/1963,0.0269381206,0.0370652291,0.0345770841
01/1964,0.026209316,0.0351579349,0.0342042651
02/1964,0.0285011469,0.0334105476,0.0329437137
03/1964,0.0288317538,0.0324595579,0.0326888397
04/1964,0.029452142,0.0307218729,0.0307250905
05/1964,0.0300580939,0.0304581241,0.0302676525
06/1964,0.0297669683,0.0301789731,0.0317715809
07/1964,0.0297995568,0.0291796949,0.0315824394
08/1964,0.0296085919,0.0289921239,0.0315697824
09/1964,0.0300318032,0.0303741509,0.0321720883
10/1964,0.0300305992,0.0296600174,0.0309701317
11/1964,0.0288799407,0.0302722924,0.0319502852
12/1964,0.0302811322,0.0305413229,0.0310616254
01/1965,0.0299869982,0.0305375545,0.0306814327
02/1965,0.0291645295,0.0295490375,0.0314790408
03/1965,0.0285375388,0.0310261354,0.0284271719
04/1965,0.0292034849,0.0312289184,0.0284750865
05/1965,0.028832242,0.0315046937,0.0275196726
06/1965,0.0300013499,0.0308881934,0.0269993051
07/1965,0.0315108859,0.0315341072,0.0299001489
08/1965,0.0332545166,0.0296368095,0.0293662106
09/1965,0.0327769372,0.0292401523,0.0275369016
10/1965,0.0319606545,0.0267795406,0.0302747046
11/1965,0.0315826809,0.0274153974,0.0282042418
12/1965,0.0315779606,0.0274440425,0.0293206191
01/1966,0.0314795354,0.0274052952,0.0294803436
02/1966,0.0314047922,0.027384941,0.0286805641
03/1966,0.0314384248,0.027824524,0.031542297
04/1966,0.0326043963,0.0282843549,0.0317230795
05/1966,0.0314595501,0.0294162797,0.0306187726
06/1966,0.0337574375,0.0301014408,0.0325255405
07/1966,0.0340029386,0.0305391782,0.0323674742
08/1966,0.0345103752,0.032179588,0.0339288476
09/1966,0.0371852713,0.0361627698,0.0372604038
10/1966,0.0370966068,0.0350333839,0.0390237858
11/1966,0.0349169249,0.0385247443,0.0325329696
12/1966,0.0350303226,0.0318714394,0.0408332623
01/1967,0.035165174,0.0360828938,0.0333548002
02/1967,0.0327112937,0.0336751872,0.0319267253
03/1967,0.0299478272,0.0320129936,0.0379436442
04/1967,0.027428348,0.0320089128,0.0362792552
05/1967,0.0259218476,0.0299480191,0.0377468709
06/1967,0.0269088151,0.0315335711,0.0415420434
07/1967,0.0210493515,0.0339337194,0.0432761804
08/1967,0.0212341146,0.0313149256,0.0399351819
09/1967,0.0217196687,0.0318391796,0.0406498731
10/1967,0.0216186423,0.0312208345,0.0384595427
11/1967,0.0218474526,0.0320677557,0.0414213531
12/1967,0.018884219,0.0368684703,0.0422099562
01/1968,0.0169726135,0.0353036086,0.0396178112
02/1968,0.0179654476,0.0358615679,0.0415582763
03/1968,0.0184956009,0.0400963474,0.0431467458
04/1968,0.0170368899,0.0387355508,0.0437264992
05/1968,0.0162300567,0.0344227332,0.0437997904
06/1968,0.0157949993,0.0340664399,0.0412955217
07/1968,0.0157942941,0.032421469,0.0404699412
08/1968,0.0165239216,0.0329219961,0.0418520974
09/1968,0.0153720245,0.0329050987,0.040251866
10/1968,0.0158263498,0.0324866908,0.0402527783
11/1968,0.0154536826,0.0295606212,0.0404055548
12/1968,0.0142745244,0.0285684538,0.0380766251
01/1969,0.0145383502,0.0273497754,0.0402306953
02/1969,0.0146099726,0.0273025536,0.0392962627
03/1969,0.0160025529,0.0299038892,0.0404491761
04/1969,0.0150729138,0.0282875419,0.0404608525
05/1969,0.0140851738,0.0271848367,0.0411730986
06/1969,0.0141502013,0.026683979,0.0410523782
07/1969,0.0152713748,0.0298854436,0.0440656864
08/1969,0.0156249307,0.0317644975,0.0476735941
09/1969,0.0146895276,0.0305033303,0.0471591923
10/1969,0.0140632186,0.030734186,0.0492475414
11/1969,0.0134758689,0.0303454292,0.0461355158
12/1969,0.0142560025,0.0288342694,0.0490643278
01/1970,0.0140892437,0.0284027691,0.0489880294
02/1970,0.0187124976,0.0266695577,0.0524583261
03/1970,0.0160255905,0.0304207488,0.0500561714
04/1970,0.0172828071,0.0319590349,0.049832987
05/1970,0.0189874057,0.0361123509,0.051549964
06/1970,0.0204274821,0.0376322748,0.0555321356
07/1970,0.0226927177,0.0417056094,0.0599292507
08/1970,0.0215409518,0.0426162422,0.0540337722
09/1970,0.0211913994,0.0399966519,0.0507708199
10/1970,0.0197689144,0.0377175726,0.0505709946
11/1970,0.0195569699,0.0380491349,0.0523040219
12/1970,0.0198840079,0.038156447,0.049151033
01/1971,0.0187491245,0.0373761811,0.0460318816
02/1971,0.0175414657,0.0386843284,0.0425149382
03/1971,0.018622245,0.0378216491,0.0417112365
04/1971,0.0180215032,0.0362121646,0.0411472645
05/1971,0.0186571231,0.0359956011,0.0365691997
06/1971,0.0215699357,0.0381285563,0.0344995761
07/1971,0.021073401,0.0377272767,0.0324737928
08/1971,0.0239726906,0.0378782926,0.0371084309
09/1971,0.0218569175,0.0363653188,0.0366238127
10/1971,0.0180876022,0.0365971478,0.0420786674
11/1971,0.0191513208,0.0388205045,0.0442382302
12/1971,0.0207398165,0.0390496597,0.0419165752
01/1972,0.01800268,0.0348690359,0.0384912654
02/1972,0.0175605641,0.0357684482,0.0362448817
03/1972,0.0194736798,0.0338114694,0.0355469655
04/1972,0.0189967986,0.0322784677,0.0366177915
05/1972,0.0201205217,0.0325237012,0.0376557265
06/1972,0.0192761573,0.033513362,0.0408805457
07/1972,0.0207683775,0.0321802692,0.0383910033
08/1972,0.0206987545,0.0340938996,0.0352581735
09/1972,0.0189969857,0.0343559689,0.033838135
10/1972,0.0193137699,0.034402904,0.0364833623
11/1972,0.0187808111,0.0360101185,0.0322240355
12/1972,0.0198314088,0.0347883619,0.0262571228
01/1973,0.0186594081,0.0354280692,0.0251734438
02/1973,0.017354896,0.0363615483,0.0358377839
03/1973,0.017765386,0.0379841178,0.0395358177
04/1973,0.0181609326,0.0371449685,0.0401403235
05/1973,0.0200516217,0.0388789256,0.0413942479
06/1973,0.0224621096,0.0413476354,0.0417355361
07/1973,0.0223894572,0.0422382374,0.0456637401
08/1973,0.0206251563,0.049098423,0.0427947175
09/1973,0.0242896746,0.048350032,0.0472724243
10/1973,0.0241778791,0.045244576,0.0400379508
11/1973,0.0230538631,0.0499952202,0.0439964706
12/1973,0.0287477349,0.0542477196,0.0428568781
01/1974,0.0284491172,0.0514887835,0.0488343958
02/1974,0.0293894713,0.0522816923,0.0416683866
03/1974,0.0302965469,0.0526016441,0.0402168165
04/1974,0.0317183438,0.0523315949,0.0398738806
05/1974,0.0336792738,0.0550425933,0.0414596165
06/1974,0.0354609113,0.0575399875,0.0445578526
07/1974,0.0353976573,0.0615911454,0.0496105601
08/1974,0.0348200957,0.0736578471,0.052541405
09/1974,0.0391207316,0.0799338445,0.0572031724
10/1974,0.0490256297,0.0767007753,0.0635251523
11/1974,0.0397847058,0.0678421372,0.0639630104
12/1974,0.0448320059,0.0656261867,0.0657188323
01/1975,0.046785529,0.0694058421,0.0710858728
02/1975,0.0427129622,0.0569511358,0.0583412633
03/1975,0.0402875525,0.0542278638,0.0523135197
04/1975,0.0371716517,0.0574306054,0.0495967641
05/1975,0.0341346057,0.056030643,0.053977659
06/1975,0.0317560625,0.0535782319,0.0544151625
07/1975,0.0292648279,0.0507253058,0.0521900737
08/1975,0.0321664944,0.0524877775,0.0528922892
09/1975,0.0336464178,0.054320271,0.0527348541
10/1975,0.0396713742,0.0498417792,0.0484913344
11/1975,0.0356339712,0.0493035882,0.0455890172
12/1975,0.0352586593,0.0472362409,0.0449214135
01/1976,0.0365205693,0.0471542737,0.0461350628
02/1976,0.0350375959,0.03932454,0.0392011446
03/1976,0.0352933756,0.041925558,0.0375727456
04/1976,0.0326067597,0.042967214,0.0380502943
05/1976,0.032068574,0.0459446427,0.036147887
06/1976,0.0334484127,0.0447716126,0.0406946917
07/1976,0.0325663383,0.042937866,0.0357292225
08/1976,0.0341336267,0.042505121,0.0369512133
09/1976,0.035268758,0.041787431,0.0350893837
10/1976,0.0350399601,0.0387475436,0.0339368131
11/1976,0.0349364563,0.0459490775,0.0379376924
12/1976,0.0356912401,0.0462047837,0.0360285269
01/1977,0.0352548272,0.0412714691,0.0340072184
02/1977,0.0391765743,0.0436460863,0.0354766921
03/1977,0.0404483594,0.0448583209,0.0352281558
04/1977,0.0409600499,0.0449480603,0.0361608294
05/1977,0.0455124999,0.0419506948,0.0359677555
06/1977,0.0483976553,0.0440314624,0.0369602753
07/1977,0.0434257504,0.0450442966,0.0336877747
08/1977,0.0460193403,0.0468878817,0.0346012272
09/1977,0.0495218105,0.0466075239,0.035556839
10/1977,0.0490977568,0.0481451086,0.0355382502
11/1977,0.0553889228,0.0477713869,0.0382962259
12/1977,0.0487227538,0.0500518869,0.0366143508
01/1978,0.0496442259,0.0509810176,0.035516582
02/1978,0.0542974861,0.0594152665,0.0391487557
03/1978,0.0551181513,0.0622995249,0.0400789466
04/1978,0.0501818266,0.0615619272,0.041438056
05/1978,0.0463165521,0.0580537291,0.0395959398
06/1978,0.0430291963,0.0583607667,0.0390689782
07/1978,0.0416531118,0.0595833477,0.0406911312
08/1978,0.0432515095,0.0586693342,0.0362190748
09/1978,0.0404013476,0.0569178778,0.0356771979
