date,p1,p2,p3
07/1963,0.033713818,0.0317239592,0.0318285841
08/1963,0.0316167343,0.0314307492,0.0350105221
09/1963,0.0320064758,0.0289154037,0.032605005
10/1963,0.0338480987,0.0296665621,0.0329287345
11/1963,0.0331268249,0.0305002155,0.0323297947
12/1963,0.0336213607,0.0331814022,0.0303791328
01/1964,0.0336347808,0.0310620822,0.0310474128
02/1964,0.0344888924,0.0342960201,0.0282217145
03/1964,0.0343920774,0.035312385,0.027310054
04/1964,0.0333786589,0.0326979586,0.0271168647
05/1964,0.0330696088,0.0328470511,0.0268261711
06/1964,0.0350987672,0.0306854476,0.0274106024
07/1964,0.0313098076,0.0331422874,0.0267221989
08/1964,0.0305856953,0.0322625585,0.0270860614
09/1964,0.030029609,0.0292628743,0.0330013256
10/1964,0.0262332261,0.0322136071,0.0319763463
11/1964,0.026265455,0.0319358184,0.0302353155
12/1964,0.0288763018,0.0297021841,0.0312645635
01/1965,0.0282291236,0.0325964912,0.0267513244
02/1965,0.0276507797,0.0304546701,0.0287410775
03/1965,0.0311541199,0.0307351262,0.0251648794
04/1965,0.0339322486,0.0287817313,0.0238761436
05/1965,0.0337268493,0.0282299098,0.0241532544
06/1965,0.0341428655,0.0298821171,0.0222415501
07/1965,0.0354013081,0.0326317523,0.02241911
08/1965,0.0359012066,0.0329480091,0.0233751192
09/1965,0.0341131765,0.0330874901,0.0227760424
10/1965,0.0333497711,0.0321885809,0.0222716206
11/1965,0.0338280681,0.0334660164,0.022843401
12/1965,0.0329993445,0.0344923851,0.0220070435
01/1966,0.0324966935,0.0320677214,0.0211509425
02/1966,0.0343406166,0.0296319017,0.0186581502
03/1966,0.035804554,0.0280950642,0.0175457892
04/1966,0.0347792729,0.0297695439,0.0189543247
05/1966,0.0371235308,0.0278017537,0.0174034413
06/1966,0.0398754649,0.0289260923,0.018399637
07/1966,0.0413809082,0.0350777571,0.0181313693
08/1966,0.0428048554,0.0366345252,0.0187974842
09/1966,0.0466086304,0.0419208743,0.0239590321
10/1966,0.0461731507,0.0431911574,0.0280355284
11/1966,0.0366363852,0.0439227234,0.0289282956
