date,p1,p2,p3
07/1963,0.0370875924,0.0331362865,0.0297773033
08/1963,0.0365507387,0.0296527754,0.033234943
09/1963,0.0348406936,0.0282056241,0.0329288631
10/1963,0.0357717357,0.0284744004,0.0334591777
11/1963,0.0348324308,0.0294856797,0.032425848
12/1963,0.035385409,0.0330123544,0.0305121059
01/1964,0.0345533235,0.0314686916,0.0298956048
02/1964,0.0349269863,0.0322475507,0.029073795
03/1964,0.0352348151,0.0339579224,0.02817631
04/1964,0.0353263151,0.0303175707,0.0285828461
05/1964,0.0353112259,0.0310508075,0.0280162764
06/1964,0.035239073,0.0319315463,0.0282942804
07/1964,0.0348307937,0.0308409562,0.0283516307
08/1964,0.0332588744,0.0310054216,0.0279485094
09/1964,0.0340901304,0.0311691367,0.0289981705
10/1964,0.0320627272,0.0303911648,0.0294138128
11/1964,0.030500487,0.0305691671,0.029287538
12/1964,0.0337484324,0.0296190175,0.0302847146
01/1965,0.0306075209,0.0299302305,0.0307830832
02/1965,0.0269842877,0.0315609092,0.0293827495
03/1965,0.0288504909,0.0300234527,0.0288796451
04/1965,0.0319498933,0.0290131807,0.0281154144
05/1965,0.0317784069,0.0303095278,0.0234318675
06/1965,0.0318282665,0.0276741325,0.0291343973
07/1965,0.0329305888,0.0326611343,0.0254860147
08/1965,0.0365244096,0.0323281489,0.0245572421
09/1965,0.0359822252,0.0311245716,0.0239213906
10/1965,0.0342561703,0.0310909922,0.0220364073
11/1965,0.0349496433,0.0327964498,0.0200921629
12/1965,0.0344328102,0.0332934652,0.0195307905
01/1966,0.0349669088,0.0295196413,0.0205589818
02/1966,0.0345083283,0.0297881343,0.0189039779
03/1966,0.0356460104,0.0305914607,0.0189563354
04/1966,0.0389560196,0.0281159479,0.0187196254
05/1966,0.0382831426,0.0291012338,0.0180598754
06/1966,0.0407266524,0.0310058551,0.0183654606
07/1966,0.0423926202,0.0298587822,0.018282031
08/1966,0.0433695909,0.0306963411,0.0187274315
09/1966,0.0463878231,0.0355672893,0.0218825889
10/1966,0.0463347401,0.0362463764,0.0226918195
11/1966,0.0428720659,0.0380752267,0.0251124402
12/1966,0.0440394693,0.0428297986,0.0260031512
01/1967,0.0468301359,0.0419117165,0.0252678447
02/1967,0.0426790854,0.037643926,0.0248444386
03/1967,0.0419374892,0.0370299129,0.0236005303
04/1967,0.0404831137,0.0342804707,0.0216740626
05/1967,0.0371491061,0.0355366225,0.0213845133
06/1967,0.0392930062,0.0368733684,0.0199237281
07/1967,0.0373727131,0.0368941172,0.0194056239
08/1967,0.0366683823,0.0314282654,0.0171985656
09/1967,0.0375074688,0.0305166725,0.0165925456
10/1967,0.0360529968,0.0302871582,0.0150820496
11/1967,0.038186064,0.0283252838,0.0133850979
12/1967,0.0367442455,0.0313694661,0.0145197375
01/1968,0.0366477203,0.0305400382,0.0128261034
02/1968,0.0392399909,0.033280793,0.0143382862
03/1968,0.034944738,0.0385513067,0.0158134188
04/1968,0.0340773388,0.0373730311,0.0184135981
05/1968,0.0341880807,0.0311898383,0.0207069976
06/1968,0.0360720982,0.0312702363,0.0145011071
07/1968,0.0344348165,0.0311956988,0.0145018647
08/1968,0.0362640844,0.0322433659,0.015653488
09/1968,0.0336351076,0.0311897009,0.020159253
10/1968,0.0321845612,0.0313169694,0.0206005799
11/1968,0.0308107125,0.0290223118,0.0209463521
12/1968,0.0219510232,0.0345043409,0.0210200897
01/1969,0.0254196187,0.0333918628,0.0212667986
02/1969,0.0272680023,0.0320546123,0.0200585441
03/1969,0.0297244111,0.0333726447,0.0218615755
04/1969,0.0262052338,0.0346694677,0.0214066446
05/1969,0.0217550699,0.0355697827,0.0281380796
06/1969,0.0190367783,0.0365004131,0.0272925583
07/1969,0.0243712701,0.0373508939,0.029154044
08/1969,0.0379904793,0.0339673411,0.0303255397
09/1969,0.031945231,0.0394797808,0.0270457008
10/1969,0.0352445011,0.0472136656,0.024521708
11/1969,0.0357815899,0.0461182234,0.0208759729
12/1969,0.0392804758,0.0445456303,0.0238970192
01/1970,0.0403326456,0.0465040779,0.0232317302
02/1970,0.044307734,0.0511370519,0.024975658
03/1970,0.0436307532,0.0474479978,0.0240763212
04/1970,0.0470836951,0.0474631778,0.0226759186
05/1970,0.048076987,0.0473325129,0.0288324182
06/1970,0.04768059,0.0495552097,0.0335917702
07/1970,0.0450312885,0.0528011795,0.0374288909
08/1970,0.0384351932,0.0413098313,0.0389389292
09/1970,0.0316977948,0.037259682,0.0393527192
10/1970,0.0282655393,0.0332528904,0.0397579548
11/1970,0.0305030078,0.0345132061,0.0392562142
12/1970,0.0288012395,0.0336034906,0.0369314798
01/1971,0.0257230345,0.0281532186,0.0368902383
02/1971,0.0209356004,0.0282245388,0.0360391218
03/1971,0.0263605332,0.0276861455,0.0351177902
04/1971,0.0279205107,0.0284038015,0.0323091614
05/1971,0.0333166482,0.0280579092,0.0268100648
06/1971,0.0405119508,0.0290257951,0.021018239
07/1971,0.038732727,0.0284604576,0.0186173741
08/1971,0.0440353032,0.0298223316,0.01819462
09/1971,0.0368417316,0.0328217057,0.0187635536
10/1971,0.0360149657,0.034756313,0.0202894233
11/1971,0.0419255815,0.0309946623,0.0209276393
12/1971,0.0416279468,0.0318299786,0.0207442494
01/1972,0.0400247757,0.0336262073,0.017661211
02/1972,0.0388027684,0.0345604767,0.0175524843
03/1972,0.0390466536,0.0325244369,0.0156677671
04/1972,0.0393960469,0.032512598,0.0155713754
05/1972,0.0408875553,0.0317011534,0.0156661595
06/1972,0.0417805298,0.0352441325,0.014677909
07/1972,0.0436149097,0.0362784232,0.0146369792
08/1972,0.0437131608,0.0389336195,0.0143435027
09/1972,0.0374470903,0.0388818866,0.0147668299
10/1972,0.0368257247,0.036596939,0.0177693119
11/1972,0.0409696293,0.0381060908,0.0177547501
12/1972,0.0372603081,0.0344464936,0.0171711352
01/1973,0.0331771885,0.0351433122,0.0179697526
02/1973,0.0334411499,0.0343029134,0.0207916159
03/1973,0.0290896782,0.041641313,0.0218420292
04/1973,0.029126032,0.0386730829,0.0240561937
05/1973,0.0334606154,0.0383554267,0.0259785377
06/1973,0.0340345086,0.0316946414,0.0290395126
07/1973,0.0342727901,0.0345274604,0.0293712658
08/1973,0.0297244123,0.0304785775,0.0289290719
09/1973,0.0344348502,0.0419017974,0.0266843835
10/1973,0.0314640332,0.0355307485,0.02638736
11/1973,0.0311464088,0.032615444,0.028209458
12/1973,0.0379082622,0.0449637519,0.0268057915
01/1974,0.0393088514,0.0436368415,0.0282820979
02/1974,0.0372290389,0.0375405041,0.030891999
03/1974,0.0294125623,0.0376428547,0.033506282
04/1974,0.0304544048,0.0393726905,0.0339842061
05/1974,0.0398896398,0.0396890287,0.0335262538
06/1974,0.0422888023,0.0408616788,0.0347624623
07/1974,0.0448168822,0.0424419598,0.0344241507
08/1974,0.0568370347,0.0456586141,0.0384058963
09/1974,0.0477661489,0.0475307038,0.0525784977
10/1974,0.0597160571,0.0589502914,0.0550080318
11/1974,0.0367038675,0.0478857064,0.0560554914
12/1974,0.0486412273,0.0501438674,0.052053274
01/1975,0.0555501945,0.0540453368,0.0495671194
02/1975,0.0448911296,0.0468889156,0.0468409622
03/1975,0.035609333,0.0468376204,0.0483750086
04/1975,0.0437720379,0.0397450648,0.0465797181
05/1975,0.0360774372,0.0443166343,0.0404465824
06/1975,0.0357282478,0.0435596146,0.0361284203
07/1975,0.0308350321,0.0457841904,0.0367485246
08/1975,0.0367904295,0.0456663028,0.0349740086
09/1975,0.0385506883,0.0483369878,0.0344893864
10/1975,0.0482839057,0.0477894038,0.0324961702
11/1975,0.0380014731,0.0451415647,0.0376318614
12/1975,0.0389352139,0.0450931697,0.0350274335
01/1976,0.0434294293,0.0404311902,0.0371580907
02/1976,0.0410615238,0.0377371453,0.0310207447
03/1976,0.0379544896,0.0397874056,0.03105489
04/1976,0.0331956141,0.0407273419,0.0327526978
05/1976,0.0311329165,0.0422249334,0.0384017426
06/1976,0.030704678,0.0424405647,0.0399967632
07/1976,0.0302770017,0.0436206739,0.0345276517
08/1976,0.0318767339,0.0434511662,0.0356046782
