date,p1,p2,p3
07/1963,0.0365981184,0.0318294207,0.0239908866
08/1963,0.0373695757,0.0314582247,0.0239495039
09/1963,0.0333669324,0.0296791066,0.0250346974
10/1963,0.0337715664,0.0315416209,0.0253898183
11/1963,0.0345284509,0.0309162262,0.0235657948
12/1963,0.0353666782,0.0305140091,0.0243195882
01/1964,0.0315862204,0.0287724002,0.0340103899
02/1964,0.030357475,0.0306074215,0.0344712719
03/1964,0.0311634479,0.0298953094,0.0322727194
04/1964,0.0323198485,0.0310274173,0.0235335146
05/1964,0.0322982389,0.0277827673,0.0327314782
06/1964,0.0268231551,0.0329818537,0.0317319647
07/1964,0.0300727397,0.0294048046,0.0319200326
08/1964,0.0321678806,0.0289132276,0.0293647546
09/1964,0.0323862651,0.0285574122,0.0308635578
10/1964,0.0311755465,0.0288166085,0.0313680309
11/1964,0.0311415207,0.0288447783,0.031091063
12/1964,0.0311199393,0.0303676215,0.0307456926
01/1965,0.0292812925,0.0311341029,0.0324893872
02/1965,0.0271958476,0.0331655219,0.0318231661
03/1965,0.0267503597,0.0333108491,0.0306527071
04/1965,0.027686222,0.0320539469,0.0311787699
05/1965,0.0271397131,0.0312628114,0.0310114233
06/1965,0.0283873263,0.0297738284,0.0323304772
07/1965,0.0296542744,0.0337741551,0.0304634152
08/1965,0.0295545926,0.034327101,0.0306746408
09/1965,0.0336972341,0.0297884699,0.0288986747
10/1965,0.0328699738,0.0315972986,0.0250983174
11/1965,0.0310338799,0.031113126,0.0250522766
12/1965,0.0316208834,0.0294296026,0.0278645676
01/1966,0.0266507066,0.033288438,0.0269855404
02/1966,0.0292213473,0.0316603625,0.0266467925
03/1966,0.0244248063,0.0332623169,0.0318462017
04/1966,0.0221948983,0.0307010247,0.0374814005
05/1966,0.0229137948,0.0301554808,0.0359380027
06/1966,0.0219571731,0.0334345974,0.0388055418
07/1966,0.0198943418,0.0360748956,0.0397706296
08/1966,0.0225659149,0.0374907523,0.0399673293
09/1966,0.0252405251,0.0431138094,0.0406443309
10/1966,0.0251494214,0.0423452718,0.0418635939
11/1966,0.0268993954,0.0412183323,0.0412216852
12/1966,0.0250236955,0.0422998174,0.0406483704
01/1967,0.0243965207,0.0377200691,0.0408001279
02/1967,0.0202349453,0.0331624831,0.0392772616
03/1967,0.0195787131,0.0319400926,0.0383944941
04/1967,0.0198530951,0.0301626556,0.0354555092
05/1967,0.0178947106,0.0265502589,0.0374020817
06/1967,0.0177311152,0.0283231084,0.0406925293
07/1967,0.0175045208,0.0362403273,0.0396141901
08/1967,0.0163412428,0.0344068345,0.0379356268
09/1967,0.0191725663,0.037933781,0.0353675785
10/1967,0.0238302379,0.0351915825,0.0311488653
11/1967,0.0256025408,0.0380012491,0.0276364689
12/1967,0.0306481041,0.0316130891,0.0219870777
01/1968,0.0240767724,0.0341775888,0.030982827
