date,p1,p2,p3
07/1963,0.0294749165,0.0343716557,0.0326209836
08/1963,0.0297086798,0.034730669,0.0327594793
09/1963,0.0285631071,0.0331607845,0.0314695629
10/1963,0.0292985576,0.0336072465,0.0323343751
11/1963,0.028965624,0.0336698131,0.0324304233
12/1963,0.0294750578,0.0346794646,0.0325837414
01/1964,0.028206753,0.0341945536,0.0316718563
02/1964,0.0279599073,0.0337353023,0.0311381424
03/1964,0.0277631644,0.0335950444,0.0311471093
04/1964,0.0272152302,0.0329136108,0.0301320679
05/1964,0.0277203295,0.0329654361,0.0300422493
06/1964,0.0275919841,0.0329410303,0.0301367131
07/1964,0.0258909302,0.0334408849,0.0298037123
08/1964,0.0261826941,0.032831021,0.0295454315
09/1964,0.0270304158,0.0332615164,0.0307041831
10/1964,0.0268600961,0.0324333736,0.03108187
11/1964,0.0268504742,0.0326620827,0.0293754508
12/1964,0.0286839935,0.0328034567,0.0291270142
01/1965,0.0281061981,0.0327705288,0.029234251
02/1965,0.0272221543,0.032049993,0.0289509801
03/1965,0.0255186128,0.0322622025,0.0296231602
04/1965,0.025745107,0.032823969,0.0303388927
05/1965,0.0253235104,0.0324898119,0.030553395
06/1965,0.025685715,0.0329239343,0.0305555357
07/1965,0.0265707026,0.0342419998,0.0330220642
08/1965,0.0266730836,0.0345102067,0.033042443
09/1965,0.0261293394,0.0336789912,0.0317529011
10/1965,0.0253810588,0.0327631754,0.0309972274
11/1965,0.0254222927,0.0323255711,0.0306299252
12/1965,0.0255556417,0.0325113658,0.0306143069
01/1966,0.0253722145,0.032129632,0.0320203022
02/1966,0.0251085491,0.0323034523,0.0304154259
03/1966,0.025521164,0.0330262348,0.0308390759
04/1966,0.0262411748,0.0339013885,0.0317112026
05/1966,0.0257234742,0.0338983313,0.0305957952
06/1966,0.0274732013,0.0356363923,0.0326811403
07/1966,0.0249299118,0.035169,0.0384903285
08/1966,0.0263646901,0.0359772832,0.0391083837
09/1966,0.0289336916,0.0395129699,0.0421160353
10/1966,0.0295231205,0.0395338951,0.0410664452
11/1966,0.0298252943,0.0374708016,0.0387967997
12/1966,0.0286625259,0.0376193775,0.0391570683
01/1967,0.0282553321,0.0374415061,0.0396859294
02/1967,0.0257502593,0.0352910572,0.0375168861
03/1967,0.0253228552,0.0349573177,0.0376628257
04/1967,0.024433588,0.0338743156,0.0352735523
05/1967,0.0230500862,0.0324007272,0.0360058735
06/1967,0.0244713491,0.0342644835,0.0372206606
07/1967,0.0259703585,0.0334565897,0.0325933465
08/1967,0.0244487966,0.0312345954,0.0309041061
09/1967,0.0248973256,0.0317077968,0.031086984
10/1967,0.0243469269,0.0304329963,0.0311131964
11/1967,0.0254408992,0.0312995299,0.0317798001
12/1967,0.0252965655,0.031089121,0.0319910192
01/1968,0.0230617239,0.0300888596,0.0312580939
02/1968,0.0251016557,0.0315400886,0.0330210614
03/1968,0.0264139465,0.03415092,0.0337048795
