date,p1,p2,p3
07/1963,0.0281070034,0.0345328197,0.0324682303
08/1963,0.0326892174,,0.0267652816
09/1963,0.031306764,,0.0259174997
10/1963,0.0318975923,,0.0268537278
11/1963,0.0318089188,,0.0267460958
12/1963,0.0325025435,,0.0272820786
01/1964,0.0262698396,0.0352238814,0.0309961174
02/1964,0.0260426443,0.0345785607,0.0311351989
03/1964,0.0258421687,0.0344382273,0.0312529019
04/1964,0.0250624186,0.0338698583,0.0305884536
05/1964,0.0260338772,0.033833112,0.029886859
06/1964,0.025999806,0.0337931267,0.0299762456
07/1964,0.025889358,0.033429939,0.0297927451
08/1964,0.0261532302,0.0328546969,0.0295128931
09/1964,0.0268841436,0.0332676591,0.0308737072
10/1964,0.0267241812,0.0324207001,0.0312386034
11/1964,0.0267293613,0.0327844473,0.0292147276
12/1964,0.0285816911,0.0329597292,0.0289297534
01/1965,0.0247855554,0.0337376615,0.0326813829
02/1965,0.0243823539,0.0329114238,0.0313903494
03/1965,0.0245690215,0.0320476217,0.0315423309
04/1965,0.0248785252,0.0325149038,0.0324375413
05/1965,0.0246201183,0.0321672909,0.0315775243
06/1965,0.025375117,0.032378696,0.0318225228
07/1965,0.0265766403,0.0342419998,0.0330338174
08/1965,0.0267499947,0.0344820464,0.0330217704
09/1965,0.0261960513,0.0336599426,0.0317283766
10/1965,0.0254115727,0.032725774,0.0309785902
11/1965,0.0255094005,0.0322536886,0.0306096906
12/1965,0.0256750479,0.0323050242,0.0309978998
01/1966,0.0230839488,0.0315228419,0.0347679969
02/1966,0.0230089088,0.0317470187,0.0334669105
03/1966,0.0228781895,0.0324436227,0.0347523118
04/1966,0.0237411557,0.0331626415,0.0358001242
05/1966,0.0252601228,0.0311915398,0.0354598592
06/1966,0.0244800718,0.0347310977,0.0378328032
07/1966,0.0249061266,0.0352368749,0.0384994077
08/1966,0.0263405692,0.0361305881,0.0387933429
09/1966,0.0288860846,0.039697748,0.0417836506
10/1966,0.0294639438,0.0397421797,0.0407561245
11/1966,0.0296981359,0.0376619162,0.0385239525
12/1966,0.0290840834,0.0376750689,0.0387412344
01/1967,0.0266853026,0.0391278419,0.0373886067
02/1967,0.0246845906,0.0368459905,0.0345527848
