date,p1,p2,p3
07/1963,0.031247602,0.0359849638,0.0299630058
08/1963,0.0311843956,0.0359199597,0.0302273519
09/1963,0.0299491907,0.0345719227,0.028739721
10/1963,0.0312041161,0.0356243252,0.0288996676
11/1963,0.0313685749,0.0351024799,0.0286322612
12/1963,0.0316548524,0.0358477274,0.0298157343
01/1964,0.0294861698,0.0347837467,0.0293906632
02/1964,0.0302852763,0.0330981156,0.0292307884
03/1964,0.0297138329,0.0332241488,0.0289941846
04/1964,0.0294422076,0.0319260655,0.028570189
05/1964,0.0286178305,0.0316581736,0.0293907132
06/1964,0.0284373349,0.0320403715,0.0290372258
07/1964,0.0283758191,0.0289018691,0.028415841
08/1964,0.028107006,0.0287370238,0.0285366683
09/1964,0.0290829691,0.0289104348,0.0292428938
10/1964,0.0303799663,0.0281153239,0.0290336596
11/1964,0.0280821066,0.0283399023,0.0288663792
12/1964,0.0276069178,0.0287470537,0.0291404088
01/1965,0.0272958791,0.02875744,0.0285883955
02/1965,0.027416249,0.0281572749,0.0275351538
03/1965,0.0274702411,0.0276715657,0.0277452857
04/1965,0.0281566404,0.0283132599,0.0278039703
05/1965,0.0280088009,0.0273594177,0.0276159132
06/1965,0.0280849785,0.028130122,0.0280142063
07/1965,0.0296361193,0.0278237952,0.0326403118
08/1965,0.0300535569,0.0279831967,0.0324812312
09/1965,0.0294481344,0.0276530825,0.0316952871
10/1965,0.028322927,0.0265291004,0.0303338001
11/1965,0.0289084548,0.0260525531,0.0297238392
12/1965,0.0292462453,0.025991685,0.0302768392
01/1966,0.0301219035,0.0260897895,0.0296835362
02/1966,0.0287773438,0.0259525218,0.0296357426
03/1966,0.0291649543,0.0259794365,0.0306993271
04/1966,0.0300673099,0.026337925,0.0315059705
05/1966,0.030458002,0.0256551815,0.0309380358
06/1966,0.0321692458,0.0271296374,0.0331531813
07/1966,0.0304325668,0.0326731676,0.0301142439
08/1966,0.0313985335,0.0334173666,0.0313731712
09/1966,0.034614385,0.0362280777,0.0340170873
10/1966,0.035596842,0.037081023,0.0336840156
11/1966,0.033449033,0.0361667826,0.0319251796
12/1966,0.0335922234,0.0364559831,0.0309535306
01/1967,0.0329455309,0.0361178294,0.0309795059
02/1967,0.0305743145,0.0341505275,0.0292442225
03/1967,0.0303959113,0.0345286604,0.0283085148
04/1967,0.0293059222,0.0330057241,0.0276391822
05/1967,0.0289874508,0.0324381061,0.0247166692
06/1967,0.0308148485,0.0338401096,0.0261892245
07/1967,0.0301695663,0.0258635745,0.0317965733
08/1967,0.0274182474,0.0242611322,0.0300175579
09/1967,0.0278589976,0.02466468,0.0303389373
10/1967,0.0260096474,0.0239228103,0.0294252715
11/1967,0.0282200884,0.0241264968,0.0299321288
12/1967,0.0280526451,0.0239733583,0.0300574317
