date,p1,p2,p3
07/1963,0.0351713694,0.0329255468,0.0315972334
08/1963,0.0354733511,0.0335132177,0.0317624562
09/1963,0.0351130758,0.032268296,0.0303235156
10/1963,0.0356750898,0.0332661752,0.0309030527
11/1963,0.0340972814,0.0339652309,0.0306817324
12/1963,0.0351589701,0.0343049132,0.0314456509
01/1964,0.0348724301,0.0340040444,0.0303889828
02/1964,0.0337016395,0.0340351642,0.0299598231
03/1964,0.0350788054,0.0341200312,0.0296597368
04/1964,0.0337695869,0.0328002402,0.0291757976
05/1964,0.0335786715,0.0327565229,0.0295268898
06/1964,0.0343224561,0.0332170188,0.0293296365
07/1964,0.0343434985,0.0333580344,0.0288970553
08/1964,0.0337718171,0.0326801583,0.0288363588
09/1964,0.0345993501,0.0328173971,0.0297106175
10/1964,0.034617013,0.0324380187,0.0292718551
11/1964,0.0335582662,0.0327854457,0.0289809591
12/1964,0.0342224413,0.0326903808,0.0297923429
01/1965,0.0460926122,0.0326229368,0.0286680663
02/1965,0.0446945608,0.0312446019,0.0281520493
03/1965,0.0329654569,0.0313225556,0.0283517327
04/1965,0.0336122061,0.0308354048,0.028979308
05/1965,0.0330875547,0.0306522343,0.0286860451
06/1965,0.0335022752,0.0314483568,0.0288554545
07/1965,0.0360523663,0.0329310017,0.0304763917
08/1965,0.0368695819,0.0333221075,0.0304754842
09/1965,0.0361519962,0.03253625,0.0296912929
10/1965,0.0356425054,0.0330084168,0.0285042874
11/1965,0.0359088407,0.0321963326,0.028345523
12/1965,0.0365669786,0.0345976682,0.0276821239
01/1966,0.0365784127,0.0339326365,0.0275928134
02/1966,0.0347305185,0.0342782219,0.0273314327
03/1966,0.035946778,0.035128057,0.0275189957
04/1966,0.036901185,0.0363160472,0.028218898
05/1966,0.0364124173,0.0367947151,0.0276854955
06/1966,0.0376709785,0.0386585875,0.0295104704
07/1966,0.0377297435,0.0399189845,0.0299186161
08/1966,0.0378316017,0.0419798647,0.0308079619
09/1966,0.0415216221,0.045725683,0.0337477607
10/1966,0.042577018,0.0437337756,0.0343670915
11/1966,0.0405516042,0.0426331727,0.0331991473
12/1966,0.041878592,0.0463751515,0.0315631707
01/1967,0.0416823306,0.0452664501,0.0315443536
02/1967,0.0380356061,0.0407389827,0.0296495303
03/1967,0.0384579392,0.0408896206,0.0289671036
04/1967,0.036976355,0.0390684385,0.0279297476
05/1967,0.0363199259,0.0386617117,0.0265695462
06/1967,0.0378024667,0.0400783547,0.0280872182
07/1967,0.0377930436,0.0398648041,0.027716532
08/1967,0.0367214893,0.036769932,0.0259334987
09/1967,0.0370757259,0.0369605956,0.0264300557
10/1967,0.036535026,0.0376821396,0.0249681777
11/1967,0.0378236405,0.0400601991,0.0255388956
12/1967,0.0373791986,0.0397577382,0.0254116481
01/1968,0.0368974211,0.0370474823,0.0241020626
02/1968,0.0365295182,0.0373918723,0.0264563002
03/1968,0.036958231,0.0388764703,0.0288569489
04/1968,0.0380029073,0.0401572643,0.0274811683
05/1968,0.0379828617,0.0373986893,0.0249598634
06/1968,0.0370493347,0.0354322991,0.0241152272
07/1968,0.0343394931,0.034868924,0.0243456335
08/1968,0.0357980102,0.0355225135,0.0258237851
09/1968,0.0354779951,0.0348880967,0.0254994538
10/1968,0.0345566549,0.0338798695,0.0255431331
11/1968,0.0346655816,0.0324412212,0.0249941945
12/1968,0.0323395143,0.0308013415,0.0238113018
01/1969,0.0322594486,0.0315536832,0.0245282411
02/1969,0.0310525499,0.0320084513,0.0250381526
03/1969,0.0320905628,0.0339822772,0.0269978372
04/1969,0.0333988352,0.0330252182,0.0255876803
05/1969,0.0323156543,0.033583832,0.0255999903
06/1969,0.0336546881,0.033652888,0.0258615719
07/1969,0.0355652195,0.0367870951,0.02831911
08/1969,0.0379178787,0.0385556071,0.0308364969
09/1969,0.0389841421,0.0394959054,0.0286348168
10/1969,0.0410658755,0.042910023,0.0285478869
11/1969,0.0380132264,0.0394536109,0.0272499315
12/1969,0.0410567567,0.0421009099,0.0279275249
01/1970,0.0418080453,0.0422868247,0.0279666334
02/1970,0.0417326904,0.0471182737,0.0302974219
03/1970,0.039454376,0.0453356911,0.0291750578
04/1970,0.0395399722,0.0447183558,0.0299322954
05/1970,0.0415546251,0.0482405806,0.033213037
06/1970,0.0439557499,0.0498841143,0.0373229361
07/1970,0.0481824486,0.0565117861,0.0390489757
08/1970,0.0433447463,0.0531188997,0.0364301031
09/1970,0.0418081143,0.0489667427,0.0347146309
10/1970,0.0401835512,0.0473615566,0.0331171279
11/1970,0.042376368,0.0499072471,0.033190754
