date,p1,p2,p3
07/1963,0.0338678425,0.0350800899,0.0268571665
08/1963,0.0340514678,0.0353528143,0.0270825417
09/1963,0.0327327784,0.0340551713,0.025798745
10/1963,0.0333184071,0.0351204792,0.0259499543
11/1963,0.033248946,0.0354787076,0.0257448886
12/1963,0.034083435,0.0358447044,0.0266107013
01/1964,0.0333019657,0.034234566,0.0261424599
02/1964,0.0327453322,0.0337924381,0.0258258161
03/1964,0.0328349138,0.0333783001,0.0258589568
04/1964,0.0319749113,0.0325861112,0.0254868071
05/1964,0.0322457553,0.0322099596,0.0262307552
06/1964,0.03262189,0.0321672572,0.02598804
07/1964,0.0316585498,0.0308170428,0.0274419152
08/1964,0.0312045675,0.0306148582,0.0274406242
09/1964,0.0317585323,0.0317501678,0.027905993
10/1964,0.0320412766,0.0307411965,0.0276304358
11/1964,0.0308198462,0.0305990272,0.0278599985
12/1964,0.0308012166,0.0305024494,0.0278551653
01/1965,0.0306327859,0.0303788047,0.0273999163
02/1965,0.0301279307,0.0305140394,0.0262914806
03/1965,0.0303829893,0.0309833799,0.0263327024
04/1965,0.0309444456,0.031782252,0.0265687211
05/1965,0.0307835427,0.0315572137,0.0262367541
06/1965,0.0310845819,0.0318287452,0.0265778277
07/1965,0.0327300042,0.0379498808,0.0225355857
08/1965,0.0327035131,0.0386137585,0.022475816
09/1965,0.0324828231,0.037531996,0.0218119788
10/1965,0.0317906848,0.0360914994,0.0212521817
11/1965,0.0320823993,0.0357171988,0.0207367974
12/1965,0.0322850045,0.036084423,0.020623698
01/1966,0.032979239,0.0356455858,0.0203829367
02/1966,0.032369607,0.0354884799,0.0205073272
03/1966,0.0333431458,0.0362936813,0.0206679956
04/1966,0.0343830446,0.0374855108,0.0209792664
05/1966,0.034443299,0.0371135161,0.020504731
06/1966,0.0362480808,0.0398446773,0.0216928317
07/1966,0.0367284202,0.0367634331,0.0263527022
08/1966,0.0376791289,0.0377685771,0.0272253507
09/1966,0.0414170616,0.0410548007,0.0294803182
10/1966,0.0410196779,0.0409113813,0.0296761772
11/1966,0.0385743583,0.0399231148,0.0286177461
12/1966,0.038964445,0.0408906003,0.0275356769
01/1967,0.0383116282,0.0407603195,0.0276951677
02/1967,0.0365509221,0.0377425372,0.0259928456
03/1967,0.0368460471,0.0377914941,0.0253588319
04/1967,0.0356471265,0.0358348293,0.0245387522
05/1967,0.035462957,0.0355445607,0.0224038293
06/1967,0.0373160215,0.0373326994,0.0237583781
07/1967,0.0381423849,0.0379282857,0.0200078465
08/1967,0.0357631258,0.0353177369,0.0190006035
09/1967,0.0362049358,0.0361744387,0.0191995539
10/1967,0.0350552796,0.0355299945,0.01833345
11/1967,0.0376966794,0.0366208581,0.0182593057
12/1967,0.0371132762,0.037015315,0.0181712588
01/1968,0.0353066682,0.0352922407,0.017487634
02/1968,0.0366312643,0.0370730504,0.0191897567
