date,p1,p2,p3
01/1972,,0.0229668552,0.023437551
02/1972,0.0309331814,0.0216900877,0.0185657591
03/1972,0.0293669421,0.014606934,0.0159467352
04/1972,0.0318061248,0.0184530918,0.01669439
05/1972,0.0303375492,0.035096603,0.0240300678
06/1972,0.0313989728,0.029213104,0.0226164114
07/1972,0.0326096194,0.029513423,0.0214577054
08/1972,0.0339104049,0.0239306727,0.0203284695
09/1972,0.0232236412,0.0249212963,0.015133212
10/1972,0.0352176264,0.020639037,0.0207120068
11/1972,0.0351591248,0.0267254558,0.0116969886
12/1972,0.0230077883,0.0165009673,0.0135552951
01/1973,0.0187117528,0.0138574396,0.0154252019
02/1973,0.0201083715,0.0234693637,0.0152518856
03/1973,0.0182221876,0.0333020804,0.0158159549
04/1973,0.0212139354,0.0293670601,0.0171353183
05/1973,0.0394398394,0.03239016,0.0215656799
06/1973,0.0394629917,0.0311176547,0.0235069221
07/1973,0.0397480609,0.0308999836,0.0240203646
08/1973,0.0309292678,0.0262034532,0.0244905246
09/1973,0.0418059191,0.031678459,0.0158536788
10/1973,0.0352665653,0.0255704335,0.0198436787
11/1973,0.038324049,0.0256286377,0.0145474942
12/1973,0.028320387,0.0249071944,0.0182664059
01/1974,0.0296817791,0.0231157103,0.0202140812
02/1974,0.0345312383,0.0296179142,0.0223030148
03/1974,0.0303592266,0.0324375148,0.0199465897
04/1974,0.0357088095,0.0372109947,0.0189103455
05/1974,0.0564761585,0.0465833134,0.0305504502
06/1974,0.0600930944,0.0494600472,0.0312290248
07/1974,0.0645292733,0.04910294,0.0313948854
08/1974,0.0659729326,0.0597957095,0.0319828921
09/1974,0.0722942706,0.1068434171,0.0439387148
10/1974,0.0740364424,0.1205050203,0.0689943556
11/1974,0.0591513068,0.1074983837,0.0553791157
12/1974,0.0652718422,0.1025537283,0.0415651051
01/1975,0.0693596807,0.1009895827,0.0440205096
02/1975,0.0530186973,0.0849347644,0.0278433932
03/1975,0.0558333475,0.0830104457,0.0369470289
04/1975,0.0553406511,0.0793475584,0.0353571496
05/1975,0.0491805494,0.0602273089,0.03552469
06/1975,0.0525581701,0.0504350633,0.0313296334
07/1975,0.0459567078,0.0470587997,0.0306160288
08/1975,0.0501878801,0.0531238062,0.0310313024
09/1975,0.0539177226,0.0580015586,0.0329353082
10/1975,0.0596367513,0.0601095405,0.0337353585
11/1975,0.0564522156,0.0516500962,0.0322428899
12/1975,0.0548389428,0.0509214863,0.031015851
01/1976,0.0562834149,0.0508666956,0.0309926731
02/1976,0.0525511418,0.0500465251,0.0291727398
03/1976,0.0501613583,0.0506274964,0.0283871139
04/1976,0.0481032794,0.0482366341,0.026949999
05/1976,0.0454780468,0.0521046365,0.0292586197
06/1976,0.0475754296,0.0500571925,0.0291085882
07/1976,0.0442895788,0.0469616128,0.028269891
08/1976,0.0477221003,0.0440264757,0.0274298284
09/1976,0.0508689327,0.0451796793,0.0270284292
10/1976,0.0507438889,0.0431098858,0.0263063258
11/1976,0.0470082736,0.0485708367,0.0275105383
12/1976,0.0482199369,0.0497937782,0.0278212904
01/1977,0.0453586486,0.0466014288,0.0267510457
02/1977,0.0470289355,0.0464489551,0.0314903029
03/1977,0.0508027717,0.048573788,0.0325053648
04/1977,0.0491171348,0.0485270889,0.0329113945
05/1977,0.0449565051,0.0504697903,0.032149992
06/1977,0.050334146,0.0499290243,0.0373650476
07/1977,0.0507602942,0.0470206923,0.0352749712
08/1977,0.0567768217,0.0470530003,0.0364269732
09/1977,0.0571656572,0.0504764244,0.036609326
10/1977,0.0600424045,0.0511336045,0.0369770354
11/1977,0.0585274724,0.058321367,0.0370825951
12/1977,0.0579339741,0.0559929537,0.0352598062
01/1978,0.0552175421,0.055972328,0.0367153635
02/1978,0.0605655388,0.0583586789,0.0397580275
03/1978,0.0625998083,0.059185981,0.0453636478
04/1978,0.0594526888,0.0567493021,0.0424242792
05/1978,0.05267682,0.0548796112,0.0375642528
06/1978,0.0549508266,0.0540340207,0.0408287065
07/1978,0.054614568,0.0558035363,0.0407208481
08/1978,0.0585831164,0.0506581775,0.0392021149
09/1978,0.0599824158,0.04681199,0.0375340034
10/1978,0.0606747948,0.0487298766,0.0396814201
11/1978,0.0626538425,0.0615109112,0.0415088891
12/1978,0.063119789,0.0602485975,0.0393574646
01/1979,0.0634678516,0.0589652952,0.0382946249
02/1979,0.0623909288,0.0535711826,0.0401443897
03/1979,0.0663892422,0.0554832346,0.0440823179
04/1979,0.0641369326,0.0523062312,0.0419433073
05/1979,0.0612988723,0.0564133344,0.0410841199
06/1979,0.0603810658,0.057857022,0.0450808066
07/1979,0.0566365146,0.0570361746,0.0444406789
08/1979,0.0621966987,0.0544175409,0.0427770374
09/1979,0.0647198088,0.051061759,0.0393959939
10/1979,0.0656767407,0.0512016554,0.0380157513
11/1979,0.0698416954,0.0599520135,0.0444917317
12/1979,0.066796818,0.0563965803,0.0427145091
01/1980,0.0649771006,0.0544347878,0.0415947562
02/1980,0.0655556275,0.0515503949,0.0405252932
03/1980,0.0737236064,0.0506231129,0.0392622246
04/1980,0.0802581246,0.0568286007,0.0453423047
05/1980,0.0716511262,0.0638387862,0.044349946
06/1980,0.0711239751,0.0566174899,0.0425427175
07/1980,0.0655380579,0.0579325326,0.0416734544
08/1980,0.0650510502,0.0538737846,0.0388887711
09/1980,0.067911129,0.0542538942,0.0388156838
10/1980,0.0666260876,0.0567460186,0.0383551413
