date,p1,p2,p3
07/1963,0.0345780636,0.0317302198,0.0306599624
08/1963,0.0348710386,0.0322654912,0.0307209152
09/1963,0.0335403537,0.0305853752,0.0295673994
10/1963,0.0337876311,0.0315285306,0.0300638562
11/1963,0.0339311242,0.0306851524,0.0302352414
12/1963,0.0344969968,0.0315062492,0.0309639069
01/1964,0.0334483827,0.0313819036,0.0297760331
02/1964,0.0331210661,0.0309407974,0.0293768647
03/1964,0.0330847681,0.0306646792,0.0293064903
04/1964,0.0312474707,0.0306602524,0.0287692584
05/1964,0.0324467717,0.0304020146,0.0289144731
06/1964,0.0325699142,0.0303217443,0.0288671676
07/1964,0.0321358537,0.0311023708,0.0281822009
08/1964,0.0321050638,0.030077804,0.0283406367
09/1964,0.0325384669,0.0307444736,0.0291044585
10/1964,0.0318058054,0.0300387665,0.0290157711
11/1964,0.0315650728,0.0299998176,0.028669335
12/1964,0.0317442908,0.0302806385,0.028510652
01/1965,0.0314987966,0.0299628871,0.0282147586
02/1965,0.030529942,0.0294736558,0.027622545
03/1965,0.030221022,0.0297060898,0.0279193402
04/1965,0.0305051921,0.030217115,0.0284110104
05/1965,0.0299542087,0.0299057839,0.0282174127
06/1965,0.030270448,0.0300843991,0.028575434
07/1965,0.0329723158,0.0306949807,0.0299578998
08/1965,0.0329168721,0.030747465,0.0302359722
09/1965,0.0322629743,0.0303101932,0.0293420363
10/1965,0.031683586,0.0296612261,0.0283720126
11/1965,0.0317920573,0.0292621363,0.0281943772
12/1965,0.0315255341,0.0291193186,0.0284030525
01/1966,0.0313530026,0.0283344931,0.0287235186
02/1966,0.0314605349,0.0282656448,0.028409567
03/1966,0.0319738407,0.0286640728,0.0290276781
04/1966,0.0327985977,0.02932114,0.0297774529
05/1966,0.0325937972,0.029162992,0.0293942365
06/1966,0.0346814314,0.0308717373,0.0310938771
07/1966,0.0352113732,0.0323142712,0.0309783693
08/1966,0.0363044759,0.0328925707,0.0320859946
09/1966,0.0400091968,0.0360699927,0.0348012796
10/1966,0.0398838322,0.0359338134,0.0349316676
11/1966,0.0377626979,0.0357706465,0.0332440992
12/1966,0.037785097,0.0360549144,0.0326228972
01/1967,0.036360079,0.035760632,0.0328892284
02/1967,0.034101162,0.0333695682,0.030933848
03/1967,0.034295465,0.0333302616,0.0304804971
04/1967,0.0331872482,0.031251014,0.029529435
05/1967,0.0328793556,0.0312488241,0.0276542327
06/1967,0.0347888162,0.0331333102,0.0291164003
07/1967,0.036062738,0.0331819416,0.0275893211
08/1967,0.0334261588,0.0315636913,0.0257169924
09/1967,0.0337842383,0.0320830108,0.0260765056
10/1967,0.033271025,0.0317697356,0.0245817785
11/1967,0.035101268,0.0329695764,0.0250360425
12/1967,0.0345322045,0.0329427886,0.0250477794
01/1968,0.032961123,0.0313105425,0.0240466254
02/1968,0.0340401795,0.0331212187,0.0258806769
03/1968,0.0355358172,0.0339476263,0.0288006542
04/1968,0.0367656641,0.0347133123,0.0264913685
05/1968,0.0341158942,0.0320892861,0.0249065295
06/1968,0.0333696882,0.0313703975,0.0242309428
07/1968,0.0328685235,0.0300500898,0.0247957646
08/1968,0.0343563798,0.0305926085,0.0262201143
09/1968,0.0339485287,0.0303017723,0.0258662086
10/1968,0.0332687527,0.0293585753,0.0262869755
11/1968,0.0322710293,0.028823312,0.025880417
12/1968,0.0309200185,0.0272997309,0.0245813574
01/1969,0.0309601766,0.0278286204,0.0253836582
02/1969,0.0307745856,0.0277648871,0.0260255048
03/1969,0.0332239539,0.0299169914,0.0272649538
04/1969,0.0326788417,0.0286477349,0.0263100874
05/1969,0.0327972688,0.0280871283,0.0268103023
06/1969,0.0331869994,0.0288359906,0.0267328128
07/1969,0.0368885364,0.0317153327,0.028252177
08/1969,0.0401687929,0.0337687606,0.0298773566
09/1969,0.0388889624,0.0328065992,0.0286319093
10/1969,0.0406391899,0.0345119193,0.0291483696
11/1969,0.0380976103,0.0323389142,0.0278543319
12/1969,0.0405603581,0.034208793,0.0288134493
01/1970,0.041272101,0.0348937192,0.0285349997
02/1970,0.0444222428,0.0376599869,0.0313654352
03/1970,0.0411921149,0.0362544064,0.0302118355
04/1970,0.0412499979,0.0367037189,0.0306090013
05/1970,0.0464478911,0.0404716899,0.0323692031
06/1970,0.0507777727,0.0435140008,0.0348996438
07/1970,0.0535386331,0.0478728234,0.0366378803
08/1970,0.0499611948,0.0435425091,0.0342772079
09/1970,0.0470025288,0.0415653318,0.0326976325
10/1970,0.0444513129,0.0403779023,0.031345221
11/1970,0.0470155979,0.0418141338,0.0310706738
12/1970,0.0446408514,0.0396077547,0.0296057852
01/1971,0.0406048992,0.0365620994,0.0277197423
02/1971,0.0384608896,0.0347919945,0.0270129476
03/1971,0.0389097552,0.034209315,0.0264690936
04/1971,0.0379658302,0.0337203815,0.02568944
05/1971,0.037140947,0.0321323941,0.0247160909
06/1971,0.0389661509,0.0332523348,0.0255291604
07/1971,0.0374314502,0.035010143,0.0235386373
08/1971,0.0391169635,0.0369845138,0.0253895462
09/1971,0.0369433306,0.0354485578,0.024805218
10/1971,0.0377729616,0.0359611817,0.0243227033
11/1971,0.0386295852,0.0374100813,0.0257132897
12/1971,0.0393706872,0.0380111288,0.0258832701
01/1972,0.0348229112,0.0346945866,0.0228638567
02/1972,0.0337146256,0.0348488513,0.0227787005
03/1972,0.0335827596,0.0342673086,0.0218176963
04/1972,0.0330315265,0.0336318086,0.0209948787
05/1972,0.0331547272,0.0344186032,0.0215145948
06/1972,0.0343236695,0.0352311553,0.0209839679
07/1972,0.0345002817,0.0364966309,0.0216284405
08/1972,0.0351424305,0.0372636312,0.022007531
09/1972,0.0328718294,0.03543223,0.0214251608
10/1972,0.0333776737,0.0356790127,0.0213870079
11/1972,0.0333808198,0.0358459873,0.022114308
12/1972,0.0319995235,0.0332466369,0.0212939453
01/1973,0.031874449,0.0320163344,0.0209547585
02/1973,0.0342064091,0.0350181741,0.0209174802
03/1973,0.036743538,0.0365303292,0.021758053
04/1973,0.0368158793,0.0375334721,0.0221472315
05/1973,0.0391832507,0.0392054189,0.0232348622
06/1973,0.0408626276,0.0398962452,0.0239036055
07/1973,0.0403947844,0.0441570218,0.0234026975
08/1973,0.0382848026,0.0421380471,0.0224517132
09/1973,0.0389931071,0.0436788183,0.0235776788
10/1973,0.0361723256,0.0400289789,0.0232764422
11/1973,0.034273655,0.040333093,0.0238285139
12/1973,0.0396081365,0.0466046571,0.0271014273
01/1974,0.038319822,0.0438298501,0.0274411311
02/1974,0.0379040342,0.0442143141,0.028161863
03/1974,0.0378407232,0.044828189,0.0286978063
04/1974,0.0396751478,0.0460798435,0.0296441119
05/1974,0.0434770637,0.0505860353,0.0307164167
06/1974,0.0478992929,0.053795049,0.0315476604
07/1974,0.0590262232,0.0537823326,0.0320938362
08/1974,0.0625834161,0.0566330586,0.035613843
09/1974,0.0702933326,0.06223253,0.0399906914
10/1974,0.076502092,0.069422422,0.0476828999
11/1974,0.0657469819,0.0601881998,0.0389550785
12/1974,0.066664986,0.0618177207,0.0416255637
01/1975,0.0692440664,0.0635456427,0.0443291764
02/1975,0.0588089032,0.0565133675,0.0390639079
03/1975,0.058458334,0.0553999255,0.0361797709
04/1975,0.0571706966,0.0529028953,0.0353390326
05/1975,0.0563275639,0.0510257774,0.0334868675
06/1975,0.0534833342,0.0490338203,0.0320378112
07/1975,0.051396796,0.0462893787,0.030156802
08/1975,0.0545531031,0.0482349394,0.0327083014
09/1975,0.0583566773,0.0503333662,0.0336205099
10/1975,0.0629152518,0.0520009323,0.0349857714
11/1975,0.059109347,0.0484707373,0.032919549
12/1975,0.0571701926,0.0477014794,0.0323876514
01/1976,0.0571008983,0.049430621,0.0327209443
02/1976,0.0514853178,0.0431217895,0.0297245704
03/1976,0.0508036576,0.0438841989,0.0302354986
04/1976,0.0495925555,0.0435141952,0.0290887014
05/1976,0.0511364218,0.0440860161,0.0301570043
06/1976,0.0525339492,0.0456020917,0.0303354228
07/1976,0.0429728398,0.0482897232,0.0276586327
08/1976,0.042634544,0.049224731,0.0287859404
09/1976,0.0430458239,0.0492142586,0.0291251956
10/1976,0.0424730564,0.0464028281,0.0282775196
11/1976,0.0439757332,0.0515943699,0.0302318294
12/1976,0.0434842874,0.0512256459,0.0309133016
01/1977,0.0402464209,0.0478478273,0.0293674105
02/1977,0.0422657432,0.0507161031,0.0323035554
03/1977,0.0439083918,0.0526818497,0.0332189895
04/1977,0.0444779249,0.0531022778,0.0335580767
05/1977,0.0438476829,0.0538043137,0.034883041
06/1977,0.0451395383,0.0573054799,0.0361897139
07/1977,0.0507103521,0.0473641053,0.0354867956
08/1977,0.0523065032,0.0493526356,0.0369319997
09/1977,0.0541813492,0.0524788355,0.0376699016
10/1977,0.0543592302,0.0530069084,0.0378335007
11/1977,0.0570333069,0.0552912964,0.0410363368
12/1977,0.0555050675,0.0534005573,0.0397056094
01/1978,0.0564529452,0.0540049477,0.0395266756
02/1978,0.0601616719,0.0578305013,0.0433733663
03/1978,0.0621129372,0.0592131643,0.0446901686
04/1978,0.0596819234,0.0574117803,0.0440239259
05/1978,0.0567084984,0.0545423786,0.0410536637
06/1978,0.0535838376,0.0547088042,0.0402273557
07/1978,0.0568400938,0.0562509203,0.0390687306
08/1978,0.0555032982,0.0542812707,0.0376805972
09/1978,0.0533392214,0.0520638967,0.0364876523
10/1978,0.0533572444,0.053134785,0.0389959485
11/1978,0.0612162514,0.0598011631,0.0426255655
12/1978,0.0606374482,0.0583315404,0.0421247448
01/1979,0.0603359333,0.0582710544,0.0415336644
02/1979,0.0573609448,0.0560408301,0.0406575575
03/1979,0.0602072683,0.0585418954,0.0425336195
04/1979,0.0574239069,0.0567922329,0.0405803762
05/1979,0.0585762692,0.0563449641,0.0413662226
06/1979,0.0595407426,0.058504325,0.0426924926
07/1979,0.0598268464,0.054372975,0.0414010383
08/1979,0.0582021238,0.0537595758,0.0422004719
09/1979,0.0565557377,0.0513677068,0.040037303
10/1979,0.0572340158,0.0506281216,0.0393801669
11/1979,0.0647165065,0.0562258141,0.0446146562
12/1979,0.061135041,0.0531891934,0.0425873079
01/1980,0.0595810552,0.0513114529,0.0420300253
02/1980,0.0580258371,0.0497468208,0.0408290576
03/1980,0.0599239336,0.0486990241,0.0426576028
04/1980,0.0693721816,0.0553079384,0.047478331
05/1980,0.0645778329,0.0549124941,0.0463854311
06/1980,0.0615711784,0.0523011288,0.0435035801
07/1980,0.0648556349,0.0511252408,0.0426363481
08/1980,0.0636966159,0.0480135064,0.0401380267
09/1980,0.0637153691,0.0486602958,0.0398903894
10/1980,0.0648010321,0.048455832,0.0393508114
11/1980,0.0645870722,0.0473743262,0.0377917134
12/1980,0.0630422,0.0421532416,0.0342204293
01/1981,0.0619788994,0.0444847277,0.0365267464
02/1981,0.0633138372,0.0468359762,0.0383786186
03/1981,0.0633410721,0.0469311165,0.0376683503
04/1981,0.0606735732,0.0452098305,0.0364806589
05/1981,0.0610190585,0.0467010103,0.0379570733
06/1981,0.0597642912,0.0477835289,0.0385431735
07/1981,0.0569795944,0.0525048578,0.0398834691
08/1981,0.0587828105,0.0532124467,0.0403434489
09/1981,0.0629519343,0.0572704339,0.0431391531
10/1981,0.0661456978,0.0607140378,0.0467365218
11/1981,0.0642461672,0.05885519,0.0450634045
12/1981,0.0623661664,0.0574552761,0.0428637526
01/1982,0.0642484968,0.0590038661,0.0432641473
02/1982,0.0661997041,0.0620050467,0.0456909122
03/1982,0.068584465,0.0652754746,0.0496261294
04/1982,0.0694076037,0.0675745685,0.0510764992
05/1982,0.0674904774,0.0642952883,0.049873507
06/1982,0.0713471333,0.06728793,0.0511017729
07/1982,0.0704608242,0.070438061,0.0500986189
08/1982,0.072975658,0.0736552362,0.0524377152
