date,p1,p2,p3
10/1971,0.0454684544,0.0462341727,0.0245340846
11/1971,0.0410077053,0.0403956051,0.0191176191
12/1971,0.0402609073,0.0393184806,0.0187362732
01/1972,0.0359828933,0.03509638,0.0162509581
02/1972,0.0370561318,0.0351179959,0.0158290332
03/1972,0.0356192548,0.0320253759,0.0182711785
04/1972,0.0349118905,0.0292626067,0.0176999285
05/1972,0.0263416358,0.0213488729,0.0252585081
06/1972,0.026743663,0.0215681506,0.0243149784
07/1972,0.0270973437,0.0253966732,0.023118766
08/1972,0.038910752,0.0167932122,0.0225373154
09/1972,0.0375508143,0.0252053844,0.0168677581
10/1972,0.0366975609,0.0278008061,0.0169307588
11/1972,0.0369906383,0.0331099859,0.0146528053
12/1972,0.0359823209,0.0302101036,0.0139845659
01/1973,0.0352484164,0.0301178305,0.0134637839
02/1973,0.0350372904,0.0242603047,0.0141574609
03/1973,0.0383576375,0.0277705566,0.0179819884
04/1973,0.0390248682,0.0251883289,0.0193256114
05/1973,0.0351263386,0.0248994579,0.0241278638
06/1973,0.0310344828,0.0246282204,0.0263606571
07/1973,0.0310526406,0.0312532051,0.0254448679
08/1973,0.0374242038,0.0188798615,0.0262401202
09/1973,0.0367751383,0.0297588614,0.0215902349
10/1973,0.0338050253,0.0308031304,0.0209381166
11/1973,0.0436717236,0.0314147051,0.0202188485
12/1973,0.0507546121,0.0374030113,0.0218224082
01/1974,0.0497978477,0.0343164522,0.0219025464
02/1974,0.0466446473,0.0392801324,0.0257411661
03/1974,0.0504110858,0.0380882958,0.0273516892
04/1974,0.05143057,0.0390027692,0.0278877532
05/1974,0.0569279544,0.0348122357,0.0340071289
06/1974,0.0597487648,0.0448902105,0.0328036886
07/1974,0.0670632637,0.045397669,0.0329569428
08/1974,0.0705666859,0.0373465354,0.0386765249
09/1974,0.0831830108,0.0482818924,0.0360593957
10/1974,0.0919042358,0.0549249718,0.0462740796
11/1974,0.0769085875,0.0526799038,0.037496553
12/1974,0.0796293523,0.0533663188,0.0398475233
01/1975,0.0828901837,0.0561005906,0.0414601945
02/1975,0.0578719063,0.0482082075,0.0399466403
03/1975,0.0604898398,0.0494520693,0.0351884555
04/1975,0.0569666316,0.0468060806,0.0346898363
05/1975,0.0562698675,0.0373513119,0.0382146599
06/1975,0.0553123651,0.0460562343,0.0326038706
07/1975,0.0581459162,0.0389249599,0.0317015367
08/1975,0.0565543137,0.0426571141,0.0340922074
09/1975,0.0581754652,0.0401952368,0.03686076
10/1975,0.0629109233,0.0415873629,0.0380868399
11/1975,0.0560601201,0.0397600755,0.0365899059
12/1975,0.0542057027,0.0394037619,0.0352115565
01/1976,0.0561044447,0.0409647778,0.0353482985
02/1976,0.0528824677,0.0393551166,0.0330051956
03/1976,0.0492047407,0.0399367924,0.0313783546
04/1976,0.049739939,0.0396513891,0.029499365
05/1976,0.0416436644,0.0358376034,0.0354665218
