date,p1,p2,p3
07/1963,0.0370059261,0.0333401266,0.029044526
08/1963,0.0375970708,0.0334001374,0.0292654565
09/1963,0.0356053115,0.0321503822,0.0280797524
10/1963,0.0360027878,0.0328731339,0.0285899679
11/1963,0.0355060008,0.0325859494,0.0287994408
12/1963,0.0365946231,0.0331186179,0.0295286428
01/1964,0.0362273054,0.0319968086,0.0286008781
02/1964,0.0349640112,0.0315204704,0.0284758264
03/1964,0.0344377804,0.031448266,0.0283964247
04/1964,0.0325398391,0.0308830428,0.0280667131
05/1964,0.0332874518,0.030652535,0.0284675902
06/1964,0.0330208141,0.0307087878,0.0284193256
07/1964,0.0350198107,0.029673849,0.0278576038
08/1964,0.0345264009,0.0295923883,0.0277289584
09/1964,0.0351449233,0.030549059,0.0282882584
10/1964,0.0341434981,0.0298074883,0.0283766032
11/1964,0.0335267614,0.0297113151,0.0280555055
12/1964,0.0340034281,0.0297029129,0.0279571471
01/1965,0.0345248103,0.0292636913,0.0275776751
02/1965,0.0336335393,0.0290380512,0.0267858694
03/1965,0.0330787588,0.0294908267,0.0270096611
04/1965,0.0340572962,0.0299107128,0.0273641499
05/1965,0.0327168996,0.0299660866,0.0271471382
06/1965,0.0329994467,0.0302877691,0.0274490578
07/1965,0.0340774286,0.0314292153,0.0286289966
08/1965,0.0338845166,0.0318733831,0.0287073038
09/1965,0.0329657515,0.0313860838,0.0278480122
10/1965,0.0321857262,0.0305857451,0.0269760467
11/1965,0.032052613,0.030505019,0.0267189398
12/1965,0.0315519701,0.0308229484,0.0267764477
01/1966,0.0304820856,0.0309047004,0.0269506416
02/1966,0.0301520625,0.031167157,0.0265367165
03/1966,0.0303138058,0.0322702757,0.0268460647
04/1966,0.0313300037,0.0330251814,0.0274534701
05/1966,0.031483812,0.0328248647,0.0269541431
06/1966,0.0332883956,0.0347075541,0.0285954028
07/1966,0.0361867442,0.0354159229,0.027994329
08/1966,0.0369302088,0.0364740383,0.0289200517
09/1966,0.0403331411,0.0393562019,0.0317821967
10/1966,0.0398267661,0.0394263003,0.0319297406
11/1966,0.0393899504,0.0375848708,0.0304478747
12/1966,0.0395282997,0.0383410078,0.0294090799
01/1967,0.0393408556,0.0380104908,0.0294432305
02/1967,0.0361256268,0.0362137266,0.0275770166
03/1967,0.0362280076,0.0363929364,0.026979405
04/1967,0.0338586524,0.0350808079,0.0262318186
05/1967,0.0342533031,0.034664215,0.0241230961
06/1967,0.0358128873,0.0364694468,0.0255944891
07/1967,0.0371089081,0.0346788304,0.0251118797
08/1967,0.0352759683,0.0320700471,0.0236612804
09/1967,0.0354591949,0.032664874,0.0240469027
10/1967,0.0350509705,0.0321738924,0.0225550177
11/1967,0.0364266892,0.0338158303,0.022778487
12/1967,0.0368463462,0.0334112863,0.0227674162
01/1968,0.035118187,0.0321765186,0.0216932369
02/1968,0.0363967516,0.0343482224,0.023250763
03/1968,0.0377988296,0.0349137497,0.0242879759
04/1968,0.039596415,0.035634813,0.0237000061
05/1968,0.0359178581,0.0334361626,0.0224882314
06/1968,0.0350630291,0.0330160753,0.02181068
07/1968,0.0348590963,0.0326462186,0.0213365265
08/1968,0.0350732841,0.0333138544,0.0230500254
09/1968,0.034322742,0.0331168398,0.0227804914
10/1968,0.0337746349,0.0323404218,0.023107253
11/1968,0.0322151845,0.031977915,0.0229317881
12/1968,0.0306961266,0.0305885045,0.0216571102
01/1969,0.0319764665,0.0311080331,0.0220636352
02/1969,0.0313797247,0.0310711352,0.022939996
03/1969,0.0337333173,0.0333124989,0.0239706451
04/1969,0.0322274778,0.0322175057,0.0232503515
05/1969,0.0318952357,0.032438176,0.0235744407
06/1969,0.0321629945,0.0325990306,0.0238443702
07/1969,0.0363555152,0.0358348888,0.0247098279
08/1969,0.0392009684,0.0388055795,0.0257440598
09/1969,0.0378426078,0.0377374198,0.024623096
10/1969,0.0398790128,0.0397362358,0.0248054314
11/1969,0.0375582709,0.0376146379,0.0236824744
12/1969,0.0399626985,0.0397505058,0.0243811678
01/1970,0.040785143,0.0401677655,0.0241633953
02/1970,0.0443305844,0.0439234381,0.0262455949
03/1970,0.0410967265,0.0415036446,0.025738326
04/1970,0.0422574159,0.040677891,0.0265957597
05/1970,0.0466687129,0.0451009071,0.0276323993
06/1970,0.0502139497,0.0481518042,0.0300228725
07/1970,0.0523416299,0.0513556611,0.03234561
08/1970,0.0485838126,0.0467076011,0.0304927653
09/1970,0.0460066578,0.044094245,0.0293571749
10/1970,0.0431369029,0.0426771218,0.0284486151
11/1970,0.0455374363,0.0442609437,0.0276486872
12/1970,0.0434383451,0.0419132819,0.0263875015
01/1971,0.0399038243,0.0388720601,0.0246795403
02/1971,0.0371655518,0.0381496951,0.0237026175
03/1971,0.0367886969,0.0374011812,0.0234565529
04/1971,0.0360554284,0.0376648181,0.0220963179
05/1971,0.0342263033,0.0355543294,0.0218339059
06/1971,0.0357639615,0.0368246083,0.0225820158
07/1971,0.0365398367,0.0370048456,0.0206182602
08/1971,0.0382771754,0.0390593198,0.0223109664
09/1971,0.0354356403,0.0387491537,0.021555459
10/1971,0.0361040295,0.0391450885,0.0210347313
11/1971,0.0378033512,0.0407191434,0.022183692
12/1971,0.0385928286,0.0411103893,0.0224514451
01/1972,0.0350853508,0.0363730376,0.0201716127
02/1972,0.0338018322,0.0369542075,0.0199457222
03/1972,0.0334439338,0.0364204884,0.0189423635
04/1972,0.0328876759,0.0355484025,0.0184692539
05/1972,0.0338393646,0.0370459326,0.0183806425
06/1972,0.0349879548,0.0368997052,0.0181615724
07/1972,0.0341663655,0.0345581628,0.0216704381
08/1972,0.0348568554,0.0357891188,0.0218305419
09/1972,0.0321639979,0.03411781,0.0213488543
10/1972,0.0330536486,0.0340645852,0.0213468449
11/1972,0.0337418414,0.0341617438,0.0220372305
12/1972,0.0308642098,0.0323660718,0.0212582119
01/1973,0.0304075693,0.0323374261,0.0204722726
02/1973,0.032794716,0.0331058423,0.0211127992
03/1973,0.0347656674,0.0350651119,0.0218501037
04/1973,0.0354158116,0.0356564516,0.0221928545
05/1973,0.0366684561,0.0370774912,0.0235224531
06/1973,0.0382269036,0.0383452926,0.0240373501
07/1973,0.0390465179,0.0400953261,0.0229384531
08/1973,0.0366361015,0.0386618315,0.0220560629
09/1973,0.0380146208,0.0401641438,0.023115405
10/1973,0.0351460303,0.0376954359,0.0227395699
11/1973,0.0350556012,0.0372508571,0.0233053867
12/1973,0.0402907398,0.042762415,0.0265665555
01/1974,0.0371806602,0.0415595695,0.026988655
02/1974,0.037762863,0.0424661095,0.0272756329
03/1974,0.0380644307,0.0427246394,0.0279320751
04/1974,0.0391886433,0.0449681146,0.0284390144
05/1974,0.0424415806,0.048132524,0.0299516324
06/1974,0.0467512734,0.0514552259,0.0305522192
07/1974,0.0566230505,0.0478878952,0.0334755691
08/1974,0.0595597224,0.0509772842,0.0372285194
09/1974,0.0648466919,0.0574561042,0.0417909437
10/1974,0.0721389892,0.0642990788,0.0496947945
11/1974,0.064180145,0.0536565041,0.0408205728
12/1974,0.0653820643,0.0554828135,0.0436128587
01/1975,0.0680226294,0.0582092666,0.0460275116
02/1975,0.0595416759,0.0511981285,0.0404215372
03/1975,0.0579123357,0.0500911148,0.0375724871
04/1975,0.0553728572,0.0486909697,0.0366385286
05/1975,0.0533153365,0.0463288166,0.035149483
06/1975,0.0516759572,0.0444019881,0.0335594794
07/1975,0.0531476169,0.0438460564,0.0307314373
08/1975,0.0538815726,0.0471593994,0.0333739228
09/1975,0.057123137,0.0492004421,0.0344147463
10/1975,0.0597067298,0.0526040145,0.0355668538
11/1975,0.0547513582,0.048926449,0.0338015139
12/1975,0.0531149444,0.0480053803,0.0332550008
01/1976,0.0532174855,0.0487390591,0.0339360406
02/1976,0.0461547392,0.0437049661,0.0307941097
03/1976,0.0449888397,0.0440236467,0.0315656221
04/1976,0.0443565413,0.043351158,0.0303720697
05/1976,0.045987534,0.0438023738,0.031516489
06/1976,0.0472839631,0.0454021072,0.0316519771
07/1976,0.0419743571,0.0444160676,0.0288575063
08/1976,0.0417346798,0.0450513108,0.0300864894
09/1976,0.0418992903,0.0450119624,0.0305886272
10/1976,0.041030128,0.0425292011,0.0298587445
11/1976,0.043335894,0.0467601127,0.0318804052
12/1976,0.0427885896,0.0465761922,0.0326434453
01/1977,0.0403642059,0.0435462997,0.0308337122
02/1977,0.0426549559,0.0465881225,0.033692175
03/1977,0.0436468229,0.0482585477,0.0348542271
04/1977,0.0439164925,0.048676043,0.0353285876
05/1977,0.0435959316,0.0495670177,0.0364808379
06/1977,0.0490456462,0.0510248479,0.0378786618
07/1977,0.0504745203,0.046788886,0.0350031886
08/1977,0.0534021805,0.048059393,0.0364427308
09/1977,0.0559535585,0.0506248498,0.0371709751
10/1977,0.0573107408,0.0505582755,0.0373636267
11/1977,0.0586818129,0.053980728,0.0403176255
12/1977,0.0566323968,0.0522511074,0.0389523076
01/1978,0.0574972788,0.0523686179,0.0390188324
02/1978,0.0600881891,0.0564966867,0.0429710071
03/1978,0.0622522419,0.0580629171,0.0441581622
04/1978,0.060135119,0.0563873345,0.0433766112
05/1978,0.0567737506,0.0535047109,0.0405627723
06/1978,0.0531898485,0.0537409214,0.0397082227
07/1978,0.0589012572,0.0533373895,0.0393406122
08/1978,0.0571911898,0.0516442298,0.0379851257
09/1978,0.0550890633,0.049513318,0.036652417
10/1978,0.0551444822,0.0510743139,0.0391828433
11/1978,0.0640081611,0.0570456215,0.0428290368
12/1978,0.062262413,0.0561633718,0.0423916952
01/1979,0.0619225625,0.0563769385,0.0415705484
02/1979,0.0587692519,0.0540199295,0.0409171159
03/1979,0.0606420951,0.0565678196,0.0431298889
04/1979,0.0572442398,0.0548787769,0.0413981047
05/1979,0.0575291494,0.0551767305,0.0420124292
06/1979,0.0589446584,0.0569087799,0.0434725088
07/1979,0.0614373329,0.0532893402,0.0411224305
08/1979,0.0596060301,0.0530514016,0.0417424567
09/1979,0.0574873136,0.0506223298,0.0398503325
10/1979,0.057601715,0.0500102208,0.039307313
11/1979,0.0639917421,0.055924553,0.0446795795
12/1979,0.0602442022,0.0530916052,0.0426567805
01/1980,0.0578555753,0.0523536187,0.0416234585
02/1980,0.0555140622,0.0508241045,0.0406417452
03/1980,0.0551657093,0.0502907625,0.0429759883
04/1980,0.0654457935,0.0566070763,0.0475934375
05/1980,0.0626905695,0.0557727169,0.0460978488
06/1980,0.0593440194,0.0525838663,0.0439360685
07/1980,0.066344898,0.0511028646,0.0408751885
08/1980,0.0635537691,0.0484321598,0.0386088904
09/1980,0.0630730284,0.0488857645,0.0385371709
10/1980,0.063236456,0.0487267201,0.0381826085
11/1980,0.0621133468,0.0471937491,0.0369714532
12/1980,0.0590578081,0.0420193137,0.0339671994
01/1981,0.0606064782,0.0447598844,0.0356390682
02/1981,0.0620275024,0.0472643393,0.0373051831
03/1981,0.0622864494,0.0470476727,0.0366761404
04/1981,0.0584649943,0.0455338169,0.0358640037
05/1981,0.0599933401,0.047717586,0.0363943059
06/1981,0.0593044917,0.0489629594,0.0367165542
07/1981,0.0569856814,0.0510964737,0.0402513604
08/1981,0.059290995,0.0519822331,0.0404744542
09/1981,0.063363374,0.0560340827,0.0432550291
