date,p1,p2,p3
08/1971,,0,
09/1971,,0,
10/1971,0.0128639982,0.0450588738,0.0432815131
11/1971,0.0198874586,0.0349233537,0.0415119
12/1971,0.0191101953,0.0315679947,0.0415568837
01/1972,0.0171237126,0.0292096831,0.0367021377
02/1972,0.0152119973,0.0286839116,0.0415746729
03/1972,0.0149195741,0.0300193661,0.0398912528
04/1972,0.0136447293,0.0271640567,0.037231047
05/1972,0.0128163098,0.0267792365,0.0388395166
06/1972,0.0123945522,0.0253661159,0.0418934055
07/1972,0.012315775,0.0263176026,0.0425410448
08/1972,0.0134907994,0.0314922209,0.0418508399
09/1972,0.0126295026,0.0326876606,0.038269561
10/1972,0.0131993534,0.0320849216,0.0392717683
11/1972,0.0156455714,0.0319894231,0.0381561411
12/1972,0.0148886125,0.0316844222,0.0347897715
01/1973,0.0142193723,0.0317287676,0.0339239475
02/1973,0.0125235263,0.0331285557,0.035737163
03/1973,0.0133777263,0.0375392757,0.0435218362
04/1973,0.0132637466,0.0366698455,0.0446946358
05/1973,0.013621731,0.0372445552,0.0450661575
06/1973,0.0140823809,0.0377632012,0.0491138678
07/1973,0.0143112466,0.0397109665,0.0508572626
08/1973,0.0156036263,0.0401753947,0.0481299878
09/1973,0.0166282875,0.0420358827,0.0485109782
10/1973,0.0181242184,0.0388244164,0.0439208716
11/1973,0.018446497,0.0377160048,0.0456465622
12/1973,0.021034309,0.0441504699,0.0541716603
01/1974,0.0207996492,0.0407049366,0.0519718473
02/1974,0.0198266539,0.0431948869,0.0579688801
03/1974,0.0217192279,0.0491578435,0.0601790545
04/1974,0.0219837914,0.0530309714,0.05957836
05/1974,0.02595364,0.0511005289,0.0559199772
06/1974,0.0266731468,0.0534383385,0.0614282399
07/1974,0.0269823891,0.0556223032,0.0637391443
08/1974,0.0288524537,0.0618405333,0.0640266791
09/1974,0.0368974273,0.0642909947,0.0693906772
10/1974,0.0420496615,0.0741205733,0.078383844
11/1974,0.0343721653,0.0596491628,0.0677238159
12/1974,0.0359317768,0.0622643575,0.0710462441
01/1975,0.0388115683,0.0626094561,0.0733488561
02/1975,0.0321169327,0.0619235381,0.0675111648
03/1975,0.0298467531,0.0618040414,0.065819799
04/1975,0.0285967788,0.058410588,0.0626101029
05/1975,0.0279844453,0.0524393498,0.0571380089
06/1975,0.0268053157,0.0477233527,0.0604628479
07/1975,0.025480906,0.0438017818,0.0565082857
08/1975,0.0267263472,0.0518987319,0.0574031429
09/1975,0.0291552259,0.0524027427,0.0591138304
10/1975,0.029468678,0.054475663,0.0607552798
11/1975,0.028638594,0.0492145579,0.0592329913
12/1975,0.0279562968,0.0501555386,0.0575610813
01/1976,0.0294157164,0.0493677982,0.0573511233
02/1976,0.0264217241,0.0507736998,0.0467567312
03/1976,0.0263163115,0.0503267404,0.0436942858
04/1976,0.0255745068,0.0477578475,0.040744431
05/1976,0.0247148686,0.0470110247,0.0487589863
06/1976,0.0248439119,0.0476073752,0.0518449133
07/1976,0.0240990395,0.0446894333,0.0497546263
08/1976,0.0274592911,0.0458788825,0.0465158078
09/1976,0.0295826367,0.0471898886,0.0466779333
10/1976,0.0286223603,0.045573588,0.0455769863
11/1976,0.0285487064,0.0472342605,0.0527906927
12/1976,0.0307753748,0.0486217157,0.0496659625
01/1977,0.031130705,0.0422571131,0.046714081
02/1977,0.0309464997,0.0470246893,0.0485499608
03/1977,0.0320757808,0.0492087495,0.0532438582
04/1977,0.0321563726,0.0491803842,0.0521934712
05/1977,0.0334701318,0.0459521657,0.0547216846
06/1977,0.0347092122,0.0477012909,0.0564550345
07/1977,0.034538323,0.0449242223,0.0537089904
08/1977,0.0385033504,0.0474428817,0.0520955144
09/1977,0.0403192127,0.0495220597,0.0521879041
10/1977,0.0389078752,0.0518431017,0.0522432847
11/1977,0.0405581039,0.0564839393,0.0535778891
12/1977,0.0419935374,0.0521186948,0.050848431
01/1978,0.0420239939,0.0506001478,0.0548610891
02/1978,0.047385346,0.054832312,0.0509629773
03/1978,0.0471565153,0.0559138497,0.0644809339
04/1978,0.0459342401,0.0533143763,0.057153913
05/1978,0.0399251212,0.0510524232,0.0543977323
06/1978,0.0387970348,0.0507015949,0.0572042336
07/1978,0.0390637507,0.0520954326,0.0585952139
08/1978,0.0386459812,0.0515419479,0.0560785544
09/1978,0.0370847057,0.0501049032,0.0530555755
10/1978,0.0399854081,0.050832288,0.0532543554
11/1978,0.0431964911,0.0564462558,0.0633475788
12/1978,0.0424134365,0.0533915703,0.0635577467
01/1979,0.0415183999,0.0544814278,0.0624061115
02/1979,0.0415931583,0.0538286899,0.0525029603
03/1979,0.0426391801,0.0567589782,0.0603241145
04/1979,0.0413621276,0.0541807729,0.0561550121
05/1979,0.0396386032,0.0540761832,0.0595324124
06/1979,0.040092171,0.0547575899,0.0631558631
07/1979,0.0384553542,0.0524518182,0.0630289816
08/1979,0.0396283467,0.0541464126,0.0560994986
09/1979,0.0411033203,0.0515817137,0.0517960878
10/1979,0.0383220791,0.0513078258,0.0527740337
11/1979,0.0468900085,0.0529408425,0.0617966813
12/1979,0.0433533119,0.0487543704,0.0617277106
01/1980,0.0416050975,0.0489867528,0.0602202082
02/1980,0.0404611879,0.0491137977,0.0545736842
03/1980,0.0390753451,0.0557390069,0.0508273456
04/1980,0.0434443006,0.0599071841,0.0610683136
05/1980,0.04318701,0.0532145695,0.0636005916
06/1980,0.0406431785,0.0496869982,0.0617496184
07/1980,0.0406694311,0.0495440056,0.0593856812
08/1980,0.0396641579,0.0500859273,0.0505567303
