date,p1,p2,p3
07/1963,0.0329575845,0.0307409528,0.0329375516
08/1963,0.0351044028,0.0316920853,0.0301249356
09/1963,0.0302685592,0.0314594865,0.0309182924
10/1963,0.0320272924,0.0346383348,0.028350483
11/1963,0.0371085732,0.0307750538,0.0247400247
12/1963,0.0341215797,0.0308211724,0.0323026603
01/1964,0.029290541,0.0329449795,0.0367150834
02/1964,0.0347377533,0.0291548586,0.0260665511
03/1964,0.0333497874,0.0336313709,0.0252616937
04/1964,0.0315085466,0.0293617683,0.0297937094
05/1964,0.0307405582,0.0301528669,0.0298512554
06/1964,0.0242406665,0.0337325388,0.02917118
07/1964,0.0294850265,0.0276929776,0.0314825312
08/1964,0.0324516326,0.0293602784,0.0279763843
09/1964,0.027263126,0.0320953254,0.0306065857
10/1964,0.0309030197,0.0308498135,0.0294865435
11/1964,0.0347437797,0.0275335228,0.0263328661
12/1964,0.0310769141,0.0277706375,0.0318632218
01/1965,0.0272059488,0.030764222,0.0358869159
02/1965,0.0320406517,0.027008188,0.028974836
03/1965,0.0292954892,0.0316676185,0.0246480818
04/1965,0.028900422,0.0262519255,0.032473804
05/1965,0.0298840088,0.030332481,0.0279978752
06/1965,0.0253892142,0.0327599278,0.0292122512
07/1965,0.0319508308,0.0310371871,0.0311294874
08/1965,0.0348999968,0.0312356194,0.028938841
09/1965,0.0289868075,0.0281322398,0.0335635728
10/1965,0.0304348792,0.0308619357,0.0292567141
11/1965,0.0366168366,0.0280148158,0.024893132
12/1965,0.0294209402,0.0272226138,0.0315588605
01/1966,0.0284335928,0.0320674664,0.0260651076
02/1966,0.0330266948,0.0264608923,0.0267923373
03/1966,0.02869269,0.0296910088,0.0331682948
04/1966,0.0299181328,0.0270339422,0.0348750328
05/1966,0.0272675366,0.0316410699,0.0318277026
06/1966,0.0245336023,0.0328430868,0.0354276232
07/1966,0.0335773064,0.0356180659,0.0301041465
08/1966,0.0394202931,0.0334720627,0.0291190407
09/1966,0.0353916252,0.0359125843,0.0386401654
10/1966,0.0386011061,0.0401206165,0.0338667738
11/1966,0.0394489664,0.0357172798,0.0274506474
12/1966,0.034224183,0.0342995322,0.0357165436
01/1967,0.035771553,0.0362914856,0.0304673851
02/1967,0.0385033935,0.0293220411,0.0262203179
03/1967,0.0350084928,0.036504998,0.0253282105
04/1967,0.0318453262,0.0294356358,0.0330231436
05/1967,0.0258314551,0.0276838034,0.0340272466
06/1967,0.0263342345,0.0320204772,0.0367889813
07/1967,0.0346511819,0.0329884952,0.0290832872
08/1967,0.0365721963,0.0295473994,0.0255241986
09/1967,0.024764047,0.0339199314,0.0308078959
10/1967,0.029569066,0.0290637341,0.0298748533
11/1967,0.0438761693,0.0317275818,0.0162424127
12/1967,0.0238147383,0.0343354347,0.0310097147
01/1968,0.0341758727,0.0251469006,0.0225854
02/1968,0.0385534579,0.0316443834,0.0173755821
03/1968,0.0332508663,0.0402089019,0.0226538965
04/1968,0.0408721385,0.036744811,0.0241166809
05/1968,0.028249268,0.0351423045,0.025151081
06/1968,0.0268664545,0.0352312354,0.0232847781
07/1968,0.0239955029,0.0345083727,0.028060715
08/1968,0.0340335552,0.0296355063,0.026726402
09/1968,0.0320452061,0.0290286433,0.0285974504
10/1968,0.0305418606,0.0345665562,0.0254176762
11/1968,0.0401384809,0.0300152416,0.0178832526
12/1968,0.0238147978,0.0337222661,0.022116316
01/1969,0.0310091555,0.0262946225,0.0206657394
02/1969,0.0348449259,0.0300471392,0.0180620459
03/1969,0.0348298089,0.0364258984,0.0180302378
04/1969,0.0388744158,0.0289279299,0.02071552
05/1969,0.0322472081,0.0320379587,0.0218368335
06/1969,0.0327751719,0.0277508282,0.0267574144
07/1969,0.0250162264,0.036708026,0.0343771891
08/1969,0.0374479758,0.0353476349,0.0273645688
09/1969,0.0338707223,0.0301240993,0.0345392035
10/1969,0.0308933769,0.034761088,0.033806111
11/1969,0.0461646819,0.0325179534,0.0177499235
12/1969,0.0310178561,0.0381674718,0.0299097659
01/1970,0.033900604,0.0345239386,0.0280088221
02/1970,0.0458547495,0.0449505789,0.0209689586
03/1970,0.047232622,0.0422578992,0.0210824077
04/1970,0.0515167214,0.0363795821,0.0208271154
05/1970,0.0404551633,0.0371172018,0.0353512831
06/1970,0.0431725114,0.0457883239,0.0337660848
07/1970,0.040100357,0.0449425032,0.0433466265
08/1970,0.0494497776,0.0404938299,0.0307414166
09/1970,0.0433206041,0.0361454075,0.0371491493
10/1970,0.0360068222,0.0398163571,0.0313762457
11/1970,0.0495863018,0.0380469398,0.0232431825
12/1970,0.0337648067,0.0390065521,0.0334478021
01/1971,0.0313792589,0.0373436443,0.0328047388
02/1971,0.0345239464,0.0347532485,0.0262670562
03/1971,0.038054476,0.0376609742,0.025324296
04/1971,0.0428836239,0.0356591684,0.019501512
05/1971,0.024690733,0.0290402696,0.0319852248
06/1971,0.0336021916,0.0337433555,0.0250510316
07/1971,0.019745276,0.0365615071,0.0314762977
08/1971,0.0367058192,0.0321532964,0.0252752567
09/1971,0.0388581842,0.0267847208,0.0228483742
10/1971,0.0293538527,0.0301138348,0.0310508859
11/1971,0.0430965338,0.0347063906,0.021696727
12/1971,0.0317488824,0.0354867994,0.0292853956
01/1972,0.0282822769,0.0301564463,0.0300032859
02/1972,0.0299381391,0.0337880124,0.023982819
03/1972,0.0402639458,0.0293878902,0.0212482861
04/1972,0.0430451075,0.0271471931,0.0195379523
05/1972,0.0271828224,0.0273476309,0.0284852136
