date,p1,p2,p3
07/1963,0.0306095922,0.030677466,0.0345782251
08/1963,0.0307378867,0.0307804573,0.0350180558
09/1963,0.0294296379,0.0295656609,0.033447434
10/1963,0.0300544893,0.0300673975,0.0337238972
11/1963,0.0296149489,0.0301930606,0.0338214972
12/1963,0.0306692492,0.0307949394,0.0345154012
01/1964,0.0301789302,0.0293469658,0.0338448266
02/1964,0.0294091346,0.0293868669,0.0331028053
03/1964,0.029085781,0.0295169045,0.0329742095
04/1964,0.0287131134,0.029094147,0.0310282696
05/1964,0.0291061356,0.029139938,0.0314566693
06/1964,0.0286939595,0.0293090909,0.0318115629
07/1964,0.0302550373,0.0284835646,0.0318476693
08/1964,0.0296600144,0.02861534,0.031403934
09/1964,0.0304071033,0.0293505839,0.0318143066
10/1964,0.0295940573,0.0295499253,0.0307728501
11/1964,0.0297138609,0.0288744485,0.0312122587
12/1964,0.0296833183,0.0288409092,0.0309316532
01/1965,0.0289915822,0.0287321387,0.0310115324
02/1965,0.0282370777,0.0283344637,0.0300643565
03/1965,0.0284925895,0.0286588975,0.0298669066
04/1965,0.0286456135,0.0293531838,0.0303332239
05/1965,0.0285364534,0.029020168,0.0299267933
06/1965,0.0290366786,0.0293154007,0.0299247536
07/1965,0.0238081422,0.0291419682,0.0371012182
08/1965,0.0240492599,0.0295941608,0.0370296163
09/1965,0.0232833338,0.0287004691,0.0367203771
10/1965,0.0224218526,0.0283968027,0.0353073935
11/1965,0.0223688044,0.0280348847,0.0351898017
12/1965,0.0220276565,0.0279645682,0.0359095483
01/1966,0.0216751848,0.0281465947,0.0361921039
02/1966,0.0213457585,0.0281841041,0.0361341455
03/1966,0.0213631024,0.0288683599,0.0373476678
04/1966,0.0217438165,0.0295812913,0.0385987615
05/1966,0.0213802786,0.0296419469,0.0381586096
06/1966,0.0227380637,0.0309591434,0.0408150636
07/1966,0.0298686888,0.0297219295,0.0397651823
08/1966,0.0311692251,0.0304416885,0.0406360343
09/1966,0.0342188978,0.0329461271,0.0441840205
10/1966,0.0349319081,0.0322276886,0.0443251886
11/1966,0.0334023693,0.0318939368,0.0412043015
12/1966,0.0324201256,0.0318026471,0.0419052953
01/1967,0.0321653141,0.031802445,0.0419436384
02/1967,0.029977597,0.0299707368,0.0396480377
03/1967,0.029466687,0.0297550548,0.0397485113
04/1967,0.0280373918,0.0287000456,0.0384204139
05/1967,0.0259558347,0.0278452546,0.0381091982
06/1967,0.0277339647,0.0292498116,0.0398909042
07/1967,0.019270183,0.0322063366,0.0443911506
08/1967,0.0181590718,0.0299809767,0.0415006668
