date,p1,p2,p3
02/1973,0.0162180116,0.0156496257,0.0198274871
03/1973,0.0098284254,0.0145675946,0.0248346203
04/1973,0.0116589402,0.015132907,0.026141219
05/1973,0.0094851324,0.0181162904,0.0270073529
06/1973,0.0161009353,0.0147479763,0.0270662837
07/1973,0.0140367162,0.0171252919,0.0256464988
08/1973,0.0106667195,0.0153146115,0.0260745255
09/1973,0.0103574028,0.0162957442,0.0278356214
10/1973,0.0104455988,0.0148875351,0.027344448
11/1973,0.0176401133,0.0146634971,0.0273210254
12/1973,0.018625531,0.016334653,0.0315671779
01/1974,0.0131884426,0.0175092962,0.0313627052
02/1974,0.0137116497,0.0175900041,0.0329653199
03/1974,0.0173223122,0.0249617577,0.0411525143
04/1974,0.0195949792,0.023326608,0.0429264496
05/1974,0.0214452866,0.0242020116,0.0463633487
06/1974,0.0200308599,0.02820283,0.0447722242
07/1974,0.0216778923,0.0278706784,0.0628424603
08/1974,0.0229286838,0.0310081888,0.0534374435
09/1974,0.0241083766,0.0326923613,0.0684547806
10/1974,0.0357445298,0.0407910677,0.0695769935
11/1974,0.0250522438,0.0334829318,0.0611662054
12/1974,0.027144643,0.0369639552,0.0749790168
01/1975,0.0291482967,0.0378091426,0.0760534818
02/1975,0.0295131887,0.0331649395,0.0641780787
03/1975,0.025990741,0.0327978506,0.0624112607
04/1975,0.0258590699,0.0380341777,0.0581800642
05/1975,0.0230862785,0.0300761644,0.0590395901
06/1975,0.0224379214,0.0275834881,0.0559297209
07/1975,0.020974968,0.0286704473,0.0529012475
08/1975,0.0224961787,0.0333638941,0.0516590465
09/1975,0.0244598454,0.0317370434,0.0538953801
10/1975,0.0275298216,0.0306653463,0.0488450515
11/1975,0.0273121435,0.0292588303,0.0508912113
12/1975,0.0244968629,0.0310510528,0.0543218433
01/1976,0.0255118416,0.0341156183,0.0538530326
02/1976,0.0231893937,0.0301612022,0.0499930071
03/1976,0.0276541972,0.0273426225,0.0485090532
04/1976,0.024959621,0.0286597132,0.042275669
05/1976,0.0239369807,0.0279453725,0.0423364919
06/1976,0.024074276,0.0281199688,0.0436002679
07/1976,0.0225712182,0.0282842369,0.0418246797
08/1976,0.0249900683,0.032117999,0.0397812241
09/1976,0.0256434687,0.0339699121,0.0393994577
10/1976,0.0242710932,0.0289367696,0.040278077
11/1976,0.0276663728,0.0338585423,0.0439641898
12/1976,0.0278019333,0.0299558578,0.0457817442
01/1977,0.0248558411,0.0360709436,0.0407082156
02/1977,0.0299190903,0.0409844811,0.0424818187
03/1977,0.0314942382,0.0375328433,0.0464949318
04/1977,0.0325890712,0.0325774292,0.0487411004
05/1977,0.0326724326,0.0342876683,0.0529663473
06/1977,0.0325596088,0.0373890443,0.055047486
07/1977,0.0314771115,0.0405078141,0.0485927802
08/1977,0.0332811557,0.0407006204,0.0497124467
09/1977,0.0321662861,0.0429069508,0.0515300545
10/1977,0.0389894565,0.0424910416,0.0520312504
11/1977,0.0406691021,0.0473283497,0.053643357
12/1977,0.0379325643,0.0460038804,0.0533464297
01/1978,0.0486816031,0.0382513992,0.053773317
02/1978,0.0453344265,0.0443759772,0.0581343322
03/1978,0.0353112995,0.0501103146,0.0590180971
04/1978,0.0456130061,0.046532691,0.0567937397
05/1978,0.0420042376,0.0425912317,0.0567621976
06/1978,0.0353734713,0.0456288298,0.0559252568
07/1978,0.0362270476,0.0452362551,0.0579730385
08/1978,0.0338590382,0.0440888436,0.0559777627
09/1978,0.0319196427,0.0426212558,0.0546454977
10/1978,0.0375894946,0.0424564462,0.0551050104
11/1978,0.0382646325,0.0507934082,0.0595747797
12/1978,0.0344193146,0.0452737429,0.0609035274
01/1979,0.0352343417,0.0490870244,0.0596596635
02/1979,0.0348225633,0.0479006878,0.0579875033
03/1979,0.0366969417,0.048533479,0.0610778294
04/1979,0.0381418501,0.0516305711,0.0551194001
