date,p1,p2,p3
07/1963,0.0288016835,0.0371396447,0.0314552406
08/1963,0.0280312402,0.0364284611,0.0319870732
09/1963,0.0264601482,0.0345993391,0.0309343874
10/1963,0.0270910689,0.0352600013,0.0314915532
11/1963,0.0254450799,0.0293583879,0.0332210201
12/1963,0.0262409579,0.0304974605,0.0336943821
01/1964,0.0253082624,0.0358409724,0.031201874
02/1964,0.0252810663,0.0340049966,0.0309694601
03/1964,0.0258461658,0.0332031296,0.0308558062
04/1964,0.0236461066,0.0330226748,0.0303111637
05/1964,0.0246306916,0.033994226,0.0302058663
06/1964,0.0242350694,0.0354857183,0.0300160669
07/1964,0.0245385775,0.0345638906,0.0298199248
08/1964,0.0242804351,0.0337546602,0.0298184952
09/1964,0.0256219339,0.0339191434,0.0305446094
10/1964,0.0246318608,0.0335634146,0.0301999713
11/1964,0.0265476237,0.0331346319,0.0297610406
12/1964,0.0334887986,0.0335894917,0.029576486
01/1965,0.0343188385,0.0336268146,0.0291877864
02/1965,0.0323296384,0.0314119638,0.028954207
03/1965,0.0240467002,0.0308348255,0.0294209296
04/1965,0.0249324635,0.0297776563,0.0301850916
05/1965,0.0251153829,0.0294395071,0.0298910541
06/1965,0.0253755981,0.03055264,0.0300274212
07/1965,0.0253351908,0.0356378418,0.031080818
08/1965,0.0254048565,0.0347417939,0.0315552268
09/1965,0.0243381152,0.0325114953,0.0311735573
10/1965,0.0225617888,0.0324325333,0.0303171249
11/1965,0.0230518713,0.0312447415,0.03008502
12/1965,0.0232045974,0.0304463354,0.03050218
01/1966,0.0234512719,0.0294122923,0.0305268143
02/1966,0.0217362725,0.0287597003,0.0307693281
03/1966,0.0197069861,0.0298346782,0.0316549544
04/1966,0.019644692,0.0301354424,0.0328341581
05/1966,0.0195692377,0.0296661072,0.0325430148
06/1966,0.0226150113,0.0315020819,0.0339769837
07/1966,0.0223620334,0.0333487918,0.0344481623
08/1966,0.0219737223,0.0357877432,0.0354088749
09/1966,0.0251878564,0.03835735,0.038705567
10/1966,0.0252670538,0.0396039434,0.0383429442
11/1966,0.0271508696,0.0379566857,0.0361767926
12/1966,0.0249571754,0.0373380529,0.0366912764
01/1967,0.0245439243,0.0375085368,0.0364558653
02/1967,0.0202936052,0.0343532897,0.03484378
03/1967,0.0208206279,0.0321064517,0.0347638123
04/1967,0.0182204363,0.0309914755,0.0334723931
05/1967,0.0179497124,0.0295718294,0.0323575755
06/1967,0.0201420614,0.0300108541,0.0342005269
07/1967,0.0170237153,0.0305629799,0.0342819188
08/1967,0.0168764403,0.028290044,0.031890424
09/1967,0.0171194855,0.0288289342,0.0323038859
10/1967,0.0172627351,0.0283525619,0.0309176807
11/1967,0.0175409306,0.0290523346,0.0320758687
12/1967,0.0167816702,0.0291092153,0.0321318052
01/1968,0.0154472268,0.0274754522,0.0309914361
02/1968,0.0170967077,0.0287184396,0.0328846415
03/1968,0.019042314,0.0334329973,0.0336562002
04/1968,0.0188635957,0.0301924704,0.0339123278
05/1968,0.0153977679,0.0293136038,0.0321198648
06/1968,0.0154367433,0.0270051533,0.0312433784
07/1968,0.0168430541,0.0256170937,0.0306421919
08/1968,0.0185987493,0.0281109464,0.0310729462
09/1968,0.0184706488,0.026916227,0.0310178367
10/1968,0.0166484843,0.0262274077,0.0314601749
11/1968,0.0175890965,0.0255039717,0.0309559498
12/1968,0.0181291659,0.0236016734,0.0293012414
01/1969,0.0180787532,0.0232700237,0.0303411213
02/1969,0.0180394387,0.0239460113,0.030590146
03/1969,0.0186655265,0.0272045388,0.0317705673
04/1969,0.0162710645,0.0262879743,0.031167449
05/1969,0.0153814708,0.0269318432,0.0314171981
06/1969,0.0165131695,0.0283482094,0.0312982295
07/1969,0.0182869833,0.032027362,0.033224121
08/1969,0.020714745,0.0329670758,0.0359325541
09/1969,0.0179152436,0.0323168558,0.0352120681
10/1969,0.0182693552,0.034813844,0.0363435471
11/1969,0.0184545025,0.030068534,0.0348104567
12/1969,0.0189231757,0.0304906753,0.0366512993
