date,p1,p2,p3
07/1963,0.0317950756,0.0343253056,0.0354334373
08/1963,0.0320571959,0.0347121925,0.0353571499
09/1963,0.0307272699,0.0332579669,0.0342552476
10/1963,0.0313413246,0.0340375997,0.0345689781
11/1963,0.0312903565,0.0335361434,0.0339360591
12/1963,0.0319899727,0.0341862276,0.0343973159
01/1964,0.0310584035,0.0337077145,0.0342597753
02/1964,0.0306859613,0.0333652143,0.0335273673
03/1964,0.0305627111,0.033342823,0.0330122328
04/1964,0.0299653507,0.0318943521,0.0319343136
05/1964,0.0301840994,0.0320723715,0.0325481537
06/1964,0.0301541175,0.0321501029,0.0324325668
07/1964,0.02972309,0.0324467041,0.0349288864
08/1964,0.0295280984,0.0322566524,0.0341559418
09/1964,0.0302681049,0.0327022179,0.0344944958
10/1964,0.0299446666,0.0320122507,0.0335284738
11/1964,0.0296323549,0.0323190238,0.0343003431
12/1964,0.0303566455,0.0323155105,0.0334892295
01/1965,0.0301220102,0.0321193485,0.033796135
02/1965,0.0294902563,0.0308313055,0.0327053582
03/1965,0.0289729463,0.0304429666,0.0323515978
04/1965,0.0294804764,0.030501795,0.0322895866
05/1965,0.0292321181,0.0299941722,0.0316237021
06/1965,0.0295963914,0.030123106,0.0316762429
07/1965,0.0309603336,0.0331028518,0.0362024749
08/1965,0.0311741467,0.0327274051,0.0359231044
09/1965,0.0304391881,0.0316124581,0.0344293051
10/1965,0.0296317063,0.0306514146,0.0328853623
11/1965,0.0294528535,0.0301443415,0.0314890703
12/1965,0.0296494141,0.0300681857,0.0301884488
01/1966,0.0296593363,0.0289600923,0.0287148464
02/1966,0.0295732873,0.0286122173,0.026871325
03/1966,0.0302713266,0.0283811552,0.0262424861
04/1966,0.0310978124,0.0289904112,0.0267009139
05/1966,0.0308509329,0.0276180447,0.02675931
06/1966,0.0325070951,0.030116895,0.0285140854
07/1966,0.0325475495,0.0328614657,0.0338131435
08/1966,0.0335584053,0.0338998871,0.0345610056
09/1966,0.0365451123,0.0382042756,0.0384467131
10/1966,0.0365370186,0.038417559,0.0394644127
11/1966,0.0349839371,0.0384229303,0.0403066566
12/1966,0.034739134,0.0374569356,0.0405446696
01/1967,0.0347149217,0.036199475,0.0391238534
02/1967,0.0326554848,0.0325147874,0.0342326739
03/1967,0.032401749,0.031822782,0.0330445067
04/1967,0.0310920831,0.0304650925,0.031269686
05/1967,0.0300146137,0.0294779456,0.030298593
06/1967,0.0317389955,0.0306456458,0.0309934079
07/1967,0.0313298202,0.0303265484,0.0325157738
08/1967,0.0293987715,0.0286612582,0.0297101045
09/1967,0.0298430795,0.0289458403,0.0298187459
10/1967,0.0290387563,0.027909974,0.0278207773
11/1967,0.0299377214,0.0288257796,0.0286409329
12/1967,0.0298106065,0.0288283502,0.0280493038
01/1968,0.0287202893,0.0263213835,0.0251519212
02/1968,0.0306840916,0.0272514081,0.0245043448
03/1968,0.0326960943,0.0287937322,0.0259862449
04/1968,0.0318692933,0.0288569457,0.0263466164
05/1968,0.0298871814,0.0258770504,0.0230027739
06/1968,0.0292162906,0.024242172,0.020658921
07/1968,0.0285050269,0.0253930348,0.0236061378
08/1968,0.0296843702,0.0267937104,0.0251739161
09/1968,0.0293030349,0.0261961467,0.0240880589
10/1968,0.0292798306,0.0248640292,0.0227602068
11/1968,0.028862929,0.0246330348,0.0222786017
12/1968,0.0274933498,0.0228092022,0.0208556403
01/1969,0.0283699592,0.0224772237,0.0201445664
02/1969,0.0286114192,0.0229769525,0.0203074047
03/1969,0.030167121,0.0251725513,0.02254139
04/1969,0.0290910568,0.0248121334,0.0216007414
05/1969,0.029136109,0.0243649139,0.0214793465
06/1969,0.0295061172,0.0244426025,0.0215108324
07/1969,0.0314212948,0.0285297379,0.0264865346
08/1969,0.0334492013,0.031284509,0.0292696813
09/1969,0.0322634416,0.0305063385,0.0276343322
10/1969,0.0333310685,0.0313624323,0.0285783708
11/1969,0.0315796217,0.029098938,0.0261446512
12/1969,0.0329594722,0.0305047377,0.0275932367
01/1970,0.0329804478,0.0300209317,0.0288128803
02/1970,0.0358625828,0.0328418517,0.0304071168
03/1970,0.0343108425,0.0317158444,0.0291532417
04/1970,0.0345888762,0.0319904201,0.0298865823
05/1970,0.0371348528,0.037029111,0.0352025856
06/1970,0.0399077679,0.0419836896,0.0389742918
07/1970,0.0423069879,0.0470313263,0.0453845603
08/1970,0.0393204253,0.0421010451,0.0419747643
09/1970,0.0374697402,0.0391245471,0.0388919913
10/1970,0.036159784,0.0358175075,0.0343344406
11/1970,0.0366247687,0.0372029032,0.0361088114
12/1970,0.034735105,0.0360283123,0.0352236887
01/1971,0.0324656185,0.0318634653,0.0310264869
02/1971,0.0315134005,0.0290597217,0.0270036427
03/1971,0.0310936367,0.0284485513,0.0265852102
04/1971,0.0304565447,0.0270866454,0.0249487459
05/1971,0.0292711281,0.0260759018,0.0237715067
06/1971,0.0303050963,0.0273407438,0.0253326709
07/1971,0.0290716787,0.0289748951,0.0293360559
08/1971,0.0308730803,0.030554758,0.0319507799
09/1971,0.0299271161,0.0289153221,0.0303080127
10/1971,0.0298137874,0.0292085489,0.0304220757
11/1971,0.03118362,0.0307855806,0.0318753917
12/1971,0.0314615204,0.0314362055,0.0331216809
01/1972,0.0282665135,0.0273521441,0.0286206895
02/1972,0.0281744928,0.026419175,0.0265396472
03/1972,0.0273988235,0.0254788799,0.0241830491
04/1972,0.0265903021,0.0252952583,0.0240837997
05/1972,0.0271476437,0.0255473183,0.0240181839
06/1972,0.0269439401,0.0255550805,0.0230291493
07/1972,0.0265618619,0.0290627187,0.0307564469
08/1972,0.0269982117,0.0299498158,0.0292346627
09/1972,0.0259510253,0.0290669894,0.0287138312
10/1972,0.0259320075,0.0296803213,0.0294457778
11/1972,0.0265065748,0.0297075253,0.0295689019
12/1972,0.0253174871,0.0280589442,0.0282279707
01/1973,0.0247494802,0.0274604486,0.0277410951
02/1973,0.0255261154,0.0292758674,0.0290387083
03/1973,0.026534199,0.0316075457,0.0317583896
04/1973,0.0269478339,0.0329180199,0.0329857712
05/1973,0.0282806709,0.0354027935,0.0355558983
06/1973,0.0288888139,0.0380440306,0.0387410986
07/1973,0.0295775473,0.0403158278,0.0401778912
08/1973,0.0284385394,0.0370937512,0.0362626376
09/1973,0.0296743162,0.0380984522,0.0392697359
10/1973,0.0287110232,0.0343755355,0.0354687784
11/1973,0.0288823939,0.0332928823,0.0332929401
12/1973,0.032592193,0.0411515241,0.0419630284
01/1974,0.0320105965,0.0412938313,0.0438800017
02/1974,0.032844163,0.0386271525,0.0399474357
03/1974,0.0334193897,0.0389442238,0.0402215849
04/1974,0.0345567035,0.0401555172,0.0399508245
05/1974,0.0366272714,0.0431507682,0.042949671
06/1974,0.0382738128,0.0471218926,0.046256394
07/1974,0.03892218,0.0520128269,0.0507115069
08/1974,0.0426498576,0.0541621407,0.0532131535
09/1974,0.0478209086,0.0607104529,0.0587001994
10/1974,0.0556856824,0.0667529257,0.0644982471
11/1974,0.0460850288,0.0605738952,0.0595948304
12/1974,0.0483869546,0.0640773089,0.0631285524
01/1975,0.0507687262,0.0680397835,0.0678757399
02/1975,0.0450450306,0.0563660419,0.0543008436
03/1975,0.0426880567,0.0544948743,0.0521587626
04/1975,0.0417012513,0.0516602722,0.0497373842
05/1975,0.0398941693,0.0503683495,0.0476417874
06/1975,0.0381273531,0.048628563,0.0448632516
07/1975,0.0362034336,0.0446105322,0.0475366949
08/1975,0.0388443731,0.0462879218,0.0471773052
09/1975,0.0403374566,0.0488890568,0.0499195722
10/1975,0.0422043639,0.0512435922,0.0511950245
11/1975,0.0393447343,0.0490956801,0.0502873971
12/1975,0.0387583012,0.0479611031,0.0490280973
01/1976,0.0391140036,0.0508915137,0.0496059593
02/1976,0.035355159,0.044144906,0.0422808517
03/1976,0.0361561215,0.0426240209,0.0393469828
04/1976,0.0350600672,0.0423832052,0.039551619
05/1976,0.0359794676,0.0431067637,0.0399592429
06/1976,0.0365856751,0.0443230763,0.0411370372
07/1976,0.0350635138,0.0427267237,0.0437438073
08/1976,0.036259345,0.0417534307,0.0443249258
09/1976,0.0363865096,0.0424240611,0.0454303799
10/1976,0.0350198708,0.0419828288,0.0427223775
11/1976,0.0380686654,0.0438230864,0.0440626418
12/1976,0.0385871851,0.0427837601,0.0429298029
01/1977,0.0364368484,0.0396010963,0.0399905533
02/1977,0.0396884219,0.0410187017,0.0396406444
03/1977,0.0409918463,0.0422172316,0.0404944988
04/1977,0.0414708686,0.0420963153,0.0403999988
05/1977,0.0425454549,0.0419072778,0.0398836667
06/1977,0.0448549395,0.0427858511,0.0401470932
07/1977,0.0416745794,0.0441341176,0.0405938618
08/1977,0.0433796324,0.0458316257,0.0409169505
09/1977,0.0451310179,0.0472183954,0.0407059069
10/1977,0.0455923765,0.0467154546,0.0403634351
11/1977,0.0486625435,0.0482249531,0.0417007092
12/1977,0.047256524,0.0468242774,0.0393207361
01/1978,0.0475855931,0.0466821486,0.0384503998
02/1978,0.051569484,0.0500751709,0.0403368525
03/1978,0.0533849281,0.0511921804,0.0399232199
04/1978,0.0522319721,0.0494865865,0.0382499969
05/1978,0.0491054447,0.0468093853,0.0363817278
06/1978,0.0489384827,0.041545904,0.0349178951
07/1978,0.0495945112,0.0403724969,0.0425820206
08/1978,0.047847838,0.0395436394,0.0410941291
09/1978,0.0464103261,0.0369252934,0.0391538097
10/1978,0.0484741407,0.0378311365,0.0373153905
11/1978,0.0528925156,0.046089695,0.0462404965
12/1978,0.0522367364,0.0450997876,0.0444440013
01/1979,0.0518500318,0.0446109502,0.0436534705
02/1979,0.0504258582,0.0424954825,0.0408503684
03/1979,0.0528946951,0.0444385707,0.0409514085
04/1979,0.0507920085,0.0438723797,0.0381235143
05/1979,0.0512227927,0.0439508417,0.038486415
06/1979,0.0526406334,0.0450877414,0.039826497
07/1979,0.0507612327,0.0443826287,0.0413306155
08/1979,0.0507767082,0.0437963204,0.0406188446
09/1979,0.0487233708,0.041442615,0.0383086038
10/1979,0.048031481,0.0420247668,0.0393111415
11/1979,0.0539836226,0.0471447275,0.0445270291
12/1979,0.0513058669,0.04426825,0.0424037914
01/1980,0.0501278996,0.0440332819,0.0397413426
02/1980,0.0488860711,0.0423255332,0.0375904362
03/1980,0.0493339576,0.0439897859,0.0387162821
04/1980,0.0553667287,0.0520540829,0.0457155043
05/1980,0.0543306858,0.0498316343,0.043354573
06/1980,0.0520176958,0.0442029862,0.0410084356
07/1980,0.049764976,0.0451421769,0.0454082731
08/1980,0.0474029901,0.0411331463,0.0421793148
09/1980,0.0478276747,0.0403637093,0.0399179393
10/1980,0.0477394553,0.0394839746,0.0393290355
11/1980,0.0464160145,0.0387432404,0.0372849283
12/1980,0.0419154053,0.0364996974,0.0355302949
01/1981,0.0439642487,0.0381714772,0.0367101889
02/1981,0.0461561663,0.0395932286,0.0373238357
03/1981,0.0460764776,0.0383979737,0.0367381717
04/1981,0.0446216574,0.0371616206,0.0342627611
05/1981,0.0466998451,0.0358128335,0.0329403161
06/1981,0.047405113,0.0353159322,0.0314793308
07/1981,0.0472467339,0.0395760242,0.0376793603
08/1981,0.0477825668,0.0411227586,0.038435177
09/1981,0.0509243225,0.0441896288,0.0417029779
10/1981,0.0546215581,0.0480694058,0.0442946703
11/1981,0.0531223298,0.0453390444,0.0418151655
12/1981,0.0507426679,0.0451050498,0.0410812921
01/1982,0.0516333697,0.0459604062,0.0417389729
02/1982,0.054112307,0.0487844662,0.0444292521
03/1982,0.0581163038,0.0513456946,0.0463449923
04/1982,0.0601167239,0.0522595169,0.0478184413
05/1982,0.0585278296,0.0496972233,0.0455689746
06/1982,0.0605382042,0.0524437406,0.0474235365
07/1982,0.0615058309,0.0516517207,0.0508345665
08/1982,0.0641719615,0.0527921915,0.0534630328
09/1982,0.0575794369,0.0484772258,0.0488550822
10/1982,0.0563537828,0.0467138678,0.0464047449
11/1982,0.0516772373,0.0412321712,0.0397324221
12/1982,0.0504883348,0.0382913806,0.0363596402
01/1983,0.0497106232,0.0375018188,0.0351639898
02/1983,0.0484812592,0.0359932334,0.0328394929
03/1983,0.0475143657,0.0343009787,0.030984559
04/1983,0.0458627673,0.0324936568,0.0288529756
05/1983,0.0430597118,0.0304621502,0.0263751302
06/1983,0.0439844708,0.0293814512,0.024421379
07/1983,0.0399244232,0.0312634512,0.0279203092
08/1983,0.0419000909,0.032153946,0.0280057827
09/1983,0.0423307736,0.0334937919,0.0288036764
10/1983,0.0412486826,0.0318171875,0.0276399641
11/1983,0.0423093065,0.0333848096,0.0289782642
12/1983,0.0418552352,0.0320858464,0.0280474926
01/1984,0.0423417169,0.0326082824,0.0291346966
02/1984,0.0436763411,0.033772706,0.0298873825
03/1984,0.0459025362,0.0362643217,0.0323612706
04/1984,0.0456910875,0.0357241645,0.0324965232
05/1984,0.0459830878,0.036207127,0.033355269
06/1984,0.0490784592,0.0384870427,0.0370058854
07/1984,0.0486340112,0.0405864533,0.0366833978
08/1984,0.0501002944,0.0424537997,0.0381818298
09/1984,0.0453874734,0.0381493819,0.0350639835
10/1984,0.0470462527,0.0384501775,0.0350570957
11/1984,0.0466201206,0.0389041194,0.035658055
12/1984,0.0476280609,0.0397521227,0.0348174498
01/1985,0.0481287189,0.0388472173,0.0349886204
02/1985,0.0451255783,0.0355782948,0.0314980101
03/1985,0.0448382692,0.0341513734,0.0305615291
04/1985,0.0454135366,0.0343434267,0.0289106388
05/1985,0.0458592513,0.0345983526,0.0282320225
06/1985,0.0431196524,0.0331279161,0.0267241455
07/1985,0.0435474012,0.0299575467,0.0268884179
08/1985,0.0441215671,0.0320042802,0.0263644902
09/1985,0.0444333714,0.0330425439,0.025891822
10/1985,0.0458825422,0.0345154202,0.0267012768
11/1985,0.0447358516,0.0332418192,0.0260140546
12/1985,0.0428632565,0.0314352463,0.0244613669
01/1986,0.0414952467,0.0302807185,0.0229938051
02/1986,0.041475897,0.0297902699,0.0226405569
03/1986,0.0395381481,0.0277293875,0.020815993
04/1986,0.0378658679,0.0266755178,0.019939506
05/1986,0.0381610986,0.0286486491,0.0194724191
06/1986,0.0363944659,0.0251843251,0.0188530001
07/1986,0.0344206424,0.026310327,0.029233751
08/1986,0.0363691492,0.028154407,0.0320101446
09/1986,0.034206102,0.0268348707,0.0319918517
10/1986,0.0389551335,0.0287702199,0.0337490276
11/1986,0.036910529,0.0336926824,0.0305977671
12/1986,0.0367302893,0.0312553903,0.0309261491
01/1987,0.037527542,0.0318813542,0.0315802689
02/1987,0.0337814637,0.0286532751,0.0286448664
03/1987,0.032043621,0.0271675058,0.0267040571
04/1987,0.032177663,0.0267309843,0.0258559994
05/1987,0.0334007886,0.0280845707,0.019622187
06/1987,0.0337581444,0.0288477718,0.020103955
07/1987,0.030744627,0.0410944486,0.0209783684
08/1987,0.0300118331,0.0399113223,0.0204099432
09/1987,0.0289092076,0.0405208503,0.0199043438
10/1987,0.0304467921,0.0360368266,0.0200101182
11/1987,0.0395434391,0.0411779291,0.0283024059
12/1987,0.0431091367,0.0435496397,0.0298564396
01/1988,0.0404762811,0.0407355764,0.0286506725
02/1988,0.0397498244,0.0398187834,0.0277299226
03/1988,0.038603525,0.0374565728,0.0270204422
04/1988,0.0400571208,0.0312720581,0.0277515107
05/1988,0.0400800968,0.0318689086,0.0278226647
06/1988,0.0404367539,0.0328284099,0.0294310899
07/1988,0.038572729,0.0358142501,0.0288843955
08/1988,0.0394868989,0.037542803,0.029401028
09/1988,0.0415105214,0.037071266,0.0304793801
10/1988,0.0399997917,0.035982897,0.0298836758
11/1988,0.0390578839,0.0369459476,0.0311141613
12/1988,0.0405291988,0.0387338172,0.0322773288
01/1989,0.0416854087,0.0373148494,0.0314891296
02/1989,0.0392116819,0.0331327478,0.029931943
03/1989,0.0405189794,0.0348820429,0.0295316208
04/1989,0.0398184435,0.0344098661,0.0293736083
05/1989,0.039154376,0.0335917036,0.0283556809
06/1989,0.0378982466,0.0334948473,0.0287434962
07/1989,0.0371310505,0.0362580431,0.0382124206
08/1989,0.0349290354,0.0351240359,0.0360970238
09/1989,0.0342338334,0.0352818507,0.0352496097
10/1989,0.0340515502,0.0354637462,0.0361451607
11/1989,0.0350824286,0.0373720153,0.0341860948
12/1989,0.0348248718,0.0370559713,0.0338925001
01/1990,0.0342051746,0.0330579449,0.0345778173
02/1990,0.0375059171,0.0362374363,0.0372823506
03/1990,0.0373135635,0.0355332981,0.0364205161
04/1990,0.0368920887,0.0373790017,0.0351204296
05/1990,0.0377531767,0.0388187998,0.0319525163
06/1990,0.0342128145,0.0363399104,0.0290511626
07/1990,0.0340849343,0.0353071721,0.0406277006
08/1990,0.0340881754,0.037099333,0.0402347636
09/1990,0.0376398238,0.0421127263,0.0386272264
10/1990,0.0398321567,0.0457693026,0.0404929662
11/1990,0.0409319833,0.0479925188,0.0455526635
12/1990,0.0380108887,0.0434208801,0.0435950835
01/1991,0.037021965,0.0411659972,0.0411449274
02/1991,0.0357341145,0.0384048483,0.0384542981
03/1991,0.0335327794,0.0349421078,0.034581733
04/1991,0.0329313068,0.0304691934,0.0324402073
05/1991,0.0331614225,0.0303568735,0.0319403831
06/1991,0.0318450861,0.028603497,0.0297034332
07/1991,0.0325865544,0.0303595179,0.0405247845
08/1991,0.0316223121,0.0290660128,0.0341504035
09/1991,0.0310587002,0.02830717,0.0321920009
10/1991,0.031140485,0.0280204518,0.0312833398
11/1991,0.0307767085,0.0275212848,0.028058116
12/1991,0.0322962094,0.0287535986,0.0280844546
01/1992,0.0290553895,0.0258160255,0.0256459717
02/1992,0.0296605856,0.0247981806,0.0236130881
03/1992,0.0296649709,0.0241271511,0.0216614525
04/1992,0.0298535179,0.0244401216,0.0213451745
05/1992,0.0292978669,0.0246372901,0.0219698713
06/1992,0.0296395402,0.0248709196,0.021722427
07/1992,0.0300794783,0.0253949697,0.0237097148
08/1992,0.0290049665,0.0245288562,0.0232844073
09/1992,0.0297557653,0.0251223603,0.0237485226
10/1992,0.0295496662,0.0245950341,0.0234843769
11/1992,0.0294262949,0.0243833242,0.0230852049
12/1992,0.0285991589,0.0234757281,0.0216875755
01/1993,0.0283256938,0.0222260831,0.0201588201
02/1993,0.0282772719,0.0223298861,0.0193404787
03/1993,0.0284492446,0.0224543449,0.019607874
04/1993,0.0280817547,0.0216355763,0.0184983628
05/1993,0.0287105709,0.0225365394,0.018723102
06/1993,0.0287135176,0.022054268,0.0194538947
07/1993,0.0279079056,0.0230297481,0.0231041883
08/1993,0.0281639805,0.0230194927,0.0222515466
09/1993,0.0276532227,0.0219189108,0.0214244366
10/1993,0.0276968011,0.0214622895,0.020340905
11/1993,0.0273570191,0.0214788618,0.0198286359
12/1993,0.0282411141,0.021836991,0.0204947463
01/1994,0.0279855222,0.0209302742,0.0199664727
02/1994,0.0271496504,0.0202583727,0.0194032969
03/1994,0.0278884977,0.0201871001,0.0193981998
04/1994,0.0292547995,0.0209759195,0.0200352318
05/1994,0.0285717776,0.0208198415,0.0196210839
06/1994,0.0285417808,0.0211945958,0.0187676242
07/1994,0.0287595375,0.0229851582,0.0215435812
08/1994,0.0282007308,0.0223573328,0.0222701821
09/1994,0.027555363,0.0215876833,0.0214826472
10/1994,0.0285026273,0.0219210487,0.0215430301
11/1994,0.0281406431,0.0223276527,0.0212725703
12/1994,0.0294790469,0.0233203204,0.0220954247
01/1995,0.0292722927,0.023089394,0.0219267015
02/1995,0.028758254,0.0231390865,0.0216678679
03/1995,0.0280069566,0.0223559391,0.0213178779
04/1995,0.0273279333,0.0219337212,0.0209520787
05/1995,0.0272376765,0.0215394724,0.0197073952
06/1995,0.0260857227,0.0215023056,0.0187783475
07/1995,0.0260321955,0.0233006151,0.0215475324
08/1995,0.0252161134,0.0225399128,0.0196023041
09/1995,0.0249313982,0.0217313548,0.0188930125
10/1995,0.0243619227,0.0208411866,0.0183151172
11/1995,0.0247493531,0.0215966158,0.0188415409
12/1995,0.0236636355,0.020523109,0.0185004371
01/1996,0.0236480613,0.0199845143,0.0166594352
