date,p1,p2,p3
07/1963,0.0285233971,0.0370455289,0.0353986438
08/1963,0.0286996735,0.0373422045,0.0357991259
09/1963,0.0276661448,0.0354982812,0.0338775858
10/1963,0.0283394149,0.0357323583,0.0344675914
11/1963,0.0285159693,0.0351772087,0.0333285015
12/1963,0.0289657451,0.0367306339,0.03365503
01/1964,0.0277050726,0.0363226433,0.0337223958
02/1964,0.0273276518,0.0359534265,0.0335201211
03/1964,0.0274057462,0.0355614262,0.0327959897
04/1964,0.0269252472,0.0344772352,0.0323505313
05/1964,0.0271481672,0.0347097585,0.032291698
06/1964,0.0272495073,0.0343894933,0.0321542097
07/1964,0.0269426454,0.0348192454,0.0319036401
08/1964,0.0269427901,0.0342738875,0.031564514
09/1964,0.0278355743,0.0345454565,0.0318674801
10/1964,0.0278818311,0.0333178248,0.0314331281
11/1964,0.0274348428,0.0335835321,0.0309416163
12/1964,0.0272041075,0.0339003087,0.0318874428
01/1965,0.0270218474,0.0334389215,0.0311938842
02/1965,0.0264448035,0.0327600322,0.0304223622
03/1965,0.0266858048,0.0328804059,0.0305263859
04/1965,0.027277506,0.0332431021,0.030313535
05/1965,0.027076714,0.0327776222,0.0297662275
06/1965,0.0272904524,0.0332296518,0.0303312218
07/1965,0.0300522727,0.0310897265,0.0343333503
08/1965,0.0300689369,0.0320166615,0.0337756472
09/1965,0.0294468089,0.0309526945,0.0328582938
10/1965,0.0285788676,0.0302451327,0.0319717878
11/1965,0.0284592282,0.0302253382,0.0307688703
12/1965,0.0288000975,0.0297296216,0.0297933571
01/1966,0.0291169542,0.028740814,0.0292865978
02/1966,0.0290758402,0.0286496294,0.0279444873
03/1966,0.0298665632,0.0289962909,0.0273777095
04/1966,0.0304786514,0.0299641657,0.0283831443
05/1966,0.0302075451,0.0297869868,0.0277320176
06/1966,0.0317315199,0.0319289929,0.0301566696
07/1966,0.0289584321,0.038113657,0.0340746991
08/1966,0.0297442861,0.0391938583,0.0357836273
09/1966,0.0323822733,0.0428986084,0.0390125697
10/1966,0.0322309271,0.043068027,0.0401736954
11/1966,0.0309174768,0.0413707481,0.0403703769
12/1966,0.03038276,0.0418611367,0.0401357855
01/1967,0.03034305,0.0418449561,0.0387129932
02/1967,0.0289861566,0.0380943424,0.0353293836
03/1967,0.028782998,0.0379168621,0.0347794255
04/1967,0.027894024,0.0359107548,0.0329545959
05/1967,0.0270074683,0.0338400741,0.032454958
06/1967,0.02855312,0.035872066,0.033648197
07/1967,0.0282887906,0.035258711,0.0336975426
08/1967,0.0266581971,0.0328451632,0.0312855092
09/1967,0.0271268381,0.0332387046,0.0314290829
10/1967,0.0259701725,0.0328508859,0.0300388094
11/1967,0.0268382752,0.0333835492,0.03195598
12/1967,0.0266820627,0.0334954081,0.031924074
01/1968,0.0259436349,0.031421881,0.0293221436
02/1968,0.0278255555,0.0332518355,0.0303479477
03/1968,0.0301583832,0.0349570998,0.0315106882
04/1968,0.0283757745,0.0361810456,0.0315193075
05/1968,0.0269377167,0.032754469,0.0286698684
06/1968,0.0263082859,0.0320655765,0.0273273641
07/1968,0.0226571552,0.0343586051,0.031334126
08/1968,0.0241276762,0.0347414544,0.0328092999
09/1968,0.0238913846,0.0343626412,0.0321562306
10/1968,0.024541728,0.033062966,0.0313015572
11/1968,0.024094617,0.0324937804,0.0301916984
12/1968,0.0227472039,0.0311579667,0.0288938285
01/1969,0.0234683322,0.0316024898,0.0292284284
02/1969,0.0239751129,0.0317888489,0.0290748426
03/1969,0.0251902914,0.0341315363,0.0311180091
04/1969,0.0244824356,0.0327315729,0.0300452759
05/1969,0.0239660731,0.0338625355,0.0301052429
06/1969,0.024094768,0.0341425618,0.0305553532
07/1969,0.0252198481,0.036720099,0.0340880716
08/1969,0.0265704196,0.0391358024,0.0375032683
09/1969,0.0254735708,0.0379687586,0.0361994442
10/1969,0.0261282484,0.0394991121,0.0377639838
