date,p1,p2,p3
07/1963,0.0308773464,0.0336137363,0.031930492
08/1963,0.0345516947,0.029271494,0.0331293374
09/1963,0.0275081847,0.0324845036,0.0326024658
10/1963,0.0303991373,0.0321952121,0.032885433
11/1963,0.029313005,0.0316933306,0.0355019313
12/1963,0.0319757273,0.0296087486,0.0365082041
01/1964,0.0280870228,0.0352543493,0.0313118728
02/1964,0.0277625266,0.0340426208,0.0320487267
03/1964,0.0253515656,0.0353450322,0.0291630341
04/1964,0.0300417015,0.0299811095,0.0306651468
05/1964,0.0334891995,0.0310000224,0.0247161346
06/1964,0.0286103721,0.0322726375,0.0303640461
07/1964,0.0285873572,0.0332668375,0.0270111224
08/1964,0.0329798572,0.0303660553,0.0252328041
09/1964,0.0339509888,0.0310441356,0.0268890424
10/1964,0.0276828361,0.0342007145,0.0269312125
11/1964,0.0291281745,0.0323478527,0.0281601915
12/1964,0.0291435193,0.0293691826,0.0348566049
01/1965,0.031155515,0.0292462935,0.0311287187
02/1965,0.0222383051,0.0312523908,0.032476121
03/1965,0.0239523336,0.0267377753,0.033252967
04/1965,0.0324847669,0.028955314,0.0285309715
05/1965,0.0265413413,0.0297242248,0.0324020509
06/1965,0.0275245473,0.0289835303,0.0348257688
07/1965,0.0306890802,0.033305078,0.0289801157
08/1965,0.0261477984,0.0344724961,0.0330429904
09/1965,0.0259634629,0.031909577,0.0326500337
10/1965,0.0297908013,0.0286100514,0.0321528355
11/1965,0.0296352476,0.0285546694,0.0311559264
12/1965,0.0221810373,0.0316408678,0.0320936665
01/1966,0.0255357191,0.0324546487,0.0281023004
02/1966,0.0228631293,0.0303393408,0.0315939311
03/1966,0.0188790671,0.034325214,0.0324594576
04/1966,0.023696632,0.0352341301,0.0358778965
05/1966,0.0233591077,0.0298380862,0.0386432955
06/1966,0.0300203949,0.0373082064,0.0249784472
07/1966,0.025004462,0.0353887879,0.0352831645
08/1966,0.0325257111,0.0360017692,0.0314321442
09/1966,0.0362785299,0.0391119155,0.0326572876
10/1966,0.0397547495,0.0364436503,0.0323990046
11/1966,0.0352999364,0.036160353,0.0350105774
12/1966,0.0208260138,0.0344895711,0.0477487795
01/1967,0.0330775536,0.0374554633,0.0334982065
02/1967,0.0339000594,0.0337587316,0.0318251272
03/1967,0.0215966922,0.0327180356,0.0412992909
04/1967,0.024149888,0.0325919097,0.0340714522
05/1967,0.024521436,0.0319218162,0.0358793268
06/1967,0.0320949054,0.0316355141,0.0312681981
07/1967,0.0234084129,0.0278785432,0.0383341175
08/1967,0.0293185607,0.0319777467,0.0263378324
09/1967,0.0281534488,0.0308727513,0.0290405546
