date,p1,p2,p3
10/1973,0.0612637747,0.0270270166,0.0395144923
11/1973,0.0231844673,0.0289829833,0.0269836755
12/1973,0.0289408106,0.0298595849,0.028832866
01/1974,0.0315348897,0.0300131947,0.0281315312
02/1974,0.0284882626,0.0221764774,0.032889333
03/1974,0.030972095,0.0243711283,0.033071703
04/1974,0.0271373768,0.025692485,0.0347921199
05/1974,0.0460925748,0.0337023416,0.0301410306
06/1974,0.044874955,0.0355391226,0.0317123452
07/1974,0.0395209309,0.0366989092,0.0331175311
08/1974,0.0530227072,0.0329952024,0.0381132266
09/1974,0.0614101646,0.0359968922,0.04162262
10/1974,0.0713331138,0.0431867078,0.0485921727
11/1974,0.0515260943,0.0418812545,0.0400387393
12/1974,0.0518567578,0.0441692609,0.0398888877
01/1975,0.0586107511,0.0483278597,0.0364077702
02/1975,0.0566855229,0.043084341,0.0346194136
03/1975,0.054567767,0.04029332,0.0329811044
04/1975,0.0533318542,0.0408222782,0.0319038416
05/1975,0.045489398,0.0386736235,0.0328258934
06/1975,0.0450657159,0.0367452493,0.0315154898
07/1975,0.041838138,0.0361444564,0.0290765487
08/1975,0.0551167186,0.0362458974,0.0248364303
09/1975,0.0549245231,0.03734873,0.0259874368
10/1975,0.0564211907,0.0381640336,0.028428001
11/1975,0.0508499526,0.0405303639,0.0292859827
12/1975,0.0532494768,0.0406876063,0.0276593852
01/1976,0.051052663,0.0401796348,0.0282255408
02/1976,0.0493690598,0.0382083059,0.0323401846
03/1976,0.0516877293,0.0376746034,0.0332905501
04/1976,0.0479082845,0.0344780861,0.0339044641
05/1976,0.0499718316,0.0387329039,0.0354197941
06/1976,0.0467177672,0.0418270448,0.0343011153
07/1976,0.0448143556,0.0390141175,0.0331931267
08/1976,0.045559033,0.0409881426,0.0313197665
09/1976,0.0475041668,0.0419559504,0.0311770801
10/1976,0.0461948828,0.0393188067,0.029828861
11/1976,0.041710796,0.0446377226,0.0331509261
12/1976,0.0451321548,0.0458745337,0.0327901332
01/1977,0.0418833425,0.0423902967,0.0313879831
02/1977,0.0425395579,0.0421144435,0.038225242
03/1977,0.0443490708,0.0438067568,0.039434375
04/1977,0.0440272725,0.044047621,0.039640017
05/1977,0.0469342625,0.0413966393,0.0417766795
06/1977,0.0490655191,0.0420886789,0.045673126
07/1977,0.0484020687,0.0392714062,0.0432494265
08/1977,0.0552750462,0.0401231523,0.042020735
09/1977,0.05836843,0.0434615163,0.0422510785
10/1977,0.0595915654,0.0426923572,0.0433376221
11/1977,0.0586182833,0.0506466973,0.041948397
12/1977,0.0542266179,0.0521085752,0.0412804628
01/1978,0.054261661,0.0508803403,0.0413894898
02/1978,0.064495261,0.045027536,0.044807198
03/1978,0.0657888041,0.0509214641,0.0460676517
04/1978,0.0643427195,0.0490180793,0.0450462073
05/1978,0.0582792261,0.0487100374,0.0415996994
06/1978,0.0588032012,0.0477751743,0.0433137637
07/1978,0.06252058,0.0469964645,0.0473608238
08/1978,0.0600515328,0.0415818839,0.0471654149
09/1978,0.0559817544,0.0406041149,0.04470137
10/1978,0.0578710232,0.0472483209,0.0455891153
11/1978,0.0624965972,0.0541790443,0.0466674206
12/1978,0.064740496,0.0531487336,0.0463308714
01/1979,0.0652793288,0.0522608637,0.0451109162
02/1979,0.0630222909,0.0506277282,0.0477280646
03/1979,0.0624346325,0.0545461278,0.0489999351
04/1979,0.0579517114,0.0527905428,0.0470411855
05/1979,0.0604958091,0.0463237627,0.0515495661
06/1979,0.0597218346,0.0487959356,0.053630571
07/1979,0.0589496105,0.047941466,0.051750824
08/1979,0.0535203309,0.0555837533,0.0470687823
09/1979,0.0541312028,0.0535538522,0.0435328944
10/1979,0.0503132481,0.0530719255,0.042453884
11/1979,0.0579234065,0.0592308897,0.0504366711
12/1979,0.0567933341,0.0554408442,0.0479307365
01/1980,0.056984731,0.0533244522,0.0463153104
02/1980,0.0551627003,0.0517388035,0.0439062844
03/1980,0.0600475268,0.054306287,0.0410582949
04/1980,0.0679323273,0.0583948894,0.0478449312
05/1980,0.0650185414,0.0582333539,0.0474130864
06/1980,0.0634160459,0.0570903424,0.0458815788
07/1980,0.0624676003,0.0560351034,0.0448933438
08/1980,0.0563770586,0.0563063861,0.0403892232
09/1980,0.0575115928,0.0570138409,0.0408095752
10/1980,0.057657379,0.0578216503,0.0387867446
11/1980,0.0541186845,0.0478749158,0.0434342955
12/1980,0.0514154176,0.0404424162,0.0410283764
01/1981,0.0549430165,0.0447564046,0.0408846704
02/1981,0.0592601138,0.04383367,0.0443168024
03/1981,0.0581865732,0.0466498446,0.0427232756
04/1981,0.057698442,0.0465189248,0.0407172314
05/1981,0.0555516139,0.0536829396,0.0402356062
06/1981,0.0591438502,0.0531595909,0.0406432403
07/1981,0.0592788175,0.0526251228,0.0435090281
08/1981,0.053806294,0.054087332,0.0533138467
09/1981,0.0565992352,0.05846607,0.0565536776
10/1981,0.0639322275,0.0617407829,0.0599417668
11/1981,0.0681460394,0.0591150494,0.0532342478
12/1981,0.063759748,0.0613192835,0.0481224342
01/1982,0.0633497583,0.064180782,0.0493063393
02/1982,0.0651506515,0.0686210768,0.0508524582
03/1982,0.0690056327,0.0722002175,0.0572634844
04/1982,0.0708099156,0.0738621388,0.0595912308
05/1982,0.0745658677,0.0591210372,0.0631427763
06/1982,0.0771024012,0.0608716812,0.0655591166
07/1982,0.0796371614,0.0627626389,0.0642722517
08/1982,0.0840745933,0.0682229435,0.0621321169
09/1982,0.0759283534,0.0621941285,0.056327599
10/1982,0.0724182352,0.0605520008,0.054823547
11/1982,0.0621051569,0.0657293609,0.0495571931
12/1982,0.0605094397,0.067984933,0.0481970652
01/1983,0.0624411786,0.06442303,0.0460238845
02/1983,0.0570630816,0.0584624838,0.048629568
03/1983,0.0541944904,0.0577582106,0.0475344662
04/1983,0.0512960377,0.0536760695,0.0465863042
05/1983,0.0472927157,0.0575496666,0.0360811305
06/1983,0.0466960396,0.0604853787,0.038393182
07/1983,0.0449701591,0.0567299811,0.0362250185
08/1983,0.0422108454,0.0594395263,0.0350647003
09/1983,0.0403909073,0.0584416363,0.0358762509
10/1983,0.0402421536,0.0570882527,0.0344922964
11/1983,0.043882354,0.0468941024,0.0434027493
12/1983,0.0433956087,0.0469017411,0.0420406387
01/1984,0.0426626701,0.0474452295,0.0425225373
02/1984,0.0496042661,0.0554526527,0.0354731624
03/1984,0.0528830089,0.0586804278,0.0388165848
04/1984,0.0516130516,0.0585490935,0.0378756318
05/1984,0.0508920691,0.0396142265,0.0536928656
06/1984,0.0527162512,0.0458709785,0.0578733431
07/1984,0.0519254882,0.0462824196,0.0594699272
08/1984,0.0635862403,0.0523733072,0.0453242467
09/1984,0.0567823895,0.0486470747,0.0407645896
10/1984,0.0567268112,0.0478383516,0.0477888262
11/1984,0.0577261231,0.0542543303,0.0391886898
12/1984,0.0563598893,0.0576756303,0.0396148086
01/1985,0.058343242,0.0558899438,0.0388041761
02/1985,0.0577149546,0.0468388066,0.0369655233
03/1985,0.0543360655,0.0467062369,0.0370273477
04/1985,0.0549929798,0.0469833474,0.0370717603
05/1985,0.045992596,0.0487941827,0.0411118153
06/1985,0.0439902817,0.0494049263,0.0402773453
07/1985,0.0453898386,0.0495950289,0.0394068993
08/1985,0.0440331644,0.0463889823,0.043005226
09/1985,0.0448216744,0.0487577291,0.0424442
10/1985,0.0431659942,0.0518576253,0.0445123277
11/1985,0.0483756157,0.0463675161,0.0402549605
12/1985,0.046334798,0.0443495713,0.0378139221
01/1986,0.0441857401,0.0407078081,0.036995036
02/1986,0.0463048121,0.0419399254,0.0379783488
03/1986,0.0505193447,0.0365562915,0.0368771482
04/1986,0.0498057252,0.0359591239,0.0346241537
05/1986,0.0419627901,0.0412945341,0.0368138104
06/1986,0.0447116292,0.0381305989,0.0357214543
07/1986,0.044551947,0.0382673498,0.0349478783
08/1986,0.0452850126,0.0392649313,0.0365725161
09/1986,0.0436549408,0.0380327632,0.0330550973
10/1986,0.0526025219,0.0426196423,0.0361396733
11/1986,0.0528303998,0.0390549749,0.0384352477
12/1986,0.0522533689,0.0381437981,0.0380196438
01/1987,0.0524380495,0.0388498731,0.0386598017
02/1987,0.0504598907,0.0325599257,0.0286380014
03/1987,0.0475100654,0.0338110808,0.0279935398
04/1987,0.0445969384,0.0339617238,0.0275820382
05/1987,0.0399946824,0.0349347397,0.029969681
06/1987,0.040519127,0.0349730853,0.03057397
07/1987,0.037581749,0.0329850047,0.0299993791
08/1987,0.0395686744,0.0374379301,0.0221998635
09/1987,0.0390928606,0.0368573322,0.0201553231
10/1987,0.0365035947,0.0356058294,0.0217927006
11/1987,0.0430509439,0.0411833256,0.0315974307
12/1987,0.0468163205,0.0453236916,0.0337810218
01/1988,0.043724602,0.0434414344,0.0312919019
02/1988,0.0458953629,0.0397180556,0.0362797713
03/1988,0.0401241778,0.0407502824,0.033842764
04/1988,0.0414155782,0.0423804598,0.0355033293
05/1988,0.050551631,0.0388538782,0.0344710559
06/1988,0.0529223065,0.0390524213,0.0357303111
07/1988,0.0512868478,0.0376571189,0.0338725339
08/1988,0.0499218874,0.0405381553,0.0323912164
09/1988,0.0522750977,0.0426234022,0.0351144969
10/1988,0.0503209966,0.0421172231,0.0345890932
11/1988,0.0484929198,0.0445650432,0.0301035471
12/1988,0.0511705525,0.0436058521,0.035174318
01/1989,0.0497287499,0.0454492673,0.0377855105
02/1989,0.0464308068,0.0392410814,0.0336734559
03/1989,0.0471337274,0.0415222288,0.0351589608
04/1989,0.0470676355,0.0414751904,0.033873344
05/1989,0.0515927056,0.0384956001,0.0308526462
06/1989,0.0487666119,0.0383667351,0.0295662222
07/1989,0.0502786743,0.0409581503,0.0302848646
08/1989,0.047939791,0.0389607478,0.0299417592
09/1989,0.0485969717,0.0378346631,0.0295193905
10/1989,0.0487189465,0.0398345049,0.0302167383
11/1989,0.0519202114,0.0376262707,0.0294263981
12/1989,0.0515711912,0.0358751613,0.0306682908
01/1990,0.0482592935,0.0347861152,0.0301964385
02/1990,0.0467029254,0.0389469772,0.0363311701
03/1990,0.0432662488,0.0474794588,0.0354435517
04/1990,0.0453726207,0.0491940694,0.0347859267
05/1990,0.0496216861,0.0468806366,0.0353629348
06/1990,0.0471764672,0.0439132166,0.0306190015
07/1990,0.0500052976,0.0441939505,0.0306403559
08/1990,0.0456408127,0.0427326123,0.033701214
09/1990,0.0498389621,0.0472164124,0.0364428338
10/1990,0.0532960661,0.0495090224,0.0384390538
11/1990,0.0591991792,0.0484190264,0.0402960117
12/1990,0.0540493246,0.0472440908,0.0358591412
01/1991,0.0526393915,0.0467520684,0.0342134227
02/1991,0.0484622929,0.0447472661,0.035424683
03/1991,0.0464925528,0.0432918327,0.032688581
04/1991,0.0431204479,0.0414526334,0.0308520734
05/1991,0.0411602487,0.0444630006,0.0284291535
06/1991,0.0387917676,0.0413986031,0.0271349388
07/1991,0.0404147107,0.0407271055,0.0278059178
08/1991,0.0386711956,0.0418329846,0.0226262537
09/1991,0.0393234816,0.0424083752,0.0225896621
10/1991,0.0390391146,0.0422555647,0.0225957702
11/1991,0.0403861185,0.03639231,0.0219147293
12/1991,0.0428172894,0.0387688593,0.022787871
01/1992,0.0393004624,0.0356819269,0.0200172145
02/1992,0.0404762805,0.0326414852,0.0212401957
03/1992,0.041708354,0.0325176411,0.0201557363
04/1992,0.042221131,0.0332591631,0.0196060947
05/1992,0.0375286937,0.0347443395,0.0225405075
06/1992,0.0385602236,0.0343395488,0.0229300417
07/1992,0.0390275973,0.034914176,0.0234975589
08/1992,0.0400606798,0.0290371586,0.0207611847
09/1992,0.0407927122,0.0295934257,0.0220460431
10/1992,0.0398234584,0.03040964,0.022013682
11/1992,0.0424965975,0.0311366896,0.0240556414
12/1992,0.0407888456,0.0339966886,0.0215708042
01/1993,0.0408287269,0.0346244531,0.0203183193
02/1993,0.037533245,0.0358114226,0.0241732133
03/1993,0.0376390554,0.033536286,0.0243959266
04/1993,0.0372835024,0.0320479322,0.0245302667
05/1993,0.0392736109,0.0362868519,0.0228458229
06/1993,0.0386108864,0.0310908385,0.0245176424
07/1993,0.0377539852,0.0309971996,0.0243896123
08/1993,0.0336475539,0.031258452,0.0267466692
