date,p1,p2,p3
07/1963,0.0257331144,0.0360539004,0.0355936097
08/1963,0.0256401623,0.0364594106,0.0369056839
09/1963,0.0250115358,0.0351491032,0.033095828
10/1963,0.0257485999,0.0348991872,0.033768204
11/1963,0.0262833678,0.0359102009,0.0325343107
12/1963,0.0288307789,0.0324159372,0.0376153968
01/1964,0.0269948612,0.034722118,0.0323241661
02/1964,0.02962105,0.030638165,0.031695919
03/1964,0.0307963244,0.0302557799,0.0299640916
04/1964,0.0301585205,0.0297991179,0.0289680147
05/1964,0.0286354416,0.0306363152,0.0311711514
06/1964,0.0285252268,0.0307792446,0.0315184287
07/1964,0.0277781802,0.0310733122,0.0300670363
08/1964,0.0248789785,0.0341325169,0.0313500576
09/1964,0.0253718212,0.0338909793,0.0331263071
10/1964,0.0265465728,0.0338108871,0.0326562812
11/1964,0.0270036356,0.0319486788,0.0311370922
12/1964,0.0273474621,0.0311960356,0.0320817317
01/1965,0.0270882487,0.0313154976,0.0308533743
02/1965,0.0261906362,0.0313971741,0.0297332243
03/1965,0.0296184979,0.0278051386,0.0289837947
04/1965,0.0300152604,0.0284731859,0.0285099846
05/1965,0.0296014334,0.0283031562,0.0280634599
06/1965,0.0302981118,0.028471214,0.0266903723
07/1965,0.0308711708,0.0301529065,0.0315197695
08/1965,0.0325535555,0.0266745809,0.0328478887
09/1965,0.0303553747,0.0290994826,0.0320047309
10/1965,0.0294089313,0.0279713824,0.031424794
11/1965,0.0303803245,0.0270331957,0.0296926788
12/1965,0.0304383545,0.0270076945,0.0287960734
01/1966,0.0304839325,0.0269407332,0.0276831768
02/1966,0.030883449,0.0261452396,0.0264771282
03/1966,0.0317922796,0.0264705566,0.0250339351
04/1966,0.031880718,0.0282422215,0.0256142632
05/1966,0.0325844935,0.0266389126,0.0239033954
06/1966,0.0340429792,0.0292023585,0.0249832261
07/1966,0.0337007889,0.0298997383,0.0312449425
08/1966,0.0360059443,0.028484494,0.0317427032
09/1966,0.0369133945,0.0348541191,0.036539488
10/1966,0.0363585345,0.0338701286,0.0386248489
11/1966,0.0313956551,0.0363445279,0.0381609183
12/1966,0.0271735266,0.0377644056,0.0409835672
01/1967,0.0318795536,0.0337153401,0.0397850673
02/1967,0.026830254,0.0353353516,0.0376784754
03/1967,0.0291030594,0.0337463445,0.0370740703
04/1967,0.0299426804,0.0317483736,0.0324646726
05/1967,0.028880983,0.0304970396,0.0313465332
06/1967,0.0318234515,0.0303740503,0.0302280064
07/1967,0.029117585,0.0332637817,0.0349996443
08/1967,0.0281566439,0.0311010253,0.030362453
09/1967,0.0269801208,0.0339018939,0.0307898176
10/1967,0.0260573788,0.0318604964,0.0307936805
11/1967,0.0253115611,0.0339806739,0.0330647927
12/1967,0.0254227412,0.0356086298,0.0298921064
01/1968,0.0261026689,0.0297557581,0.0280576253
02/1968,0.0251529176,0.0350374684,0.0317977625
03/1968,0.0264888152,0.0364577368,0.0351301208
04/1968,0.0289602639,0.0295762294,0.0387010873
05/1968,0.0272097964,0.0270355102,0.0356365786
06/1968,0.0253444913,0.0341425867,0.0292675632
07/1968,0.0232852456,0.0353168856,0.0337609019
08/1968,0.0224023764,0.0372420391,0.0353197196
09/1968,0.0201834726,0.0358546137,0.0360382152
10/1968,0.0225932243,0.0342365686,0.0336259427
11/1968,0.0216495965,0.0342530567,0.0318553826
12/1968,0.0181071492,0.0350085633,0.031685064
01/1969,0.0180236238,0.0330379553,0.035651658
02/1969,0.0226914971,0.0304362142,0.0346044316
03/1969,0.0239672992,0.0343713078,0.0357997412
04/1969,0.0201151054,0.0342620378,0.0356584402
05/1969,0.01934743,0.033073881,0.0363120197
06/1969,0.0203703305,0.0323708949,0.0354403795
07/1969,0.0189926825,0.0291773938,0.0424669729
08/1969,0.027183631,0.0228091752,0.0449219604
09/1969,0.0233737262,0.0248073643,0.0447592997
10/1969,0.0271635366,0.0253274508,0.0455771414
11/1969,0.0222642143,0.0268167976,0.0428018564
12/1969,0.0268184485,0.0293669796,0.0433076524
01/1970,0.0294370373,0.0276641423,0.0448096666
02/1970,0.0230265797,0.043413286,0.0425818888
03/1970,0.0261783203,0.0412604477,0.0388606514
04/1970,0.0245754134,0.0367980712,0.044773698
05/1970,0.0239441429,0.0418410725,0.0487193249
06/1970,0.0220088458,0.0437563893,0.0533195482
07/1970,0.0229666817,0.0427982639,0.0608037329
08/1970,0.0221131876,0.0400388629,0.0551373137
09/1970,0.0203905794,0.0386865147,0.0512462876
10/1970,0.0199660155,0.0387031829,0.0495487202
11/1970,0.0220299137,0.0394422311,0.0491582611
12/1970,0.0224811513,0.0401104792,0.0450166013
01/1971,0.021590866,0.0357629939,0.0420900435
02/1971,0.0213565262,0.0361684087,0.0419448027
03/1971,0.0239718282,0.0396643637,0.0365647524
04/1971,0.0238166327,0.038465072,0.0342920087
05/1971,0.0206507389,0.0351800339,0.0349714358
06/1971,0.0238150688,0.0370819937,0.0342173649
07/1971,0.0284037455,0.0293684765,0.0310790324
08/1971,0.0304713525,0.0306192772,0.0330970172
09/1971,0.0266151968,0.0296818508,0.0360788353
10/1971,0.0269621518,0.0307996452,0.0334151164
11/1971,0.025719985,0.0343035763,0.0352687429
12/1971,0.0279640628,0.0286493203,0.0437468614
01/1972,0.0218569088,0.0281916872,0.0399416411
02/1972,0.0238519399,0.0299345018,0.0350995751
03/1972,0.0279971697,0.0239614133,0.0312094808
04/1972,0.0240916104,0.0285937636,0.0303438877
05/1972,0.026429144,0.0268905151,0.029910489
06/1972,0.0271979434,0.0252969302,0.0290995781
07/1972,0.0241093444,0.0282610569,0.0331986958
08/1972,0.0248039906,0.0269660485,0.0368031362
09/1972,0.0256325407,0.021730965,0.0363035725
10/1972,0.0187752265,0.0231976458,0.041001254
11/1972,0.020145199,0.0220918778,0.0427728087
12/1972,0.0186530726,0.020315876,0.0411124906
01/1973,0.0138121227,0.0228447329,0.0421512183
02/1973,0.0148753372,0.024453341,0.0415154622
03/1973,0.0151267835,0.0262957302,0.0437345286
04/1973,0.0187657467,0.0211149827,0.0445351806
05/1973,0.0216965592,0.0230747239,0.0435292114
06/1973,0.0191036759,0.0260568699,0.0455575527
07/1973,0.0249759231,0.0224371153,0.0488132555
08/1973,0.0191471689,0.0230661798,0.0483507853
09/1973,0.0194508868,0.0281747255,0.0485462509
10/1973,0.0179158586,0.0312570937,0.0434048145
11/1973,0.0199409247,0.0362720664,0.0432832162
12/1973,0.028397326,0.0390777739,0.0409981473
01/1974,0.0288584783,0.0392794517,0.0370366901
02/1974,0.0271410866,0.0415121756,0.0395974936
03/1974,0.0259036422,0.0436066044,0.0445191802
04/1974,0.0257781182,0.0470815685,0.046582411
05/1974,0.0270383063,0.0470226412,0.0515673455
06/1974,0.0242861124,0.0543451153,0.0555197294
07/1974,0.0309418781,0.0470057781,0.0628876355
08/1974,0.0371354821,0.0446001073,0.0672111163
09/1974,0.035497055,0.0590713426,0.0642967039
10/1974,0.0424361636,0.0659709066,0.078613561
11/1974,0.0314786472,0.0581946486,0.0741783804
12/1974,0.0374685547,0.0548484981,0.0685334392
01/1975,0.0388793627,0.0644709377,0.0702704598
02/1975,0.0334873369,0.0547496091,0.0658371245
03/1975,0.0311086467,0.0578971765,0.0690492313
04/1975,0.0339737953,0.0510085077,0.061659895
05/1975,0.0378246232,0.0427918323,0.0496051246
06/1975,0.034142967,0.046421232,0.049151935
07/1975,0.030901502,0.044813203,0.0441416446
08/1975,0.036035175,0.0458476412,0.0485023852
09/1975,0.0381294056,0.0444294734,0.0460082838
10/1975,0.035797872,0.0479889427,0.0521424326
11/1975,0.029019415,0.0520862553,0.052371519
12/1975,0.0273633608,0.0487447158,0.0583709377
01/1976,0.0300132736,0.053051149,0.0543639361
02/1976,0.0244416607,0.046036125,0.0473488181
03/1976,0.0308086391,0.0425426569,0.0440280863
04/1976,0.0317293099,0.0439911005,0.0394718891
05/1976,0.0315172175,0.0459266739,0.0382888332
06/1976,0.0312411892,0.049583173,0.0392506742
07/1976,0.0296237653,0.0442231422,0.0395039649
08/1976,0.0316042429,0.0458802425,0.0398532067
09/1976,0.0286751106,0.0474207999,0.0424922501
10/1976,0.0255307319,0.0389570696,0.0492987401
11/1976,0.0268261936,0.0454054715,0.0546706259
12/1976,0.0280153098,0.0460955492,0.0524426267
01/1977,0.0280954802,0.0442877522,0.0499954144
02/1977,0.0305969469,0.0515048712,0.0495177371
03/1977,0.0317766377,0.0534848422,0.0519608918
