date,p1,p2,p3
07/1963,0.0306134971,0.0300762448,0.0366724629
08/1963,0.0305990856,0.0327443415,0.0330849847
09/1963,0.030137933,0.0294263182,0.0332368584
10/1963,0.031435433,0.0294612417,0.0331101305
11/1963,0.0319859073,0.0296279096,0.032306095
12/1963,0.0338059913,0.029470221,0.0333198591
01/1964,0.0321186311,0.0282733617,0.0337141827
02/1964,0.033965713,0.0297821692,0.0275277402
03/1964,0.0339516856,0.0321143794,0.0228712482
04/1964,0.033493445,0.0309236276,0.0226250767
05/1964,0.0311530396,0.0322712491,0.0232478182
06/1964,0.0339540823,0.0277510928,0.0281569659
07/1964,0.0289843305,0.0337900806,0.0237593318
08/1964,0.0282649829,0.0305154948,0.0292224673
09/1964,0.0294876298,0.0313839303,0.0292435836
10/1964,0.0276240752,0.0311492933,0.0335233559
11/1964,0.027477457,0.0296837456,0.0334268977
12/1964,0.0291664087,0.0303399368,0.0281208592
01/1965,0.0289815678,0.0303177126,0.0268009277
02/1965,0.0271098117,0.0311023482,0.0256218649
03/1965,0.0294815606,0.0295312494,0.0253107057
04/1965,0.0319646323,0.0269816336,0.0245154335
05/1965,0.0335864859,0.0239562703,0.0237463571
06/1965,0.0320650976,0.0278460835,0.0241619443
07/1965,0.032312787,0.0298393336,0.0266628901
08/1965,0.0351263957,0.0281593137,0.023014213
09/1965,0.0345550786,0.0257867354,0.0261652139
10/1965,0.0310432453,0.028786589,0.0258051888
11/1965,0.0321615015,0.0276482889,0.0254411182
12/1965,0.0316363692,0.0286239288,0.0237591227
01/1966,0.0346418235,0.0239713274,0.0218657451
02/1966,0.0327221719,0.0257009846,0.0193730017
03/1966,0.0332078656,0.026274649,0.0183868063
04/1966,0.03405263,0.0256288786,0.0203502203
05/1966,0.0343875772,0.0250624744,0.019191032
06/1966,0.0389241218,0.0231461538,0.0209680703
07/1966,0.0389144926,0.0245448896,0.0258864918
08/1966,0.0407323054,0.026081091,0.0243076224
09/1966,0.0445715212,0.0335358027,0.0244565277
10/1966,0.0432295784,0.0375456985,0.0263385868
11/1966,0.0346906053,0.0410472752,0.0278598455
12/1966,0.0303971193,0.0377622276,0.0328969184
01/1967,0.0417583278,0.0352124607,0.0260438295
02/1967,0.035002518,0.0351980699,0.0262062824
03/1967,0.0358812099,0.0315898891,0.0262231465
04/1967,0.0370528706,0.0280712699,0.0217943793
05/1967,0.0361274217,0.0262798177,0.0184672364
06/1967,0.0377565215,0.028703768,0.0175258407
07/1967,0.0341261476,0.0275985838,0.0278122201
08/1967,0.0335391027,0.0224592718,0.0261440938
09/1967,0.0346112794,0.0260047577,0.0241382029
10/1967,0.0324340451,0.0256635746,0.0251959916
11/1967,0.0345829387,0.0254220478,0.0268259082
12/1967,0.0338518274,0.0262724871,0.0251707464
01/1968,0.0334422693,0.0299885773,0.0167777521
02/1968,0.0347929837,0.0281870307,0.024867702
03/1968,0.033006398,0.0302199194,0.0273057502
04/1968,0.0325359272,0.0355006735,0.0203617125
05/1968,0.0337118729,0.0305271863,0.0196136891
06/1968,0.0332946333,0.0246851157,0.0249898847
07/1968,0.0289989416,0.0274585867,0.0280792516
08/1968,0.0286008666,0.0298192468,0.0288806623
09/1968,0.0295494507,0.0282145877,0.0296432241
10/1968,0.0316020972,0.0281505591,0.0258638224
11/1968,0.0251479373,0.032878221,0.0261856705
12/1968,0.0217560851,0.0335324561,0.0270280753
01/1969,0.020459561,0.0340266277,0.0306283939
02/1969,0.0224434793,0.033204778,0.0289633068
03/1969,0.0250715594,0.0335735743,0.0317570598
04/1969,0.0233789144,0.0344495395,0.0285576151
05/1969,0.0235940702,0.0322473827,0.0307034838
06/1969,0.0310950233,0.0294999842,0.0261633263
07/1969,0.0324979768,0.026488041,0.0343169072
