date,p1,p2,p3
07/1963,0.0292120127,0.0355569293,0.0335798683
08/1963,0.0294910107,0.0356923931,0.0338591242
09/1963,0.0285224147,0.0337683084,0.0321827029
10/1963,0.0292597273,0.033981467,0.0328604681
11/1963,0.02927097,0.0339470634,0.0322230833
12/1963,0.0296935627,0.0353019544,0.0327146186
01/1964,0.0283589502,0.0347566287,0.0330518656
02/1964,0.027878995,0.0346237047,0.0323423196
03/1964,0.0280151275,0.0342591489,0.0315117164
04/1964,0.0274151621,0.0334383466,0.0312385495
05/1964,0.0276821023,0.0339280099,0.030759656
06/1964,0.0279191715,0.0336927666,0.0299959732
07/1964,0.0302648095,0.0286962891,0.0304074159
08/1964,0.0296829849,0.0289167742,0.0305040422
09/1964,0.030591023,0.0294640852,0.0306702659
10/1964,0.0302856766,0.0291463548,0.0303757453
11/1964,0.029651195,0.0291340703,0.0304637173
12/1964,0.0293630936,0.0294574956,0.0304598786
01/1965,0.0289600744,0.0292161749,0.0305145808
02/1965,0.0286928919,0.0283138982,0.0295202446
03/1965,0.0289774186,0.0286151827,0.0292372536
04/1965,0.0296844794,0.0288647171,0.029468142
05/1965,0.0295035841,0.0285812709,0.028830984
06/1965,0.0297462705,0.0289717792,0.0291752427
07/1965,0.0322764762,0.0270292848,0.0318573403
08/1965,0.0324895177,0.027197486,0.0320075285
09/1965,0.0319117526,0.026174296,0.031566439
10/1965,0.0306752349,0.0258500316,0.0309958244
11/1965,0.0306547315,0.0254768942,0.0302357862
12/1965,0.03111704,0.0249671607,0.0302290103
01/1966,0.0314161038,0.0243889697,0.0297786522
02/1966,0.0311418203,0.0246838514,0.0292568593
03/1966,0.0321445752,0.0248011897,0.0291116663
04/1966,0.033078394,0.025090563,0.0301818048
05/1966,0.0327283953,0.02503793,0.0295329351
06/1966,0.0347115521,0.0263400981,0.0317218384
07/1966,0.0346650468,0.0267581655,0.0360140775
08/1966,0.0356667897,0.0276359476,0.0368542201
09/1966,0.039143238,0.0298184072,0.0398077975
10/1966,0.0395028316,0.0290503733,0.0403003625
11/1966,0.0367835049,0.0295574261,0.0394476352
12/1966,0.0370962139,0.0283960144,0.0401858209
01/1967,0.0369901946,0.02876104,0.0390941511
02/1967,0.0349795122,0.0268740972,0.0362067555
03/1967,0.0350270449,0.026134655,0.036335925
04/1967,0.0340169789,0.0249703326,0.0342418351
05/1967,0.0323767534,0.0242724364,0.0335082183
06/1967,0.0345130945,0.0253509763,0.0349453711
07/1967,0.033770246,0.026196665,0.0362475787
08/1967,0.031468354,0.0250221887,0.0337501902
09/1967,0.0320519618,0.0253887712,0.0338656834
10/1967,0.0309127095,0.024710742,0.0325813304
11/1967,0.0325219558,0.0246325548,0.0341171139
12/1967,0.0323529612,0.0245812449,0.0341880307
01/1968,0.0312353571,0.0233867458,0.0325355884
02/1968,0.0335797109,0.0248290131,0.0334020161
03/1968,0.0342985862,0.0260681826,0.0344084675
04/1968,0.0350767362,0.0258839442,0.0345460205
05/1968,0.032946459,0.024238403,0.0314215585
06/1968,0.0325470332,0.0236924477,0.0298658966
07/1968,0.0259784353,0.02733012,0.03410249
08/1968,0.0277454899,0.0283308139,0.0343775504
09/1968,0.0276485664,0.0280368617,0.0336073968
10/1968,0.0274437814,0.0281951306,0.0325812962
11/1968,0.0271561728,0.0278627561,0.0314149292
12/1968,0.0257786849,0.0265956684,0.0298406229
01/1969,0.0260797336,0.0272697443,0.0310412296
02/1969,0.0262581762,0.0279439804,0.0307564821
03/1969,0.0279767966,0.0293865489,0.0329888067
04/1969,0.0273677133,0.028188544,0.0315995044
05/1969,0.0269604764,0.0289691168,0.0310541376
06/1969,0.0276720036,0.0288509123,0.031279997
07/1969,0.0300382059,0.0278081969,0.0382492243
08/1969,0.0325296256,0.029033801,0.0410279235
09/1969,0.031608129,0.0279651477,0.0395622736
10/1969,0.0334152387,0.0285164317,0.0408602578
11/1969,0.0315033032,0.0271986993,0.0385967814
12/1969,0.0329531222,0.0284583678,0.0402710442
01/1970,0.0332605679,0.0282773315,0.0410449688
02/1970,0.0368742293,0.0307791073,0.0439826657
03/1970,0.0344499016,0.0299419077,0.0419824151
04/1970,0.0346032425,0.0305003036,0.0419625821
05/1970,0.0388033832,0.0335216708,0.0429492225
06/1970,0.0423281043,0.0360501733,0.0460407977
07/1970,0.0430727257,0.0388005875,0.053532345
08/1970,0.0389111136,0.0371014723,0.0484496365
09/1970,0.0374083123,0.0352557328,0.0455390817
10/1970,0.0359431486,0.0336137124,0.044350376
11/1970,0.0371369046,0.0339256965,0.0440162531
12/1970,0.0353732109,0.0322993899,0.0413717413
01/1971,0.0326958567,0.030219922,0.0381474441
02/1971,0.0312321836,0.0295314721,0.0360472087
03/1971,0.0312175505,0.0287269594,0.0355294836
04/1971,0.0310485259,0.0277139042,0.0348611961
05/1971,0.0294576301,0.0271324469,0.0326513109
06/1971,0.0303638659,0.0279714971,0.0341788144
07/1971,0.0332599603,0.0247416971,0.0310231555
08/1971,0.0348723453,0.0269808991,0.0325286756
09/1971,0.0339863771,0.0260146952,0.0307292554
10/1971,0.0342828402,0.0255342556,0.0309948624
11/1971,0.0358933464,0.0267913905,0.0324991881
12/1971,0.0364682738,0.0269799707,0.0329545411
01/1972,0.0323849933,0.0242617818,0.0296229592
02/1972,0.0330608029,0.0236801907,0.0283863659
03/1972,0.0321049164,0.0227898131,0.0276537145
04/1972,0.0312522697,0.0221053937,0.0274671801
05/1972,0.0321629155,0.0225339991,0.0279460884
06/1972,0.0321679696,0.0222485098,0.0281865589
07/1972,0.0262584971,0.0246100884,0.037302222
08/1972,0.0274105376,0.0247092136,0.0376906146
09/1972,0.0265394299,0.0238943988,0.0360563976
10/1972,0.0265122477,0.023927955,0.0365425806
11/1972,0.0267178482,0.02485459,0.036997249
12/1972,0.0254419173,0.0237937561,0.0341158395
01/1973,0.0250978102,0.0232200846,0.0330155567
02/1973,0.0262070804,0.023473571,0.0350096209
03/1973,0.0272840165,0.024440843,0.0372701084
04/1973,0.0275086567,0.0250078613,0.0383472224
05/1973,0.0291124252,0.0259666911,0.040188471
06/1973,0.0300228299,0.0265083174,0.0422210839
07/1973,0.0320506559,0.0259993331,0.0454798034
08/1973,0.0307802493,0.0251823485,0.0429057039
09/1973,0.0318567999,0.0265566168,0.0450176134
10/1973,0.0301223363,0.0260968323,0.0415210205
11/1973,0.0298101974,0.0270159423,0.0424445895
12/1973,0.0344562917,0.0304917992,0.0499728826
01/1974,0.0335356761,0.0308204146,0.0483519623
02/1974,0.034354891,0.0314186182,0.0466221308
03/1974,0.0348259585,0.0321049219,0.0464292829
04/1974,0.0366089503,0.0325963774,0.0470002877
05/1974,0.0389828738,0.0341691,0.0495647727
06/1974,0.041281759,0.0352081329,0.0517317946
