date,p1,p2,p3
07/1963,0.0288514841,0.0348875513,0.0376176899
08/1963,0.0290719781,0.0350931765,0.0379528442
09/1963,0.0279490362,0.0336861285,0.035892462
10/1963,0.0285108376,0.0343289724,0.0362462966
11/1963,0.0287524618,0.0338438375,0.0359362268
12/1963,0.0294585732,0.0344593155,0.0367194446
01/1964,0.0284642965,0.0333388404,0.0366371612
02/1964,0.0283883518,0.0325424352,0.0355198609
03/1964,0.0284129411,0.0324372687,0.0345872486
04/1964,0.0281634351,0.0312327422,0.0334570341
05/1964,0.0285282708,0.0312933182,0.0336494187
06/1964,0.0284913778,0.0314606342,0.0332323749
07/1964,0.0282283953,0.0305505216,0.0359421013
08/1964,0.0279040281,0.0307543768,0.035614231
09/1964,0.0286480673,0.0314265018,0.0359467012
10/1964,0.0286632574,0.0306402496,0.034834021
11/1964,0.0281812696,0.0306443054,0.0348533656
12/1964,0.0281223497,0.0305578291,0.0353216332
01/1965,0.0277843488,0.0299627808,0.0362524261
02/1965,0.0271433924,0.0297760786,0.0348772831
03/1965,0.0275481286,0.0296750163,0.0347696641
04/1965,0.027986409,0.0300104077,0.0357166186
05/1965,0.0278276899,0.0298515026,0.0344184286
06/1965,0.0281447524,0.0301536938,0.0347454982
07/1965,0.028681498,0.0327170316,0.0377743678
08/1965,0.0288179293,0.0331224021,0.0374696813
09/1965,0.028197974,0.0320826458,0.0370364154
10/1965,0.0272282731,0.0315694819,0.0358441152
11/1965,0.027060675,0.0315988609,0.0346768264
12/1965,0.027353281,0.0313202413,0.0343983669
01/1966,0.0274130807,0.0311004834,0.0340070835
02/1966,0.0275342919,0.0308000198,0.032522506
03/1966,0.028103043,0.0315027468,0.0328108131
04/1966,0.0287514554,0.0322595119,0.0339722008
05/1966,0.0282894171,0.0323109771,0.0337397055
06/1966,0.0298165348,0.0344243763,0.0362272511
07/1966,0.0271585534,0.0381565894,0.039612859
08/1966,0.0280148521,0.0391717773,0.0405115518
09/1966,0.0305117686,0.0425718561,0.0441598452
10/1966,0.0305310731,0.042221676,0.0447522924
11/1966,0.0291378916,0.0405114935,0.0438142184
12/1966,0.0283282983,0.0412348984,0.0448630428
01/1967,0.0283643381,0.0412472218,0.0441475769
02/1967,0.026689743,0.039003606,0.0404473654
03/1967,0.026171748,0.0393223186,0.040585629
04/1967,0.025464536,0.037477619,0.0383983915
05/1967,0.0236596583,0.0372724148,0.0382473334
06/1967,0.0251497743,0.0391116155,0.0397217538
07/1967,0.022624836,0.0392736981,0.043122707
08/1967,0.0211770298,0.0371682939,0.0396520056
09/1967,0.0216109306,0.0377666077,0.0396314823
10/1967,0.0205065533,0.0371234677,0.0388068284
11/1967,0.021149597,0.0384940867,0.040365319
12/1967,0.020974751,0.0384423714,0.0411404613
01/1968,0.020143812,0.0369476745,0.0387226568
02/1968,0.0221322474,0.0382117953,0.0396949551
03/1968,0.0227370416,0.0394163455,0.0415053889
04/1968,0.0221941445,0.0407988952,0.0428937919
05/1968,0.0211832263,0.0381771773,0.038549432
06/1968,0.0205444733,0.0378250459,0.0374268821
07/1968,0.0168880114,0.0359764881,0.0414722313
08/1968,0.0180467176,0.0373116544,0.0409871739
09/1968,0.0178718906,0.0370630126,0.0401996974
10/1968,0.0178238727,0.0366722535,0.0396524448
11/1968,0.0181754169,0.0355390278,0.0377228096
12/1968,0.0170566308,0.0344190655,0.0358069779
01/1969,0.0174607253,0.0352049202,0.036621137
02/1969,0.0182003129,0.0349406525,0.0366100652
03/1969,0.0191636383,0.0370450302,0.0392516026
04/1969,0.0183854689,0.0359602573,0.0378591808
05/1969,0.0176033568,0.0375265326,0.0379831425
06/1969,0.018033495,0.0376467416,0.0378747902
07/1969,0.0186347213,0.0387464663,0.0427252756
08/1969,0.0193301188,0.0417550055,0.0460738066
09/1969,0.0183424445,0.0411658292,0.0447106405
10/1969,0.0183556097,0.0431486672,0.0474904483
11/1969,0.017627209,0.04058108,0.0455035949
12/1969,0.018103319,0.0427179343,0.0485324783
01/1970,0.0178938385,0.0432736626,0.0496123714
02/1970,0.0194812332,0.0473430025,0.0537524322
03/1970,0.0192359219,0.044260132,0.0508617849
04/1970,0.0203762066,0.0431781884,0.0505472043
05/1970,0.0222998891,0.0456514724,0.0546122767
06/1970,0.0244736076,0.0493430147,0.0568828296
07/1970,0.0261010563,0.0545277325,0.0625684397
08/1970,0.0246764936,0.0491192802,0.0584984449
09/1970,0.0238023391,0.046867369,0.0544469716
10/1970,0.0229676415,0.0462838153,0.0510172981
11/1970,0.0227255146,0.0460765617,0.0546931598
12/1970,0.0217959664,0.0437826159,0.0512164596
01/1971,0.0204409129,0.0404918508,0.0473915736
02/1971,0.0196779434,0.0393633072,0.045147926
03/1971,0.0192391771,0.039111309,0.0444453963
04/1971,0.0179846217,0.0392559069,0.0445929638
05/1971,0.0178710334,0.036992182,0.0425464699
06/1971,0.018343623,0.0387505908,0.0442095324
07/1971,0.0206192281,0.0407476322,0.0406385982
08/1971,0.0223272619,0.0428407219,0.0425884425
09/1971,0.0213144316,0.0429637393,0.0400836837
10/1971,0.0208199323,0.0435774012,0.0413106309
11/1971,0.0221445952,0.045266198,0.0427293099
12/1971,0.0223185939,0.0461105904,0.0436386102
01/1972,0.0200892312,0.0406017829,0.0398701932
02/1972,0.0198736308,0.0416095344,0.0377874853
03/1972,0.018907654,0.041099878,0.0370585476
04/1972,0.0184168768,0.0405931351,0.0365653407
05/1972,0.0185816104,0.0425487384,0.0373278819
06/1972,0.0183837603,0.0423595196,0.03838913
07/1972,0.0153747908,0.0411733158,0.0469782848
08/1972,0.0154948489,0.043008973,0.0471385389
09/1972,0.0152034969,0.0408186924,0.0437772664
10/1972,0.0152564901,0.0406901275,0.0444575306
11/1972,0.0156090578,0.0418217927,0.0444317924
12/1972,0.0149962693,0.039360596,0.0404947787
01/1973,0.0143376357,0.0397243863,0.0399121319
02/1973,0.0148623295,0.0401136863,0.04187127
03/1973,0.0154373438,0.0424691889,0.0439733009
04/1973,0.0158413835,0.0427487925,0.0444269675
05/1973,0.016889315,0.0437621359,0.0456005537
