date,p1,p2,p3
07/1963,0.0285050347,0.0343056781,0.0401368577
08/1963,0.0290255132,0.0340956809,0.0404377586
09/1963,0.0276404844,0.0331695765,0.0390097193
10/1963,0.0282602958,0.0340210503,0.0385335423
11/1963,0.0280439725,0.0340612406,0.0386877803
12/1963,0.0287726476,0.0345088804,0.0397247042
01/1964,0.0285541006,0.0332424046,0.0398327091
02/1964,0.0281931104,0.0329620962,0.0386430466
03/1964,0.0281976782,0.0331210505,0.0373395695
04/1964,0.0276453861,0.0320590858,0.0358841476
05/1964,0.028186182,0.0319225603,0.0359397041
06/1964,0.0279327925,0.0321326774,0.0367909307
07/1964,0.0276694107,0.0310129073,0.0368771666
08/1964,0.027473253,0.0307209525,0.0364419186
09/1964,0.0280012098,0.0321877895,0.0366019409
10/1964,0.0278875637,0.0317497267,0.0358279159
11/1964,0.0274507439,0.0317880842,0.0357417403
12/1964,0.0273332447,0.0318235795,0.036219836
01/1965,0.0267897243,0.0316404629,0.0374365136
02/1965,0.0254109981,0.031936907,0.0358744188
03/1965,0.0256904715,0.0317154875,0.0362835819
04/1965,0.0259981646,0.0326620254,0.0368466173
05/1965,0.0256165185,0.032525868,0.0360527947
06/1965,0.0260188307,0.0325808634,0.0369250739
07/1965,0.0274265249,0.0341537408,0.0384496253
08/1965,0.0274521125,0.0343325748,0.0390704697
09/1965,0.0266344695,0.0336435156,0.0385404601
10/1965,0.0257066198,0.0328821953,0.037516906
11/1965,0.0253061596,0.0325553713,0.0371606467
12/1965,0.025346362,0.03240201,0.0377822495
01/1966,0.0251469331,0.0332803201,0.0357312169
02/1966,0.0248813619,0.0325097306,0.0360347877
03/1966,0.0248776046,0.0335735059,0.0369795495
04/1966,0.0255434929,0.0346006019,0.0380178846
05/1966,0.0238785669,0.0360172252,0.0389593115
06/1966,0.0267896346,0.0360995122,0.0416032736
07/1966,0.0268925958,0.036905216,0.0420384035
08/1966,0.0276630365,0.0385557567,0.0421809429
09/1966,0.0302782896,0.0414597721,0.0475391371
10/1966,0.0303878273,0.0409637181,0.0489562494
11/1966,0.0292649618,0.039598407,0.0480578127
12/1966,0.0249423213,0.042917683,0.0513112763
01/1967,0.0247522217,0.0433783851,0.0494066529
02/1967,0.0229572579,0.040993535,0.0428182893
03/1967,0.022120138,0.0410347492,0.0435782186
04/1967,0.0213595744,0.039499864,0.040693608
05/1967,0.0200242925,0.0377823504,0.0415039838
06/1967,0.021191863,0.0399527542,0.0432969303
07/1967,0.0195188505,0.0396161733,0.0438573541
08/1967,0.0183332009,0.036313489,0.0417912474
09/1967,0.0185982139,0.0374661671,0.0413993961
10/1967,0.0176242166,0.0357825327,0.0409180326
11/1967,0.0179878068,0.0385360137,0.042611203
12/1967,0.0171995405,0.038230184,0.0436302324
01/1968,0.0162303524,0.0366815216,0.0424168579
02/1968,0.0179887388,0.0380001948,0.0420176542
03/1968,0.0187957172,0.038913802,0.0438587437
04/1968,0.018106951,0.0402473452,0.0464156107
05/1968,0.0168493468,0.0376373151,0.0431756336
