date,p1,p2,p3
07/1963,155,148,149
08/1963,155,149,149
09/1963,155,149,149
10/1963,155,149,149
11/1963,155,149,149
12/1963,155,148,149
01/1964,155,148,148
02/1964,155,149,149
03/1964,155,149,149
04/1964,155,149,149
05/1964,155,149,149
06/1964,155,149,149
07/1964,257,229,251
08/1964,258,230,251
09/1964,258,230,251
10/1964,258,230,251
11/1964,258,230,251
12/1964,258,230,251
01/1965,258,230,251
02/1965,258,230,251
03/1965,257,230,251
04/1965,258,230,251
05/1965,258,230,251
06/1965,258,230,250
07/1965,307,271,286
08/1965,307,271,286
09/1965,307,271,286
10/1965,307,271,285
11/1965,307,271,285
12/1965,305,271,285
01/1966,303,271,285
02/1966,307,270,285
03/1966,307,271,285
04/1966,307,271,286
05/1966,304,271,286
06/1966,307,270,286
07/1966,356,290,317
08/1966,356,291,317
09/1966,356,291,317
10/1966,356,291,317
11/1966,356,291,317
12/1966,356,291,317
01/1967,356,291,317
02/1967,356,291,316
03/1967,356,291,317
04/1967,356,291,317
05/1967,356,291,316
06/1967,356,291,315
07/1967,390,312,372
08/1967,389,312,373
09/1967,389,311,373
10/1967,389,310,373
11/1967,389,311,371
12/1967,389,310,370
01/1968,389,310,371
02/1968,389,306,370
03/1968,389,307,370
04/1968,389,306,369
05/1968,389,306,369
06/1968,387,305,369
07/1968,449,364,488
08/1968,449,362,486
09/1968,449,362,486
10/1968,449,361,484
11/1968,449,361,483
12/1968,449,361,484
01/1969,449,360,484
02/1969,448,360,481
03/1969,448,360,481
04/1969,447,360,478
05/1969,447,359,478
06/1969,447,359,479
07/1969,529,392,475
08/1969,529,391,473
09/1969,529,391,472
10/1969,528,392,470
11/1969,529,391,471
12/1969,529,392,471
01/1970,529,392,471
02/1970,526,391,471
03/1970,529,391,471
04/1970,529,388,471
05/1970,529,388,470
06/1970,528,385,468
07/1970,556,443,522
08/1970,555,443,520
09/1970,553,443,518
10/1970,554,442,514
11/1970,554,440,513
12/1970,553,438,511
01/1971,553,436,508
02/1971,550,436,507
03/1971,548,434,506
04/1971,547,434,503
05/1971,546,430,499
06/1971,543,428,496
07/1971,586,435,586
08/1971,585,435,583
09/1971,585,434,583
10/1971,585,434,583
11/1971,585,434,583
12/1971,585,434,580
01/1972,583,433,578
02/1972,583,431,577
03/1972,582,432,574
04/1972,580,432,574
05/1972,581,432,570
06/1972,579,432,569
07/1972,595,484,596
08/1972,594,485,593
09/1972,593,480,592
10/1972,593,479,590
11/1972,591,478,591
12/1972,592,478,590
01/1973,590,479,589
02/1973,590,479,588
03/1973,589,478,586
04/1973,587,478,583
05/1973,586,477,583
06/1973,582,474,580
07/1973,661,496,595
08/1973,659,496,592
09/1973,658,497,590
10/1973,656,497,588
11/1973,655,495,588
12/1973,655,494,587
01/1974,652,495,588
02/1974,647,493,586
03/1974,643,491,585
04/1974,642,491,584
05/1974,641,490,581
06/1974,639,488,579
07/1974,867,693,714
08/1974,864,692,710
