date,p1,p2,p3
07/1963,930,,1043
08/1963,927,,1048
09/1963,924,,1050
10/1963,924,,1050
11/1963,919,,1055
12/1963,915,,1065
01/1964,912,,1058
02/1964,911,,1074
03/1964,912,,1075
04/1964,910,,1083
05/1964,909,,1098
06/1964,906,,1103
07/1964,904,,1109
08/1964,902,,1120
09/1964,902,,1128
10/1964,896,,1133
11/1964,893,,1140
12/1964,893,,1142
01/1965,890,,1147
02/1965,887,,1153
03/1965,881,,1164
04/1965,880,,1165
05/1965,877,,1174
06/1965,877,,1178
07/1965,876,,1184
08/1965,874,,1195
09/1965,873,,1201
10/1965,867,,1200
11/1965,864,,1203
12/1965,864,,1209
01/1966,857,,1204
02/1966,856,,1219
03/1966,855,,1221
04/1966,856,,1216
05/1966,854,,1211
06/1966,851,,1223
07/1966,848,,1225
08/1966,848,,1241
09/1966,848,,1243
10/1966,845,,1250
11/1966,843,,1255
12/1966,842,,1257
01/1967,837,,1255
02/1967,837,,1259
03/1967,836,,1262
04/1967,836,,1259
05/1967,832,4,1261
06/1967,828,6,1259
07/1967,824,9,1260
08/1967,817,11,1258
09/1967,815,15,1257
10/1967,805,22,1259
11/1967,802,26,1263
12/1967,799,30,1262
01/1968,790,32,1264
02/1968,780,38,1259
03/1968,777,43,1261
04/1968,772,46,1270
05/1968,766,51,1276
06/1968,763,56,1276
07/1968,760,62,1266
08/1968,751,72,1254
09/1968,749,76,1264
10/1968,740,81,1268
11/1968,736,85,1271
12/1968,731,92,1276
01/1969,726,100,1276
02/1969,722,105,1275
03/1969,719,113,1284
04/1969,713,116,1292
05/1969,710,120,1308
06/1969,708,127,1311
07/1969,707,131,1319
08/1969,705,656,806
09/1969,701,654,828
10/1969,699,650,841
11/1969,700,646,850
12/1969,700,645,859
01/1970,699,642,869
02/1970,698,642,879
03/1970,698,641,900
04/1970,696,639,913
05/1970,696,636,917
06/1970,694,633,928
07/1970,693,625,936
08/1970,692,621,947
09/1970,691,618,955
10/1970,690,616,966
11/1970,688,615,978
12/1970,686,612,991
01/1971,683,609,995
02/1971,682,607,1006
03/1971,681,603,1013
04/1971,681,598,1019
05/1971,679,596,1028
06/1971,679,590,1041
07/1971,675,600,1040
08/1971,672,620,1034
09/1971,671,624,1045
10/1971,670,630,1053
11/1971,670,640,1053
12/1971,668,652,1057
01/1972,665,654,1070
02/1972,663,651,1087
03/1972,662,662,1087
04/1972,661,660,1100
05/1972,660,664,1109
06/1972,659,665,1114
07/1972,658,668,1115
08/1972,658,670,1122
09/1972,657,674,1131
10/1972,656,673,1144
11/1972,656,682,1144
12/1972,655,690,1154
01/1973,664,694,4016
02/1973,664,700,4034
03/1973,664,697,4033
04/1973,661,691,3996
05/1973,662,699,3950
06/1973,661,703,3880
07/1973,662,701,3838
08/1973,659,700,3807
09/1973,659,696,3765
10/1973,658,692,3724
11/1973,656,696,3722
12/1973,653,699,3631
01/1974,653,698,3540
02/1974,652,702,3520
03/1974,651,691,3510
04/1974,651,690,3505
05/1974,649,695,3489
06/1974,646,700,3458
07/1974,647,706,3430
08/1974,648,697,3413
09/1974,647,704,3360
10/1974,644,699,3335
11/1974,645,702,3293
12/1974,644,695,3266
01/1975,645,699,3228
02/1975,645,699,3215
03/1975,644,694,3231
04/1975,643,701,3231
05/1975,643,699,3250
06/1975,642,699,3234
07/1975,642,694,3261
08/1975,640,701,3259
09/1975,637,700,3284
10/1975,637,699,3279
11/1975,633,699,3290
12/1975,632,703,3270
01/1976,630,702,3283
02/1976,628,675,3239
03/1976,630,701,3286
04/1976,629,691,3267
05/1976,625,701,3290
06/1976,624,699,3305
07/1976,625,706,3304
08/1976,622,710,3328
09/1976,609,626,3173
10/1976,619,712,3356
11/1976,609,706,3355
12/1976,617,720,3357
01/1977,617,718,3353
02/1977,614,703,3310
03/1977,614,721,3333
04/1977,613,720,3328
05/1977,612,720,3341
06/1977,611,726,3329
07/1977,610,724,3334
08/1977,608,721,3321
09/1977,607,732,3294
10/1977,605,725,3291
11/1977,603,725,3288
12/1977,602,723,3283
01/1978,600,722,3277
02/1978,595,717,3259
03/1978,594,717,3258
04/1978,592,724,3228
05/1978,590,722,3255
06/1978,589,717,3244
07/1978,588,713,3228
08/1978,585,717,3225
09/1978,584,719,3214
10/1978,585,721,3227
11/1978,581,725,3226
12/1978,582,727,3220
01/1979,578,736,3215
02/1979,574,739,3203
03/1979,570,732,3201
04/1979,571,727,3217
05/1979,570,737,3199
06/1979,568,732,3205
07/1979,568,729,3204
08/1979,565,729,3205
09/1979,565,721,3205
10/1979,564,725,3203
11/1979,565,729,3206
12/1979,564,731,3210
01/1980,563,735,3203
02/1980,559,724,3218
03/1980,558,734,3219
04/1980,556,725,3229
05/1980,553,721,3230
06/1980,554,719,3236
07/1980,553,722,3255
08/1980,552,733,3267
09/1980,550,739,3269
10/1980,545,745,3287
11/1980,544,745,3328
12/1980,543,753,3331
01/1981,540,765,3364
02/1981,539,757,3396
03/1981,538,753,3412
04/1981,533,751,3449
05/1981,533,746,3507
06/1981,531,747,3560
07/1981,527,756,3602
08/1981,525,754,3667
09/1981,524,748,3697
10/1981,521,753,3687
11/1981,520,747,3737
12/1981,520,756,3757
01/1982,518,761,3749
02/1982,516,763,3764
03/1982,516,761,3772
04/1982,512,753,3761
05/1982,512,747,3753
06/1982,508,769,3732
07/1982,502,771,3726
08/1982,500,765,3721
09/1982,500,764,3721
10/1982,499,754,3707
11/1982,499,762,3659
12/1982,498,768,3714
01/1983,495,763,3729
02/1983,493,753,3732
03/1983,493,765,3734
04/1983,491,771,3775
05/1983,490,770,3799
06/1983,490,781,3830
07/1983,490,776,3891
08/1983,491,775,3962
09/1983,491,777,4035
10/1983,490,782,4081
11/1983,489,779,4159
12/1983,494,781,4230
01/1984,494,783,4308
02/1984,496,789,4328
03/1984,493,786,4370
04/1984,493,782,4415
05/1984,492,778,4439
06/1984,493,778,4466
07/1984,493,781,4466
08/1984,493,779,4479
09/1984,495,778,4480
10/1984,494,783,4443
11/1984,495,775,4440
12/1984,492,768,4441
01/1985,492,765,4448
02/1985,489,760,4442
03/1985,489,757,4435
04/1985,487,759,4425
05/1985,488,761,4420
06/1985,487,750,4419
07/1985,486,747,4422
08/1985,485,742,4429
09/1985,483,746,4417
10/1985,485,745,4418
11/1985,485,743,4435
12/1985,486,740,4443
01/1986,484,729,4452
02/1986,482,730,4439
03/1986,483,729,4442
04/1986,481,732,4455
05/1986,477,733,4463
06/1986,479,731,4508
07/1986,476,723,4580
08/1986,478,725,4624
09/1986,478,726,4652
10/1986,481,733,4666
11/1986,480,733,4698
12/1986,482,732,4724
01/1987,663,543,4720
02/1987,660,546,4725
03/1987,658,555,4781
04/1987,651,559,4823
05/1987,646,568,4846
06/1987,646,1563,3903
07/1987,641,1554,3978
08/1987,640,1535,4037
09/1987,636,1527,4089
10/1987,632,1519,4144
11/1987,628,1506,4142
12/1987,626,1498,4124
01/1988,623,1489,4116
02/1988,621,1485,4101
03/1988,618,1471,4083
04/1988,617,1463,4076
05/1988,610,1450,4075
06/1988,604,1434,4072
07/1988,601,1425,4076
08/1988,594,1418,4078
09/1988,590,1408,4068
10/1988,584,1402,4052
11/1988,577,1392,4066
12/1988,574,1379,4046
01/1989,572,1367,4021
02/1989,567,1359,4021
03/1989,565,1352,4005
04/1989,564,1340,3991
05/1989,560,1335,3987
06/1989,559,1324,3974
07/1989,557,1312,3959
08/1989,551,1307,3972
09/1989,548,1300,3956
10/1989,546,1288,3940
11/1989,545,1281,3939
12/1989,546,1273,3939
01/1990,544,1263,3959
02/1990,542,1257,3954
03/1990,542,1250,3952
04/1990,546,1240,3963
05/1990,547,1230,3967
06/1990,545,1218,3972
07/1990,546,1213,3968
