date,p1,p2,p3
07/1963,259,271,307
08/1963,259,271,308
09/1963,259,271,308
10/1963,259,271,308
11/1963,259,271,306
12/1963,259,271,306
01/1964,259,269,307
02/1964,259,271,307
03/1964,259,271,306
04/1964,259,271,307
05/1964,259,271,308
06/1964,259,271,308
07/1964,287,304,380
08/1964,286,305,381
09/1964,287,305,381
10/1964,286,305,381
11/1964,287,305,381
12/1964,287,305,381
01/1965,287,305,381
02/1965,287,305,381
03/1965,287,304,381
04/1965,287,305,381
05/1965,287,305,381
06/1965,287,304,381
07/1965,310,342,422
08/1965,310,342,422
09/1965,310,342,422
10/1965,310,342,421
11/1965,310,342,421
12/1965,310,341,420
01/1966,309,337,420
02/1966,310,341,421
03/1966,310,342,421
04/1966,310,342,421
05/1966,309,342,419
06/1966,310,342,420
07/1966,341,369,483
08/1966,341,370,483
09/1966,341,370,483
10/1966,341,369,483
11/1966,341,369,483
12/1966,341,369,483
01/1967,341,369,483
02/1967,340,369,483
03/1967,341,369,483
04/1967,341,369,483
05/1967,341,368,483
06/1967,340,368,483
07/1967,396,444,599
08/1967,396,444,598
09/1967,395,443,597
10/1967,396,443,597
11/1967,395,442,597
12/1967,394,441,597
01/1968,395,441,598
02/1968,395,438,596
03/1968,395,439,596
04/1968,394,439,595
05/1968,394,439,594
06/1968,394,437,593
07/1968,408,465,650
08/1968,408,463,648
09/1968,408,463,648
10/1968,408,462,646
11/1968,407,462,646
12/1968,407,462,647
01/1969,407,462,646
02/1969,406,460,645
03/1969,406,460,645
04/1969,404,458,645
05/1969,404,459,643
06/1969,403,460,644
07/1969,453,518,683
08/1969,453,516,682
09/1969,452,517,681
10/1969,450,516,682
11/1969,452,514,682
12/1969,452,515,682
01/1970,452,516,682
02/1970,452,515,679
03/1970,452,516,681
04/1970,451,515,681
05/1970,450,515,681
06/1970,450,511,679
07/1970,480,570,739
08/1970,479,569,738
09/1970,479,568,735
10/1970,477,566,735
11/1970,476,565,734
12/1970,473,564,733
01/1971,471,563,731
02/1971,470,561,730
03/1971,468,560,728
04/1971,467,558,727
05/1971,466,555,722
06/1971,463,552,720
07/1971,504,559,769
08/1971,504,558,766
09/1971,503,558,766
10/1971,503,557,767
11/1971,503,557,767
12/1971,503,555,765
01/1972,503,553,762
02/1972,502,551,762
03/1972,501,550,761
04/1972,501,550,759
05/1972,500,550,757
06/1972,499,549,756
07/1972,553,594,780
08/1972,553,594,778
09/1972,552,593,773
10/1972,552,592,771
11/1972,551,593,769
12/1972,551,592,770
01/1973,552,591,766
02/1973,551,591,766
03/1973,550,589,764
04/1973,549,588,761
05/1973,549,589,758
06/1973,547,586,753
07/1973,714,731,1056
08/1973,711,730,1055
09/1973,708,727,1055
10/1973,707,725,1052
11/1973,708,725,1051
12/1973,707,723,1048
01/1974,706,723,1046
02/1974,701,718,1044
03/1974,700,717,1037
04/1974,698,718,1036
05/1974,697,718,1027
06/1974,698,714,1025
07/1974,827,913,1366
08/1974,823,915,1362
09/1974,816,909,1358
10/1974,814,905,1347
11/1974,814,896,1342
12/1974,810,896,1337
01/1975,809,894,1332
02/1975,810,893,1328
03/1975,808,892,1331
04/1975,808,891,1331
05/1975,807,894,1331
06/1975,806,893,1319
07/1975,916,964,1461
08/1975,915,961,1457
09/1975,914,965,1463
10/1975,910,960,1461
11/1975,914,958,1462
12/1975,914,953,1456
01/1976,911,953,1458
02/1976,896,932,1428
03/1976,906,952,1456
04/1976,892,942,1436
05/1976,896,948,1447
06/1976,897,951,1447
07/1976,862,1048,1453
08/1976,862,1045,1459
09/1976,836,965,1345
10/1976,860,1037,1457
11/1976,854,1031,1440
12/1976,855,1032,1452
01/1977,852,1026,1451
02/1977,839,1010,1433
03/1977,846,1014,1448
04/1977,848,1007,1442
05/1977,843,1008,1441
06/1977,838,1005,1438
07/1977,901,1020,1439
08/1977,892,1019,1438
09/1977,884,1016,1431
10/1977,881,1007,1428
11/1977,877,1003,1424
12/1977,876,999,1420
01/1978,874,995,1415
02/1978,875,981,1401
03/1978,873,978,1400
04/1978,869,972,1395
05/1978,868,971,1389
06/1978,866,960,1379
07/1978,894,1023,1351
08/1978,892,1019,1347
09/1978,886,1007,1343
10/1978,885,1008,1334
11/1978,884,1003,1331
12/1978,882,999,1322
01/1979,879,995,1317
02/1979,877,990,1305
03/1979,870,982,1301
04/1979,869,980,1294
05/1979,866,972,1292
06/1979,864,964,1284
07/1979,882,1009,1366
08/1979,880,1004,1356
09/1979,874,1002,1346
10/1979,871,998,1337
11/1979,872,994,1335
12/1979,867,992,1329
01/1980,863,982,1321
02/1980,862,968,1305
03/1980,859,964,1301
04/1980,854,960,1291
05/1980,846,959,1289
06/1980,844,958,1284
07/1980,991,1000,1339
08/1980,990,999,1334
09/1980,987,992,1330
10/1980,978,981,1319
11/1980,978,983,1315
12/1980,966,980,1309
