date,p1,p2,p3
07/1963,340,330,329
08/1963,342,332,333
09/1963,344,333,334
10/1963,345,334,336
11/1963,344,333,334
12/1963,343,332,334
01/1964,341,333,334
02/1964,344,335,334
03/1964,345,335,335
04/1964,345,335,336
05/1964,346,336,337
06/1964,346,335,337
07/1964,347,337,336
08/1964,347,337,336
09/1964,348,337,338
10/1964,350,339,337
11/1964,351,340,340
12/1964,353,342,341
01/1965,353,342,341
02/1965,353,341,342
03/1965,353,342,339
04/1965,352,341,341
05/1965,352,342,340
06/1965,353,344,341
07/1965,353,345,341
08/1965,542,498,691
09/1965,543,501,691
10/1965,538,502,692
11/1965,543,494,688
12/1965,548,494,685
01/1966,549,486,684
02/1966,548,493,691
03/1966,538,505,689
04/1966,540,525,669
05/1966,544,513,680
06/1966,563,516,659
07/1966,563,514,661
08/1966,555,525,662
09/1966,565,521,659
10/1966,562,517,669
11/1966,564,506,681
12/1966,568,512,678
01/1967,571,505,679
02/1967,577,512,675
03/1967,581,512,676
04/1967,579,518,671
05/1967,579,521,674
06/1967,576,533,666
07/1967,573,564,633
08/1967,574,566,629
09/1967,573,570,622
10/1967,569,571,622
11/1967,564,584,612
12/1967,561,583,613
01/1968,564,573,612
02/1968,563,575,603
03/1968,576,563,605
04/1968,593,568,582
05/1968,591,572,579
06/1968,594,574,576
07/1968,589,571,573
08/1968,589,566,566
09/1968,590,573,561
10/1968,582,577,557
11/1968,582,575,554
12/1968,585,569,558
01/1969,586,570,552
02/1969,608,536,558
03/1969,611,542,550
04/1969,615,536,544
05/1969,619,536,543
06/1969,623,531,543
07/1969,632,528,542
08/1969,658,519,525
09/1969,663,525,523
10/1969,664,527,524
11/1969,666,532,521
12/1969,670,535,516
01/1970,675,529,515
02/1970,689,522,510
03/1970,686,527,515
04/1970,693,518,519
05/1970,700,519,511
06/1970,726,490,510
07/1970,728,495,506
08/1970,716,514,509
09/1970,708,519,513
10/1970,714,512,518
11/1970,720,512,520
12/1970,724,512,524
01/1971,721,515,527
02/1971,724,522,527
03/1971,727,522,524
04/1971,730,525,521
05/1971,735,527,522
06/1971,734,533,520
07/1971,740,532,522
08/1971,746,532,525
09/1971,744,540,534
10/1971,752,546,536
11/1971,762,551,541
12/1971,775,556,536
01/1972,776,559,539
02/1972,777,569,541
03/1972,780,573,552
04/1972,789,580,553
05/1972,791,585,557
06/1972,788,597,552
07/1972,799,595,558
08/1972,809,591,561
09/1972,819,586,571
10/1972,819,589,577
11/1972,814,594,584
12/1972,816,598,589
01/1973,828,597,598
02/1973,835,601,598
03/1973,840,598,611
04/1973,829,610,613
05/1973,828,612,618
06/1973,826,611,620
07/1973,821,604,636
08/1973,812,615,639
09/1973,806,618,642
10/1973,809,618,645
11/1973,809,626,647
12/1973,797,646,647
01/1974,788,634,671
02/1974,781,647,672
03/1974,774,650,678
04/1974,769,649,683
05/1974,762,653,695
06/1974,754,667,695
07/1974,750,666,710
08/1974,747,642,738
09/1974,727,648,753
10/1974,708,656,771
11/1974,682,659,798
12/1974,669,670,805
01/1975,671,674,817
02/1975,679,665,833
03/1975,680,672,832
04/1975,671,675,842
05/1975,658,687,855
06/1975,633,683,893
07/1975,627,684,900
08/1975,624,690,911
09/1975,623,695,918
10/1975,621,706,918
11/1975,613,716,925
12/1975,616,708,937
01/1976,814,1014,2433
02/1976,812,1011,2383
03/1976,800,1039,2467
04/1976,803,1025,2445
05/1976,800,1022,2476
06/1976,795,1020,2485
07/1976,788,1014,2498
08/1976,786,1014,2498
09/1976,773,972,2303
10/1976,783,1023,2506
11/1976,776,1010,2498
