date,p1,p2,p3
07/1963,284,279,290
08/1963,284,279,291
09/1963,284,279,291
10/1963,284,279,291
11/1963,283,279,290
12/1963,284,278,290
01/1964,282,278,291
02/1964,284,278,291
03/1964,284,278,290
04/1964,284,278,290
05/1964,284,279,291
06/1964,284,279,291
07/1964,321,304,346
08/1964,321,303,348
09/1964,321,304,348
10/1964,321,303,347
11/1964,321,304,348
12/1964,321,304,348
01/1965,321,304,348
02/1965,320,304,348
03/1965,320,304,347
04/1965,320,304,348
05/1965,320,304,348
06/1965,321,304,347
07/1965,348,348,389
08/1965,348,348,389
09/1965,348,348,389
10/1965,348,347,389
11/1965,348,347,389
12/1965,347,347,388
01/1966,345,345,387
02/1966,348,346,389
03/1966,348,347,389
04/1966,348,348,388
05/1966,347,346,387
06/1966,348,348,387
07/1966,402,358,421
08/1966,402,359,421
09/1966,402,359,421
10/1966,402,358,421
11/1966,402,358,421
12/1966,402,358,421
01/1967,402,358,421
02/1967,402,358,421
03/1967,402,358,421
04/1967,402,358,421
05/1967,401,358,421
06/1967,401,358,421
07/1967,489,447,511
08/1967,487,447,511
09/1967,487,447,510
10/1967,488,447,509
11/1967,488,446,509
12/1967,487,445,509
01/1968,488,445,509
02/1968,487,443,507
03/1968,487,443,508
04/1968,486,443,507
05/1968,486,443,507
06/1968,484,442,507
07/1968,630,451,447
08/1968,629,449,446
09/1968,629,449,446
10/1968,628,448,445
11/1968,627,448,445
12/1968,628,448,445
01/1969,628,448,444
02/1969,627,448,442
03/1969,627,448,442
04/1969,626,447,440
05/1969,626,446,440
06/1969,626,447,440
07/1969,744,472,447
08/1969,744,471,447
09/1969,742,471,447
10/1969,740,472,446
11/1969,740,471,447
12/1969,740,472,447
01/1970,741,472,447
02/1970,737,472,447
03/1970,740,472,447
04/1970,739,472,447
05/1970,738,472,447
06/1970,735,470,447
07/1970,726,548,525
08/1970,724,548,526
09/1970,723,547,525
10/1970,721,546,525
11/1970,719,546,524
12/1970,718,545,522
01/1971,717,543,521
02/1971,715,542,520
03/1971,712,541,519
04/1971,709,541,519
05/1971,707,539,517
06/1971,700,539,517
07/1971,668,563,589
08/1971,667,562,588
09/1971,667,562,587
10/1971,666,562,587
11/1971,666,562,587
12/1971,665,561,585
01/1972,664,559,584
02/1972,663,559,582
03/1972,662,559,582
04/1972,661,559,581
05/1972,661,558,581
06/1972,658,558,581
07/1972,686,630,586
08/1972,684,630,586
09/1972,683,628,585
10/1972,680,628,584
11/1972,679,628,584
12/1972,680,628,583
01/1973,678,627,582
02/1973,678,627,581
03/1973,676,624,581
04/1973,675,622,580
05/1973,674,621,580
06/1973,669,620,577
07/1973,928,811,793
08/1973,928,809,791
09/1973,923,809,791
10/1973,921,808,788
11/1973,920,807,788
12/1973,916,805,788
01/1974,917,804,786
02/1974,915,799,785
03/1974,909,798,782
04/1974,907,800,781
05/1974,903,796,780
06/1974,903,794,777
07/1974,1076,981,1101
08/1974,1071,979,1102
09/1974,1070,976,1091
10/1974,1066,970,1085
11/1974,1060,970,1079
12/1974,1056,971,1074
01/1975,1054,964,1077
02/1975,1053,962,1074
03/1975,1052,961,1076
04/1975,1052,960,1075
05/1975,1052,959,1075
06/1975,1048,954,1071
07/1975,1109,1010,1169
08/1975,1105,1010,1167
09/1975,1106,1008,1171
10/1975,1101,1007,1167
11/1975,1099,1004,1170
12/1975,1095,1000,1164
01/1976,1094,1000,1158
02/1976,1080,978,1134
03/1976,1090,995,1155
04/1976,1081,976,1143
05/1976,1084,987,1144
06/1976,1083,988,1143
07/1976,1068,975,1191
08/1976,1062,975,1191
09/1976,1026,900,1108
10/1976,1062,968,1184
11/1976,1057,960,1171
12/1976,1060,966,1179
01/1977,1054,963,1179
02/1977,1038,955,1165
03/1977,1047,953,1176
04/1977,1045,948,1174
05/1977,1044,947,1170
06/1977,1040,944,1166
07/1977,1063,1007,1251
08/1977,1056,1004,1244
09/1977,1052,1000,1237
10/1977,1048,993,1233
11/1977,1044,989,1230
12/1977,1043,987,1226
01/1978,1039,985,1218
02/1978,1031,974,1212
03/1978,1031,970,1209
