date,p1,p2,p3
07/1963,315,306,305
08/1963,315,305,305
09/1963,314,305,304
10/1963,314,305,304
11/1963,313,304,303
12/1963,313,304,302
01/1964,312,304,303
02/1964,314,303,303
03/1964,314,306,304
04/1964,317,306,305
05/1964,316,307,306
06/1964,318,306,306
07/1964,318,310,305
08/1964,319,306,307
09/1964,318,309,308
10/1964,319,308,306
11/1964,318,308,309
12/1964,319,308,309
01/1965,319,308,308
02/1965,319,309,310
03/1965,320,307,310
04/1965,321,308,310
05/1965,321,310,310
06/1965,324,312,312
07/1965,324,314,312
08/1965,325,314,315
09/1965,328,316,317
10/1965,326,314,313
11/1965,325,314,314
12/1965,325,315,314
01/1966,327,312,315
02/1966,325,315,312
03/1966,325,314,313
04/1966,327,315,317
05/1966,329,315,315
06/1966,327,314,315
07/1966,328,314,316
08/1966,330,314,317
09/1966,331,319,318
10/1966,333,320,320
11/1966,333,321,320
12/1966,334,318,320
01/1967,332,318,321
02/1967,334,321,320
03/1967,332,320,322
04/1967,336,320,322
05/1967,335,320,322
06/1967,332,322,322
07/1967,745,434,400
08/1967,606,445,521
09/1967,646,452,471
10/1967,690,428,442
11/1967,655,452,451
12/1967,681,421,456
01/1968,573,480,501
02/1968,616,456,470
03/1968,648,436,458
04/1968,660,429,460
05/1968,602,470,476
06/1968,584,479,484
07/1968,602,458,474
08/1968,636,441,446
09/1968,567,463,493
10/1968,603,447,467
11/1968,623,451,444
12/1968,644,443,431
01/1969,536,465,518
02/1969,562,477,471
03/1969,581,477,455
04/1969,548,491,477
05/1969,589,467,465
06/1969,591,477,455
07/1969,550,493,485
08/1969,556,486,484
09/1969,555,487,485
10/1969,560,480,489
11/1969,584,476,474
12/1969,603,467,470
01/1970,514,519,509
02/1970,527,523,497
03/1970,519,521,513
04/1970,540,504,514
05/1970,554,496,510
06/1970,557,569,441
07/1970,533,533,499
08/1970,566,514,486
09/1970,562,525,479
10/1970,501,542,523
11/1970,531,498,543
12/1970,537,505,522
01/1971,489,524,561
02/1971,488,529,557
03/1971,527,520,527
04/1971,516,520,531
05/1971,571,540,463
06/1971,556,544,474
07/1971,529,569,487
08/1971,559,556,474
