date,p1,p2,p3
07/1963,153,154,159
08/1963,154,154,159
09/1963,154,154,159
10/1963,154,154,159
11/1963,154,154,159
12/1963,154,153,159
01/1964,153,153,159
02/1964,154,154,159
03/1964,154,154,159
04/1964,154,154,159
05/1964,154,154,159
06/1964,154,154,159
07/1964,154,155,161
08/1964,155,154,161
09/1964,155,155,161
10/1964,155,154,161
11/1964,155,155,161
12/1964,155,155,161
01/1965,155,155,161
02/1965,155,155,160
03/1965,155,154,160
04/1965,155,155,160
05/1965,155,155,160
06/1965,154,155,161
07/1965,259,234,261
08/1965,259,234,261
09/1965,259,234,261
10/1965,259,234,260
11/1965,259,234,260
12/1965,259,234,259
01/1966,258,232,260
02/1966,259,234,260
03/1966,259,234,260
04/1966,259,234,261
05/1966,259,232,260
06/1966,259,234,261
07/1966,296,264,295
08/1966,296,264,296
09/1966,296,264,296
10/1966,296,264,296
11/1966,296,264,296
12/1966,296,264,296
01/1967,296,264,296
02/1967,295,264,296
03/1967,296,264,296
04/1967,296,264,296
05/1967,296,264,296
06/1967,296,264,296
07/1967,339,282,339
08/1967,338,281,339
09/1967,338,281,338
10/1967,338,282,337
11/1967,337,281,338
12/1967,336,281,338
01/1968,337,281,338
02/1968,336,280,336
03/1968,336,280,336
04/1968,336,280,334
05/1968,336,280,334
06/1968,336,280,332
07/1968,367,311,364
08/1968,363,310,363
09/1968,363,310,363
10/1968,362,309,363
11/1968,361,310,362
12/1968,361,309,362
01/1969,361,308,362
02/1969,360,308,362
03/1969,360,308,362
04/1969,359,306,362
05/1969,358,306,361
06/1969,358,307,361
07/1969,397,330,394
08/1969,395,330,394
09/1969,393,330,394
10/1969,393,329,393
11/1969,394,329,394
12/1969,394,329,394
01/1970,394,329,394
02/1970,393,329,392
03/1970,393,330,394
04/1970,393,330,394
05/1970,393,330,394
06/1970,391,329,393
07/1970,407,342,416
08/1970,406,342,416
09/1970,406,341,416
10/1970,404,340,415
11/1970,403,340,415
12/1970,400,340,415
01/1971,399,339,413
02/1971,399,337,413
03/1971,398,337,411
04/1971,397,336,410
05/1971,395,334,409
06/1971,394,334,409
07/1971,416,372,439
08/1971,415,372,438
09/1971,415,372,438
10/1971,416,372,438
11/1971,416,372,438
12/1971,414,372,437
01/1972,413,371,436
02/1972,412,370,436
03/1972,411,371,436
04/1972,411,371,435
05/1972,411,370,435
06/1972,410,370,435
07/1972,450,379,421
08/1972,449,378,421
09/1972,447,377,420
10/1972,446,377,419
11/1972,446,377,418
12/1972,446,376,419
01/1973,447,376,419
02/1973,446,376,419
03/1973,446,374,419
04/1973,445,371,419
05/1973,444,372,419
06/1973,443,371,419
07/1973,448,369,408
08/1973,446,369,407
09/1973,447,369,407
10/1973,446,367,407
11/1973,446,366,407
12/1973,446,365,407
01/1974,446,365,405
02/1974,445,364,405
03/1974,443,363,404
04/1974,443,363,404
05/1974,442,363,403
06/1974,439,363,402
07/1974,435,376,442
08/1974,435,376,440
09/1974,436,376,439
10/1974,433,376,438
11/1974,434,375,438
12/1974,430,375,437
01/1975,431,376,438
02/1975,431,376,438
03/1975,431,376,437
04/1975,431,376,437
05/1975,431,376,436
06/1975,430,376,434
07/1975,574,525,630
08/1975,572,524,627
09/1975,573,523,627
10/1975,572,523,627
11/1975,568,522,627
12/1975,568,523,627
01/1976,565,522,627
02/1976,552,518,620
03/1976,563,522,622
04/1976,557,517,617
05/1976,563,519,620
06/1976,562,520,620
07/1976,707,588,751
08/1976,706,589,752
09/1976,657,570,710
10/1976,701,589,749
11/1976,695,583,743
12/1976,702,587,745
01/1977,701,586,741
02/1977,694,581,732
03/1977,697,585,736
04/1977,695,584,732
05/1977,695,584,733
06/1977,692,583,731
07/1977,780,630,757
08/1977,775,630,755
09/1977,775,629,753
10/1977,768,626,753
11/1977,762,624,751
12/1977,764,624,751
01/1978,759,622,748
02/1978,758,618,740
03/1978,758,615,741
04/1978,754,615,739
05/1978,751,616,738
06/1978,748,613,734
07/1978,799,602,784
08/1978,792,603,780
09/1978,790,597,774
10/1978,786,597,770
11/1978,782,597,766
12/1978,779,596,761
01/1979,774,595,763
02/1979,767,592,759
03/1979,763,588,754
04/1979,755,589,755
05/1979,752,588,751
06/1979,748,587,749
07/1979,831,613,790
08/1979,827,608,783
09/1979,821,605,781
10/1979,819,604,776
11/1979,819,605,775
12/1979,816,603,774
01/1980,814,600,767
02/1980,805,595,762
03/1980,804,593,759
04/1980,796,588,755
05/1980,797,589,752
06/1980,788,589,754
07/1980,840,633,800
08/1980,837,633,798
09/1980,835,630,798
10/1980,830,627,794
11/1980,823,625,794
12/1980,820,626,789
01/1981,815,626,786
02/1981,811,623,783
03/1981,809,619,781
04/1981,801,617,779
05/1981,796,615,776
06/1981,791,613,773
07/1981,872,652,783
08/1981,868,653,782
09/1981,863,651,780
10/1981,858,648,776
11/1981,858,648,771
12/1981,856,647,769
01/1982,852,641,763
