date,p1,p2,p3
07/1963,160,161,164
08/1963,160,161,165
09/1963,160,161,165
10/1963,160,161,165
11/1963,160,161,165
12/1963,159,161,165
01/1964,158,161,165
02/1964,160,161,165
03/1964,160,161,165
04/1964,160,161,165
05/1964,160,161,165
06/1964,160,161,165
07/1964,258,241,272
08/1964,258,240,274
09/1964,258,241,274
10/1964,258,240,274
11/1964,258,241,274
12/1964,258,241,274
01/1965,258,241,274
02/1965,258,241,273
03/1965,258,241,272
04/1965,258,241,273
05/1965,258,241,273
06/1965,258,241,273
07/1965,292,282,309
08/1965,292,282,309
09/1965,292,282,309
10/1965,292,282,308
11/1965,292,282,308
12/1965,291,282,307
01/1966,291,280,306
02/1966,292,282,307
03/1966,292,282,308
04/1966,292,282,309
05/1966,292,282,305
06/1966,291,282,309
07/1966,341,300,328
08/1966,341,300,329
09/1966,341,300,329
10/1966,341,300,329
11/1966,341,300,329
12/1966,341,300,329
01/1967,341,300,329
02/1967,340,300,329
03/1967,341,300,329
04/1967,341,300,329
05/1967,341,300,329
06/1967,341,300,329
07/1967,381,333,363
08/1967,381,331,363
09/1967,381,331,362
10/1967,381,332,361
11/1967,381,332,360
12/1967,381,331,359
01/1968,381,331,360
02/1968,380,330,358
03/1968,380,330,358
04/1968,379,329,358
05/1968,379,329,358
06/1968,378,329,357
07/1968,443,364,355
08/1968,441,361,354
09/1968,441,361,354
10/1968,441,359,354
11/1968,441,360,352
12/1968,441,359,352
01/1969,441,359,351
02/1969,441,358,349
03/1969,441,358,349
04/1969,441,355,349
05/1969,441,355,347
06/1969,441,357,346
07/1969,480,384,356
08/1969,480,383,355
09/1969,479,382,355
10/1969,478,380,356
11/1969,478,382,355
12/1969,478,382,356
01/1970,478,382,356
02/1970,476,381,356
03/1970,479,381,356
04/1970,479,381,356
05/1970,479,381,356
06/1970,475,380,356
07/1970,477,409,411
08/1970,475,409,411
09/1970,474,409,411
10/1970,472,408,410
11/1970,472,408,409
12/1970,472,404,410
01/1971,471,402,409
02/1971,470,402,408
03/1971,468,402,407
04/1971,466,402,406
05/1971,461,401,406
06/1971,459,401,406
07/1971,468,430,460
08/1971,467,429,459
09/1971,467,429,459
10/1971,467,429,460
11/1971,467,429,460
12/1971,467,427,459
01/1972,467,426,457
02/1972,467,426,455
03/1972,467,425,456
04/1972,467,424,456
05/1972,467,423,456
06/1972,466,423,456
07/1972,468,449,417
08/1972,467,448,417
09/1972,462,449,416
10/1972,461,448,415
11/1972,459,449,415
12/1972,461,448,415
01/1973,462,448,415
02/1973,462,447,415
03/1973,461,447,414
04/1973,461,444,413
05/1973,461,444,413
06/1973,461,442,413
07/1973,483,450,428
08/1973,483,449,426
09/1973,482,448,426
10/1973,482,445,427
11/1973,481,445,427
12/1973,479,445,426
01/1974,478,445,425
02/1974,476,445,425
03/1974,476,442,423
04/1974,476,443,424
05/1974,476,441,424
06/1974,473,439,422
07/1974,655,583,562
08/1974,655,581,561
09/1974,654,580,561
10/1974,653,576,556
11/1974,652,578,558
12/1974,650,576,559
01/1975,650,579,557
02/1975,647,578,556
03/1975,646,578,557
04/1975,646,578,558
05/1975,645,578,558
06/1975,640,576,556
07/1975,820,679,643
08/1975,816,678,642
09/1975,816,678,643
10/1975,814,677,641
11/1975,811,674,642
12/1975,811,674,642
01/1976,806,675,642
02/1976,795,663,633
03/1976,802,670,642
04/1976,796,660,634
05/1976,800,665,638
06/1976,799,665,639
07/1976,832,740,746
08/1976,832,739,748
09/1976,796,693,702
10/1976,829,732,749
11/1976,826,726,739
12/1976,826,732,746
01/1977,822,731,743
02/1977,814,719,738
03/1977,816,726,740
04/1977,810,723,739
05/1977,811,723,737
06/1977,806,720,736
07/1977,828,760,763
08/1977,823,759,760
09/1977,818,757,760
10/1977,813,754,757
11/1977,811,749,754
12/1977,810,751,754
01/1978,808,748,749
02/1978,803,740,748
03/1978,802,739,746
04/1978,796,737,746
05/1978,795,735,745
06/1978,790,733,741
07/1978,928,754,721
08/1978,922,751,720
09/1978,911,747,719
10/1978,905,744,718
11/1978,902,740,715
12/1978,899,734,715
01/1979,899,733,712
02/1979,891,726,710
03/1979,886,722,706
04/1979,879,722,705
05/1979,877,717,703
06/1979,872,716,701
07/1979,1013,755,693
08/1979,1002,750,691
09/1979,997,746,689
10/1979,993,742,687
11/1979,991,742,688
12/1979,986,742,686
01/1980,982,736,684
02/1980,971,729,679
03/1980,967,726,679
04/1980,959,719,676
05/1980,953,721,677
06/1980,951,717,676
07/1980,1000,787,714
08/1980,995,787,713
09/1980,993,783,712
10/1980,987,776,710
11/1980,983,773,707
12/1980,977,772,705
01/1981,974,768,704
02/1981,969,762,703
03/1981,961,761,701
04/1981,957,755,697
05/1981,949,752,697
06/1981,945,747,695
07/1981,960,800,711
08/1981,960,795,712
09/1981,955,790,711
10/1981,948,786,710
11/1981,946,784,708
12/1981,941,784,707
01/1982,933,778,705
02/1982,933,773,703
03/1982,928,773,701
04/1982,920,762,698
05/1982,918,760,695
06/1982,913,757,693
07/1982,971,741,669
08/1982,966,737,666
09/1982,965,737,666
10/1982,960,735,663
11/1982,956,732,661
12/1982,953,732,660
01/1983,951,725,658
02/1983,938,718,655
03/1983,933,718,656
04/1983,928,715,654
05/1983,924,713,651
06/1983,924,711,649
07/1983,903,754,629
08/1983,898,751,626
09/1983,894,745,623
10/1983,891,742,621
11/1983,888,740,619
12/1983,884,740,618
01/1984,883,734,616
02/1984,878,730,615
03/1984,873,724,613
04/1984,871,723,612
05/1984,868,723,609
06/1984,865,715,607
07/1984,897,686,589
08/1984,893,683,587
09/1984,887,680,585
10/1984,881,673,582
11/1984,876,667,581
12/1984,866,665,577
01/1985,860,663,574
02/1985,856,658,573
03/1985,848,653,573
04/1985,842,650,568
05/1985,838,648,568
06/1985,832,643,561
07/1985,860,631,546
08/1985,858,630,544
09/1985,855,627,537
10/1985,846,625,534
11/1985,840,622,534
12/1985,835,614,534
01/1986,830,609,529
02/1986,828,605,527
03/1986,826,602,525
04/1986,822,597,525
05/1986,819,591,518
06/1986,815,589,516
07/1986,818,616,513
08/1986,813,615,510
09/1986,810,610,509
10/1986,805,607,507
11/1986,800,599,506
12/1986,793,593,506
01/1987,774,588,498
02/1987,768,581,496
03/1987,768,579,494
04/1987,763,573,495
05/1987,761,568,490
06/1987,759,567,490
07/1987,731,598,508
08/1987,727,594,506
09/1987,723,589,505
10/1987,715,587,504
11/1987,708,584,504
12/1987,702,582,504
01/1988,697,579,501
02/1988,692,577,499
03/1988,689,570,498
04/1988,687,564,497
05/1988,682,559,496
06/1988,676,555,492
07/1988,673,551,513
08/1988,672,544,511
09/1988,665,543,509
10/1988,659,542,506
11/1988,651,538,506
12/1988,647,532,504
01/1989,642,528,498
02/1989,639,525,495
03/1989,636,524,493
04/1989,632,523,488
05/1989,631,520,485
06/1989,625,520,480
07/1989,656,551,483
08/1989,651,549,483
09/1989,649,546,482
10/1989,648,546,480
11/1989,645,544,476
12/1989,639,542,473
01/1990,633,538,471
02/1990,628,536,469
03/1990,628,534,464
04/1990,624,533,462
05/1990,623,533,460
06/1990,619,530,457
07/1990,627,552,513
08/1990,624,551,509
09/1990,617,548,506
10/1990,616,547,507
11/1990,615,544,504
12/1990,615,542,500
01/1991,614,541,496
02/1991,612,541,494
03/1991,612,540,493
04/1991,612,540,491
05/1991,611,539,490
06/1991,611,538,489
07/1991,631,553,536
08/1991,628,553,534
09/1991,625,552,531
10/1991,624,551,531
11/1991,625,550,528
12/1991,624,551,525
01/1992,624,549,523
02/1992,623,548,522
03/1992,622,548,520
04/1992,622,547,517
05/1992,622,544,513
06/1992,621,543,508
07/1992,612,562,518
08/1992,610,562,516
09/1992,609,562,515
10/1992,609,561,513
11/1992,605,559,512
12/1992,603,559,510
01/1993,603,559,508
02/1993,603,557,507
03/1993,599,556,506
04/1993,599,552,505
05/1993,598,548,503
06/1993,596,548,501
07/1993,616,528,511
08/1993,615,528,509
09/1993,615,526,508
10/1993,614,526,507
11/1993,609,524,506
12/1993,609,525,502
01/1994,609,524,501
02/1994,609,522,501
03/1994,609,522,502
04/1994,609,520,501
05/1994,608,519,499
06/1994,609,517,499
07/1994,635,532,526
08/1994,633,530,526
09/1994,631,526,526
10/1994,628,524,525
11/1994,626,523,523
12/1994,626,521,520
01/1995,624,520,521
02/1995,622,516,520
03/1995,621,514,520
04/1995,621,513,519
05/1995,620,513,517
06/1995,618,511,515
07/1995,738,737,594
08/1995,736,735,591
09/1995,731,733,590
10/1995,730,731,589
11/1995,728,725,588
12/1995,723,720,586
01/1996,716,717,585
02/1996,705,707,584
03/1996,700,703,582
04/1996,694,693,581
05/1996,687,690,577
06/1996,683,689,575
07/1996,748,740,599
08/1996,746,738,597
09/1996,743,734,596
10/1996,739,731,596
11/1996,733,727,595
12/1996,726,723,594
01/1997,721,717,589
02/1997,717,715,584
03/1997,713,709,581
04/1997,709,704,580
05/1997,709,699,578
06/1997,703,692,574
07/1997,709,759,649
08/1997,701,748,642
09/1997,693,744,634
10/1997,689,738,633
11/1997,682,732,631
12/1997,678,723,628
01/1998,670,717,621
02/1998,664,715,617
03/1998,658,710,614
04/1998,650,706,609
05/1998,641,699,603
06/1998,640,694,595
07/1998,732,741,600
08/1998,724,734,593
09/1998,721,726,592
10/1998,716,722,590
11/1998,708,715,585
12/1998,704,711,583
01/1999,698,704,576
02/1999,693,698,572
03/1999,687,695,567
04/1999,678,686,560
05/1999,675,684,553
06/1999,674,679,552
07/1999,591,742,634
08/1999,583,735,628
09/1999,576,730,621
10/1999,570,726,613
11/1999,564,718,609
12/1999,556,712,600
01/2000,552,706,596
02/2000,547,703,590
03/2000,543,699,581
04/2000,543,689,572
05/2000,539,686,565
06/2000,534,683,557
07/2000,545,695,600
08/2000,542,686,600
09/2000,535,680,595
10/2000,530,674,591
11/2000,524,667,583
12/2000,520,655,577
01/2001,517,650,566
02/2001,511,642,562
03/2001,506,633,557
04/2001,504,626,553
05/2001,500,624,548
06/2001,497,624,542
07/2001,459,624,674
08/2001,456,622,670
09/2001,451,617,664
10/2001,448,614,658
11/2001,446,607,655
12/2001,444,604,645
01/2002,441,599,640
02/2002,438,595,635
03/2002,437,594,629
04/2002,436,592,621
05/2002,431,591,618
06/2002,428,589,617
07/2002,455,637,565
08/2002,455,636,559
09/2002,455,633,556
10/2002,455,631,553
11/2002,453,630,547
12/2002,452,627,546
01/2003,450,626,541
02/2003,447,622,539
03/2003,446,618,536
04/2003,446,615,532
05/2003,440,614,532
06/2003,439,612,531
07/2003,450,634,488
08/2003,447,631,486
09/2003,445,630,484
10/2003,446,629,483
11/2003,445,624,483
12/2003,443,623,481
01/2004,440,619,475
02/2004,437,617,474
03/2004,437,614,475
04/2004,435,612,471
05/2004,430,607,469
06/2004,427,602,468
07/2004,447,574,477
08/2004,444,569,475
09/2004,441,568,471
10/2004,438,564,469
11/2004,436,560,466
12/2004,436,560,463
01/2005,434,554,461
02/2005,432,550,461
03/2005,431,547,455
04/2005,430,544,451
05/2005,429,543,451
06/2005,423,535,449
07/2005,442,510,543
08/2005,442,508,541
09/2005,440,506,536
10/2005,440,506,535
