date,p1,p2,p3
07/1963,139,133,132
08/1963,139,133,133
09/1963,139,133,133
10/1963,139,133,133
11/1963,139,133,133
12/1963,138,133,133
01/1964,137,133,133
02/1964,139,133,133
03/1964,139,133,133
04/1964,139,133,133
05/1964,139,133,133
06/1964,139,133,133
07/1964,239,221,234
08/1964,239,221,234
09/1964,239,221,234
10/1964,239,221,234
11/1964,239,221,234
12/1964,239,221,234
01/1965,239,221,234
02/1965,239,221,234
03/1965,239,221,233
04/1965,239,221,234
05/1965,239,221,234
06/1965,239,221,233
07/1965,273,258,298
08/1965,273,258,298
09/1965,273,258,298
10/1965,273,258,297
11/1965,273,258,297
12/1965,272,258,296
01/1966,272,256,296
02/1966,272,258,297
03/1966,273,258,297
04/1966,273,258,298
05/1966,273,257,296
06/1966,272,258,298
07/1966,301,295,303
08/1966,301,296,303
09/1966,301,296,303
10/1966,301,296,303
11/1966,301,296,303
12/1966,301,296,303
01/1967,301,296,303
02/1967,300,296,303
03/1967,301,296,303
04/1967,301,296,303
05/1967,301,295,303
06/1967,301,294,303
07/1967,345,305,356
08/1967,346,304,356
09/1967,346,304,356
10/1967,346,303,356
11/1967,346,303,356
12/1967,345,303,355
01/1968,345,303,356
02/1968,344,302,354
03/1968,344,302,355
04/1968,344,302,355
05/1968,344,302,355
06/1968,343,301,355
07/1968,478,371,355
08/1968,477,369,355
09/1968,477,369,355
10/1968,476,368,355
11/1968,476,369,355
12/1968,477,368,355
01/1969,477,368,355
02/1969,477,367,354
03/1969,477,367,354
04/1969,476,367,352
05/1969,477,366,350
06/1969,477,367,351
07/1969,534,393,357
08/1969,534,393,355
09/1969,534,392,356
10/1969,533,392,356
11/1969,532,391,357
12/1969,532,392,357
01/1970,533,392,357
02/1970,530,392,357
03/1970,533,392,357
04/1970,533,392,357
05/1970,532,392,357
06/1970,531,392,357
07/1970,515,455,445
08/1970,514,454,445
09/1970,513,453,444
10/1970,513,453,444
11/1970,513,453,443
12/1970,513,453,443
01/1971,510,453,443
02/1971,509,452,443
03/1971,507,452,442
04/1971,506,451,442
05/1971,505,450,441
06/1971,503,447,441
07/1971,494,513,529
08/1971,493,512,528
09/1971,493,512,528
10/1971,493,512,529
11/1971,493,512,529
12/1971,492,512,529
01/1972,490,511,528
02/1972,489,510,528
03/1972,488,510,527
04/1972,488,510,526
05/1972,486,510,525
06/1972,485,508,525
07/1972,527,527,588
08/1972,526,526,587
09/1972,524,525,584
10/1972,523,525,582
11/1972,522,523,583
12/1972,523,523,582
01/1973,522,523,581
02/1973,522,523,580
03/1973,520,521,580
04/1973,521,517,578
05/1973,520,517,577
06/1973,518,515,573
07/1973,534,553,635
08/1973,533,551,633
09/1973,532,550,633
10/1973,530,550,632
11/1973,531,548,630
12/1973,530,548,629
01/1974,528,548,630
02/1974,527,544,626
03/1974,524,543,623
04/1974,524,542,623
05/1974,523,541,619
06/1974,523,541,613
07/1974,732,702,809
08/1974,730,696,809
09/1974,728,693,802
10/1974,723,689,797
11/1974,722,688,799
12/1974,718,687,797
01/1975,719,685,795
02/1975,718,683,792
03/1975,716,683,794
04/1975,716,681,792
05/1975,714,682,789
06/1975,714,677,786
07/1975,1013,909,859
08/1975,1013,906,858
09/1975,1013,906,857
10/1975,1008,904,855
11/1975,1008,905,854
12/1975,1001,902,853
01/1976,999,897,849
02/1976,978,882,826
03/1976,999,891,844
04/1976,985,875,834
05/1976,987,880,841
06/1976,986,878,842
07/1976,979,973,1084
08/1976,975,971,1084
09/1976,946,895,979
10/1976,972,963,1079
11/1976,969,950,1068
12/1976,970,953,1076
01/1977,965,950,1074
02/1977,954,934,1055
03/1977,957,943,1064
04/1977,954,943,1056
05/1977,951,942,1054
06/1977,945,937,1053
07/1977,952,885,1185
08/1977,947,880,1179
09/1977,941,877,1173
10/1977,938,871,1167
11/1977,936,868,1160
12/1977,930,868,1158
01/1978,926,867,1151
02/1978,922,858,1139
03/1978,920,859,1132
04/1978,919,855,1123
05/1978,916,851,1121
06/1978,905,843,1117
07/1978,1016,812,1113
08/1978,1013,810,1103
09/1978,1003,802,1099
10/1978,997,802,1095
11/1978,998,801,1087
12/1978,993,794,1083
01/1979,986,795,1076
02/1979,983,785,1068
03/1979,977,784,1057
04/1979,973,781,1054
05/1979,969,775,1051
06/1979,965,767,1044
07/1979,1052,846,949
08/1979,1045,839,945
09/1979,1044,836,933
10/1979,1038,833,926
11/1979,1035,831,926
12/1979,1031,827,923
01/1980,1025,818,918
02/1980,1016,810,907
03/1980,1012,809,903
04/1980,1004,806,894
05/1980,1000,805,893
06/1980,1000,801,887
07/1980,1062,769,990
08/1980,1060,767,986
09/1980,1053,763,985
10/1980,1043,754,978
11/1980,1043,754,972
12/1980,1039,745,967
01/1981,1035,743,962
02/1981,1030,740,954
03/1981,1023,736,946
04/1981,1020,729,940
05/1981,1013,729,935
06/1981,1009,726,930
07/1981,1181,792,923
08/1981,1179,789,918
09/1981,1170,786,913
10/1981,1157,778,903
11/1981,1158,780,901
12/1981,1153,776,901
01/1982,1145,770,895
02/1982,1146,769,888
03/1982,1138,763,884
04/1982,1131,758,873
05/1982,1129,757,865
06/1982,1122,754,858
07/1982,1260,770,888
08/1982,1247,768,881
09/1982,1245,762,883
10/1982,1236,756,877
