date,p1,p2,p3
07/1963,292,281,305
08/1963,292,281,306
09/1963,292,281,306
10/1963,292,281,306
11/1963,291,281,305
12/1963,292,280,305
01/1964,290,280,306
02/1964,292,280,306
03/1964,292,280,305
04/1964,292,280,305
05/1964,292,281,306
06/1964,292,281,305
07/1964,335,312,364
08/1964,336,311,365
09/1964,336,312,365
10/1964,336,310,365
11/1964,336,312,365
12/1964,336,312,365
01/1965,336,312,365
02/1965,335,312,365
03/1965,335,312,364
04/1965,335,312,365
05/1965,335,312,365
06/1965,336,311,365
07/1965,366,346,410
08/1965,366,346,410
09/1965,366,346,410
10/1965,365,346,410
11/1965,365,346,410
12/1965,364,346,409
01/1966,361,345,407
02/1966,364,346,410
03/1966,365,346,410
04/1966,365,346,410
05/1966,364,344,409
06/1966,364,346,410
07/1966,442,368,431
08/1966,442,368,432
09/1966,442,368,432
10/1966,441,368,432
11/1966,441,368,432
12/1966,441,368,432
01/1967,441,368,432
02/1967,440,368,432
03/1967,441,368,432
04/1967,441,368,432
05/1967,440,368,432
06/1967,439,368,432
07/1967,534,448,525
08/1967,533,448,525
09/1967,531,448,524
10/1967,533,448,523
11/1967,531,448,524
12/1967,530,447,524
01/1968,531,447,524
02/1968,530,446,521
03/1968,530,446,522
04/1968,529,446,521
05/1968,528,446,521
06/1968,526,445,521
07/1968,674,459,464
08/1968,672,458,462
09/1968,672,458,462
10/1968,671,457,461
11/1968,670,457,461
12/1968,671,458,460
01/1969,671,458,459
02/1969,667,458,459
03/1969,667,458,459
04/1969,664,458,458
05/1969,665,457,457
06/1969,666,457,457
07/1969,793,487,457
08/1969,790,487,457
09/1969,789,487,457
10/1969,789,486,456
11/1969,788,486,457
12/1969,788,487,457
01/1970,789,487,457
02/1970,785,487,457
03/1970,788,487,457
04/1970,785,487,457
05/1970,784,487,457
06/1970,781,484,457
07/1970,787,559,542
08/1970,785,557,543
09/1970,782,556,543
10/1970,780,554,543
11/1970,778,554,542
12/1970,775,553,541
01/1971,772,552,540
02/1971,769,552,539
03/1971,765,552,538
04/1971,762,551,538
05/1971,757,548,537
06/1971,749,548,537
07/1971,752,558,635
08/1971,751,556,634
09/1971,751,555,634
10/1971,751,555,634
11/1971,751,555,634
12/1971,750,553,633
01/1972,747,551,633
02/1972,746,550,632
