date,p1,p2,p3
07/1963,19,,1954
08/1963,22,,1953
09/1963,17,,1957
10/1963,15,,1959
11/1963,20,,1954
12/1963,21,,1959
01/1964,16,,1954
02/1964,22,,1963
03/1964,26,,1961
04/1964,25,,1968
05/1964,25,,1982
06/1964,21,,1988
07/1964,23,,1990
08/1964,22,,2000
09/1964,21,,2009
10/1964,23,,2006
11/1964,24,,2009
12/1964,27,,2008
01/1965,23,,2014
02/1965,18,,2022
03/1965,25,,2020
04/1965,24,,2021
05/1965,19,,2032
06/1965,26,,2029
07/1965,18,,2042
08/1965,23,,2046
09/1965,21,,2053
10/1965,23,,2044
11/1965,23,,2044
12/1965,20,,2053
01/1966,23,,2038
02/1966,18,,2057
03/1966,19,,2057
04/1966,21,,2051
05/1966,24,,2041
06/1966,18,,2056
07/1966,20,,2053
08/1966,20,,2069
09/1966,21,,2070
10/1966,25,,2070
11/1966,22,,2076
12/1966,26,,2073
01/1967,24,,2068
02/1967,19,,2077
03/1967,24,,2074
04/1967,30,,2065
05/1967,26,,2071
06/1967,33,,2060
07/1967,23,,2070
08/1967,22,,2064
09/1967,17,,2070
10/1967,23,,2063
11/1967,17,,2074
12/1967,20,,2071
01/1968,21,,2065
02/1968,18,,2059
03/1968,24,,2057
04/1968,29,,2059
05/1968,32,,2061
06/1968,31,,2064
07/1968,37,,2051
08/1968,40,,2037
09/1968,39,,2050
10/1968,38,,2051
11/1968,36,,2056
12/1968,40,,2059
01/1969,41,,2061
02/1969,48,,2054
03/1969,43,,2073
04/1969,44,,2077
05/1969,46,,2092
06/1969,43,,2103
07/1969,40,,2117
08/1969,42,,2125
09/1969,43,,2140
10/1969,39,,2151
11/1969,40,,2156
12/1969,45,,2159
01/1970,48,,2162
02/1970,41,,2178
03/1970,46,,2193
04/1970,37,,2211
05/1970,36,,2213
06/1970,39,,2216
07/1970,46,,2208
08/1970,41,,2219
09/1970,31,,2233
10/1970,36,,2236
11/1970,37,,2244
12/1970,37,,2252
01/1971,40,,2247
02/1971,35,,2260
03/1971,30,,2267
04/1971,31,,2267
05/1971,33,,2270
06/1971,34,,2276
07/1971,31,,2284
08/1971,42,,2284
09/1971,46,,2294
10/1971,45,,2308
11/1971,40,,2323
12/1971,42,,2335
01/1972,45,,2344
02/1972,41,,2360
03/1972,52,,2359
04/1972,52,,2369
05/1972,46,,2387
06/1972,45,,2393
07/1972,48,,2393
08/1972,42,,2408
09/1972,37,,2425
10/1972,46,,2427
11/1972,43,,2439
12/1972,46,,2453
01/1973,42,,5332
02/1973,39,,5359
03/1973,36,,5358
04/1973,36,,5312
05/1973,31,,5280
06/1973,40,,5204
07/1973,49,,5152
08/1973,44,,5122
09/1973,37,,5083
10/1973,41,,5033
11/1973,96,,4978
12/1973,90,,4893
01/1974,88,,4803
02/1974,81,,4793
03/1974,76,,4776
04/1974,74,,4772
05/1974,69,,4764
06/1974,66,,4738
07/1974,65,,4718
08/1974,64,,4694
09/1974,66,,4645
